Выборы Президента Российской Федерации																																									
																																									
Наименование Избирательной комиссии:    Жуковская																																									
																																									
Итоги голосования 																																									
																																									
		Сумма	УИК  146	УИК  147	УИК  148	УИК  149	УИК  150	УИК  151	УИК №152	УИК №153	УИК №154	УИК №155	УИК №156	УИК №157	УИК №158	УИК №159	УИК №160	УИК №161	УИК №162	УИК №163	УИК №164	УИК №165	УИК №166	УИК №167	УИК №168	УИК №169	УИК №170	УИК №171	УИК №172	УИК №173	УИК №174	УИК №175	УИК №176	УИК №177	УИК №178	УИК №179					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	210	7	10	5	1	21	8	4	4	6	4	6	9	15	3	10	3	8	3	12	8	6	0	8	2	5	4	4	1	0	1	5	10	9	8					
14	Число неиспользованных открепительных удостоверений	436	37	36	21	8	34	8	8	3	2	3	4	8	7	4	4	1	18	5	0	5	6	5	9	10	17	12	16	14	12	16	28	26	27	22					
15	"Число открепительных удостоверений, выданных в ТИК"	19	1	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	1	0	1	0	0	0	1	1	2	1	2	2	1	2	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																									
18	. Глазьев Сергей Юрьевич	944	85	99	62	14	77	33	21	2	1	4	8	6	7	5	6	3	26	14	1	14	15	0	5	19	15	49	20	27	28	31	74	76	55	42					
		4.60%	6.49%	6.54%	5.57%	3.81%	6.06%	4.09%	3.97%	1.60%	1.32%	2.84%	3.51%	2.14%	2.15%	3.16%	1.93%	1.95%	3.10%	7.25%	0.71%	3.31%	3.77%	0.00%	1.26%	4.92%	3.00%	7.79%	3.12%	4.70%	4.65%	5.25%	5.47%	5.86%	4.59%	2.94%					
19	. Малышкин Олег Александрович	359	23	13	17	1	22	12	11	2	1	3	1	5	4	1	12	1	20	4	4	9	11	0	2	8	12	5	9	4	15	10	37	29	26	25					
		1.75%	1.76%	0.86%	1.53%	0.27%	1.73%	1.49%	2.08%	1.60%	1.32%	2.13%	0.44%	1.78%	1.23%	0.63%	3.86%	0.65%	2.38%	2.07%	2.84%	2.13%	2.76%	0.00%	0.51%	2.07%	2.40%	0.79%	1.41%	0.70%	2.49%	1.69%	2.73%	2.24%	2.17%	1.75%					
20	. Миронов Сергей Михайлович	134	7	8	12	4	9	4	2	1	0	0	0	8	0	1	1	2	5	1	1	3	1	1	4	4	8	4	3	7	5	8	6	2	6	6					
		0.65%	0.53%	0.53%	1.08%	1.09%	0.71%	0.50%	0.38%	0.80%	0.00%	0.00%	0.00%	2.85%	0.00%	0.63%	0.32%	1.30%	0.60%	0.52%	0.71%	0.71%	0.25%	0.44%	1.01%	1.04%	1.60%	0.64%	0.47%	1.22%	0.83%	1.36%	0.44%	0.15%	0.50%	0.42%					
21	. Путин Владимир Владимирович	15374	835	1057	726	275	923	625	383	93	69	111	192	227	282	133	256	134	620	164	107	342	322	188	328	308	383	461	509	433	436	405	1026	982	916	1123					
		74.89%	63.74%	69.82%	65.23%	74.93%	72.62%	77.45%	72.40%	74.40%	90.79%	78.72%	84.21%	80.78%	86.77%	84.18%	82.32%	87.01%	73.81%	84.97%	75.89%	80.85%	80.90%	82.46%	82.83%	79.79%	76.60%	73.29%	79.53%	75.30%	72.43%	68.64%	75.83%	75.71%	76.40%	78.53%					
22	. Хакамада Ирина Муцуовна	546	68	71	43	9	23	17	14	2	1	2	3	2	10	2	2	0	8	1	3	6	3	1	4	1	12	17	24	12	18	17	36	38	23	53					
		2.66%	5.19%	4.69%	3.86%	2.45%	1.81%	2.11%	2.65%	1.60%	1.32%	1.42%	1.32%	0.71%	3.08%	1.27%	0.64%	0.00%	0.95%	0.52%	2.13%	1.42%	0.75%	0.44%	1.01%	0.26%	2.40%	2.70%	3.75%	2.09%	2.99%	2.88%	2.66%	2.93%	1.92%	3.71%					
23	. Харитонов Николай Михайлович	2237	209	172	168	48	154	95	79	22	3	17	19	26	13	13	21	12	134	5	22	32	31	37	43	31	47	68	47	58	69	98	111	111	110	112					
		10.90%	15.95%	11.36%	15.09%	13.08%	12.12%	11.77%	14.93%	17.60%	3.95%	12.06%	8.33%	9.25%	4.00%	8.23%	6.75%	7.79%	15.95%	2.59%	15.60%	7.57%	7.79%	16.23%	10.86%	8.03%	9.40%	10.81%	7.34%	10.09%	11.46%	16.61%	8.20%	8.56%	9.17%	7.83%					
																																									
24	Против всех	730	69	82	70	11	41	16	13	2	1	3	3	4	8	2	11	1	21	2	2	13	10	1	8	8	15	16	23	27	20	14	54	50	49	60					
		3.56%	5.27%	5.42%	6.29%	3.00%	3.23%	1.98%	2.46%	1.60%	1.32%	2.13%	1.32%	1.42%	2.46%	1.27%	3.54%	0.65%	2.50%	1.04%	1.42%	3.07%	2.51%	0.44%	2.02%	2.07%	3.00%	2.54%	3.59%	4.70%	3.32%	2.37%	3.99%	3.86%	4.09%	4.20%					
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
