Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																																																																			
Дата голосования: 18.09.2016																																																																																																																			
																																																																																																																			
Наименование Избирательной комиссии:    Уссурийская городская																																																																																																																			
																																																																																																																			
Сводная таблица итогов голосования по федеральному избирательному округу																																																																																																																			
																																																																																																																			
		Сумма	УИК №2801	УИК №2802	УИК №2803	УИК №2804	УИК №2805	УИК №2806	УИК №2807	УИК №2808	УИК №2809	УИК №2810	УИК №2811	УИК №2812	УИК №2813	УИК №2814	УИК №2815	УИК №2816	УИК №2817	УИК №2818	УИК №2819	УИК №2820	УИК №2821	УИК №2822	УИК №2823	УИК №2824	УИК №2825	УИК №2826	УИК №2827	УИК №2828	УИК №2829	УИК №2830	УИК №2831	УИК №2832	УИК №2833	УИК №2834	УИК №2835	УИК №2836	УИК №2837	УИК №2838	УИК №2839	УИК №2840	УИК №2841	УИК №2842	УИК №2843	УИК №2844	УИК №2845	УИК №2846	УИК №2847	УИК №2848	УИК №2849	УИК №2850	УИК №2851	УИК №2852	УИК №2853	УИК №2854	УИК №2855	УИК №2857	УИК №2858	УИК №2859	УИК №2860	УИК №2861	УИК №2862	УИК №2863	УИК №2864	УИК №2866	УИК №2867	УИК №2868	УИК №2869	УИК №2880	УИК №2881	УИК №2882	УИК №2883	УИК №2884	УИК №2885	УИК №3801	УИК №3802	УИК №3803	УИК №3804	УИК №3805	УИК №3806	УИК №3807	УИК №3808	УИК №3809	УИК №3810	УИК №3811	УИК №3812	УИК №3813	УИК №3814	УИК №3815	УИК №3816	УИК №3817	УИК №3818	УИК №3819	УИК №3820	УИК №3821	УИК №3822	УИК №3823	УИК №3824	УИК №3825	УИК №3826	УИК №3827	УИК №3828	УИК №3829	УИК №3830	УИК №3831									
		1.23%	0.21%	1.67%	2.13%	0.69%	0.00%	0.88%	3.65%	1.76%	0.21%	1.49%	2.22%	3.13%	2.21%	2.29%	1.93%	1.64%	1.74%	1.76%	1.84%	0.19%	2.29%	0.18%	1.93%	1.41%	0.00%	1.53%	0.80%	0.45%	0.25%	0.25%	1.89%	2.30%	0.63%	1.09%	2.71%	3.01%	0.00%	1.31%	0.45%	0.51%	1.41%	1.41%	2.09%	1.19%	1.06%	1.14%	0.13%	3.57%	0.00%	1.20%	0.50%	1.24%	0.12%	0.51%	1.11%	1.84%	1.81%	2.43%	0.39%	0.99%	0.60%	1.97%	1.67%	1.79%	0.15%	1.24%	1.54%	0.00%	1.15%	0.00%	0.45%	0.75%	1.36%	0.00%	0.00%	0.95%	1.71%	0.00%	0.00%	2.47%	2.63%	1.12%	0.66%	0.11%	0.16%	0.56%	2.23%	1.75%	0.65%	0.00%	0.00%	0.92%	0.00%	0.00%	2.08%	0.76%	0.81%	0.00%	0.85%	0.85%	2.15%	1.92%	0.38%	0.42%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	1580	8	22	23	5	6	13	19	21	3	46	21	15	23	20	38	25	31	25	35	3	27	2	17	55	2	29	14	1	4	1	16	26	2	2	24	20	4	137	11	2	39	19	10	3	8	30	36	11	17	25	8	6	2	36	16	11	7	29	21	13	26	27	27	38	7	20	24	4	4	1	6	5	50	0	3	2	5	1	4	6	12	7	5	2	2	4	22	35	11	4	4	6	6	1	6	0	2	6	9	11	3	8	6	3									
		2.58%	0.84%	2.04%	2.45%	0.69%	4.03%	5.75%	2.89%	3.69%	0.32%	3.25%	3.11%	2.13%	2.99%	5.09%	3.85%	3.72%	3.85%	2.59%	2.48%	0.58%	4.76%	0.36%	2.73%	2.43%	2.90%	3.41%	3.72%	0.23%	0.33%	0.13%	3.78%	3.52%	0.42%	0.54%	2.96%	1.88%	5.56%	16.29%	1.22%	0.34%	3.23%	2.97%	4.18%	0.89%	2.12%	5.68%	2.34%	4.37%	1.36%	2.73%	4.00%	0.74%	0.23%	2.30%	1.78%	2.25%	1.81%	3.35%	4.06%	3.21%	2.59%	5.92%	5.00%	4.26%	1.06%	3.55%	3.37%	3.03%	4.60%	10.00%	1.35%	1.25%	3.41%	0.00%	2.91%	1.90%	2.14%	0.59%	2.88%	7.41%	2.26%	1.97%	3.29%	0.22%	0.32%	1.11%	3.77%	5.09%	1.78%	2.72%	5.48%	5.50%	3.26%	1.25%	4.17%	0.00%	1.61%	7.79%	2.54%	2.33%	3.23%	3.07%	0.57%	0.63%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	1283	5	27	26	3	2	3	28	14	5	22	17	18	26	15	29	28	27	39	58	3	24	2	19	25	3	16	19	2	4	3	18	33	3	1	33	33	1	28	5	2	56	1	7	1	11	18	39	9	0	11	3	8	2	19	14	15	11	27	8	11	21	20	20	32	4	20	28	2	5	0	13	8	20	0	0	1	4	2	3	0	11	6	3	4	4	0	34	25	5	3	0	7	3	1	4	1	1	5	4	3	2	8	4	2									
		2.10%	0.53%	2.50%	2.77%	0.41%	1.34%	1.33%	4.26%	2.46%	0.54%	1.56%	2.52%	2.56%	3.39%	3.82%	2.94%	4.17%	3.35%	4.05%	4.11%	0.58%	4.23%	0.36%	3.05%	1.10%	4.35%	1.88%	5.05%	0.45%	0.33%	0.38%	4.26%	4.47%	0.63%	0.27%	4.07%	3.10%	1.39%	3.33%	0.56%	0.34%	4.64%	0.16%	2.93%	0.30%	2.91%	3.41%	2.53%	3.57%	0.00%	1.20%	1.50%	0.99%	0.23%	1.21%	1.56%	3.07%	2.84%	3.12%	1.55%	2.72%	2.09%	4.39%	3.70%	3.58%	0.61%	3.55%	3.93%	1.52%	5.75%	0.00%	2.93%	2.01%	1.36%	0.00%	0.00%	0.95%	1.71%	1.18%	2.16%	0.00%	2.07%	1.69%	1.97%	0.43%	0.63%	0.00%	5.82%	3.64%	0.81%	2.04%	0.00%	6.42%	1.63%	1.25%	2.78%	0.76%	0.81%	6.49%	1.13%	0.63%	2.15%	3.07%	0.38%	0.42%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	32629	679	597	345	338	66	105	218	171	652	796	275	264	264	130	341	228	236	324	896	305	182	313	224	1373	22	404	120	322	1047	541	129	273	269	202	255	350	22	302	552	335	543	261	77	193	140	194	1102	104	950	616	84	472	636	1083	610	157	148	277	288	151	663	138	215	272	482	203	213	59	20	4	150	131	1150	470	75	50	142	118	80	64	273	236	92	740	407	263	205	287	390	98	44	42	123	58	78	97	75	25	259	337	52	100	777	319									
		53.33%	71.32%	55.33%	36.70%	46.69%	44.30%	46.46%	33.18%	30.05%	70.03%	56.29%	40.74%	37.55%	34.38%	33.08%	34.58%	33.93%	29.32%	33.61%	63.55%	58.88%	32.10%	56.70%	35.96%	60.59%	31.88%	47.47%	31.91%	73.02%	85.89%	68.65%	30.50%	36.94%	56.87%	54.89%	31.44%	32.93%	30.56%	35.91%	61.47%	56.49%	44.99%	40.85%	32.22%	57.44%	37.04%	36.74%	71.60%	41.27%	76.18%	67.32%	42.00%	58.34%	73.27%	69.07%	67.93%	32.11%	38.24%	32.02%	55.71%	37.28%	66.04%	30.26%	39.81%	30.46%	72.92%	36.06%	29.87%	44.70%	22.99%	40.00%	33.78%	32.83%	78.39%	94.00%	72.82%	47.62%	60.68%	69.82%	57.55%	79.01%	51.32%	66.29%	60.53%	79.57%	64.50%	73.26%	35.10%	41.78%	63.11%	66.67%	60.27%	38.53%	66.85%	72.50%	54.17%	73.48%	60.48%	32.47%	73.16%	71.25%	55.91%	38.31%	74.35%	66.46%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	369	3	4	9	7	1	1	6	6	0	10	1	4	8	3	6	8	7	11	10	0	5	0	9	12	0	13	3	0	4	1	5	5	4	3	8	4	0	9	3	1	5	1	4	1	2	10	7	3	0	3	3	2	0	5	4	4	8	7	2	3	4	7	1	9	4	2	3	0	2	0	5	1	6	0	0	2	1	0	2	0	2	2	0	5	2	0	5	8	4	0	1	1	2	0	1	1	1	3	3	3	0	2	3	3									
		0.60%	0.32%	0.37%	0.96%	0.97%	0.67%	0.44%	0.91%	1.05%	0.00%	0.71%	0.15%	0.57%	1.04%	0.76%	0.61%	1.19%	0.87%	1.14%	0.71%	0.00%	0.88%	0.00%	1.44%	0.53%	0.00%	1.53%	0.80%	0.00%	0.33%	0.13%	1.18%	0.68%	0.85%	0.82%	0.99%	0.38%	0.00%	1.07%	0.33%	0.17%	0.41%	0.16%	1.67%	0.30%	0.53%	1.89%	0.45%	1.19%	0.00%	0.33%	1.50%	0.25%	0.00%	0.32%	0.45%	0.82%	2.07%	0.81%	0.39%	0.74%	0.40%	1.54%	0.19%	1.01%	0.61%	0.36%	0.42%	0.00%	2.30%	0.00%	1.13%	0.25%	0.41%	0.00%	0.00%	1.90%	0.43%	0.00%	1.44%	0.00%	0.38%	0.56%	0.00%	0.54%	0.32%	0.00%	0.86%	1.16%	0.65%	0.00%	1.37%	0.92%	1.09%	0.00%	0.69%	0.76%	0.81%	3.90%	0.85%	0.63%	0.00%	0.77%	0.29%	0.63%									
24	"6. Политическая партия ""Гражданская Платформа"""	146	1	3	3	1	0	0	2	1	2	4	2	1	3	0	0	0	0	1	4	2	2	0	2	4	0	5	0	1	2	0	2	4	0	1	22	5	0	2	3	0	1	2	0	1	0	0	20	0	0	2	0	1	1	1	0	1	2	0	0	1	0	0	0	1	2	0	0	0	1	0	1	0	11	0	0	0	0	2	0	0	0	1	0	3	2	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0									
		0.24%	0.11%	0.28%	0.32%	0.14%	0.00%	0.00%	0.30%	0.18%	0.21%	0.28%	0.30%	0.14%	0.39%	0.00%	0.00%	0.00%	0.00%	0.10%	0.28%	0.39%	0.35%	0.00%	0.32%	0.18%	0.00%	0.59%	0.00%	0.23%	0.16%	0.00%	0.47%	0.54%	0.00%	0.27%	2.71%	0.47%	0.00%	0.24%	0.33%	0.00%	0.08%	0.31%	0.00%	0.30%	0.00%	0.00%	1.30%	0.00%	0.00%	0.22%	0.00%	0.12%	0.12%	0.06%	0.00%	0.20%	0.52%	0.00%	0.00%	0.25%	0.00%	0.00%	0.00%	0.11%	0.30%	0.00%	0.00%	0.00%	1.15%	0.00%	0.23%	0.00%	0.75%	0.00%	0.00%	0.00%	0.00%	1.18%	0.00%	0.00%	0.00%	0.28%	0.00%	0.32%	0.32%	0.28%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.28%	0.00%	0.00%	0.00%	0.19%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	9776	40	221	220	155	37	51	107	86	125	288	124	157	185	69	196	139	173	201	110	71	105	113	142	532	15	212	90	22	32	42	67	149	73	57	144	234	26	197	86	88	215	150	50	49	80	91	115	51	160	58	47	131	78	165	113	107	58	170	73	105	101	93	98	182	36	115	158	34	24	2	197	114	109	5	7	19	41	30	30	7	129	56	26	74	71	36	107	164	55	19	7	26	24	9	25	10	17	14	17	58	9	63	73	38									
		15.98%	4.20%	20.48%	23.40%	21.41%	24.83%	22.57%	16.29%	15.11%	13.43%	20.37%	18.37%	22.33%	24.09%	17.56%	19.88%	20.68%	21.49%	20.85%	7.80%	13.71%	18.52%	20.47%	22.79%	23.48%	21.74%	24.91%	23.94%	4.99%	2.63%	5.33%	15.84%	20.16%	15.43%	15.49%	17.76%	22.01%	36.11%	23.42%	9.58%	14.84%	17.81%	23.47%	20.92%	14.58%	21.16%	17.23%	7.47%	20.24%	12.83%	6.34%	23.50%	16.19%	8.99%	10.52%	12.58%	21.88%	14.99%	19.65%	14.12%	25.93%	10.06%	20.39%	18.15%	20.38%	5.45%	20.43%	22.16%	25.76%	27.59%	20.00%	44.37%	28.57%	7.43%	1.00%	6.80%	18.10%	17.52%	17.75%	21.58%	8.64%	24.25%	15.73%	17.11%	7.96%	11.25%	10.03%	18.32%	23.87%	8.90%	12.93%	9.59%	23.85%	13.04%	11.25%	17.36%	7.58%	13.71%	18.18%	4.80%	12.26%	9.68%	24.14%	6.99%	7.92%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	321	0	10	6	7	3	0	8	9	4	16	6	8	9	4	6	4	7	6	10	1	6	0	4	8	0	6	5	2	2	0	5	6	1	2	3	12	1	10	2	1	7	5	1	1	3	3	2	6	0	1	2	3	3	3	3	2	3	4	0	4	0	5	4	7	2	7	11	1	3	0	0	1	11	0	0	0	1	0	0	0	1	0	0	0	0	0	0	2	0	0	0	2	1	0	0	0	2	0	0	0	0	0	3	1									
		0.52%	0.00%	0.93%	0.64%	0.97%	2.01%	0.00%	1.22%	1.58%	0.43%	1.13%	0.89%	1.14%	1.17%	1.02%	0.61%	0.60%	0.87%	0.62%	0.71%	0.19%	1.06%	0.00%	0.64%	0.35%	0.00%	0.71%	1.33%	0.45%	0.16%	0.00%	1.18%	0.81%	0.21%	0.54%	0.37%	1.13%	1.39%	1.19%	0.22%	0.17%	0.58%	0.78%	0.42%	0.30%	0.79%	0.57%	0.13%	2.38%	0.00%	0.11%	1.00%	0.37%	0.35%	0.19%	0.33%	0.41%	0.78%	0.46%	0.00%	0.99%	0.00%	1.10%	0.74%	0.78%	0.30%	1.24%	1.54%	0.76%	3.45%	0.00%	0.00%	0.25%	0.75%	0.00%	0.00%	0.00%	0.43%	0.00%	0.00%	0.00%	0.19%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.29%	0.00%	0.00%	0.00%	1.83%	0.54%	0.00%	0.00%	0.00%	1.61%	0.00%	0.00%	0.00%	0.00%	0.00%	0.29%	0.21%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	523	4	5	12	6	2	2	23	11	0	9	10	9	15	10	6	18	10	9	28	0	11	1	5	8	2	4	10	2	2	2	8	8	2	3	18	16	1	13	4	2	11	5	6	4	2	5	1	4	0	7	7	1	1	7	1	14	6	8	6	4	3	3	8	11	4	3	9	0	1	0	2	2	10	0	0	0	3	0	0	0	3	2	0	2	6	0	10	4	1	2	0	2	3	3	1	0	4	1	1	1	0	2	3	2									
		0.85%	0.42%	0.46%	1.28%	0.83%	1.34%	0.88%	3.50%	1.93%	0.00%	0.64%	1.48%	1.28%	1.95%	2.54%	0.61%	2.68%	1.24%	0.93%	1.99%	0.00%	1.94%	0.18%	0.80%	0.35%	2.90%	0.47%	2.66%	0.45%	0.16%	0.25%	1.89%	1.08%	0.42%	0.82%	2.22%	1.51%	1.39%	1.55%	0.45%	0.34%	0.91%	0.78%	2.51%	1.19%	0.53%	0.95%	0.06%	1.59%	0.00%	0.77%	3.50%	0.12%	0.12%	0.45%	0.11%	2.86%	1.55%	0.92%	1.16%	0.99%	0.30%	0.66%	1.48%	1.23%	0.61%	0.53%	1.26%	0.00%	1.15%	0.00%	0.45%	0.50%	0.68%	0.00%	0.00%	0.00%	1.28%	0.00%	0.00%	0.00%	0.56%	0.56%	0.00%	0.22%	0.95%	0.00%	1.71%	0.58%	0.16%	1.36%	0.00%	1.83%	1.63%	3.75%	0.69%	0.00%	3.23%	1.30%	0.28%	0.21%	0.00%	0.77%	0.29%	0.42%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	90	2	0	2	1	0	0	1	1	1	3	5	0	1	0	1	2	0	1	3	0	0	0	2	7	0	2	1	0	2	0	1	2	2	0	4	3	0	3	2	0	3	0	0	0	0	0	1	0	0	0	0	1	1	1	0	1	0	1	0	0	0	0	0	2	0	1	0	0	0	0	0	2	7	0	0	0	0	0	0	0	1	1	0	1	3	0	1	1	0	0	0	1	1	0	0	0	0	0	0	2	0	1	1	0									
