Выборы Президента Российской Федерации																																							
																																							
Наименование Избирательной комиссии:    Хохольская																																							
																																							
Итоги голосования 																																							
																																							
		Сумма	УИК №3801	УИК №3802	УИК №3803	УИК №3804	УИК №3805	УИК №3806	УИК №3807	УИК №3808	УИК №3809	УИК №3810	УИК №3811	УИК №3812	УИК №3813	УИК №3814	УИК №3815	УИК №3816	УИК №3817	УИК №3818	УИК №3819	УИК №3820	УИК №3821	УИК №3822	УИК №3823	УИК №3824	УИК №3825	УИК №3826	УИК №3827	УИК №3828	УИК №3829	УИК №3830	УИК №3831	УИК  3832					
		18.72%	26.06%	19.67%	16.91%	25.84%	17.39%	19.56%	23.75%	17.96%	12.56%	16.41%	34.31%	8.30%	9.79%	9.36%	12.15%	8.75%	9.83%	17.23%	14.63%	18.24%	24.46%	29.16%	22.07%	15.94%	15.44%	10.26%	11.11%	17.79%	28.07%	19.87%	16.85%	23.34%					
																																							
24	Против всех	255	27	19	6	15	5	18	1	12	6	2	2	1	4	6	2	1	1	1	2	25	4	23	16	7	12	2	10	11	7	0	0	7					
		1.28%	2.00%	2.43%	0.98%	1.25%	1.98%	2.10%	0.38%	1.70%	1.32%	0.38%	1.46%	0.38%	1.03%	1.37%	0.51%	0.29%	0.21%	0.19%	0.68%	2.78%	0.79%	3.06%	1.82%	0.75%	0.85%	1.71%	1.18%	0.89%	1.18%	0.00%	0.00%	1.50%					
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
