Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																																	
Дата голосования: 18.09.2016																																																																																	
																																																																																	
Наименование Избирательной комиссии:    Канашская																																																																																	
																																																																																	
Сводная таблица итогов голосования по федеральному избирательному округу																																																																																	
																																																																																	
		Сумма	УИК №2701	УИК №2702	УИК №2703	УИК №2704	УИК №2705	УИК №2706	УИК №2707	УИК №2708	УИК №2709	УИК №2710	УИК №2711	УИК №2712	УИК №2713	УИК №2714	УИК №2715	УИК №2716	УИК №2717	УИК №2718	УИК №2719	УИК №2720	УИК №2721	УИК №2722	УИК №2723	УИК №2724	УИК №2725	УИК №2726	УИК №2727	УИК №2728	УИК №2729	УИК №2730	УИК №2731	УИК №2732	УИК №2733	УИК №2734	УИК №2735	УИК №2736	УИК №2737	УИК №2738	УИК №2739	УИК №2740	УИК №2741	УИК №2742	УИК №2743	УИК №2744	УИК №2745	УИК №2746	УИК №2747	УИК №2748	УИК №2749	УИК №2750	УИК №2751	УИК №2752	УИК №2753	УИК №2754	УИК №2755	УИК №2756	УИК №2757	УИК №2758	УИК №2759	УИК №2760	УИК №2761	УИК №2762	УИК №2763	УИК №2764	УИК №2765	УИК №2766	УИК №2767	УИК №2768	УИК №2769	УИК №2770									
		60.90%	49.06%	54.24%	61.71%	65.93%	52.46%	61.90%	58.22%	67.39%	74.38%	56.15%	56.37%	66.67%	48.81%	58.99%	65.53%	76.17%	54.35%	47.15%	62.73%	61.47%	61.05%	48.86%	63.74%	58.86%	64.76%	62.70%	48.93%	46.70%	60.82%	56.58%	61.26%	62.22%	76.47%	70.71%	57.63%	57.47%	69.37%	61.35%	52.02%	58.47%	67.86%	65.79%	60.32%	55.49%	73.05%	65.41%	58.80%	48.30%	40.89%	65.30%	63.37%	57.25%	60.08%	60.00%	62.75%	72.36%	59.57%	70.46%	70.39%	75.26%	75.00%	68.63%	69.39%	58.82%	50.83%	65.02%	81.37%	55.23%	46.67%	57.39%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	98	11	3	1	0	0	2	1	1	0	0	1	1	0	4	1	0	4	3	2	3	1	0	2	1	0	1	2	2	1	1	0	1	0	0	0	1	2	0	0	0	1	1	9	0	0	2	0	3	0	0	0	1	3	2	2	0	0	3	2	0	1	4	0	3	4	0	0	3	0	1									
		0.50%	1.88%	0.51%	0.24%	0.00%	0.00%	1.06%	0.33%	0.72%	0.00%	0.00%	0.39%	0.55%	0.00%	1.18%	0.38%	0.00%	0.30%	1.22%	1.82%	0.71%	0.29%	0.00%	2.20%	0.22%	0.00%	0.79%	0.86%	1.02%	1.03%	1.32%	0.00%	0.74%	0.00%	0.00%	0.00%	0.57%	0.51%	0.00%	0.00%	0.00%	0.71%	0.17%	1.43%	0.00%	0.00%	0.47%	0.00%	0.49%	0.00%	0.00%	0.00%	0.72%	0.59%	0.67%	0.40%	0.00%	0.00%	1.07%	1.12%	0.00%	0.52%	0.74%	0.00%	0.80%	2.21%	0.00%	0.00%	0.98%	0.00%	0.28%									
24	"6. Политическая партия ""Гражданская Платформа"""	88	5	4	4	0	0	1	0	2	0	1	1	0	1	4	2	1	1	2	1	4	2	2	1	1	0	1	1	1	0	0	0	0	0	0	0	0	2	1	1	3	1	4	5	1	3	3	1	2	2	1	0	0	2	2	1	1	1	1	0	0	0	1	0	2	3	1	0	0	0	0									
		0.45%	0.85%	0.68%	0.98%	0.00%	0.00%	0.53%	0.00%	1.45%	0.00%	0.77%	0.39%	0.00%	1.19%	1.18%	0.76%	0.52%	0.08%	0.81%	0.91%	0.95%	0.58%	2.27%	1.10%	0.22%	0.00%	0.79%	0.43%	0.51%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.51%	0.61%	0.45%	2.54%	0.71%	0.70%	0.79%	0.61%	0.40%	0.71%	0.43%	0.32%	0.89%	0.46%	0.00%	0.00%	0.40%	0.67%	0.20%	0.50%	0.53%	0.36%	0.00%	0.00%	0.00%	0.18%	0.00%	0.53%	1.66%	0.35%	0.00%	0.00%	0.00%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	1906	84	58	44	11	17	23	30	8	8	20	29	16	22	36	16	7	112	27	10	36	29	11	8	41	13	13	19	16	11	4	23	11	7	14	22	17	34	14	17	7	18	59	81	15	49	50	34	82	34	14	14	20	52	37	40	17	20	18	17	24	11	50	9	37	26	24	10	35	20	44									
		9.73%	14.36%	9.83%	10.73%	12.09%	9.29%	12.17%	9.87%	5.80%	6.61%	15.38%	11.20%	8.74%	26.19%	10.62%	6.06%	3.63%	8.48%	10.98%	9.09%	8.51%	8.43%	12.50%	8.79%	8.97%	12.38%	10.32%	8.15%	8.12%	11.34%	5.26%	10.36%	8.15%	4.12%	10.00%	12.43%	9.77%	8.61%	8.59%	7.62%	5.93%	12.86%	10.30%	12.86%	9.15%	6.60%	11.76%	14.59%	13.29%	15.11%	6.39%	5.76%	14.49%	10.28%	12.33%	7.97%	8.54%	10.64%	6.41%	9.50%	6.32%	5.73%	9.23%	6.12%	9.89%	14.36%	8.48%	3.27%	11.44%	16.67%	12.50%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	93	3	4	4	0	1	0	0	1	0	1	0	1	2	5	2	2	7	2	0	3	1	1	0	1	1	2	0	1	1	0	0	0	0	0	1	1	3	0	2	0	1	4	3	1	2	0	3	4	1	0	0	1	2	0	2	1	1	2	0	1	0	0	0	3	1	1	2	2	0	2									
		0.47%	0.51%	0.68%	0.98%	0.00%	0.55%	0.00%	0.00%	0.72%	0.00%	0.77%	0.00%	0.55%	2.38%	1.47%	0.76%	1.04%	0.53%	0.81%	0.00%	0.71%	0.29%	1.14%	0.00%	0.22%	0.95%	1.59%	0.00%	0.51%	1.03%	0.00%	0.00%	0.00%	0.00%	0.00%	0.56%	0.57%	0.76%	0.00%	0.90%	0.00%	0.71%	0.70%	0.48%	0.61%	0.27%	0.00%	1.29%	0.65%	0.44%	0.00%	0.00%	0.72%	0.40%	0.00%	0.40%	0.50%	0.53%	0.71%	0.00%	0.26%	0.00%	0.00%	0.00%	0.80%	0.55%	0.35%	0.65%	0.65%	0.00%	0.57%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	97	5	2	1	0	1	1	3	0	1	1	1	2	1	1	3	0	12	2	0	2	1	0	0	2	0	1	0	2	1	0	0	0	0	0	1	0	2	0	2	1	0	1	2	1	2	2	1	4	3	0	2	1	6	0	4	0	0	2	0	2	1	1	0	4	2	1	2	0	0	1									
		0.50%	0.85%	0.34%	0.24%	0.00%	0.55%	0.53%	0.99%	0.00%	0.83%	0.77%	0.39%	1.09%	1.19%	0.29%	1.14%	0.00%	0.91%	0.81%	0.00%	0.47%	0.29%	0.00%	0.00%	0.44%	0.00%	0.79%	0.00%	1.02%	1.03%	0.00%	0.00%	0.00%	0.00%	0.00%	0.56%	0.00%	0.51%	0.00%	0.90%	0.85%	0.00%	0.17%	0.32%	0.61%	0.27%	0.47%	0.43%	0.65%	1.33%	0.00%	0.82%	0.72%	1.19%	0.00%	0.80%	0.00%	0.00%	0.71%	0.00%	0.53%	0.52%	0.18%	0.00%	1.07%	1.10%	0.35%	0.65%	0.00%	0.00%	0.28%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	32	2	1	0	1	0	0	2	0	1	0	1	0	1	2	1	0	4	1	1	1	1	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	1	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	1									
		0.16%	0.34%	0.17%	0.00%	1.10%	0.00%	0.00%	0.66%	0.00%	0.83%	0.00%	0.39%	0.00%	1.19%	0.59%	0.38%	0.00%	0.30%	0.41%	0.91%	0.24%	0.29%	0.00%	0.00%	0.00%	0.00%	0.79%	0.00%	0.00%	0.00%	0.00%	0.00%	0.74%	0.59%	0.00%	0.00%	0.00%	0.00%	0.61%	0.00%	0.85%	0.00%	0.00%	0.00%	0.00%	0.13%	0.00%	0.00%	0.16%	0.00%	0.00%	0.00%	0.00%	0.00%	0.33%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.55%	0.00%	0.33%	0.33%	0.00%	0.28%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	93	4	5	1	0	2	1	2	1	0	1	0	0	0	0	0	1	7	1	0	4	1	0	0	4	0	1	0	1	0	0	3	0	0	0	0	1	1	0	1	1	0	6	3	3	4	1	2	5	0	0	1	0	1	0	5	0	0	1	1	1	2	0	0	2	1	2	1	4	2	1									
		0.47%	0.68%	0.85%	0.24%	0.00%	1.09%	0.53%	0.66%	0.72%	0.00%	0.77%	0.00%	0.00%	0.00%	0.00%	0.00%	0.52%	0.53%	0.41%	0.00%	0.95%	0.29%	0.00%	0.00%	0.88%	0.00%	0.79%	0.00%	0.51%	0.00%	0.00%	1.35%	0.00%	0.00%	0.00%	0.00%	0.57%	0.25%	0.00%	0.45%	0.85%	0.00%	1.05%	0.48%	1.83%	0.54%	0.24%	0.86%	0.81%	0.00%	0.00%	0.41%	0.00%	0.20%	0.00%	0.99%	0.00%	0.00%	0.36%	0.56%	0.26%	1.04%	0.00%	0.00%	0.53%	0.55%	0.71%	0.33%	1.31%	1.67%	0.28%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	2234	77	84	40	4	30	11	28	15	8	16	34	24	1	47	19	10	172	28	12	40	54	17	11	65	7	14	56	43	14	17	31	21	18	13	25	22	29	24	40	23	11	46	47	17	48	27	15	92	30	24	35	15	61	45	55	17	18	28	18	32	18	47	23	52	17	17	21	35	21	58									
		11.41%	13.16%	14.24%	9.76%	4.40%	16.39%	5.82%	9.21%	10.87%	6.61%	12.31%	13.13%	13.11%	1.19%	13.86%	7.20%	5.18%	13.02%	11.38%	10.91%	9.46%	15.70%	19.32%	12.09%	14.22%	6.67%	11.11%	24.03%	21.83%	14.43%	22.37%	13.96%	15.56%	10.59%	9.29%	14.12%	12.64%	7.34%	14.72%	17.94%	19.49%	7.86%	8.03%	7.46%	10.37%	6.47%	6.35%	6.44%	14.91%	13.33%	10.96%	14.40%	10.87%	12.06%	15.00%	10.96%	8.54%	9.57%	9.96%	10.06%	8.42%	9.38%	8.67%	15.65%	13.90%	9.39%	6.01%	6.86%	11.44%	17.50%	16.48%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	89	6	1	5	0	1	1	2	0	0	0	2	0	0	3	1	0	9	1	3	1	2	0	0	1	1	0	1	1	0	0	1	0	0	2	2	1	1	4	2	0	0	0	4	3	0	0	2	2	2	0	1	1	1	1	1	0	2	0	0	1	0	2	0	1	2	0	2	2	2	2									
		0.45%	1.03%	0.17%	1.22%	0.00%	0.55%	0.53%	0.66%	0.00%	0.00%	0.00%	0.77%	0.00%	0.00%	0.88%	0.38%	0.00%	0.68%	0.41%	2.73%	0.24%	0.58%	0.00%	0.00%	0.22%	0.95%	0.00%	0.43%	0.51%	0.00%	0.00%	0.45%	0.00%	0.00%	1.43%	1.13%	0.57%	0.25%	2.45%	0.90%	0.00%	0.00%	0.00%	0.63%	1.83%	0.00%	0.00%	0.86%	0.32%	0.89%	0.00%	0.41%	0.72%	0.20%	0.33%	0.20%	0.00%	1.06%	0.00%	0.00%	0.26%	0.00%	0.37%	0.00%	0.27%	1.10%	0.00%	0.65%	0.65%	1.67%	0.57%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	1221	39	47	22	4	10	15	27	5	5	5	9	5	5	17	18	7	168	28	3	24	8	7	6	33	2	6	11	11	4	0	4	5	3	3	8	7	8	8	26	1	6	49	60	21	49	24	17	49	32	14	4	10	17	11	35	12	13	14	5	12	3	33	3	17	10	38	5	16	6	12									
		6.24%	6.67%	7.97%	5.37%	4.40%	5.46%	7.94%	8.88%	3.62%	4.13%	3.85%	3.47%	2.73%	5.95%	5.01%	6.82%	3.63%	12.72%	11.38%	2.73%	5.67%	2.33%	7.95%	6.59%	7.22%	1.90%	4.76%	4.72%	5.58%	4.12%	0.00%	1.80%	3.70%	1.76%	2.14%	4.52%	4.02%	2.03%	4.91%	11.66%	0.85%	4.29%	8.55%	9.52%	12.80%	6.60%	5.65%	7.30%	7.94%	14.22%	6.39%	1.65%	7.25%	3.36%	3.67%	6.97%	6.03%	6.91%	4.98%	2.79%	3.16%	1.56%	6.09%	2.04%	4.55%	5.52%	13.43%	1.63%	5.23%	5.00%	3.41%									
																																																																																	
																																																																																	
																																																																																	
																																																																																	
																																																																																	
																																																																																	
																																																																																	
																																																																																	
																																																																																	
																																																																																	
																																																																																	
																																																																																	
																																																																																	
																																																																																	
																																																																																	
																																																																																	
																																																																																	
																																																																																	
																																																																																	
																																																																																	
																																																																																	
																																																																																	
