Выборы Президента Российской Федерации																																											
																																											
Наименование Избирательной комиссии:    Лихославльская																																											
																																											
Итоги голосования 																																											
																																											
		Сумма	УИК  625	УИК  626	УИК  627	УИК  628	УИК  629	УИК  630	УИК  631	УИК  632	УИК  633	УИК  634	УИК  635	УИК  636	УИК  637	УИК  638	УИК  639	УИК  640	УИК  641	УИК  642	УИК  643	УИК  644	УИК  645	УИК  646	УИК  647	УИК  648	УИК  649	УИК  650	УИК  651	УИК  652	УИК  653	УИК  654	УИК  655	УИК  656	УИК  657	УИК  658	УИК  659	УИК  660					
		2.64%	15.00%	3.39%	1.78%	2.36%	3.06%	0.89%	0.98%	2.77%	2.20%	1.05%	4.14%	2.17%	2.17%	1.68%	2.65%	1.05%	1.08%	2.12%	1.66%	0.00%	1.93%	2.22%	0.83%	2.70%	0.00%	4.89%	0.83%	3.16%	4.00%	1.54%	3.38%	2.12%	4.11%	3.73%	7.14%	0.00%					
19	. Малышкин Олег Александрович	240	0	15	11	8	9	7	0	5	5	5	2	15	13	11	9	1	2	1	6	0	2	6	1	13	0	3	4	4	18	6	15	7	6	20	7	3					
		1.76%	0.00%	2.12%	1.63%	1.11%	1.31%	2.07%	0.00%	1.26%	1.57%	1.75%	1.18%	4.66%	4.71%	2.64%	1.99%	0.35%	0.72%	0.53%	1.99%	0.00%	0.97%	4.44%	0.83%	1.67%	0.00%	0.73%	3.31%	2.11%	2.67%	1.16%	1.88%	0.93%	2.05%	2.57%	1.72%	7.69%					
20	. Миронов Сергей Михайлович	124	0	5	6	6	3	4	0	3	0	4	0	1	4	2	3	1	1	4	3	4	2	2	1	7	3	3	0	1	4	9	18	1	3	12	4	0					
		0.91%	0.00%	0.71%	0.89%	0.83%	0.44%	1.18%	0.00%	0.76%	0.00%	1.40%	0.00%	0.31%	1.45%	0.48%	0.66%	0.35%	0.36%	2.12%	0.99%	1.75%	0.97%	1.48%	0.83%	0.90%	1.15%	0.73%	0.00%	0.53%	0.59%	1.74%	2.25%	0.13%	1.03%	1.54%	0.99%	0.00%					
21	. Путин Владимир Владимирович	10227	15	483	499	534	504	277	64	321	223	228	108	209	199	351	338	256	227	147	247	182	170	105	95	583	212	297	91	139	502	404	588	559	215	545	283	27					
		74.90%	75.00%	68.22%	73.82%	74.27%	73.36%	81.95%	62.75%	80.86%	70.13%	79.72%	63.91%	64.91%	72.10%	84.17%	74.61%	89.20%	81.65%	77.78%	81.79%	79.48%	82.13%	77.78%	79.17%	74.94%	81.54%	72.62%	75.21%	73.16%	74.37%	77.99%	73.50%	74.04%	73.63%	70.14%	69.70%	69.23%					
22	. Хакамада Ирина Муцуовна	299	2	20	14	15	16	2	2	3	8	6	1	4	3	5	16	6	7	4	0	3	1	2	1	29	2	16	4	5	14	12	16	22	8	19	11	0					
		2.19%	10.00%	2.82%	2.07%	2.09%	2.33%	0.59%	1.96%	0.76%	2.52%	2.10%	0.59%	1.24%	1.09%	1.20%	3.53%	2.09%	2.52%	2.12%	0.00%	1.31%	0.48%	1.48%	0.83%	3.73%	0.77%	3.91%	3.31%	2.63%	2.07%	2.32%	2.00%	2.91%	2.74%	2.45%	2.71%	0.00%					
23	. Харитонов Николай Михайлович	1999	0	136	105	123	112	37	35	43	67	34	47	78	45	35	60	18	33	28	35	29	26	14	16	97	38	63	18	30	86	61	108	121	30	126	61	4					
		14.64%	0.00%	19.21%	15.53%	17.11%	16.30%	10.95%	34.31%	10.83%	21.07%	11.89%	27.81%	24.22%	16.30%	8.39%	13.25%	6.27%	11.87%	14.81%	11.59%	12.66%	12.56%	10.37%	13.33%	12.47%	14.62%	15.40%	14.88%	15.79%	12.74%	11.78%	13.50%	16.03%	10.27%	16.22%	15.02%	10.26%					
																																											
24	Против всех	344	0	24	21	15	18	8	0	8	4	2	4	7	6	6	12	2	3	1	4	9	2	2	4	23	5	7	1	4	20	16	24	26	17	26	8	5					
		2.52%	0.00%	3.39%	3.11%	2.09%	2.62%	2.37%	0.00%	2.02%	1.26%	0.70%	2.37%	2.17%	2.17%	1.44%	2.65%	0.70%	1.08%	0.53%	1.32%	3.93%	0.97%	1.48%	3.33%	2.96%	1.92%	1.71%	0.83%	2.11%	2.96%	3.09%	3.00%	3.44%	5.82%	3.35%	1.97%	12.82%					
																																											
																																											
																																											
																																											
																																											
																																											
																																											
																																											
																																											
																																											
																																											
																																											
																																											
																																											
																																											
