Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																							
Дата голосования: 07.12.2003 0:00:00																							
																							
Наименование Избирательной комиссии:    Каа-Хемская																							
																							
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																							
																							
		Сумма	УИК  69	УИК  70	УИК  71	УИК  72	УИК  73	УИК  74	УИК  75	УИК  76	УИК  77	УИК  78	УИК  79	УИК  80	УИК  81	УИК  82	УИК  83	УИК  84					
14	Число погашенных открепительных удостоверений	57	10	0	1	5	0	2	1	14	2	0	1	5	5	5	6	0					
15	Число открепительных удостоверений выданных ТИК	3	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																							
18	"1. ""ЕДИНЕНИЕ"""	176	20	16	28	9	2	17	11	9	16	7	4	2	3	0	23	9					
		3.55%	6.51%	3.99%	8.97%	2.69%	3.27%	7.26%	1.39%	1.17%	5.12%	2.26%	4.21%	1.55%	4.0%	0.0%	5.82%	2.29%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	35	0	0	3	1	0	1	6	13	5	1	3	1	1	0	0	0					
		0.70%	0.0%	0.0%	0.96%	0.29%	0.0%	0.42%	0.75%	1.69%	1.60%	0.32%	3.15%	0.77%	1.33%	0.0%	0.0%	0.0%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	90	6	2	2	2	1	4	24	13	13	6	0	2	2	0	6	7					
		1.81%	1.95%	0.49%	0.64%	0.59%	1.63%	1.70%	3.03%	1.69%	4.16%	1.94%	0.0%	1.55%	2.66%	0.0%	1.51%	1.78%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	57	3	1	1	4	0	0	18	21	1	2	2	2	1	0	1	0					
		1.15%	0.97%	0.24%	0.32%	1.19%	0.0%	0.0%	2.27%	2.74%	0.32%	0.64%	2.10%	1.55%	1.33%	0.0%	0.25%	0.0%					
22	"5. ""За Русь Святую"""	15	0	2	2	1	3	1	3	2	0	0	0	1	0	0	0	0					
		0.30%	0.0%	0.49%	0.64%	0.29%	4.91%	0.42%	0.37%	0.26%	0.0%	0.0%	0.0%	0.77%	0.0%	0.0%	0.0%	0.0%					
23	"6. ""Объединенная Российская партия ""Русь"""	10	1	1	1	0	0	1	5	0	0	0	0	0	0	0	0	1					
		0.20%	0.32%	0.24%	0.32%	0.0%	0.0%	0.42%	0.63%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.25%					
24	"7. ""Новый курс - Автомобильная Россия"""	9	0	0	0	0	0	0	2	0	2	0	0	1	0	4	0	0					
		0.18%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.25%	0.0%	0.64%	0.0%	0.0%	0.77%	0.0%	10.52%	0.0%	0.0%					
25	"8. ""Народно-республиканская партия России"""	2	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0					
		0.04%	0.0%	0.0%	0.0%	0.0%	0.0%	0.42%	0.12%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%					
26	"9. ""Российская экологическая партия ""Зеленые"""	7	0	1	0	0	0	0	4	0	2	0	0	0	0	0	0	0					
		0.14%	0.0%	0.24%	0.0%	0.0%	0.0%	0.0%	0.50%	0.0%	0.64%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%					
27	"10. ""Аграрная партия России"""	113	2	4	4	1	0	5	24	14	5	10	1	2	3	0	16	22					
		2.28%	0.65%	0.99%	1.28%	0.29%	0.0%	2.13%	3.03%	1.83%	1.60%	3.23%	1.05%	1.55%	4.0%	0.0%	4.05%	5.61%					
28	"11. ""Истинные патриоты России"""	3	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0					
		0.06%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.25%	0.0%	0.32%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	16	0	3	2	0	0	1	2	4	0	2	0	0	0	0	2	0					
		0.32%	0.0%	0.74%	0.64%	0.0%	0.0%	0.42%	0.25%	0.52%	0.0%	0.64%	0.0%	0.0%	0.0%	0.0%	0.50%	0.0%					
30	"13. ""Демократическая партия России"""	4	0	0	0	0	0	1	0	2	0	0	0	0	0	1	0	0					
		0.08%	0.0%	0.0%	0.0%	0.0%	0.0%	0.42%	0.0%	0.26%	0.0%	0.0%	0.0%	0.0%	0.0%	2.63%	0.0%	0.0%					
31	"14. ""Великая Россия - Евразийский Союз"""	6	0	0	0	0	0	1	3	1	0	0	1	0	0	0	0	0					
		0.12%	0.0%	0.0%	0.0%	0.0%	0.0%	0.42%	0.37%	0.13%	0.0%	0.0%	1.05%	0.0%	0.0%	0.0%	0.0%	0.0%					
32	"15. ""Партия СЛОН"""	6	1	0	0	0	0	1	0	3	0	0	0	0	0	0	0	1					
		0.12%	0.32%	0.0%	0.0%	0.0%	0.0%	0.42%	0.0%	0.39%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.25%					
33	"16. ""Родина"" (народно-патриотический союз)"""	104	3	3	7	2	0	3	39	38	0	2	0	0	1	0	5	1					
		2.10%	0.97%	0.74%	2.24%	0.59%	0.0%	1.28%	4.93%	4.96%	0.0%	0.64%	0.0%	0.0%	1.33%	0.0%	1.26%	0.25%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	13	1	2	0	0	1	0	2	1	1	2	2	0	0	0	0	1					
		0.26%	0.32%	0.49%	0.0%	0.0%	1.63%	0.0%	0.25%	0.13%	0.32%	0.64%	2.10%	0.0%	0.0%	0.0%	0.0%	0.25%					
35	"18. ""ЛДПР"""	194	2	1	10	12	1	8	55	64	8	5	1	4	1	0	7	15					
		3.91%	0.65%	0.24%	3.20%	3.59%	1.63%	3.41%	6.96%	8.36%	2.56%	1.61%	1.05%	3.10%	1.33%	0.0%	1.77%	3.82%					
36	"19. ""Партия Возрождения России - Российская партия ЖИЗНИ"""	137	9	43	6	11	3	3	21	15	9	4	1	0	0	0	6	6					
		2.76%	2.93%	10.72%	1.92%	3.29%	4.91%	1.28%	2.65%	1.96%	2.88%	1.29%	1.05%	0.0%	0.0%	0.0%	1.51%	1.53%					
37	"20. ""Политическая партия ""Единая Россия"""	3499	225	282	213	277	48	167	482	487	222	241	76	109	60	30	294	286					
		70.70%	73.28%	70.32%	68.26%	82.93%	78.68%	71.36%	61.01%	63.66%	71.15%	77.99%	80.0%	84.49%	80.0%	78.94%	74.43%	72.95%					
38	"21. ""Российская Конституционно-демократическая партия"""	5	0	0	1	0	0	0	3	0	0	0	0	0	0	0	1	0					
		0.10%	0.0%	0.0%	0.32%	0.0%	0.0%	0.0%	0.37%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.25%	0.0%					
39	"22. ""Развитие предпринимательства"""	10	0	1	0	0	0	0	4	4	1	0	0	0	0	0	0	0					
		0.20%	0.0%	0.24%	0.0%	0.0%	0.0%	0.0%	0.50%	0.52%	0.32%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%					
40	"23. ""Коммунистическая партия Российской Федерации (КПРФ)"""	222	17	26	19	7	1	8	31	39	13	19	4	4	1	0	12	21					
		4.48%	5.53%	6.48%	6.08%	2.09%	1.63%	3.41%	3.92%	5.09%	4.16%	6.14%	4.21%	3.10%	1.33%	0.0%	3.03%	5.35%					
																							
41	Против всех	86	0	1	4	3	0	3	24	23	5	4	0	1	2	3	5	8					
		1.73%	0.0%	0.24%	1.28%	0.89%	0.0%	1.28%	3.03%	3.00%	1.60%	1.29%	0.0%	0.77%	2.66%	7.89%	1.26%	2.04%					
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
