Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																																																																		
Дата голосования: 02.12.2007																																																																																																		
																																																																																																		
Наименование Избирательной комиссии:    ТИК Свердловского района г.Перми																																																																																																		
																																																																																																		
Сводная таблица результатов выборов																																																																																																		
																																																																																																		
		Сумма	УИК №3401	УИК №3402	УИК №3403	УИК №3404	УИК №3405	УИК №3406	УИК №3407	УИК №3408	УИК №3409	УИК №3410	УИК №3411	УИК №3412	УИК №3413	УИК №3414	УИК №3415	УИК №3416	УИК №3417	УИК №3418	УИК №3419	УИК №3420	УИК №3421	УИК №3422	УИК №3423	УИК №3424	УИК №3425	УИК №3426	УИК №3427	УИК №3428	УИК №3429	УИК №3430	УИК №3431	УИК №3432	УИК №3433	УИК №3434	УИК №3435	УИК №3436	УИК №3437	УИК №3438	УИК №3439	УИК №3440	УИК №3441	УИК №3442	УИК №3443	УИК №3444	УИК №3445	УИК №3446	УИК №3447	УИК №3448	УИК №3449	УИК №3450	УИК №3451	УИК №3452	УИК №3453	УИК №3454	УИК №3455	УИК №3456	УИК №3457	УИК №3458	УИК №3459	УИК №3460	УИК №3461	УИК №3462	УИК №3463	УИК №3464	УИК №3465	УИК №3466	УИК №3467	УИК №3468	УИК №3469	УИК №3470	УИК №3471	УИК №3472	УИК №3473	УИК №3474	УИК №3475	УИК №3476	УИК №3477	УИК №3478	УИК №3479	УИК №3480	УИК №3481	УИК №3482	УИК №3483	УИК №3484	УИК №3485	УИК №3486	УИК №3487	УИК №3488	УИК №3489	УИК №3490	УИК №3491					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	3440	40	40	40	45	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	60	40	40	40	40	40	40	40	40	40	40	40	40	40	40	55	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	80	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	0	0	0	0	0	0	0					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	2281	38	38	40	45	33	35	33	14	31	39	29	40	14	28	28	25	18	40	23	29	26	28	26	17	21	20	13	44	26	24	21	18	27	28	22	20	35	39	26	27	25	22	45	18	21	19	34	36	28	29	25	24	31	23	18	16	30	29	22	23	14	18	16	33	75	34	33	31	30	20	40	40	28	25	30	27	16	15	24	11	3	27	25	20	0	0	0	0	0	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	1298	13	21	15	21	17	19	12	12	28	8	19	40	14	16	28	15	16	7	14	9	12	8	10	16	9	9	12	18	26	21	10	3	10	9	15	33	8	15	21	10	10	7	8	8	37	5	16	8	8	4	11	8	8	2	12	6	4	19	15	24	8	5	14	31	16	12	15	7	5	9	11	10	18	5	9	9	15	9	6	10	8	13	8	7	19	31	41	10	14	29	55					
14	Число погашенных неиспользованных открепительных удостоверений	1159	2	2	0	0	7	5	7	26	9	1	11	0	26	12	12	15	22	0	17	11	14	12	14	23	19	20	27	16	14	16	19	22	13	12	18	20	5	1	14	13	15	18	10	22	19	21	6	4	12	11	15	16	9	17	22	24	10	11	18	17	26	22	24	7	5	6	7	9	10	20	0	0	12	15	10	13	24	25	16	29	37	13	15	20	0	0	0	0	0	0	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	22	1	1	0	2	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	1	0	1	0	1	0	1	0	1	1	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																																																																		
18	1.Политическая партия «Аграрная партия России»	2585	31	47	49	45	49	35	34	16	28	40	38	41	27	28	40	20	29	26	21	33	13	26	33	30	23	25	23	19	19	33	32	27	35	49	44	29	44	29	24	44	28	20	51	25	36	40	22	24	26	27	26	16	31	22	21	30	48	18	34	30	28	23	32	32	50	37	37	33	35	28	35	21	30	34	37	37	14	21	20	11	2	29	39	26	4	7	2	0	4	5	19					
		2.95%	2.72%	3.56%	3.59%	2.74%	3.52%	2.76%	2.39%	1.84%	2.42%	3.56%	3.19%	2.73%	3.12%	3.46%	3.59%	2.49%	4.48%	4.39%	2.80%	4.62%	2.07%	2.75%	3.13%	3.49%	2.60%	3.42%	2.79%	1.64%	1.83%	3.23%	3.44%	3.54%	2.69%	3.92%	3.56%	2.65%	3.87%	2.39%	2.42%	3.87%	2.56%	2.36%	4.03%	2.81%	3.22%	3.73%	2.19%	2.09%	2.40%	2.21%	2.76%	2.11%	2.73%	2.24%	2.53%	3.44%	3.92%	2.72%	3.08%	3.42%	3.10%	3.33%	3.07%	2.71%	8.10%	3.08%	2.61%	3.09%	3.05%	2.65%	2.50%	2.21%	2.20%	2.66%	2.89%	3.17%	2.04%	2.83%	3.58%	2.32%	0.66%	2.85%	2.95%	1.95%	3.36%	2.49%	1.43%	0.00%	2.16%	2.94%	4.50%					
19	2.Всероссийская политическая партия «Гражданская Сила»	1842	31	36	34	44	38	35	34	31	37	32	31	36	34	18	35	17	18	20	20	18	15	25	17	25	27	18	19	39	34	26	12	19	29	18	34	18	15	28	20	13	19	10	26	10	26	15	12	19	19	17	13	13	20	14	18	14	24	8	32	14	15	14	20	22	9	23	23	17	17	20	14	14	33	29	33	15	13	28	10	8	4	10	21	13	3	5	2	2	3	3	6					
		2.10%	2.72%	2.72%	2.49%	2.68%	2.73%	2.76%	2.39%	3.57%	3.20%	2.84%	2.60%	2.40%	3.93%	2.22%	3.14%	2.12%	2.78%	3.38%	2.67%	2.52%	2.39%	2.65%	1.61%	2.91%	3.05%	2.46%	2.31%	3.36%	3.28%	2.54%	1.29%	2.49%	2.23%	1.44%	2.75%	1.64%	1.32%	2.30%	2.02%	1.14%	1.74%	1.18%	2.05%	1.12%	2.33%	1.40%	1.20%	1.65%	1.75%	1.39%	1.38%	1.72%	1.76%	1.43%	2.17%	1.61%	1.96%	1.21%	2.90%	1.59%	1.66%	2.03%	1.92%	1.87%	1.46%	1.91%	1.63%	1.59%	1.48%	1.89%	0.99%	1.47%	2.42%	2.27%	2.57%	1.29%	1.90%	3.77%	1.79%	1.68%	1.32%	0.98%	1.59%	0.97%	2.52%	1.78%	1.43%	4.17%	1.62%	1.76%	1.42%					
20	3.Политическая партия «Демократическая партия России»	182	0	3	1	9	2	0	4	4	3	3	2	1	4	0	2	1	5	1	2	1	1	3	4	1	0	7	2	5	1	2	3	4	3	6	3	1	1	0	2	2	1	0	3	3	1	1	0	5	1	3	2	2	3	3	1	3	2	1	2	4	3	2	3	2	0	1	2	1	3	3	2	0	0	2	2	2	1	1	1	1	0	2	0	2	0	1	0	0	1	0	4					
		0.21%	0.00%	0.23%	0.07%	0.55%	0.14%	0.00%	0.28%	0.46%	0.26%	0.27%	0.17%	0.07%	0.46%	0.00%	0.18%	0.12%	0.77%	0.17%	0.27%	0.14%	0.16%	0.32%	0.38%	0.12%	0.00%	0.96%	0.24%	0.43%	0.10%	0.20%	0.32%	0.52%	0.23%	0.48%	0.24%	0.09%	0.09%	0.00%	0.20%	0.18%	0.09%	0.00%	0.24%	0.34%	0.09%	0.09%	0.00%	0.43%	0.09%	0.25%	0.21%	0.26%	0.26%	0.31%	0.12%	0.34%	0.16%	0.15%	0.18%	0.46%	0.33%	0.29%	0.29%	0.17%	0.00%	0.08%	0.14%	0.09%	0.26%	0.28%	0.14%	0.00%	0.00%	0.16%	0.16%	0.17%	0.15%	0.13%	0.18%	0.21%	0.00%	0.20%	0.00%	0.15%	0.00%	0.36%	0.00%	0.00%	0.54%	0.00%	0.95%					
21	4.Политическая партия «Коммунистическая партия Российской Федерации»	10297	152	188	198	179	202	127	184	98	178	122	192	178	144	145	161	191	90	65	84	65	77	106	135	101	134	122	137	143	134	110	152	85	148	141	132	100	166	124	100	130	128	61	129	79	171	114	115	168	142	140	127	75	121	154	93	95	235	42	148	96	88	65	100	125	41	118	162	91	112	105	162	98	117	142	160	142	55	51	45	33	35	66	104	116	4	24	17	8	22	14	22					
		11.76%	13.33%	14.22%	14.49%	10.89%	14.50%	10.01%	12.91%	11.29%	15.38%	10.84%	16.12%	11.85%	16.63%	17.90%	14.45%	23.79%	13.89%	10.98%	11.20%	9.09%	12.28%	11.23%	12.78%	11.76%	15.16%	16.69%	16.65%	12.34%	12.93%	10.75%	16.36%	11.15%	11.39%	11.28%	10.67%	9.13%	14.61%	10.21%	10.08%	11.43%	11.69%	7.21%	10.19%	8.89%	15.30%	10.64%	11.47%	14.61%	13.11%	11.47%	13.50%	9.89%	10.65%	15.70%	11.22%	10.89%	19.17%	6.34%	13.39%	10.93%	9.75%	9.42%	9.61%	10.60%	6.65%	9.81%	11.45%	8.51%	9.75%	9.94%	11.55%	10.32%	8.58%	11.09%	12.48%	12.17%	8.02%	6.87%	8.06%	6.95%	11.59%	6.49%	7.88%	8.70%	3.36%	8.54%	12.14%	16.67%	11.89%	8.24%	5.21%					
22	5.Политическая партия «СОЮЗ ПРАВЫХ СИЛ»	3534	59	75	67	133	68	47	63	70	101	61	84	68	45	58	68	42	47	31	16	31	52	42	76	53	47	57	64	80	70	35	28	20	45	52	54	43	49	39	37	42	20	14	33	24	38	17	33	33	29	35	25	20	38	20	24	25	38	16	36	18	21	9	33	36	6	38	25	23	29	28	51	31	54	49	52	55	26	18	26	13	7	36	48	47	3	4	1	1	4	2	3					
		4.03%	5.18%	5.67%	4.90%	8.09%	4.88%	3.70%	4.42%	8.06%	8.73%	5.42%	7.05%	4.53%	5.20%	7.16%	6.10%	5.23%	7.25%	5.24%	2.13%	4.34%	8.29%	4.45%	7.20%	6.17%	5.32%	7.80%	7.78%	6.90%	6.76%	3.42%	3.01%	2.62%	3.46%	4.16%	4.37%	3.93%	4.31%	3.21%	3.73%	3.69%	1.83%	1.65%	2.61%	2.70%	3.40%	1.59%	3.29%	2.87%	2.68%	2.87%	2.66%	2.64%	3.35%	2.04%	2.90%	2.87%	3.10%	2.42%	3.26%	2.05%	2.33%	1.30%	3.17%	3.05%	0.97%	3.16%	1.77%	2.15%	2.52%	2.65%	3.64%	3.26%	3.96%	3.83%	4.06%	4.71%	3.79%	2.43%	4.66%	2.74%	2.32%	3.54%	3.64%	3.52%	2.52%	1.42%	0.71%	2.08%	2.16%	1.18%	0.71%					
23	6.Политическая партия «Партия социальной справедливости»	233	3	3	5	5	11	3	5	2	2	5	1	2	1	2	3	3	2	3	1	1	3	2	3	3	2	0	3	3	3	4	5	3	1	0	0	5	0	3	1	6	4	3	4	5	0	0	2	2	1	3	2	4	4	1	1	5	5	2	2	5	1	4	6	4	1	3	3	2	4	5	6	0	3	3	5	3	0	2	0	0	0	1	1	4	0	2	0	1	0	1	0					
		0.27%	0.26%	0.23%	0.37%	0.30%	0.79%	0.24%	0.35%	0.23%	0.17%	0.44%	0.08%	0.13%	0.12%	0.25%	0.27%	0.37%	0.31%	0.51%	0.13%	0.14%	0.48%	0.21%	0.28%	0.35%	0.23%	0.00%	0.36%	0.26%	0.29%	0.39%	0.54%	0.39%	0.08%	0.00%	0.00%	0.46%	0.00%	0.25%	0.10%	0.53%	0.37%	0.35%	0.32%	0.56%	0.00%	0.00%	0.20%	0.17%	0.09%	0.25%	0.21%	0.53%	0.35%	0.10%	0.12%	0.57%	0.41%	0.30%	0.18%	0.57%	0.11%	0.58%	0.58%	0.34%	0.16%	0.25%	0.21%	0.19%	0.35%	0.47%	0.43%	0.00%	0.22%	0.23%	0.39%	0.26%	0.00%	0.27%	0.00%	0.00%	0.00%	0.10%	0.08%	0.30%	0.00%	0.71%	0.00%	2.08%	0.00%	0.59%	0.00%					
24	7.Политическая партия «Либерально-демократическая партия России»	10139	107	137	146	170	135	161	156	85	103	122	113	163	68	77	109	66	63	75	84	87	67	105	125	88	89	60	86	138	119	101	89	97	152	161	152	129	144	150	130	134	146	121	140	121	97	125	122	127	154	124	104	97	158	95	116	107	128	121	105	86	104	70	134	164	84	153	169	136	126	132	187	126	162	164	148	121	99	76	70	66	43	130	209	192	19	25	11	6	18	12	46					
		11.58%	9.39%	10.36%	10.69%	10.35%	9.69%	12.69%	10.95%	9.79%	8.90%	10.84%	9.49%	10.85%	7.85%	9.51%	9.78%	8.22%	9.72%	12.67%	11.20%	12.17%	10.69%	11.12%	11.84%	10.24%	10.07%	8.21%	10.45%	11.91%	11.49%	9.87%	9.58%	12.73%	11.70%	12.88%	12.29%	11.78%	12.68%	12.35%	13.10%	11.79%	13.33%	14.30%	11.06%	13.61%	8.68%	11.67%	12.16%	11.04%	14.22%	10.16%	11.05%	12.80%	13.91%	9.68%	13.99%	12.27%	10.44%	18.28%	9.50%	9.79%	11.52%	10.14%	12.87%	13.91%	13.61%	12.72%	11.94%	12.72%	10.97%	12.50%	13.34%	13.26%	11.88%	12.81%	11.54%	10.37%	14.43%	10.24%	12.54%	13.89%	14.24%	12.78%	15.83%	14.39%	15.97%	8.90%	7.86%	12.50%	9.73%	7.06%	10.90%					
25	8.Политическая партия «СПРАВЕДЛИВАЯ РОССИЯ: РОДИНА/ПЕНСИОНЕРЫ/ЖИЗНЬ»	6886	77	98	106	105	97	93	95	86	87	105	88	130	86	61	129	76	50	47	69	63	69	69	84	79	69	77	65	93	72	96	86	81	128	83	91	83	83	106	99	91	87	84	113	86	95	78	84	90	79	88	83	33	134	80	62	59	100	47	107	78	77	49	77	74	27	82	104	78	78	81	95	66	86	111	115	79	54	44	24	50	14	53	81	99	3	11	7	7	10	8	23					
		7.86%	6.75%	7.41%	7.76%	6.39%	6.96%	7.33%	6.67%	9.91%	7.52%	9.33%	7.39%	8.66%	9.93%	7.53%	11.58%	9.46%	7.72%	7.94%	9.20%	8.81%	11.00%	7.31%	7.95%	9.20%	7.81%	10.53%	7.90%	8.02%	6.95%	9.38%	9.26%	10.63%	9.85%	6.64%	7.36%	7.58%	7.31%	8.72%	9.98%	8.00%	7.95%	9.93%	8.93%	9.67%	8.50%	7.28%	8.37%	7.83%	7.29%	7.21%	8.82%	4.35%	11.80%	8.15%	7.48%	6.77%	8.16%	7.10%	9.68%	8.88%	8.53%	7.10%	7.40%	6.28%	4.38%	6.82%	7.35%	7.30%	6.79%	7.67%	6.78%	6.95%	6.30%	8.67%	8.97%	6.77%	7.87%	5.93%	4.30%	10.53%	4.64%	5.21%	6.14%	7.42%	2.52%	3.91%	5.00%	14.58%	5.41%	4.71%	5.45%					
26	9.Политическая партия «ПАТРИОТЫ РОССИИ»	902	16	14	14	18	25	12	17	13	16	15	5	21	17	10	16	11	7	11	8	9	3	10	13	12	12	6	7	13	13	14	5	7	11	13	7	11	12	14	8	9	3	3	9	12	11	11	9	10	11	9	9	3	8	10	6	3	20	8	18	5	2	7	7	10	7	8	11	12	11	10	16	16	17	10	17	15	6	7	9	3	1	6	9	19	0	1	1	0	2	1	8					
		1.03%	1.40%	1.06%	1.02%	1.10%	1.79%	0.95%	1.19%	1.50%	1.38%	1.33%	0.42%	1.40%	1.96%	1.23%	1.44%	1.37%	1.08%	1.86%	1.07%	1.26%	0.48%	1.06%	1.23%	1.40%	1.36%	0.82%	0.85%	1.12%	1.25%	1.37%	0.54%	0.92%	0.85%	1.04%	0.57%	1.00%	1.06%	1.15%	0.81%	0.79%	0.27%	0.35%	0.71%	1.35%	0.98%	1.03%	0.90%	0.87%	1.02%	0.74%	0.96%	0.40%	0.70%	1.02%	0.72%	0.34%	1.63%	1.21%	1.63%	0.57%	0.22%	1.01%	0.67%	0.85%	1.13%	0.67%	0.78%	1.12%	0.96%	0.95%	1.14%	1.68%	1.25%	0.78%	1.33%	1.29%	0.87%	0.94%	1.61%	0.63%	0.33%	0.59%	0.68%	1.42%	0.00%	0.36%	0.71%	0.00%	1.08%	0.59%	1.90%					
27	10.Всероссийская политическая партия «ЕДИНАЯ РОССИЯ»	47202	611	647	678	818	686	678	777	407	527	568	551	785	388	379	480	332	291	285	379	375	272	507	514	428	446	308	366	573	507	549	491	389	709	666	654	628	568	673	533	609	622	493	710	495	605	626	572	624	584	720	512	472	589	550	457	496	578	379	579	517	530	425	583	670	381	713	838	642	696	602	786	542	828	691	656	643	393	463	333	275	187	667	775	790	78	192	94	20	112	123	262					
		53.89%	53.60%	48.94%	49.63%	49.79%	49.25%	53.43%	54.53%	46.89%	45.55%	50.49%	46.26%	52.26%	44.80%	46.79%	43.09%	41.34%	44.91%	48.14%	50.53%	52.45%	43.38%	53.71%	48.67%	49.83%	50.45%	42.13%	44.47%	49.44%	48.94%	53.67%	52.85%	51.05%	54.58%	53.28%	52.87%	57.35%	50.00%	55.39%	53.73%	53.56%	56.80%	58.27%	56.08%	55.68%	54.11%	58.45%	57.03%	54.26%	53.92%	58.97%	54.41%	62.27%	51.85%	56.07%	55.13%	56.88%	47.15%	57.25%	52.40%	58.88%	58.69%	61.59%	56.00%	56.83%	61.75%	59.27%	59.22%	60.06%	60.57%	57.01%	56.06%	57.05%	60.70%	53.98%	51.17%	55.10%	57.29%	62.40%	59.68%	57.89%	61.92%	65.59%	58.71%	59.22%	65.55%	68.33%	67.14%	41.67%	60.54%	72.35%	62.09%					
28	11.Политическая партия «Российская объединенная демократическая партия «ЯБЛОКО»	2685	38	61	53	97	70	45	42	46	59	44	66	63	40	25	57	38	34	24	27	22	43	37	44	33	29	42	42	42	50	39	17	22	19	29	53	22	40	36	28	36	23	22	32	19	30	27	25	38	30	35	27	13	18	21	20	25	40	13	30	16	24	9	35	24	2	18	30	23	24	27	34	23	23	28	37	34	13	21	15	10	4	10	11	15	4	6	2	3	3	1	14					
		3.07%	3.33%	4.61%	3.88%	5.90%	5.03%	3.55%	2.95%	5.30%	5.10%	3.91%	5.54%	4.19%	4.62%	3.09%	5.12%	4.73%	5.25%	4.05%	3.60%	3.08%	6.86%	3.92%	4.17%	3.84%	3.28%	5.75%	5.10%	3.62%	4.83%	3.81%	1.83%	2.89%	1.46%	2.32%	4.28%	2.01%	3.52%	2.96%	2.82%	3.17%	2.10%	2.60%	2.53%	2.14%	2.68%	2.52%	2.49%	3.30%	2.77%	2.87%	2.87%	1.72%	1.58%	2.14%	2.41%	2.87%	3.26%	1.96%	2.71%	1.82%	2.66%	1.30%	3.36%	2.04%	0.32%	1.50%	2.12%	2.15%	2.09%	2.56%	2.43%	2.42%	1.69%	2.19%	2.89%	2.91%	1.90%	2.83%	2.69%	2.11%	1.32%	0.98%	0.83%	1.12%	3.36%	2.14%	1.43%	6.25%	1.62%	0.59%	3.32%					
																																																																																																		
																																																																																																		
																																																																																																		
																																																																																																		
																																																																																																		
																																																																																																		
																																																																																																		
																																																																																																		
																																																																																																		
																																																																																																		
																																																																																																		
																																																																																																		
																																																																																																		
																																																																																																		
																																																																																																		
																																																																																																		
																																																																																																		
																																																																																																		
