Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																								
Дата голосования: 07.12.2003 0:00:00																																								
																																								
Наименование Избирательной комиссии:    Чердынская																																								
																																								
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																								
																																								
		Сумма	УИК  4201	УИК  4202	УИК  4203	УИК №4204	УИК №4205	УИК №4206	УИК №4207	УИК №4208	УИК №4209	УИК №4210	УИК №4211	УИК №4213	УИК №4214	УИК №4215	УИК №4216	УИК №4217	УИК №4218	УИК №4219	УИК №4220	УИК №4221	УИК №4222	УИК №4223	УИК №4224	УИК №4225	УИК №4226	УИК №4227	УИК №4228	УИК №4229	УИК №4230	УИК №4231	УИК №4232	УИК №4233	УИК №4234					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	219	30	30	25	10	5	3	3	10	3	3	3	15	3	3	5	3	5	3	3	5	5	3	3	3	5	3	8	3	3	3	5	3	2					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	138	18	26	25	6	1	0	0	10	2	0	0	11	0	0	5	1	2	3	0	5	2	2	0	0	3	1	8	2	2	0	3	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	100	16	4	11	1	2	1	2	13	3	1	1	10	1	1	3	1	1	0	1	2	0	0	0	0	12	2	1	2	3	1	4	0	0					
14	Число погашенных открепительных удостоверений	81	12	4	0	4	4	3	3	0	1	3	3	4	3	3	0	2	3	0	3	0	3	1	3	3	2	2	0	1	1	3	2	3	2					
15	Число открепительных удостоверений выданных ТИК	9	2	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																								
18	"1. ""ЕДИНЕНИЕ"""	284	20	27	17	8	6	0	5	21	1	4	1	20	5	4	9	5	11	3	3	18	9	8	4	16	12	9	10	6	7	8	6	0	1					
		2.28%	2.07%	1.94%	1.20%	1.55%	3.15%	0.0%	5.43%	1.70%	0.57%	3.80%	0.75%	2.38%	3.20%	3.96%	2.02%	3.12%	2.99%	1.16%	3.22%	3.62%	3.12%	3.52%	2.40%	11.85%	3.26%	2.69%	1.82%	1.99%	3.95%	3.57%	2.22%	0.0%	0.96%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	486	63	72	32	28	3	2	0	52	7	5	4	38	6	3	21	10	4	4	0	21	2	3	3	3	24	1	37	12	14	5	6	0	1					
		3.91%	6.54%	5.17%	2.26%	5.43%	1.57%	2.06%	0.0%	4.23%	4.02%	4.76%	3.03%	4.52%	3.84%	2.97%	4.72%	6.25%	1.08%	1.55%	0.0%	4.23%	0.69%	1.32%	1.80%	2.22%	6.52%	0.29%	6.73%	3.98%	7.90%	2.23%	2.22%	0.0%	0.96%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	628	65	95	77	22	5	5	4	79	9	6	7	56	4	5	14	2	15	11	4	14	20	16	9	8	8	5	21	6	12	11	8	1	4					
		5.06%	6.75%	6.83%	5.45%	4.27%	2.63%	5.15%	4.34%	6.42%	5.17%	5.71%	5.30%	6.66%	2.56%	4.95%	3.15%	1.25%	4.08%	4.26%	4.30%	2.82%	6.94%	7.04%	5.42%	5.92%	2.17%	1.49%	3.82%	1.99%	6.77%	4.91%	2.96%	2.0%	3.84%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	205	29	25	29	2	4	0	0	31	10	1	2	11	0	1	4	2	4	2	1	6	8	1	1	1	4	5	10	5	2	1	2	0	1					
		1.65%	3.01%	1.79%	2.05%	0.38%	2.10%	0.0%	0.0%	2.52%	5.74%	0.95%	1.51%	1.30%	0.0%	0.99%	0.90%	1.25%	1.08%	0.77%	1.07%	1.20%	2.77%	0.44%	0.60%	0.74%	1.08%	1.49%	1.82%	1.66%	1.12%	0.44%	0.74%	0.0%	0.96%					
22	"5. ""За Русь Святую"""	95	8	7	10	4	0	1	1	8	5	0	2	2	1	2	6	0	0	7	0	2	2	0	1	4	6	3	0	1	3	6	2	0	1					
		0.76%	0.83%	0.50%	0.70%	0.77%	0.0%	1.03%	1.08%	0.65%	2.87%	0.0%	1.51%	0.23%	0.64%	1.98%	1.35%	0.0%	0.0%	2.71%	0.0%	0.40%	0.69%	0.0%	0.60%	2.96%	1.63%	0.89%	0.0%	0.33%	1.69%	2.67%	0.74%	0.0%	0.96%					
23	"6. ""Объединенная Российская партия ""Русь"""	38	1	3	2	2	0	2	0	5	0	0	1	4	0	0	1	0	1	0	0	6	2	0	1	0	0	1	3	1	1	0	0	0	1					
		0.30%	0.10%	0.21%	0.14%	0.38%	0.0%	2.06%	0.0%	0.40%	0.0%	0.0%	0.75%	0.47%	0.0%	0.0%	0.22%	0.0%	0.27%	0.0%	0.0%	1.20%	0.69%	0.0%	0.60%	0.0%	0.0%	0.29%	0.54%	0.33%	0.56%	0.0%	0.0%	0.0%	0.96%					
24	"7. ""Новый курс - Автомобильная Россия"""	104	16	18	17	10	1	1	0	4	0	0	0	6	0	0	4	0	3	0	3	1	2	2	0	2	5	2	6	1	0	0	0	0	0					
		0.83%	1.66%	1.29%	1.20%	1.94%	0.52%	1.03%	0.0%	0.32%	0.0%	0.0%	0.0%	0.71%	0.0%	0.0%	0.90%	0.0%	0.81%	0.0%	3.22%	0.20%	0.69%	0.88%	0.0%	1.48%	1.35%	0.59%	1.09%	0.33%	0.0%	0.0%	0.0%	0.0%	0.0%					
25	"8. ""Народно-республиканская партия России"""	19	0	2	2	0	0	0	0	3	0	0	1	0	0	0	1	0	0	0	0	1	2	0	2	0	0	1	2	0	0	0	1	0	1					
		0.15%	0.0%	0.14%	0.14%	0.0%	0.0%	0.0%	0.0%	0.24%	0.0%	0.0%	0.75%	0.0%	0.0%	0.0%	0.22%	0.0%	0.0%	0.0%	0.0%	0.20%	0.69%	0.0%	1.20%	0.0%	0.0%	0.29%	0.36%	0.0%	0.0%	0.0%	0.37%	0.0%	0.96%					
26	"9. ""Российская экологическая партия ""Зеленые"""	22	1	1	3	2	0	0	0	3	3	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	1	2	1	0	1	0	1	0	0					
		0.17%	0.10%	0.07%	0.21%	0.38%	0.0%	0.0%	0.0%	0.24%	1.72%	0.0%	0.75%	0.0%	0.0%	0.0%	0.22%	0.0%	0.0%	0.38%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.27%	0.59%	0.18%	0.0%	0.56%	0.0%	0.37%	0.0%	0.0%					
27	"10. ""Аграрная партия России"""	453	33	48	41	4	1	4	2	43	6	11	16	19	5	1	7	1	8	3	2	35	11	5	20	9	17	6	38	28	7	8	6	5	3					
		3.65%	3.43%	3.45%	2.90%	0.77%	0.52%	4.12%	2.17%	3.49%	3.44%	10.47%	12.12%	2.26%	3.20%	0.99%	1.57%	0.62%	2.17%	1.16%	2.15%	7.05%	3.81%	2.20%	12.04%	6.66%	4.61%	1.79%	6.92%	9.30%	3.95%	3.57%	2.22%	10.0%	2.88%					
28	"11. ""Истинные патриоты России"""	24	0	3	6	2	2	0	0	2	0	0	0	0	0	0	0	0	0	4	0	0	2	2	0	0	0	0	0	0	1	0	0	0	0					
		0.19%	0.0%	0.21%	0.42%	0.38%	1.05%	0.0%	0.0%	0.16%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	1.55%	0.0%	0.0%	0.69%	0.88%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.56%	0.0%	0.0%	0.0%	0.0%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	121	6	13	12	9	2	1	0	9	0	2	0	11	3	0	4	1	5	0	0	5	6	2	5	3	3	2	3	6	1	2	5	0	0					
		0.97%	0.62%	0.93%	0.85%	1.74%	1.05%	1.03%	0.0%	0.73%	0.0%	1.90%	0.0%	1.30%	1.92%	0.0%	0.90%	0.62%	1.36%	0.0%	0.0%	1.00%	2.08%	0.88%	3.01%	2.22%	0.81%	0.59%	0.54%	1.99%	0.56%	0.89%	1.85%	0.0%	0.0%					
30	"13. ""Демократическая партия России"""	39	8	2	2	1	2	0	0	6	0	0	1	2	0	2	2	0	1	1	0	1	1	0	2	0	1	1	1	1	0	0	0	0	1					
		0.31%	0.83%	0.14%	0.14%	0.19%	1.05%	0.0%	0.0%	0.48%	0.0%	0.0%	0.75%	0.23%	0.0%	1.98%	0.45%	0.0%	0.27%	0.38%	0.0%	0.20%	0.34%	0.0%	1.20%	0.0%	0.27%	0.29%	0.18%	0.33%	0.0%	0.0%	0.0%	0.0%	0.96%					
31	"14. ""Великая Россия - Евразийский Союз"""	28	3	1	3	1	0	0	0	2	2	0	0	2	0	1	3	1	0	0	0	1	3	0	0	1	0	2	0	1	0	0	1	0	0					
		0.22%	0.31%	0.07%	0.21%	0.19%	0.0%	0.0%	0.0%	0.16%	1.14%	0.0%	0.0%	0.23%	0.0%	0.99%	0.67%	0.62%	0.0%	0.0%	0.0%	0.20%	1.04%	0.0%	0.0%	0.74%	0.0%	0.59%	0.0%	0.33%	0.0%	0.0%	0.37%	0.0%	0.0%					
32	"15. ""Партия СЛОН"""	25	0	4	8	0	0	0	0	0	0	0	0	1	1	0	1	1	0	2	0	0	0	0	2	0	3	0	0	1	0	0	1	0	0					
		0.20%	0.0%	0.28%	0.56%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.11%	0.64%	0.0%	0.22%	0.62%	0.0%	0.77%	0.0%	0.0%	0.0%	0.0%	1.20%	0.0%	0.81%	0.0%	0.0%	0.33%	0.0%	0.0%	0.37%	0.0%	0.0%					
33	"16. ""Родина"" (народно-патриотический союз)"""	503	49	56	45	16	3	1	2	81	8	5	2	38	10	1	19	7	14	5	9	13	15	11	10	2	14	5	14	9	10	5	18	0	6					
		4.05%	5.09%	4.02%	3.18%	3.10%	1.57%	1.03%	2.17%	6.59%	4.59%	4.76%	1.51%	4.52%	6.41%	0.99%	4.27%	4.37%	3.81%	1.93%	9.67%	2.62%	5.20%	4.84%	6.02%	1.48%	3.80%	1.49%	2.55%	2.99%	5.64%	2.23%	6.66%	0.0%	5.76%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	50	1	3	2	3	0	0	0	4	1	0	1	0	3	0	3	0	3	0	0	1	1	1	1	5	2	2	3	3	3	0	3	0	1					
		0.40%	0.10%	0.21%	0.14%	0.58%	0.0%	0.0%	0.0%	0.32%	0.57%	0.0%	0.75%	0.0%	1.92%	0.0%	0.67%	0.0%	0.81%	0.0%	0.0%	0.20%	0.34%	0.44%	0.60%	3.70%	0.54%	0.59%	0.54%	0.99%	1.69%	0.0%	1.11%	0.0%	0.96%					
35	"18. ""ЛДПР"""	1940	122	189	261	105	23	28	14	188	23	18	21	115	36	19	48	32	63	46	13	98	58	27	25	7	46	51	67	54	25	54	35	12	17					
		15.63%	12.68%	13.59%	18.49%	20.38%	12.10%	28.86%	15.21%	15.29%	13.21%	17.14%	15.90%	13.69%	23.07%	18.81%	10.81%	20.0%	17.16%	17.82%	13.97%	19.75%	20.13%	11.89%	15.06%	5.18%	12.5%	15.26%	12.20%	17.94%	14.12%	24.10%	12.96%	24.0%	16.34%					
36	"19. ""Партия Возрождения России - Российская партия ЖИЗНИ"""	367	56	52	46	8	1	3	3	25	7	4	2	23	2	1	13	5	8	7	4	13	4	4	8	5	8	6	19	5	5	3	14	2	1					
		2.95%	5.82%	3.74%	3.26%	1.55%	0.52%	3.09%	3.26%	2.03%	4.02%	3.80%	1.51%	2.73%	1.28%	0.99%	2.92%	3.12%	2.17%	2.71%	4.30%	2.62%	1.38%	1.76%	4.81%	3.70%	2.17%	1.79%	3.46%	1.66%	2.82%	1.33%	5.18%	4.0%	0.96%					
37	"20. ""Политическая партия ""Единая Россия"""	5329	374	550	584	212	116	39	49	536	69	42	54	356	60	50	216	75	179	127	35	216	103	106	55	37	158	208	247	125	67	97	125	22	40					
		42.95%	38.87%	39.56%	41.38%	41.16%	61.05%	40.20%	53.26%	43.61%	39.65%	40.0%	40.90%	42.38%	38.46%	49.50%	48.64%	46.87%	48.77%	49.22%	37.63%	43.54%	35.76%	46.69%	33.13%	27.40%	42.93%	62.27%	44.99%	41.52%	37.85%	43.30%	46.29%	44.0%	38.46%					
38	"21. ""Российская Конституционно-демократическая партия"""	22	2	5	1	1	0	0	1	1	0	0	2	0	1	0	0	0	2	1	1	0	1	0	0	2	1	0	0	0	0	0	0	0	0					
		0.17%	0.20%	0.35%	0.07%	0.19%	0.0%	0.0%	1.08%	0.08%	0.0%	0.0%	1.51%	0.0%	0.64%	0.0%	0.0%	0.0%	0.54%	0.38%	1.07%	0.0%	0.34%	0.0%	0.0%	1.48%	0.27%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%					
39	"22. ""Развитие предпринимательства"""	38	1	5	7	0	0	0	0	1	0	0	0	5	0	0	3	0	0	3	0	0	1	1	1	0	3	0	1	2	1	1	1	0	1					
		0.30%	0.10%	0.35%	0.49%	0.0%	0.0%	0.0%	0.0%	0.08%	0.0%	0.0%	0.0%	0.59%	0.0%	0.0%	0.67%	0.0%	0.0%	1.16%	0.0%	0.0%	0.34%	0.44%	0.60%	0.0%	0.81%	0.0%	0.18%	0.66%	0.56%	0.44%	0.37%	0.0%	0.96%					
40	"23. ""Коммунистическая партия Российской Федерации (КПРФ)"""	677	50	106	80	32	10	3	3	72	16	1	9	51	7	2	15	6	19	21	7	18	10	12	11	7	22	3	15	14	7	16	13	8	11					
		5.45%	5.19%	7.62%	5.66%	6.21%	5.26%	3.09%	3.26%	5.85%	9.19%	0.95%	6.81%	6.07%	4.48%	1.98%	3.37%	3.75%	5.17%	8.13%	7.52%	3.62%	3.47%	5.28%	6.62%	5.18%	5.97%	0.89%	2.73%	4.65%	3.95%	7.14%	4.81%	16.0%	10.57%					
																																								
41	Против всех	663	41	68	94	29	10	6	7	33	3	4	5	55	8	8	36	11	19	8	11	19	22	25	5	16	30	11	29	12	8	2	15	0	13					
		5.34%	4.26%	4.89%	6.66%	5.63%	5.26%	6.18%	7.60%	2.68%	1.72%	3.80%	3.78%	6.54%	5.12%	7.92%	8.10%	6.87%	5.17%	3.10%	11.82%	3.83%	7.63%	11.01%	3.01%	11.85%	8.15%	3.29%	5.28%	3.98%	4.51%	0.89%	5.55%	0.0%	12.5%					
																																								
																																								
																																								
																																								
																																								
																																								
																																								
																																								
																																								
																																								
																																								
																																								
																																								
																																								
																																								
