Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																				
Дата голосования: 07.12.2003 0:00:00																																																				
																																																				
Наименование Избирательной комиссии:    Аскизская																																																				
																																																				
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																				
																																																				
		Сумма	УИК  164	УИК  165	УИК  166	УИК  167	УИК  168	УИК  169	УИК  170	УИК  171	УИК  172	УИК  173	УИК  174	УИК  175	УИК  176	УИК  177	УИК  178	УИК  179	УИК  180	УИК  181	УИК  182	УИК  183	УИК  184	УИК  185	УИК  186	УИК  187	УИК  188	УИК  189	УИК  190	УИК  191	УИК  192	УИК  193	УИК  194	УИК  195	УИК  196	УИК  197	УИК  198	УИК  199	УИК  200	УИК  201	УИК  202	УИК  203	УИК  204	УИК  205	УИК  206	УИК  207	УИК  208					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	320	15	15	10	5	5	4	12	20	8	8	8	4	4	5	8	4	4	3	5	8	8	3	5	3	6	4	8	4	4	3	4	10	6	10	5	14	10	4	10	4	20	5	5	5	5					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	111	8	9	7	3	3	0	2	1	1	2	4	0	0	2	6	0	0	0	0	0	8	0	0	0	2	2	1	0	1	0	2	9	3	2	0	12	5	0	5	0	8	0	0	2	1					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	80	5	12	3	1	2	0	3	2	1	1	1	1	3	1	1	1	1	1	2	2	2	1	1	0	0	1	3	0	0	1	0	4	6	1	2	1	1	2	0	0	7	1	0	1	1					
14	Число погашенных открепительных удостоверений	209	7	6	3	2	2	4	10	19	7	6	4	4	4	3	2	4	4	3	5	8	0	3	5	3	4	2	7	4	3	3	2	1	3	8	5	2	5	4	5	4	12	5	5	3	4					
15	Число открепительных удостоверений выданных ТИК	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																				
18	"1. ""ЕДИНЕНИЕ"""	256	14	6	10	6	13	1	8	6	3	9	7	5	2	3	7	6	4	4	6	5	5	0	3	0	5	0	11	6	4	3	2	5	6	6	1	6	7	0	5	1	30	7	10	4	4					
		1.60%	1.95%	0.66%	1.37%	3.82%	6.22%	1.20%	1.20%	0.65%	1.56%	2.47%	1.93%	2.56%	2.32%	1.45%	1.90%	4.51%	4.0%	5.33%	2.03%	0.97%	1.74%	0.0%	3.57%	0.0%	1.60%	0.0%	2.92%	4.68%	4.34%	6.66%	1.85%	0.87%	1.59%	1.24%	0.51%	0.68%	0.85%	0.0%	0.66%	1.16%	1.71%	2.40%	2.96%	2.03%	1.90%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	153	12	17	11	1	3	1	3	2	1	4	12	4	0	2	4	1	0	0	1	3	2	2	3	0	3	1	5	1	0	0	1	6	4	3	0	5	2	0	1	0	23	4	1	1	3					
		0.95%	1.67%	1.89%	1.51%	0.63%	1.43%	1.20%	0.45%	0.21%	0.52%	1.10%	3.31%	2.05%	0.0%	0.97%	1.08%	0.75%	0.0%	0.0%	0.33%	0.58%	0.69%	3.84%	3.57%	0.0%	0.96%	0.68%	1.32%	0.78%	0.0%	0.0%	0.92%	1.05%	1.06%	0.62%	0.0%	0.57%	0.24%	0.0%	0.13%	0.0%	1.31%	1.37%	0.29%	0.50%	1.42%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	496	18	18	15	3	3	5	17	34	8	15	13	9	3	8	25	11	7	5	10	20	11	1	8	3	13	1	16	8	8	0	5	20	9	14	5	21	17	2	17	3	38	6	4	15	4					
		3.11%	2.51%	2.00%	2.06%	1.91%	1.43%	6.02%	2.55%	3.69%	4.16%	4.13%	3.59%	4.61%	3.48%	3.88%	6.79%	8.27%	7.0%	6.66%	3.38%	3.89%	3.83%	1.92%	9.52%	6.25%	4.18%	0.68%	4.25%	6.25%	8.69%	0.0%	4.62%	3.50%	2.38%	2.90%	2.56%	2.4%	2.08%	3.03%	2.27%	3.48%	2.17%	2.06%	1.18%	7.61%	1.90%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	220	25	15	5	2	2	0	13	14	8	3	1	3	0	0	2	0	0	0	1	7	0	0	2	0	2	2	5	2	0	0	1	0	6	5	1	22	14	1	16	2	28	3	2	3	2					
		1.37%	3.49%	1.66%	0.68%	1.27%	0.95%	0.0%	1.95%	1.52%	4.16%	0.82%	0.27%	1.53%	0.0%	0.0%	0.54%	0.0%	0.0%	0.0%	0.33%	1.36%	0.0%	0.0%	2.38%	0.0%	0.64%	1.36%	1.32%	1.56%	0.0%	0.0%	0.92%	0.0%	1.59%	1.03%	0.51%	2.51%	1.71%	1.51%	2.13%	2.32%	1.60%	1.03%	0.59%	1.52%	0.95%					
22	"5. ""За Русь Святую"""	65	4	3	2	0	0	0	0	2	0	2	2	0	0	1	2	0	0	0	4	3	0	0	1	0	1	1	0	0	0	0	0	8	0	2	1	3	4	0	8	1	6	1	3	0	0					
		0.40%	0.55%	0.33%	0.27%	0.0%	0.0%	0.0%	0.0%	0.21%	0.0%	0.55%	0.55%	0.0%	0.0%	0.48%	0.54%	0.0%	0.0%	0.0%	1.35%	0.58%	0.0%	0.0%	1.19%	0.0%	0.32%	0.68%	0.0%	0.0%	0.0%	0.0%	0.0%	1.40%	0.0%	0.41%	0.51%	0.34%	0.48%	0.0%	1.06%	1.16%	0.34%	0.34%	0.89%	0.0%	0.0%					
23	"6. ""Объединенная Российская партия ""Русь"""	56	5	1	2	2	1	1	0	2	0	2	3	1	0	1	1	0	0	0	0	1	1	0	0	0	1	1	0	1	2	0	1	3	4	0	0	2	1	0	6	2	4	2	2	0	0					
		0.35%	0.69%	0.11%	0.27%	1.27%	0.47%	1.20%	0.0%	0.21%	0.0%	0.55%	0.82%	0.51%	0.0%	0.48%	0.27%	0.0%	0.0%	0.0%	0.0%	0.19%	0.34%	0.0%	0.0%	0.0%	0.32%	0.68%	0.0%	0.78%	2.17%	0.0%	0.92%	0.52%	1.06%	0.0%	0.0%	0.22%	0.12%	0.0%	0.80%	2.32%	0.22%	0.68%	0.59%	0.0%	0.0%					
24	"7. ""Новый курс - Автомобильная Россия"""	74	4	7	2	0	1	0	8	3	1	2	0	1	0	0	3	0	2	0	2	1	1	0	0	0	3	0	2	0	1	0	1	1	1	4	2	3	2	1	1	2	6	0	3	2	1					
		0.46%	0.55%	0.77%	0.27%	0.0%	0.47%	0.0%	1.20%	0.32%	0.52%	0.55%	0.0%	0.51%	0.0%	0.0%	0.81%	0.0%	2.0%	0.0%	0.67%	0.19%	0.34%	0.0%	0.0%	0.0%	0.96%	0.0%	0.53%	0.0%	1.08%	0.0%	0.92%	0.17%	0.26%	0.82%	1.02%	0.34%	0.24%	1.51%	0.13%	2.32%	0.34%	0.0%	0.89%	1.01%	0.47%					
25	"8. ""Народно-республиканская партия России"""	20	0	1	2	2	1	0	2	1	0	0	0	0	0	1	1	0	0	0	0	1	0	2	1	0	1	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	1	0	0	0					
		0.12%	0.0%	0.11%	0.27%	1.27%	0.47%	0.0%	0.30%	0.10%	0.0%	0.0%	0.0%	0.0%	0.0%	0.48%	0.27%	0.0%	0.0%	0.0%	0.0%	0.19%	0.0%	3.84%	1.19%	0.0%	0.32%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.20%	0.0%	0.22%	0.0%	0.0%	0.0%	0.0%	0.0%	0.34%	0.0%	0.0%	0.0%					
26	"9. ""Российская экологическая партия ""Зеленые"""	67	4	6	10	0	0	0	3	1	0	1	1	0	0	0	1	0	0	0	3	8	3	0	0	0	1	0	0	0	0	0	2	2	1	1	1	2	2	0	5	1	4	0	3	1	0					
		0.42%	0.55%	0.66%	1.37%	0.0%	0.0%	0.0%	0.45%	0.10%	0.0%	0.27%	0.27%	0.0%	0.0%	0.0%	0.27%	0.0%	0.0%	0.0%	1.01%	1.55%	1.04%	0.0%	0.0%	0.0%	0.32%	0.0%	0.0%	0.0%	0.0%	0.0%	1.85%	0.35%	0.26%	0.20%	0.51%	0.22%	0.24%	0.0%	0.66%	1.16%	0.22%	0.0%	0.89%	0.50%	0.0%					
27	"10. ""Аграрная партия России"""	679	23	30	43	6	12	5	19	12	1	32	34	6	14	17	22	5	1	0	37	90	25	1	4	0	22	5	22	8	3	6	4	16	8	2	2	13	20	1	17	3	25	5	7	29	22					
		4.25%	3.21%	3.33%	5.90%	3.82%	5.74%	6.02%	2.85%	1.30%	0.52%	8.81%	9.39%	3.07%	16.27%	8.25%	5.97%	3.75%	1.0%	0.0%	12.54%	17.54%	8.71%	1.92%	4.76%	0.0%	7.07%	3.40%	5.85%	6.25%	3.26%	13.33%	3.70%	2.80%	2.12%	0.41%	1.02%	1.48%	2.44%	1.51%	2.27%	3.48%	1.42%	1.71%	2.07%	14.72%	10.47%					
28	"11. ""Истинные патриоты России"""	30	1	2	6	1	0	1	0	0	1	0	2	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	1	3	0	0	0	1	1	0	2	0	0	0	0	0	0	1	2	0	2					
		0.18%	0.13%	0.22%	0.82%	0.63%	0.0%	1.20%	0.0%	0.0%	0.52%	0.0%	0.55%	0.0%	0.0%	0.48%	0.0%	0.75%	0.0%	0.0%	0.0%	0.0%	0.34%	0.0%	0.0%	0.0%	0.0%	0.0%	0.26%	2.34%	0.0%	0.0%	0.0%	0.17%	0.26%	0.0%	1.02%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.34%	0.59%	0.0%	0.95%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	86	1	0	3	2	0	1	4	8	0	3	2	3	0	2	5	0	1	1	2	1	3	0	0	0	1	0	2	3	1	0	1	3	3	1	0	5	6	1	2	2	9	1	3	0	0					
		0.53%	0.13%	0.0%	0.41%	1.27%	0.0%	1.20%	0.60%	0.86%	0.0%	0.82%	0.55%	1.53%	0.0%	0.97%	1.35%	0.0%	1.0%	1.33%	0.67%	0.19%	1.04%	0.0%	0.0%	0.0%	0.32%	0.0%	0.53%	2.34%	1.08%	0.0%	0.92%	0.52%	0.79%	0.20%	0.0%	0.57%	0.73%	1.51%	0.26%	2.32%	0.51%	0.34%	0.89%	0.0%	0.0%					
30	"13. ""Демократическая партия России"""	57	2	3	1	0	0	0	4	3	1	3	1	0	0	1	0	0	0	0	1	1	0	0	0	0	2	0	1	0	0	0	0	2	1	4	2	6	2	1	3	1	8	1	1	0	1					
		0.35%	0.27%	0.33%	0.13%	0.0%	0.0%	0.0%	0.60%	0.32%	0.52%	0.82%	0.27%	0.0%	0.0%	0.48%	0.0%	0.0%	0.0%	0.0%	0.33%	0.19%	0.0%	0.0%	0.0%	0.0%	0.64%	0.0%	0.26%	0.0%	0.0%	0.0%	0.0%	0.35%	0.26%	0.82%	1.02%	0.68%	0.24%	1.51%	0.40%	1.16%	0.45%	0.34%	0.29%	0.0%	0.47%					
31	"14. ""Великая Россия - Евразийский Союз"""	58	4	4	3	2	1	0	4	1	2	4	1	2	0	1	2	0	0	0	1	0	1	0	0	0	1	0	1	1	0	1	1	5	0	1	0	1	3	0	3	0	4	0	1	2	0					
		0.36%	0.55%	0.44%	0.41%	1.27%	0.47%	0.0%	0.60%	0.10%	1.04%	1.10%	0.27%	1.02%	0.0%	0.48%	0.54%	0.0%	0.0%	0.0%	0.33%	0.0%	0.34%	0.0%	0.0%	0.0%	0.32%	0.0%	0.26%	0.78%	0.0%	2.22%	0.92%	0.87%	0.0%	0.20%	0.0%	0.11%	0.36%	0.0%	0.40%	0.0%	0.22%	0.0%	0.29%	1.01%	0.0%					
32	"15. ""Партия СЛОН"""	22	2	3	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4	0	0	2	0	0	0	1	1	0	0	0	0	2	0	3	0	0	0	1					
		0.13%	0.27%	0.33%	0.13%	0.0%	0.0%	0.0%	0.0%	0.10%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.32%	2.72%	0.0%	0.0%	2.17%	0.0%	0.0%	0.0%	0.26%	0.20%	0.0%	0.0%	0.0%	0.0%	0.26%	0.0%	0.17%	0.0%	0.0%	0.0%	0.47%					
33	"16. ""Родина"" (народно-патриотический союз)"""	765	33	70	42	9	3	2	43	47	6	12	8	5	2	6	7	1	2	1	11	20	8	3	1	9	11	2	13	4	3	0	7	27	18	11	5	92	71	1	42	0	79	9	8	7	4					
		4.79%	4.61%	7.78%	5.76%	5.73%	1.43%	2.40%	6.46%	5.10%	3.12%	3.30%	2.20%	2.56%	2.32%	2.91%	1.90%	0.75%	2.0%	1.33%	3.72%	3.89%	2.78%	5.76%	1.19%	18.75%	3.53%	1.36%	3.45%	3.12%	3.26%	0.0%	6.48%	4.73%	4.77%	2.28%	2.56%	10.51%	8.69%	1.51%	5.61%	0.0%	4.51%	3.09%	2.37%	3.55%	1.90%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	70	2	3	4	3	2	1	1	0	1	2	3	0	1	2	2	1	0	0	0	3	0	0	2	0	3	1	5	0	3	0	0	5	0	2	0	1	3	0	1	2	7	2	0	1	1					
		0.43%	0.27%	0.33%	0.54%	1.91%	0.95%	1.20%	0.15%	0.0%	0.52%	0.55%	0.82%	0.0%	1.16%	0.97%	0.54%	0.75%	0.0%	0.0%	0.0%	0.58%	0.0%	0.0%	2.38%	0.0%	0.96%	0.68%	1.32%	0.0%	3.26%	0.0%	0.0%	0.87%	0.0%	0.41%	0.0%	0.11%	0.36%	0.0%	0.13%	2.32%	0.40%	0.68%	0.0%	0.50%	0.47%					
35	"18. ""ЛДПР"""	1916	79	57	52	12	4	0	87	185	50	22	3	12	0	7	11	4	2	8	15	60	13	7	4	4	9	1	14	11	2	4	8	83	55	133	61	157	181	12	114	9	244	47	55	13	5					
		12.01%	11.04%	6.34%	7.14%	7.64%	1.91%	0.0%	13.08%	20.08%	26.04%	6.06%	0.82%	6.15%	0.0%	3.39%	2.98%	3.00%	2.0%	10.66%	5.08%	11.69%	4.52%	13.46%	4.76%	8.33%	2.89%	0.68%	3.72%	8.59%	2.17%	8.88%	7.40%	14.56%	14.58%	27.59%	31.28%	17.94%	22.15%	18.18%	15.24%	10.46%	13.95%	16.15%	16.32%	6.59%	2.38%					
36	"19. ""Партия Возрождения России - Российская партия ЖИЗНИ"""	281	7	8	10	9	3	0	10	23	11	8	11	3	0	1	4	1	1	1	3	16	8	2	0	0	4	1	5	0	0	0	3	14	6	8	2	20	20	0	9	3	32	3	3	3	5					
		1.76%	0.97%	0.88%	1.37%	5.73%	1.43%	0.0%	1.50%	2.49%	5.72%	2.20%	3.03%	1.53%	0.0%	0.48%	1.08%	0.75%	1.0%	1.33%	1.01%	3.11%	2.78%	3.84%	0.0%	0.0%	1.28%	0.68%	1.32%	0.0%	0.0%	0.0%	2.77%	2.45%	1.59%	1.65%	1.02%	2.28%	2.44%	0.0%	1.20%	3.48%	1.82%	1.03%	0.89%	1.52%	2.38%					
37	"20. ""Политическая партия ""Единая Россия"""	6628	320	452	378	68	130	33	303	356	62	145	132	65	34	91	133	58	41	36	146	151	81	17	23	21	152	106	166	66	39	26	42	230	192	203	65	287	258	28	336	26	725	120	141	65	79					
		41.57%	44.75%	50.27%	51.92%	43.31%	62.20%	39.75%	45.56%	38.65%	32.29%	39.94%	36.46%	33.33%	39.53%	44.17%	36.14%	43.60%	41.0%	48.0%	49.49%	29.43%	28.22%	32.69%	27.38%	43.75%	48.87%	72.10%	44.14%	51.56%	42.39%	57.77%	38.88%	40.35%	50.92%	42.11%	33.33%	32.8%	31.57%	42.42%	44.91%	30.23%	41.45%	41.23%	41.83%	32.99%	37.61%					
38	"21. ""Российская Конституционно-демократическая партия"""	18	0	0	0	0	0	0	0	1	1	0	0	1	0	1	2	0	0	0	0	0	1	0	0	0	3	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	2	0	2	0	1					
		0.11%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.10%	0.52%	0.0%	0.0%	0.51%	0.0%	0.48%	0.54%	0.0%	0.0%	0.0%	0.0%	0.0%	0.34%	0.0%	0.0%	0.0%	0.96%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	1.02%	0.0%	0.12%	0.0%	0.0%	0.0%	0.11%	0.0%	0.59%	0.0%	0.47%					
39	"22. ""Развитие предпринимательства"""	41	1	1	2	0	0	2	0	1	1	2	0	0	1	0	0	0	0	0	1	0	1	2	0	0	0	0	0	1	2	0	0	5	1	1	0	4	0	0	0	0	11	0	0	1	0					
		0.25%	0.13%	0.11%	0.27%	0.0%	0.0%	2.40%	0.0%	0.10%	0.52%	0.55%	0.0%	0.0%	1.16%	0.0%	0.0%	0.0%	0.0%	0.0%	0.33%	0.0%	0.34%	3.84%	0.0%	0.0%	0.0%	0.0%	0.0%	0.78%	2.17%	0.0%	0.0%	0.87%	0.26%	0.20%	0.0%	0.45%	0.0%	0.0%	0.0%	0.0%	0.62%	0.0%	0.0%	0.50%	0.0%					
40	"23. ""Коммунистическая партия Российской Федерации (КПРФ)"""	3085	132	162	95	16	25	21	115	174	23	78	104	65	24	49	110	31	35	16	38	96	113	12	27	8	66	20	87	7	13	5	20	112	39	63	11	181	141	9	126	23	388	59	58	36	52					
		19.35%	18.46%	18.02%	13.04%	10.19%	11.96%	25.30%	17.29%	18.89%	11.97%	21.48%	28.72%	33.33%	27.90%	23.78%	29.89%	23.30%	35.0%	21.33%	12.88%	18.71%	39.37%	23.07%	32.14%	16.66%	21.22%	13.60%	23.13%	5.46%	14.13%	11.11%	18.51%	19.64%	10.34%	13.07%	5.64%	20.68%	17.25%	13.63%	16.84%	26.74%	22.18%	20.27%	17.21%	18.27%	24.76%					
																																																				
41	Против всех	472	12	20	20	9	2	2	14	23	11	5	8	4	3	3	8	0	4	3	7	14	7	3	3	3	5	0	6	1	3	0	6	9	16	11	32	39	52	3	18	2	45	10	9	11	6					
		2.96%	1.67%	2.22%	2.74%	5.73%	0.95%	2.40%	2.10%	2.49%	5.72%	1.37%	2.20%	2.05%	3.48%	1.45%	2.17%	0.0%	4.0%	4.0%	2.37%	2.72%	2.43%	5.76%	3.57%	6.25%	1.60%	0.0%	1.59%	0.78%	3.26%	0.0%	5.55%	1.57%	4.24%	2.28%	16.41%	4.45%	6.36%	4.54%	2.40%	2.32%	2.57%	3.43%	2.67%	5.58%	2.85%					
																																																				
																																																				
																																																				
																																																				
																																																				
																																																				
																																																				
																																																				
																																																				
																																																				
																																																				
																																																				
																																																				
																																																				
																																																				
