Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																																																																					
Дата голосования: 07.12.2003 0:00:00																																																																																																					
																																																																																																					
"Наименование Избирательной комиссии:    Киров, Ленинская"																																																																																																					
																																																																																																					
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																																																																					
																																																																																																					
		Сумма	УИК №309	УИК №310	УИК №311	УИК №312	УИК №313	УИК №314	УИК №315	УИК №316	УИК №317	УИК №318	УИК №319	УИК №320	УИК №321	УИК №322	УИК №323	УИК №324	УИК №325	УИК №326	УИК №327	УИК №328	УИК №329	УИК №330	УИК №331	УИК №332	УИК №333	УИК №334	УИК №335	УИК №336	УИК №337	УИК №338	УИК №339	УИК №340	УИК №341	УИК №342	УИК №343	УИК №344	УИК №345	УИК №346	УИК №347	УИК №348	УИК №349	УИК №350	УИК №351	УИК №352	УИК №353	УИК №354	УИК №355	УИК №356	УИК №357	УИК №358	УИК №359	УИК №360	УИК №361	УИК №362	УИК №363	УИК №364	УИК №365	УИК №366	УИК №367	УИК №368	УИК №369	УИК №370	УИК №371	УИК №372	УИК №373	УИК №374	УИК №375	УИК №376	УИК №377	УИК №378	УИК №379	УИК №380	УИК №381	УИК №382	УИК №383	УИК №384	УИК №385	УИК №386	УИК №387	УИК №388	УИК №389	УИК №390	УИК №391	УИК №392	УИК №393	УИК №394	УИК №395	УИК №396	УИК №397	УИК №398	УИК №399	УИК №400	УИК №401	УИК №402					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	1208	0	0	0	0	0	0	0	0	0	0	15	11	8	18	18	25	0	24	19	22	8	20	14	3	4	8	28	7	3	17	24	24	13	20	16	6	6	15	17	27	20	13	8	12	17	21	17	12	15	12	15	6	7	25	22	19	11	15	4	23	12	4	20	29	19	21	27	17	16	28	16	8	15	19	17	10	16	20	18	23	13	16	7	5	4	7	10	8	4	7	13	4	11	10					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	1290	17	15	55	93	16	20	8	15	37	14	15	8	4	3	9	19	178	22	12	9	11	6	14	9	5	13	15	6	3	5	16	13	7	24	14	11	8	12	15	6	13	9	10	19	9	18	15	9	10	10	17	9	3	6	14	2	5	8	3	15	9	8	4	5	15	10	13	4	11	16	15	8	9	11	6	12	9	7	8	6	15	7	10	18	4	4	12	2	4	3	7	14	13	5					
14	Число погашенных открепительных удостоверений	1452	0	0	0	0	0	0	0	0	0	0	20	19	12	12	12	10	0	11	16	13	22	15	21	27	26	22	7	13	17	18	11	11	22	15	19	29	24	15	13	8	15	22	27	23	18	9	18	18	15	23	20	29	23	10	13	16	24	20	26	12	18	6	15	6	16	14	8	18	19	7	19	27	20	16	18	25	19	15	17	12	22	19	23	25	26	23	25	22	26	13	17	6	19	10					
15	Число открепительных удостоверений выданных ТИК	98	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	1	2	2	1	0	1	1	5	5	3	4	2	0	1	1	4	0	1	0	3	1	1	0	0	0	0	0	0	3	1	2	0	3	0	1	3	0	0	2	3	2	1	1	0	1	0	1	1	2	0	0	2	0	2	2	0	2	0	0	0	1	0	2	0	2	3	1	2	1	0	5	0	2	0	0	0	2	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																																																																					
18	"1. ""ЕДИНЕНИЕ"""	926	1	5	5	0	0	2	0	0	1	0	5	3	5	4	9	17	1	19	13	7	8	12	12	6	2	6	4	3	1	11	18	6	3	3	12	10	9	9	7	13	8	12	7	14	8	15	8	13	10	11	12	12	7	16	18	26	10	15	7	25	9	0	12	18	10	13	18	14	12	23	10	15	24	17	19	7	13	15	13	16	15	10	2	12	12	7	9	16	14	5	25	3	8	4					
		0.90%	2.63%	3.73%	1.50%	0.0%	0.0%	2.85%	0.0%	0.0%	2.70%	0.0%	0.35%	0.33%	0.82%	0.59%	0.69%	1.10%	0.38%	1.32%	0.86%	0.50%	0.66%	0.71%	0.95%	1.35%	0.37%	0.91%	0.25%	0.87%	0.43%	0.68%	0.98%	0.50%	0.26%	0.32%	0.98%	0.87%	0.86%	0.77%	0.60%	0.76%	0.50%	0.80%	0.58%	0.92%	0.48%	1.61%	0.52%	1.02%	0.98%	0.81%	0.84%	0.71%	0.91%	1.11%	1.09%	1.77%	0.71%	1.25%	0.89%	1.49%	0.87%	0.0%	0.71%	1.17%	0.55%	0.81%	1.07%	0.82%	0.80%	1.45%	0.75%	0.95%	1.87%	1.05%	1.19%	0.52%	0.82%	1.08%	0.83%	1.08%	1.19%	0.74%	0.25%	1.31%	1.13%	0.70%	0.58%	1.80%	1.51%	0.92%	2.5%	0.81%	1.34%	0.94%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	7145	1	2	12	3	1	2	1	1	6	1	93	49	63	58	134	145	7	82	109	111	81	143	60	28	38	36	122	27	6	112	119	81	76	54	132	75	79	87	91	103	120	106	96	133	83	71	103	76	54	97	111	131	44	96	104	87	95	79	63	95	77	5	120	122	143	124	149	146	103	123	87	140	117	128	134	144	109	85	99	87	79	116	84	25	37	21	58	26	53	19	41	11	40	18					
		6.98%	2.63%	1.49%	3.60%	3.22%	2.12%	2.85%	3.44%	1.63%	16.21%	7.14%	6.63%	5.40%	10.43%	8.60%	10.32%	9.44%	2.68%	5.72%	7.23%	7.94%	6.68%	8.55%	4.77%	6.33%	7.06%	5.51%	7.65%	7.89%	2.59%	6.94%	6.49%	6.78%	6.77%	5.92%	10.83%	6.58%	7.57%	7.53%	7.90%	6.09%	7.58%	7.11%	8.08%	8.77%	5.07%	7.66%	6.71%	6.01%	5.29%	7.22%	7.78%	7.85%	5.78%	6.68%	6.33%	5.93%	6.82%	6.61%	8.01%	5.67%	7.50%	4.27%	7.11%	7.93%	8.00%	7.80%	8.87%	8.60%	6.94%	7.75%	6.58%	8.93%	9.13%	7.91%	8.42%	10.73%	6.87%	6.17%	6.37%	5.87%	6.30%	8.66%	10.64%	2.74%	3.50%	2.12%	3.78%	2.92%	5.74%	3.53%	4.1%	2.99%	6.74%	4.26%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	3959	2	9	14	2	5	3	4	2	2	0	71	31	9	17	45	70	5	46	71	48	41	67	53	12	24	36	55	16	14	74	58	53	47	20	34	41	59	41	68	85	70	79	33	45	69	34	66	75	39	37	53	45	38	54	53	58	84	46	24	53	31	7	91	37	75	68	42	56	46	57	52	66	19	58	76	43	44	49	56	59	45	30	27	30	55	65	59	49	22	28	42	35	12	19					
		3.86%	5.26%	6.71%	4.20%	2.15%	10.63%	4.28%	13.79%	3.27%	5.40%	0.0%	5.06%	3.41%	1.49%	2.52%	3.46%	4.55%	1.91%	3.21%	4.71%	3.43%	3.38%	4.00%	4.21%	2.71%	4.46%	5.51%	3.45%	4.67%	6.06%	4.58%	3.16%	4.44%	4.18%	2.19%	2.79%	3.59%	5.65%	3.54%	5.90%	5.02%	4.42%	5.30%	2.78%	2.96%	4.21%	3.67%	4.30%	5.93%	3.82%	2.75%	3.71%	2.69%	4.99%	3.76%	3.22%	3.95%	6.03%	3.84%	3.05%	3.16%	3.02%	5.98%	5.39%	2.40%	4.19%	4.27%	2.50%	3.30%	3.09%	3.59%	3.93%	4.21%	1.48%	3.58%	4.77%	3.20%	2.77%	3.55%	3.60%	3.98%	3.59%	2.24%	3.42%	3.29%	5.21%	6.57%	3.85%	5.51%	2.38%	5.20%	4.2%	9.53%	2.02%	4.50%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	6225	4	2	10	1	2	6	1	0	1	1	100	54	62	66	118	92	19	131	131	105	96	106	84	24	25	34	96	4	12	98	117	92	85	58	67	68	55	93	92	112	122	74	89	110	96	54	116	85	60	88	97	123	52	107	98	95	64	71	38	100	55	3	82	81	111	78	93	86	96	80	68	85	64	74	80	99	93	64	83	66	67	80	67	36	59	44	60	38	60	12	32	26	28	12					
		6.08%	10.52%	1.49%	3.00%	1.07%	4.25%	8.57%	3.44%	0.0%	2.70%	7.14%	7.13%	5.95%	10.26%	9.79%	9.09%	5.98%	7.27%	9.14%	8.69%	7.51%	7.92%	6.33%	6.68%	5.42%	4.64%	5.20%	6.02%	1.16%	5.19%	6.07%	6.38%	7.71%	7.57%	6.35%	5.50%	5.97%	5.27%	8.05%	7.99%	6.62%	7.71%	4.96%	7.49%	7.25%	5.86%	5.83%	7.56%	6.73%	5.88%	6.55%	6.80%	7.37%	6.83%	7.45%	5.97%	6.48%	4.59%	5.94%	4.83%	5.97%	5.36%	2.56%	4.86%	5.26%	6.21%	4.90%	5.53%	5.07%	6.46%	5.04%	5.14%	5.42%	4.99%	4.57%	5.02%	7.38%	5.86%	4.64%	5.34%	4.45%	5.34%	5.97%	8.49%	3.95%	5.59%	4.45%	3.91%	4.27%	6.50%	2.23%	3.2%	7.08%	4.72%	2.84%					
22	"5. ""За Русь Святую"""	531	0	3	2	2	0	0	0	0	0	0	3	4	5	3	11	9	4	6	5	2	4	9	11	3	8	3	7	3	3	13	7	6	7	7	7	2	7	12	4	12	9	7	7	12	11	4	10	4	5	6	6	2	4	7	6	11	9	4	6	6	7	1	10	6	7	4	7	10	10	7	3	11	5	10	5	5	8	4	7	3	5	6	5	2	10	5	9	2	1	4	5	4	3	10					
		0.51%	0.0%	2.23%	0.60%	2.15%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.21%	0.44%	0.82%	0.44%	0.84%	0.58%	1.53%	0.41%	0.33%	0.14%	0.33%	0.53%	0.87%	0.67%	1.48%	0.45%	0.43%	0.87%	1.29%	0.80%	0.38%	0.50%	0.62%	0.76%	0.57%	0.17%	0.67%	1.03%	0.34%	0.71%	0.56%	0.46%	0.58%	0.79%	0.67%	0.43%	0.65%	0.31%	0.49%	0.44%	0.42%	0.11%	0.52%	0.48%	0.36%	0.75%	0.64%	0.33%	0.76%	0.35%	0.68%	0.85%	0.59%	0.39%	0.39%	0.25%	0.41%	0.58%	0.67%	0.44%	0.22%	0.70%	0.39%	0.61%	0.31%	0.37%	0.50%	0.29%	0.45%	0.20%	0.39%	0.44%	0.63%	0.21%	0.94%	0.50%	0.58%	0.22%	0.10%	0.74%	0.5%	1.08%	0.50%	2.36%					
23	"6. ""Объединенная Российская партия ""Русь"""	270	0	0	0	0	1	0	0	0	0	0	2	1	0	4	1	6	0	5	5	3	0	1	2	0	4	1	10	0	1	3	4	7	6	0	1	1	1	1	0	7	4	3	1	5	3	4	2	5	2	4	1	2	1	2	3	6	5	5	3	2	5	0	3	6	4	4	7	5	3	6	2	3	2	8	0	3	5	4	5	8	4	2	1	4	1	3	8	4	5	0	4	2	6	2					
		0.26%	0.0%	0.0%	0.0%	0.0%	2.12%	0.0%	0.0%	0.0%	0.0%	0.0%	0.14%	0.11%	0.0%	0.59%	0.07%	0.39%	0.0%	0.34%	0.33%	0.21%	0.0%	0.05%	0.15%	0.0%	0.74%	0.15%	0.62%	0.0%	0.43%	0.18%	0.21%	0.58%	0.53%	0.0%	0.08%	0.08%	0.09%	0.08%	0.0%	0.41%	0.25%	0.20%	0.08%	0.32%	0.18%	0.43%	0.13%	0.39%	0.19%	0.29%	0.07%	0.11%	0.13%	0.13%	0.18%	0.40%	0.35%	0.41%	0.38%	0.11%	0.48%	0.0%	0.17%	0.39%	0.22%	0.25%	0.41%	0.29%	0.20%	0.37%	0.15%	0.19%	0.15%	0.49%	0.0%	0.22%	0.31%	0.29%	0.32%	0.54%	0.31%	0.14%	0.12%	0.43%	0.09%	0.30%	0.52%	0.45%	0.54%	0.0%	0.4%	0.54%	1.01%	0.47%					
24	"7. ""Новый курс - Автомобильная Россия"""	1289	0	2	2	0	0	0	0	2	0	0	24	22	11	10	17	17	0	22	16	6	11	19	10	7	12	7	14	3	4	25	19	9	13	9	5	6	10	10	10	9	14	9	17	22	22	10	18	14	11	9	19	18	10	12	20	13	7	16	6	29	11	3	22	28	27	21	23	37	29	20	23	24	14	35	26	25	21	21	29	19	38	19	15	13	4	11	16	9	13	9	15	4	4	2					
		1.25%	0.0%	1.49%	0.60%	0.0%	0.0%	0.0%	0.0%	3.27%	0.0%	0.0%	1.71%	2.42%	1.82%	1.48%	1.30%	1.10%	0.0%	1.53%	1.06%	0.42%	0.90%	1.13%	0.79%	1.58%	2.23%	1.07%	0.87%	0.87%	1.73%	1.54%	1.03%	0.75%	1.15%	0.98%	0.41%	0.52%	0.95%	0.86%	0.86%	0.53%	0.88%	0.60%	1.43%	1.45%	1.34%	1.07%	1.17%	1.10%	1.07%	0.67%	1.33%	1.07%	1.31%	0.83%	1.21%	0.88%	0.50%	1.33%	0.76%	1.73%	1.07%	2.56%	1.30%	1.82%	1.51%	1.32%	1.36%	2.18%	1.95%	1.26%	1.74%	1.53%	1.09%	2.16%	1.63%	1.86%	1.32%	1.52%	1.86%	1.28%	3.03%	1.41%	1.90%	1.42%	0.37%	1.11%	1.04%	1.01%	1.40%	1.67%	1.5%	1.08%	0.67%	0.47%					
25	"8. ""Народно-республиканская партия России"""	113	1	1	1	0	0	0	0	0	0	0	0	1	0	0	3	2	1	0	1	3	1	0	0	1	0	0	2	1	0	1	2	2	3	1	0	0	1	2	3	3	5	2	1	2	0	0	1	3	0	0	3	2	1	0	0	1	1	6	2	0	2	0	2	0	1	1	2	2	2	2	1	2	1	2	0	1	1	1	2	1	0	0	0	2	0	2	3	1	1	4	4	1	1	1					
		0.11%	2.63%	0.74%	0.30%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.11%	0.0%	0.0%	0.23%	0.13%	0.38%	0.0%	0.06%	0.21%	0.08%	0.0%	0.0%	0.22%	0.0%	0.0%	0.12%	0.29%	0.0%	0.06%	0.10%	0.16%	0.26%	0.10%	0.0%	0.0%	0.09%	0.17%	0.26%	0.17%	0.31%	0.13%	0.08%	0.13%	0.0%	0.0%	0.06%	0.23%	0.0%	0.0%	0.21%	0.11%	0.13%	0.0%	0.0%	0.06%	0.07%	0.50%	0.25%	0.0%	0.19%	0.0%	0.11%	0.0%	0.05%	0.06%	0.11%	0.11%	0.13%	0.12%	0.07%	0.12%	0.07%	0.12%	0.0%	0.07%	0.06%	0.07%	0.12%	0.06%	0.0%	0.0%	0.0%	0.21%	0.0%	0.20%	0.19%	0.11%	0.10%	0.74%	0.4%	0.27%	0.16%	0.23%					
26	"9. ""Российская экологическая партия ""Зеленые"""	765	0	0	1	1	0	1	1	1	0	0	8	7	4	2	10	13	1	12	14	9	6	6	7	1	5	3	16	2	3	12	21	25	13	11	14	14	10	5	9	10	17	11	10	9	10	5	8	7	8	9	7	13	6	8	10	11	10	5	6	11	7	1	10	17	10	6	14	12	4	6	22	9	12	22	18	8	9	10	16	14	11	13	4	0	11	4	9	10	4	2	5	2	1	3					
		0.74%	0.0%	0.0%	0.30%	1.07%	0.0%	1.42%	3.44%	1.63%	0.0%	0.0%	0.57%	0.77%	0.66%	0.29%	0.77%	0.84%	0.38%	0.83%	0.92%	0.64%	0.49%	0.35%	0.55%	0.22%	0.92%	0.45%	1.00%	0.58%	1.29%	0.74%	1.14%	2.09%	1.15%	1.20%	1.14%	1.22%	0.95%	0.43%	0.78%	0.59%	1.07%	0.73%	0.84%	0.59%	0.61%	0.53%	0.52%	0.55%	0.78%	0.67%	0.49%	0.77%	0.78%	0.55%	0.60%	0.75%	0.71%	0.41%	0.76%	0.65%	0.68%	0.85%	0.59%	1.10%	0.55%	0.37%	0.83%	0.70%	0.26%	0.37%	1.66%	0.57%	0.93%	1.36%	1.13%	0.59%	0.56%	0.72%	1.03%	0.94%	0.87%	0.97%	0.50%	0.0%	1.04%	0.40%	0.58%	1.12%	0.43%	0.37%	0.5%	0.54%	0.16%	0.71%					
27	"10. ""Аграрная партия России"""	3308	1	10	30	5	1	2	1	1	2	1	36	27	9	15	41	38	3	64	34	40	37	42	36	19	16	18	43	5	11	50	97	28	30	58	24	35	40	35	36	69	57	51	31	57	55	36	64	37	30	36	60	59	31	49	41	44	55	38	24	46	30	4	47	49	44	47	67	52	41	40	30	43	29	50	38	29	47	35	43	50	34	44	23	21	54	36	42	29	27	29	77	9	58	19					
		3.23%	2.63%	7.46%	9.00%	5.37%	2.12%	2.85%	3.44%	1.63%	5.40%	7.14%	2.56%	2.97%	1.49%	2.22%	3.15%	2.47%	1.14%	4.46%	2.25%	2.86%	3.05%	2.51%	2.86%	4.29%	2.97%	2.75%	2.69%	1.46%	4.76%	3.09%	5.29%	2.34%	2.67%	6.35%	1.97%	3.07%	3.83%	3.03%	3.12%	4.08%	3.60%	3.42%	2.61%	3.75%	3.36%	3.88%	4.17%	2.92%	2.94%	2.68%	4.21%	3.53%	4.07%	3.41%	2.49%	3.00%	3.95%	3.17%	3.05%	2.74%	2.92%	3.41%	2.78%	3.18%	2.46%	2.95%	3.99%	3.06%	2.76%	2.52%	2.27%	2.74%	2.26%	3.09%	2.38%	2.16%	2.96%	2.54%	2.77%	3.37%	2.71%	3.28%	2.91%	2.30%	5.11%	3.64%	2.74%	3.26%	2.92%	5.39%	7.7%	2.45%	9.78%	4.50%					
28	"11. ""Истинные патриоты России"""	123	0	0	0	0	0	0	0	0	0	0	4	0	0	1	1	0	3	1	0	0	1	0	2	0	0	2	2	0	0	2	0	4	3	1	0	2	2	1	0	2	0	5	6	1	3	2	1	3	0	4	1	0	0	1	0	2	6	0	1	1	0	0	1	4	2	0	0	4	1	0	1	0	3	6	4	3	0	3	0	4	2	2	0	0	1	2	1	1	5	1	1	0	0	0					
		0.12%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.28%	0.0%	0.0%	0.14%	0.07%	0.0%	1.14%	0.06%	0.0%	0.0%	0.08%	0.0%	0.15%	0.0%	0.0%	0.30%	0.12%	0.0%	0.0%	0.12%	0.0%	0.33%	0.26%	0.10%	0.0%	0.17%	0.19%	0.08%	0.0%	0.11%	0.0%	0.33%	0.50%	0.06%	0.18%	0.21%	0.06%	0.23%	0.0%	0.29%	0.07%	0.0%	0.0%	0.06%	0.0%	0.13%	0.43%	0.0%	0.12%	0.05%	0.0%	0.0%	0.05%	0.26%	0.11%	0.0%	0.0%	0.23%	0.06%	0.0%	0.07%	0.0%	0.23%	0.37%	0.25%	0.22%	0.0%	0.21%	0.0%	0.27%	0.15%	0.14%	0.0%	0.0%	0.09%	0.20%	0.06%	0.11%	0.54%	0.18%	0.1%	0.0%	0.0%	0.0%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	1156	0	2	1	1	0	0	0	0	2	0	17	9	5	10	22	16	2	15	15	8	8	11	10	6	5	9	24	3	2	26	25	17	11	8	20	9	10	16	14	22	19	27	6	18	22	17	16	13	5	15	15	19	16	10	11	16	10	30	17	17	11	0	18	15	14	18	14	13	10	13	9	13	17	14	12	21	20	16	25	16	18	19	8	12	17	12	22	20	10	7	8	5	3	6					
		1.12%	0.0%	1.49%	0.30%	1.07%	0.0%	0.0%	0.0%	0.0%	5.40%	0.0%	1.21%	0.99%	0.82%	1.48%	1.69%	1.04%	0.76%	1.04%	0.99%	0.57%	0.66%	0.65%	0.79%	1.35%	0.92%	1.37%	1.50%	0.87%	0.86%	1.61%	1.36%	1.42%	0.98%	0.87%	1.64%	0.79%	0.95%	1.38%	1.21%	1.30%	1.20%	1.81%	0.50%	1.18%	1.34%	1.83%	1.04%	1.02%	0.49%	1.11%	1.05%	1.13%	2.10%	0.69%	0.67%	1.09%	0.71%	2.51%	2.16%	1.01%	1.07%	0.0%	1.06%	0.97%	0.78%	1.13%	0.83%	0.76%	0.67%	0.81%	0.68%	0.82%	1.32%	0.86%	0.75%	1.56%	1.26%	1.16%	1.61%	1.08%	1.43%	1.41%	1.01%	1.31%	1.61%	1.21%	1.43%	2.25%	1.08%	1.30%	0.8%	1.36%	0.50%	1.42%					
