Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																																											
Дата голосования: 02.12.2007																																																																											
																																																																											
"Наименование Избирательной комиссии:    Уфа, Кировская"																																																																											
																																																																											
Сводная таблица результатов выборов																																																																											
																																																																											
		Сумма	УИК №90	УИК №91	УИК №92	УИК №93	УИК №94	УИК №95	УИК №96	УИК №97	УИК №98	УИК №99	УИК №100	УИК №101	УИК №102	УИК №103	УИК №104	УИК №105	УИК №106	УИК №107	УИК №108	УИК №109	УИК №110	УИК №111	УИК №112	УИК №113	УИК №114	УИК №115	УИК №116	УИК №117	УИК №118	УИК №119	УИК №120	УИК №121	УИК №122	УИК №123	УИК №124	УИК №125	УИК №126	УИК №127	УИК №128	УИК №129	УИК №130	УИК №131	УИК №132	УИК №133	УИК №134	УИК №135	УИК №136	УИК №137	УИК №138	УИК №139	УИК №140	УИК №141	УИК №142	УИК №143	УИК №144	УИК №145	УИК №146	УИК №147	УИК №148	УИК №149	УИК №150	УИК №151	УИК №152	УИК №153	УИК №154	УИК №155	УИК №156	УИК №157					
23	6.Политическая партия «Партия социальной справедливости»	205	3	3	1	2	9	1	3	2	1	5	2	2	5	5	6	0	3	8	1	1	3	2	1	0	0	0	8	7	0	4	0	5	1	4	0	3	12	9	9	2	5	3	11	0	1	5	8	0	0	5	1	5	5	5	6	2	2	3	4	0	0	0	0	0	0	0	0	1					
		0.23%	0.14%	0.15%	0.06%	0.11%	0.41%	0.07%	0.23%	0.27%	0.09%	0.21%	0.20%	0.10%	0.24%	0.57%	0.51%	0.00%	0.21%	0.39%	0.10%	0.11%	0.35%	0.25%	0.20%	0.00%	0.00%	0.00%	0.50%	0.35%	0.00%	0.34%	0.00%	0.33%	0.07%	0.24%	0.00%	0.16%	0.55%	0.46%	0.45%	0.12%	0.25%	0.15%	0.61%	0.00%	0.49%	0.41%	0.61%	0.00%	0.00%	0.26%	0.07%	0.32%	0.38%	0.34%	0.26%	0.11%	0.35%	0.23%	0.18%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.19%					
24	7.Политическая партия «Либерально-демократическая партия России»	2285	37	5	3	19	26	29	19	37	5	78	6	10	103	56	74	28	36	13	52	51	10	20	30	10	13	12	16	113	0	9	0	10	60	78	25	77	61	112	34	35	17	62	5	12	10	85	52	3	10	44	68	38	17	25	102	117	32	38	100	6	4	11	0	3	1	1	4	6					
		2.52%	1.76%	0.25%	0.17%	1.00%	1.19%	2.07%	1.43%	4.99%	0.44%	3.31%	0.60%	0.49%	4.94%	6.36%	6.34%	1.94%	2.47%	0.63%	5.05%	5.59%	1.16%	2.52%	6.15%	2.01%	3.26%	1.80%	1.01%	5.64%	0.00%	0.77%	0.00%	0.67%	3.94%	4.71%	1.44%	4.06%	2.78%	5.69%	1.68%	2.15%	0.86%	3.18%	0.28%	1.95%	4.90%	6.91%	3.96%	0.20%	0.57%	2.32%	4.45%	2.47%	1.29%	1.69%	4.35%	6.26%	5.66%	2.85%	4.40%	0.56%	0.92%	5.24%	0.00%	1.55%	0.43%	0.93%	1.25%	1.15%					
25	8.Политическая партия «СПРАВЕДЛИВАЯ РОССИЯ: РОДИНА/ПЕНСИОНЕРЫ/ЖИЗНЬ»	6065	151	206	142	283	218	133	105	7	92	197	71	162	97	47	58	113	56	101	40	39	61	52	42	8	6	47	109	81	191	81	176	3	102	79	139	187	129	173	141	82	138	70	135	13	2	122	119	183	140	24	30	30	91	104	117	77	2	32	180	15	213	1	0	0	1	3	5	11					
		6.69%	7.17%	10.18%	7.97%	14.93%	9.96%	9.50%	7.90%	0.94%	8.06%	8.37%	7.11%	7.95%	4.65%	5.33%	4.97%	7.84%	3.84%	4.91%	3.88%	4.27%	7.07%	6.55%	8.61%	1.61%	1.50%	7.07%	6.87%	4.05%	13.63%	6.96%	9.95%	0.20%	6.69%	4.77%	8.02%	9.86%	5.89%	8.79%	6.98%	5.03%	6.96%	3.60%	7.46%	2.11%	0.98%	9.92%	9.06%	12.23%	8.00%	1.27%	1.96%	1.95%	6.91%	7.02%	4.99%	4.12%	0.35%	2.40%	7.92%	1.39%	48.74%	0.48%	0.00%	0.00%	0.43%	2.80%	1.56%	2.11%					
26	9.Политическая партия «ПАТРИОТЫ РОССИИ»	357	4	11	4	3	19	12	5	7	3	13	7	2	7	8	15	0	15	4	6	2	6	2	1	1	2	1	3	12	0	8	0	9	5	3	9	2	2	7	7	8	8	11	1	4	0	3	8	10	1	3	4	15	1	4	20	2	1	9	11	5	0	0	0	0	1	0	0	0					
		0.39%	0.19%	0.54%	0.22%	0.16%	0.87%	0.86%	0.38%	0.94%	0.26%	0.55%	0.70%	0.10%	0.34%	0.91%	1.28%	0.00%	1.03%	0.19%	0.58%	0.22%	0.70%	0.25%	0.20%	0.20%	0.50%	0.15%	0.19%	0.60%	0.00%	0.69%	0.00%	0.60%	0.33%	0.18%	0.52%	0.11%	0.09%	0.36%	0.35%	0.49%	0.40%	0.56%	0.06%	0.65%	0.00%	0.24%	0.61%	0.67%	0.06%	0.16%	0.26%	0.97%	0.08%	0.27%	0.85%	0.11%	0.18%	0.68%	0.48%	0.46%	0.00%	0.00%	0.00%	0.00%	0.43%	0.00%	0.00%	0.00%					
27	10.Всероссийская политическая партия «ЕДИНАЯ РОССИЯ»	68191	1578	1585	1365	1455	1652	1031	997	549	857	1766	704	1521	1477	647	810	1069	1125	1685	794	700	644	589	332	402	319	495	1160	1531	991	867	1337	1115	1034	1226	1301	1325	1669	1393	1496	1228	1488	1533	1372	527	173	700	923	1109	1313	1591	1308	1151	975	1112	1695	1389	481	1008	1673	1005	214	154	232	185	225	101	289	444					
		75.25%	74.93%	78.35%	76.60%	76.78%	75.50%	73.64%	75.02%	73.99%	75.04%	75.02%	70.47%	74.67%	70.87%	73.44%	69.35%	74.18%	77.16%	81.84%	77.09%	76.67%	74.62%	74.18%	68.03%	80.72%	79.95%	74.44%	73.14%	76.47%	70.74%	74.48%	75.62%	74.43%	67.85%	73.99%	75.03%	69.88%	76.14%	70.75%	74.06%	75.34%	75.04%	78.74%	75.84%	85.69%	84.80%	56.91%	70.24%	74.13%	75.03%	84.05%	85.60%	74.79%	74.03%	75.03%	72.31%	74.32%	85.13%	75.68%	73.57%	93.40%	48.97%	73.33%	93.55%	95.85%	95.74%	94.39%	90.31%	85.22%					
28	11.Политическая партия «Российская объединенная демократическая партия «ЯБЛОКО»	690	5	5	4	6	12	15	10	14	2	48	7	2	15	13	20	0	10	6	7	6	5	4	2	7	4	2	7	41	0	7	0	16	15	9	0	28	2	9	4	11	12	44	5	0	1	40	12	7	8	17	11	20	22	14	61	2	2	7	18	2	0	0	0	0	0	0	1	4					
		0.76%	0.24%	0.25%	0.22%	0.32%	0.55%	1.07%	0.75%	1.89%	0.18%	2.04%	0.70%	0.10%	0.72%	1.48%	1.71%	0.00%	0.69%	0.29%	0.68%	0.66%	0.58%	0.50%	0.41%	1.41%	1.00%	0.30%	0.44%	2.05%	0.00%	0.60%	0.00%	1.07%	0.98%	0.54%	0.00%	1.48%	0.09%	0.46%	0.20%	0.67%	0.61%	2.26%	0.28%	0.00%	0.49%	3.25%	0.91%	0.47%	0.46%	0.90%	0.72%	1.30%	1.67%	0.94%	2.60%	0.11%	0.35%	0.53%	0.79%	0.19%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.31%	0.77%					
																																																																											
																																																																											
																																																																											
																																																																											
																																																																											
																																																																											
																																																																											
																																																																											
																																																																											
																																																																											
																																																																											
																																																																											
																																																																											
																																																																											
																																																																											
																																																																											
																																																																											
																																																																											
