Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																																		
Дата голосования: 07.12.2003 0:00:00																																																																		
																																																																		
Наименование Избирательной комиссии:    Стародубская																																																																		
																																																																		
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																																		
																																																																		
		Сумма	УИК №947	УИК №948	УИК №949	УИК №950	УИК №951	УИК №952	УИК №953	УИК №954	УИК №955	УИК №956	УИК №957	УИК №958	УИК №959	УИК №960	УИК №961	УИК №962	УИК №963	УИК №964	УИК №965	УИК №966	УИК №967	УИК №968	УИК №969	УИК №970	УИК №971	УИК №972	УИК №973	УИК №974	УИК №975	УИК №976	УИК №977	УИК №978	УИК №979	УИК №980	УИК №981	УИК №982	УИК №983	УИК №984	УИК №985	УИК №986	УИК №987	УИК №988	УИК №989	УИК №990	УИК №991	УИК №992	УИК №993	УИК №994	УИК №995	УИК №996	УИК №997	УИК №998	УИК №999	УИК №1000	УИК №1001	УИК №1002	УИК №1003	УИК №1004	УИК №1005					
30	"13. ""Демократическая партия России"""	66	0	0	0	0	1	0	0	0	0	1	0	0	0	2	0	1	2	0	0	0	2	0	1	4	0	1	0	0	2	1	2	0	0	1	2	2	2	0	1	1	0	3	1	0	1	0	1	4	1	1	1	2	4	3	5	2	4	0	4					
		0.34%	0.0%	0.0%	0.0%	0.0%	0.59%	0.0%	0.0%	0.0%	0.0%	0.45%	0.0%	0.0%	0.0%	0.75%	0.0%	0.34%	0.30%	0.0%	0.0%	0.0%	0.49%	0.0%	0.86%	0.67%	0.0%	0.56%	0.0%	0.0%	1.26%	0.61%	0.84%	0.0%	0.0%	0.78%	0.93%	0.39%	0.66%	0.0%	1.05%	0.38%	0.0%	1.01%	0.18%	0.0%	0.37%	0.0%	0.62%	1.47%	0.43%	0.13%	0.13%	0.26%	0.46%	0.42%	0.68%	0.35%	0.70%	0.0%	0.54%					
31	"14. ""Великая Россия - Евразийский Союз"""	28	0	0	0	0	1	0	0	0	1	2	0	0	0	0	0	0	0	1	1	0	0	0	0	2	0	1	3	0	0	2	0	0	0	0	0	0	0	0	1	0	0	1	0	1	1	0	1	1	0	1	2	0	1	2	0	0	2	0	0					
		0.14%	0.0%	0.0%	0.0%	0.0%	0.59%	0.0%	0.0%	0.0%	0.60%	0.91%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.69%	0.37%	0.0%	0.0%	0.0%	0.0%	0.33%	0.0%	0.56%	2.45%	0.0%	0.0%	1.23%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	1.05%	0.0%	0.0%	0.33%	0.0%	0.49%	0.37%	0.0%	0.62%	0.36%	0.0%	0.13%	0.26%	0.0%	0.11%	0.28%	0.0%	0.0%	0.35%	0.0%	0.0%					
32	"15. ""Партия СЛОН"""	24	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	2	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	1	1	1	1	0	4	0	3	2	1	0	0					
		0.12%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.38%	0.0%	0.0%	0.0%	0.0%	0.34%	0.0%	0.0%	0.0%	0.0%	0.49%	0.50%	0.0%	0.16%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.42%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	1.05%	0.0%	0.0%	0.0%	0.0%	0.0%	0.37%	0.0%	0.62%	0.36%	0.43%	0.13%	0.13%	0.0%	0.46%	0.0%	0.40%	0.35%	0.17%	0.0%	0.0%					
33	"16. ""Родина"" (народно-патриотический союз)"""	832	4	1	10	1	2	5	4	4	8	4	15	11	16	12	11	8	36	1	14	2	19	10	4	23	4	21	4	13	3	8	5	9	13	2	7	29	15	16	0	3	3	11	7	1	9	4	0	9	5	43	49	44	45	41	36	36	36	39	37					
		4.36%	1.38%	0.38%	4.95%	0.72%	1.18%	2.99%	2.19%	2.0%	4.87%	1.83%	5.76%	5.06%	3.50%	4.54%	7.53%	2.77%	5.48%	0.69%	5.26%	1.28%	4.66%	5.02%	3.47%	3.89%	3.70%	11.93%	3.27%	5.67%	1.89%	4.93%	2.10%	5.59%	3.33%	1.56%	3.28%	5.67%	5.0%	4.32%	0.0%	1.15%	1.91%	3.70%	1.28%	0.49%	3.40%	2.87%	0.0%	3.30%	2.16%	5.94%	6.54%	5.90%	5.25%	5.79%	4.90%	6.45%	6.30%	6.00%	5.07%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	53	0	0	1	2	0	0	1	0	0	2	0	0	2	2	0	1	1	1	2	0	1	3	0	2	0	1	0	2	0	0	1	0	0	1	1	4	1	3	0	0	1	0	0	0	1	0	0	0	4	3	0	1	2	3	2	0	1	0	0					
		0.27%	0.0%	0.0%	0.49%	1.44%	0.0%	0.0%	0.54%	0.0%	0.0%	0.91%	0.0%	0.0%	0.43%	0.75%	0.0%	0.34%	0.15%	0.69%	0.75%	0.0%	0.24%	1.50%	0.0%	0.33%	0.0%	0.56%	0.0%	0.87%	0.0%	0.0%	0.42%	0.0%	0.0%	0.78%	0.46%	0.78%	0.33%	0.81%	0.0%	0.0%	0.63%	0.0%	0.0%	0.0%	0.37%	0.0%	0.0%	0.0%	1.73%	0.41%	0.0%	0.13%	0.23%	0.42%	0.27%	0.0%	0.17%	0.0%	0.0%					
35	"18. ""ЛДПР"""	1886	19	13	7	8	7	18	11	11	9	14	13	28	31	25	8	19	71	25	19	3	40	20	13	75	13	16	20	13	10	10	20	8	37	25	23	48	18	29	8	16	5	20	67	14	26	10	24	21	11	94	86	105	118	91	63	51	68	81	110					
		9.89%	6.59%	5.0%	3.46%	5.79%	4.14%	10.77%	6.04%	5.5%	5.48%	6.42%	5.0%	12.90%	6.79%	9.46%	5.47%	6.59%	10.82%	17.36%	7.14%	1.92%	9.82%	10.05%	11.30%	12.71%	12.03%	9.09%	16.39%	5.67%	6.32%	6.17%	8.43%	4.96%	9.48%	19.53%	10.79%	9.39%	6.0%	7.83%	8.42%	6.17%	3.18%	6.73%	12.27%	6.89%	9.84%	7.19%	15.0%	7.72%	4.76%	13.00%	11.48%	14.09%	13.78%	12.87%	8.58%	9.13%	11.90%	12.48%	15.08%					
36	"19. ""Партия Возрождения России - Российская партия ЖИЗНИ"""	529	1	5	4	4	0	4	3	2	6	4	2	8	12	4	1	8	13	2	4	5	8	4	3	27	5	6	5	5	2	0	6	2	4	1	3	10	5	9	3	2	6	6	22	0	4	0	0	3	2	23	32	41	38	40	36	17	13	27	17					
		2.77%	0.34%	1.92%	1.98%	2.89%	0.0%	2.39%	1.64%	1.0%	3.65%	1.83%	0.76%	3.68%	2.63%	1.51%	0.68%	2.77%	1.98%	1.38%	1.50%	3.20%	1.96%	2.01%	2.60%	4.57%	4.62%	3.40%	4.09%	2.18%	1.26%	0.0%	2.53%	1.24%	1.02%	0.78%	1.40%	1.95%	1.66%	2.43%	3.15%	0.77%	3.82%	2.02%	4.02%	0.0%	1.51%	0.0%	0.0%	1.10%	0.86%	3.18%	4.27%	5.50%	4.43%	5.65%	4.90%	3.04%	2.27%	4.16%	2.33%					
37	"20. ""Политическая партия ""Единая Россия"""	6175	86	30	17	39	16	22	24	69	30	46	42	84	91	79	42	124	339	69	144	35	131	79	44	187	25	61	47	86	49	62	40	67	84	23	54	204	118	94	22	50	43	51	201	102	74	19	45	84	113	243	275	257	342	217	251	201	203	243	256					
		32.39%	29.86%	11.53%	8.41%	28.26%	9.46%	13.17%	13.18%	34.5%	18.29%	21.10%	16.15%	38.70%	19.95%	29.92%	28.76%	43.05%	51.67%	47.91%	54.13%	22.43%	32.18%	39.69%	38.26%	31.69%	23.14%	34.65%	38.52%	37.55%	31.01%	38.27%	16.87%	41.61%	21.53%	17.96%	25.35%	39.92%	39.33%	25.40%	23.15%	19.30%	27.38%	17.17%	36.81%	50.24%	28.03%	13.66%	28.12%	30.88%	48.91%	33.60%	36.71%	34.49%	39.95%	30.69%	34.19%	36.02%	35.55%	37.44%	35.11%					
38	"21. ""Российская Конституционно-демократическая партия"""	58	2	0	1	0	4	3	1	0	0	2	0	2	1	0	0	2	1	1	1	0	0	2	0	1	0	0	1	0	0	1	3	0	0	0	2	2	1	0	0	0	3	0	1	0	0	0	0	0	0	3	3	1	5	4	0	0	0	0	4					
		0.30%	0.69%	0.0%	0.49%	0.0%	2.36%	1.79%	0.54%	0.0%	0.0%	0.91%	0.0%	0.92%	0.21%	0.0%	0.0%	0.69%	0.15%	0.69%	0.37%	0.0%	0.0%	1.00%	0.0%	0.16%	0.0%	0.0%	0.81%	0.0%	0.0%	0.61%	1.26%	0.0%	0.0%	0.0%	0.93%	0.39%	0.33%	0.0%	0.0%	0.0%	1.91%	0.0%	0.18%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.41%	0.40%	0.13%	0.58%	0.56%	0.0%	0.0%	0.0%	0.0%	0.54%					
39	"22. ""Развитие предпринимательства"""	42	0	1	3	0	2	1	0	0	0	0	0	0	3	2	0	0	2	1	1	0	0	1	0	3	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	1	0	0	1	0	1	2	0	3	1	2	1	0	2	1	1	3					
		0.22%	0.0%	0.38%	1.48%	0.0%	1.18%	0.59%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.65%	0.75%	0.0%	0.0%	0.30%	0.69%	0.37%	0.0%	0.0%	0.50%	0.0%	0.50%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.25%	0.0%	0.46%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.33%	0.18%	0.0%	0.0%	0.71%	0.0%	0.36%	0.86%	0.0%	0.40%	0.13%	0.23%	0.14%	0.0%	0.35%	0.17%	0.15%	0.41%					
40	"23. ""Коммунистическая партия Российской Федерации (КПРФ)"""	5981	130	184	108	66	126	63	86	74	77	117	115	55	199	87	74	72	89	16	37	84	103	39	33	174	47	37	23	78	56	65	127	59	174	45	77	139	109	165	35	146	66	131	143	32	99	85	46	88	26	156	166	155	172	176	220	150	125	152	203					
		31.37%	45.13%	70.76%	53.46%	47.82%	74.55%	37.72%	47.25%	37.0%	46.95%	53.66%	44.23%	25.34%	43.64%	32.95%	50.68%	25.0%	13.56%	11.11%	13.90%	53.84%	25.30%	19.59%	28.69%	29.49%	43.51%	21.02%	18.85%	34.06%	35.44%	40.12%	53.58%	36.64%	44.61%	35.15%	36.15%	27.20%	36.33%	44.59%	36.84%	56.37%	42.03%	44.10%	26.19%	15.76%	37.5%	61.15%	28.75%	32.35%	11.25%	21.57%	22.16%	20.80%	20.09%	24.89%	29.97%	26.88%	21.89%	23.42%	27.84%					
																																																																		
