Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																																													
Дата голосования: 07.12.2003 0:00:00																																																																													
																																																																													
Наименование Избирательной комиссии:    Гулькевичская																																																																													
																																																																													
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																																													
																																																																													
		Сумма	УИК  1101	УИК  1102	УИК  1103	УИК  1104	УИК  1105	УИК  1106	УИК  1107	УИК  1108	УИК  1109	УИК  1110	УИК  1111	УИК  1112	УИК  1113	УИК  1114	УИК  1115	УИК  1116	УИК  1117	УИК  1118	УИК  1119	УИК  1120	УИК  1121	УИК  1122	УИК  1123	УИК  1124	УИК  1125	УИК  1126	УИК  1127	УИК  1128	УИК  1129	УИК  1130	УИК  1131	УИК  1132	УИК  1133	УИК  1134	УИК  1135	УИК  1136	УИК  1137	УИК  1138	УИК  1139	УИК  1140	УИК  1141	УИК  1142	УИК  1143	УИК  1144	УИК  1145	УИК  1146	УИК  1147	УИК  1148	УИК  1149	УИК  1150	УИК  1151	УИК  1152	УИК  1153	УИК  1154	УИК  1155	УИК  1156	УИК  1157	УИК  1158	УИК  1159	УИК  1160	УИК  1161	УИК  1162	УИК  1163	УИК  1164	УИК  1165	УИК  1166	УИК  1167	УИК  1168	УИК  1169	УИК  1170					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	377	5	15	15	5	5	5	5	5	5	5	5	10	5	5	5	5	5	5	5	5	5	5	5	5	5	8	4	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	103	0	12	7	5	1	2	0	4	2	3	0	7	1	0	0	5	2	1	0	2	0	0	0	0	0	8	1	2	2	1	0	0	0	1	0	5	2	0	0	0	0	0	0	1	2	0	0	1	0	1	0	0	3	0	1	0	4	1	4	1	1	0	4	2	1	0	0	0	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	81	3	3	4	0	2	3	2	2	3	5	5	3	1	4	1	0	0	3	1	0	5	1	1	0	0	3	1	0	5	3	0	0	0	1	0	0	1	3	1	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	2	0	0	0	0	2	0	1	0	2	1	0	0	0	0					
14	Число погашенных открепительных удостоверений	274	5	3	8	0	4	3	5	1	3	2	5	3	4	5	5	0	3	4	5	3	5	5	5	5	5	0	3	3	3	4	5	5	5	4	5	0	3	5	5	5	5	5	5	4	3	5	5	4	5	4	5	5	2	5	4	5	1	4	1	4	4	5	1	3	4	5	5	5	5	5					
15	Число открепительных удостоверений выданных ТИК	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																																													
18	"1. ""ЕДИНЕНИЕ"""	365	5	9	9	7	4	6	2	5	4	5	7	8	5	8	10	4	9	6	3	0	10	9	1	0	9	21	7	6	2	1	0	4	2	5	5	6	8	7	3	2	0	4	4	2	9	2	0	14	10	0	3	0	3	2	17	0	8	4	6	2	7	6	7	3	3	5	2	2	9	7					
		0.82%	0.75%	0.90%	0.70%	0.56%	0.69%	0.70%	0.38%	0.57%	0.30%	1.36%	0.81%	0.65%	1.04%	0.63%	1.08%	1.08%	1.35%	0.74%	0.49%	0.0%	0.82%	1.15%	0.19%	0.0%	1.69%	1.66%	0.77%	1.37%	0.24%	0.10%	0.0%	1.76%	0.80%	0.99%	1.87%	0.97%	1.42%	0.52%	0.66%	0.58%	0.0%	0.85%	1.17%	0.39%	0.73%	0.34%	0.0%	2.03%	2.39%	0.0%	1.74%	0.0%	0.35%	0.20%	1.49%	0.0%	1.30%	0.32%	0.72%	0.69%	1.08%	3.15%	0.66%	1.96%	0.95%	1.46%	0.90%	0.29%	0.93%	4.76%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	453	12	26	16	23	7	10	9	11	20	3	17	22	8	10	8	2	5	10	10	2	7	2	1	6	7	12	3	3	9	5	0	1	0	2	0	4	8	11	11	1	0	1	0	11	8	6	0	15	1	3	0	0	5	7	4	1	4	10	1	4	7	0	20	0	2	0	4	5	10	0					
		1.02%	1.81%	2.62%	1.25%	1.86%	1.21%	1.17%	1.71%	1.26%	1.54%	0.82%	1.97%	1.79%	1.67%	0.79%	0.87%	0.54%	0.75%	1.24%	1.65%	2.15%	0.58%	0.25%	0.19%	1.62%	1.31%	0.95%	0.33%	0.68%	1.10%	0.53%	0.0%	0.44%	0.0%	0.39%	0.0%	0.64%	1.42%	0.82%	2.44%	0.29%	0.0%	0.21%	0.0%	2.17%	0.65%	1.03%	0.0%	2.18%	0.23%	1.29%	0.0%	0.0%	0.58%	0.71%	0.35%	0.87%	0.65%	0.80%	0.12%	1.39%	1.08%	0.0%	1.91%	0.0%	0.63%	0.0%	1.80%	0.72%	1.04%	0.0%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	752	16	20	34	23	9	25	10	18	23	12	18	22	26	14	16	3	14	14	17	1	17	9	12	4	8	32	22	13	23	18	3	5	4	7	4	9	16	14	6	5	0	7	2	4	22	9	1	3	2	7	2	4	6	12	3	2	16	13	2	4	10	3	23	4	2	2	0	7	12	2					
		1.69%	2.42%	2.01%	2.66%	1.86%	1.56%	2.92%	1.90%	2.07%	1.77%	3.28%	2.08%	1.79%	5.43%	1.10%	1.74%	0.81%	2.10%	1.74%	2.81%	1.07%	1.40%	1.15%	2.30%	1.08%	1.50%	2.53%	2.42%	2.98%	2.81%	1.92%	1.23%	2.21%	1.61%	1.39%	1.50%	1.45%	2.84%	1.04%	1.33%	1.46%	0.0%	1.50%	0.58%	0.79%	1.80%	1.55%	1.03%	0.43%	0.47%	3.03%	1.16%	2.58%	0.70%	1.22%	0.26%	1.75%	2.61%	1.04%	0.24%	1.39%	1.55%	1.57%	2.19%	2.61%	0.63%	0.58%	0.0%	1.02%	1.25%	1.36%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	772	24	24	39	34	17	19	14	18	30	4	15	41	13	30	9	5	14	17	10	0	31	18	3	0	12	21	21	2	11	19	0	0	0	1	3	3	4	36	3	3	0	7	1	9	19	7	0	7	0	2	0	1	10	9	9	10	14	19	15	4	6	1	15	0	5	5	0	4	24	1					
		1.74%	3.63%	2.41%	3.06%	2.75%	2.95%	2.22%	2.67%	2.07%	2.31%	1.09%	1.74%	3.33%	2.71%	2.37%	0.97%	1.35%	2.10%	2.11%	1.65%	0.0%	2.57%	2.30%	0.57%	0.0%	2.25%	1.66%	2.31%	0.45%	1.34%	2.02%	0.0%	0.0%	0.0%	0.19%	1.12%	0.48%	0.71%	2.69%	0.66%	0.87%	0.0%	1.50%	0.29%	1.78%	1.55%	1.20%	0.0%	1.01%	0.0%	0.86%	0.0%	0.64%	1.17%	0.91%	0.79%	8.77%	2.29%	1.53%	1.80%	1.39%	0.93%	0.52%	1.43%	0.0%	1.59%	1.46%	0.0%	0.58%	2.50%	0.68%					
22	"5. ""За Русь Святую"""	219	2	3	4	3	6	4	3	4	5	3	4	5	2	3	0	6	1	1	14	0	1	7	5	5	3	8	11	3	6	2	0	1	0	2	0	3	6	18	2	1	2	3	0	8	5	0	0	0	0	3	0	0	1	1	5	2	6	10	2	0	3	0	3	0	0	1	0	5	2	0					
		0.49%	0.30%	0.30%	0.31%	0.24%	1.04%	0.46%	0.57%	0.46%	0.38%	0.82%	0.46%	0.40%	0.41%	0.23%	0.0%	1.62%	0.15%	0.12%	2.31%	0.0%	0.08%	0.89%	0.95%	1.35%	0.56%	0.63%	1.21%	0.68%	0.73%	0.21%	0.0%	0.44%	0.0%	0.39%	0.0%	0.48%	1.06%	1.34%	0.44%	0.29%	1.06%	0.64%	0.0%	1.58%	0.40%	0.0%	0.0%	0.0%	0.0%	1.29%	0.0%	0.0%	0.11%	0.10%	0.44%	1.75%	0.98%	0.80%	0.24%	0.0%	0.46%	0.0%	0.28%	0.0%	0.0%	0.29%	0.0%	0.72%	0.20%	0.0%					
23	"6. ""Объединенная Российская партия ""Русь"""	94	2	5	2	1	0	0	0	2	0	2	0	1	2	6	2	3	2	3	3	0	1	1	0	6	4	1	4	0	1	1	1	0	1	0	0	1	4	0	1	0	0	2	0	1	3	2	0	1	0	0	0	3	0	0	1	0	2	4	2	0	4	0	3	1	2	0	0	0	0	0					
		0.21%	0.30%	0.50%	0.15%	0.08%	0.0%	0.0%	0.0%	0.23%	0.0%	0.54%	0.0%	0.08%	0.41%	0.47%	0.21%	0.81%	0.30%	0.37%	0.49%	0.0%	0.08%	0.12%	0.0%	1.62%	0.75%	0.07%	0.44%	0.0%	0.12%	0.10%	0.41%	0.0%	0.40%	0.0%	0.0%	0.16%	0.71%	0.0%	0.22%	0.0%	0.0%	0.42%	0.0%	0.19%	0.24%	0.34%	0.0%	0.14%	0.0%	0.0%	0.0%	1.93%	0.0%	0.0%	0.08%	0.0%	0.32%	0.32%	0.24%	0.0%	0.62%	0.0%	0.28%	0.65%	0.63%	0.0%	0.0%	0.0%	0.0%	0.0%					
24	"7. ""Новый курс - Автомобильная Россия"""	240	5	6	5	5	2	9	3	17	10	2	4	7	7	14	7	3	0	0	3	0	4	2	4	0	3	4	6	2	4	9	0	1	0	3	0	1	3	7	1	0	0	2	1	2	7	2	1	5	3	0	0	0	6	9	5	2	3	10	3	1	0	1	10	0	0	0	2	1	0	1					
		0.54%	0.75%	0.60%	0.39%	0.40%	0.34%	1.05%	0.57%	1.96%	0.77%	0.54%	0.46%	0.56%	1.46%	1.10%	0.76%	0.81%	0.0%	0.0%	0.49%	0.0%	0.33%	0.25%	0.76%	0.0%	0.56%	0.31%	0.66%	0.45%	0.49%	0.96%	0.0%	0.44%	0.0%	0.59%	0.0%	0.16%	0.53%	0.52%	0.22%	0.0%	0.0%	0.42%	0.29%	0.39%	0.57%	0.34%	1.03%	0.72%	0.71%	0.0%	0.0%	0.0%	0.70%	0.91%	0.44%	1.75%	0.49%	0.80%	0.36%	0.34%	0.0%	0.52%	0.95%	0.0%	0.0%	0.0%	0.90%	0.14%	0.0%	0.68%					
25	"8. ""Народно-республиканская партия России"""	63	1	2	2	0	0	1	1	1	3	1	2	1	2	0	0	0	0	1	0	0	2	2	1	1	2	2	6	0	2	1	0	0	0	2	2	1	0	0	2	0	0	3	1	0	0	0	0	2	0	0	0	0	0	0	1	0	2	3	0	1	0	0	0	0	1	2	0	1	1	1					
		0.14%	0.15%	0.20%	0.15%	0.0%	0.0%	0.11%	0.19%	0.11%	0.23%	0.27%	0.23%	0.08%	0.41%	0.0%	0.0%	0.0%	0.0%	0.12%	0.0%	0.0%	0.16%	0.25%	0.19%	0.27%	0.37%	0.15%	0.66%	0.0%	0.24%	0.10%	0.0%	0.0%	0.0%	0.39%	0.75%	0.16%	0.0%	0.0%	0.44%	0.0%	0.0%	0.64%	0.29%	0.0%	0.0%	0.0%	0.0%	0.29%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.08%	0.0%	0.32%	0.24%	0.0%	0.34%	0.0%	0.0%	0.0%	0.0%	0.31%	0.58%	0.0%	0.14%	0.10%	0.68%					
26	"9. ""Российская экологическая партия ""Зеленые"""	82	2	5	2	5	1	2	1	3	0	0	2	5	2	1	0	2	0	1	1	0	2	1	0	1	2	0	3	1	1	1	1	0	0	0	1	1	0	2	2	0	0	3	0	1	2	1	0	0	1	0	0	0	0	5	1	0	1	1	3	1	0	0	3	0	3	0	0	1	0	1					
		0.18%	0.30%	0.50%	0.15%	0.40%	0.17%	0.23%	0.19%	0.34%	0.0%	0.0%	0.23%	0.40%	0.41%	0.07%	0.0%	0.54%	0.0%	0.12%	0.16%	0.0%	0.16%	0.12%	0.0%	0.27%	0.37%	0.0%	0.33%	0.22%	0.12%	0.10%	0.41%	0.0%	0.0%	0.0%	0.37%	0.16%	0.0%	0.14%	0.44%	0.0%	0.0%	0.64%	0.0%	0.19%	0.16%	0.17%	0.0%	0.0%	0.23%	0.0%	0.0%	0.0%	0.0%	0.51%	0.08%	0.0%	0.16%	0.08%	0.36%	0.34%	0.0%	0.0%	0.28%	0.0%	0.95%	0.0%	0.0%	0.14%	0.0%	0.68%					
27	"10. ""Аграрная партия России"""	1790	19	22	34	32	8	34	17	16	41	6	15	21	11	49	27	19	31	20	21	2	49	18	17	10	7	24	24	12	46	45	16	12	24	22	30	36	21	46	30	14	5	12	34	10	65	19	11	68	25	17	4	6	22	25	40	0	44	103	53	17	70	2	48	3	16	17	0	24	76	6					
		4.04%	2.87%	2.21%	2.66%	2.59%	1.38%	3.98%	3.24%	1.84%	3.16%	1.64%	1.74%	1.70%	2.30%	3.87%	2.93%	5.14%	4.66%	2.48%	3.47%	2.15%	4.06%	2.30%	3.26%	2.70%	1.31%	1.90%	2.64%	2.75%	5.63%	4.80%	6.58%	5.30%	9.71%	4.39%	11.27%	5.83%	3.73%	3.44%	6.66%	4.10%	2.65%	2.57%	10.0%	1.98%	5.32%	3.28%	11.34%	9.89%	5.99%	7.35%	2.32%	3.87%	2.58%	2.55%	3.52%	0.0%	7.20%	8.31%	6.39%	5.94%	10.85%	1.05%	4.58%	1.96%	5.11%	4.98%	0.0%	3.49%	7.93%	4.08%					
28	"11. ""Истинные патриоты России"""	32	0	0	0	0	0	2	0	2	0	0	0	1	0	2	0	0	1	0	0	0	1	1	0	3	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	1	2	0	1	0	1	1	2	1	1	1					
		0.07%	0.0%	0.0%	0.0%	0.0%	0.0%	0.23%	0.0%	0.23%	0.0%	0.0%	0.0%	0.08%	0.0%	0.15%	0.0%	0.0%	0.15%	0.0%	0.0%	0.0%	0.08%	0.12%	0.0%	0.81%	0.0%	0.0%	0.0%	0.0%	0.0%	0.32%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.42%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.11%	0.0%	0.0%	0.0%	0.0%	0.08%	0.12%	0.34%	0.31%	0.0%	0.09%	0.0%	0.31%	0.29%	0.90%	0.14%	0.10%	0.68%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	701	16	15	5	14	8	8	11	16	0	7	9	13	2	11	12	5	15	23	9	0	12	21	7	3	2	13	2	3	26	39	6	9	6	7	6	3	6	44	4	0	2	8	2	1	13	13	1	6	3	0	0	0	123	5	10	1	6	10	5	1	3	0	14	4	2	3	2	5	38	2					
		1.58%	2.42%	1.51%	0.39%	1.13%	1.38%	0.93%	2.09%	1.84%	0.0%	1.91%	1.04%	1.05%	0.41%	0.86%	1.30%	1.35%	2.25%	2.86%	1.49%	0.0%	0.99%	2.69%	1.34%	0.81%	0.37%	1.03%	0.22%	0.68%	3.18%	4.16%	2.46%	3.98%	2.42%	1.39%	2.25%	0.48%	1.06%	3.29%	0.88%	0.0%	1.06%	1.71%	0.58%	0.19%	1.06%	2.24%	1.03%	0.87%	0.71%	0.0%	0.0%	0.0%	14.43%	0.51%	0.88%	0.87%	0.98%	0.80%	0.60%	0.34%	0.46%	0.0%	1.33%	2.61%	0.63%	0.87%	0.90%	0.72%	3.96%	1.36%					
30	"13. ""Демократическая партия России"""	85	1	1	2	2	1	0	0	12	14	1	1	2	1	1	0	0	0	0	6	0	4	1	0	0	0	0	0	3	0	1	0	1	0	1	0	0	0	0	0	1	0	2	0	0	2	0	0	0	0	0	0	0	2	5	0	1	1	3	2	0	4	0	0	0	0	1	0	1	4	0					
		0.19%	0.15%	0.10%	0.15%	0.16%	0.17%	0.0%	0.0%	1.38%	1.08%	0.27%	0.11%	0.16%	0.20%	0.07%	0.0%	0.0%	0.0%	0.0%	0.99%	0.0%	0.33%	0.12%	0.0%	0.0%	0.0%	0.0%	0.0%	0.68%	0.0%	0.10%	0.0%	0.44%	0.0%	0.19%	0.0%	0.0%	0.0%	0.0%	0.0%	0.29%	0.0%	0.42%	0.0%	0.0%	0.16%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.23%	0.51%	0.0%	0.87%	0.16%	0.24%	0.24%	0.0%	0.62%	0.0%	0.0%	0.0%	0.0%	0.29%	0.0%	0.14%	0.41%	0.0%					
31	"14. ""Великая Россия - Евразийский Союз"""	68	0	0	2	1	0	3	2	0	1	0	3	0	0	1	2	0	2	1	2	0	0	3	5	0	0	0	1	0	1	1	1	0	0	2	0	3	2	2	1	0	0	1	4	1	2	2	0	0	1	0	0	0	0	0	2	0	4	2	1	1	0	1	1	0	1	0	2	0	0	0					
		0.15%	0.0%	0.0%	0.15%	0.08%	0.0%	0.35%	0.38%	0.0%	0.07%	0.0%	0.34%	0.0%	0.0%	0.07%	0.21%	0.0%	0.30%	0.12%	0.33%	0.0%	0.0%	0.38%	0.95%	0.0%	0.0%	0.0%	0.11%	0.0%	0.12%	0.10%	0.41%	0.0%	0.0%	0.39%	0.0%	0.48%	0.35%	0.14%	0.22%	0.0%	0.0%	0.21%	1.17%	0.19%	0.16%	0.34%	0.0%	0.0%	0.23%	0.0%	0.0%	0.0%	0.0%	0.0%	0.17%	0.0%	0.65%	0.16%	0.12%	0.34%	0.0%	0.52%	0.09%	0.0%	0.31%	0.0%	0.90%	0.0%	0.0%	0.0%					
32	"15. ""Партия СЛОН"""	49	0	0	2	1	0	1	0	11	1	1	2	3	1	1	0	0	2	0	0	0	2	1	0	1	1	3	1	0	1	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	2	0	1	1	0	0	1	0	1	1	0	0	0	0	0	0	1					
		0.11%	0.0%	0.0%	0.15%	0.08%	0.0%	0.11%	0.0%	1.26%	0.07%	0.27%	0.23%	0.24%	0.20%	0.07%	0.0%	0.0%	0.30%	0.0%	0.0%	0.0%	0.16%	0.12%	0.0%	0.27%	0.18%	0.23%	0.11%	0.0%	0.12%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.16%	0.17%	0.07%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.17%	0.0%	0.0%	0.0%	0.0%	0.0%	0.64%	0.0%	0.20%	0.0%	0.87%	0.16%	0.0%	0.0%	0.34%	0.0%	0.52%	0.09%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.68%					
33	"16. ""Родина"" (народно-патриотический союз)"""	5811	88	173	191	167	80	152	69	130	169	50	133	186	94	244	151	43	123	104	59	13	150	119	78	24	106	177	101	61	101	115	29	24	43	76	29	92	91	122	35	21	5	47	23	145	175	38	21	88	28	15	12	8	113	115	84	6	42	130	106	67	81	28	90	16	38	30	31	104	98	14					
		13.12%	13.33%	17.43%	14.99%	13.54%	13.88%	17.79%	13.16%	14.99%	13.06%	13.69%	15.42%	15.13%	19.66%	19.28%	16.43%	11.65%	18.52%	12.93%	9.76%	13.97%	12.43%	15.25%	14.97%	6.48%	19.92%	14.03%	11.12%	14.02%	12.37%	12.28%	11.93%	10.61%	17.40%	15.16%	10.90%	14.91%	16.19%	9.14%	7.77%	6.15%	2.65%	10.08%	6.76%	28.71%	14.34%	6.56%	21.64%	12.80%	6.71%	6.49%	6.97%	5.16%	13.26%	11.74%	7.39%	5.26%	6.87%	10.49%	12.78%	23.42%	12.55%	14.73%	8.60%	10.45%	12.14%	8.79%	13.96%	15.16%	10.22%	9.52%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	100	1	0	0	5	0	4	1	12	0	0	1	7	0	2	1	1	1	1	0	0	3	2	1	0	4	2	2	3	0	0	0	0	1	1	2	1	1	4	0	1	1	0	0	3	2	1	0	0	2	0	1	0	3	1	6	1	2	6	1	0	0	0	0	0	0	4	0	0	0	1					
		0.22%	0.15%	0.0%	0.0%	0.40%	0.0%	0.46%	0.19%	1.38%	0.0%	0.0%	0.11%	0.56%	0.0%	0.15%	0.10%	0.27%	0.15%	0.12%	0.0%	0.0%	0.24%	0.25%	0.19%	0.0%	0.75%	0.15%	0.22%	0.68%	0.0%	0.0%	0.0%	0.0%	0.40%	0.19%	0.75%	0.16%	0.17%	0.29%	0.0%	0.29%	0.53%	0.0%	0.0%	0.59%	0.16%	0.17%	0.0%	0.0%	0.47%	0.0%	0.58%	0.0%	0.35%	0.10%	0.52%	0.87%	0.32%	0.48%	0.12%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	1.17%	0.0%	0.0%	0.0%	0.68%					
35	"18. ""ЛДПР"""	7076	86	172	177	192	58	144	71	99	170	60	140	196	43	186	123	58	88	145	125	16	181	126	99	70	100	239	143	76	132	124	48	39	19	127	23	130	86	212	98	66	29	72	61	60	202	139	14	122	69	38	28	44	94	133	184	13	107	229	187	35	86	35	164	25	52	68	31	72	173	23					
		15.97%	13.03%	17.33%	13.89%	15.57%	10.06%	16.86%	13.54%	11.41%	13.13%	16.43%	16.24%	15.94%	8.99%	14.70%	13.38%	15.71%	13.25%	18.03%	20.69%	17.20%	15.00%	16.15%	19.00%	18.91%	18.79%	18.95%	15.74%	17.47%	16.17%	13.24%	19.75%	17.25%	7.69%	25.34%	8.64%	21.06%	15.30%	15.89%	21.77%	19.35%	15.42%	15.45%	17.94%	11.88%	16.55%	24.00%	14.43%	17.75%	16.54%	16.45%	16.27%	28.38%	11.03%	13.58%	16.19%	11.40%	17.51%	18.48%	22.55%	12.23%	13.33%	18.42%	15.67%	16.33%	16.61%	19.94%	13.96%	10.49%	18.05%	15.64%					
36	"19. ""Партия Возрождения России - Российская партия ЖИЗНИ"""	636	11	17	19	21	9	7	12	26	18	11	8	37	8	12	12	4	13	2	9	2	21	14	6	4	10	21	25	5	5	21	2	2	2	4	8	11	6	25	7	2	0	3	4	2	11	9	1	5	5	2	4	2	6	12	18	0	13	16	12	0	8	5	7	0	2	1	0	14	10	5					
