Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																	
Дата голосования: 07.12.2003 0:00:00																																	
																																	
"Наименование Избирательной комиссии:    Новосибирск, Центральная"																																	
																																	
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																	
																																	
		Сумма	УИК  1961	УИК  1962	УИК  1963	УИК  1964	УИК  1965	УИК  1966	УИК  1967	УИК  1968	УИК  1969	УИК  1970	УИК  1971	УИК  1972	УИК  1973	УИК  1974	УИК  1975	УИК  1976	УИК  1977	УИК  1978	УИК  1979	УИК  1980	УИК  1981	УИК  1982	УИК  1983	УИК  1984	УИК  1985	УИК  1986					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	749	19	23	33	23	25	30	33	20	31	15	32	30	38	49	22	30	33	38	20	22	28	10	30	44	42	29					
		2.22%	1.65%	1.48%	2.60%	2.48%	2.29%	2.17%	2.4%	1.83%	2.73%	1.53%	2.85%	2.41%	2.80%	3.04%	1.87%	2.07%	2.60%	2.70%	2.22%	1.39%	1.81%	1.46%	1.97%	2.64%	2.86%	1.69%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	3307	117	176	158	99	88	95	164	128	133	121	99	170	136	184	100	136	128	142	64	96	147	47	155	133	132	159					
		9.84%	10.18%	11.37%	12.46%	10.69%	8.09%	6.87%	11.92%	11.72%	11.72%	12.39%	8.83%	13.70%	10.03%	11.44%	8.53%	9.38%	10.09%	10.12%	7.13%	6.10%	9.52%	6.89%	10.21%	7.98%	9.00%	9.31%					
22	"5. ""За Русь Святую"""	382	11	12	10	5	24	13	11	12	14	7	9	20	7	27	16	12	21	20	10	9	18	6	20	20	29	19					
		1.13%	0.95%	0.77%	0.78%	0.53%	2.20%	0.94%	0.8%	1.09%	1.23%	0.71%	0.80%	1.61%	0.51%	1.68%	1.36%	0.82%	1.65%	1.42%	1.11%	0.57%	1.16%	0.87%	1.31%	1.20%	1.97%	1.11%					
23	"6. ""Объединенная Российская партия ""Русь"""	44	4	0	1	0	6	1	0	2	0	0	2	2	2	4	3	1	0	1	0	3	3	2	0	3	3	1					
		0.13%	0.34%	0.0%	0.07%	0.0%	0.55%	0.07%	0.0%	0.18%	0.0%	0.0%	0.17%	0.16%	0.14%	0.24%	0.25%	0.06%	0.0%	0.07%	0.0%	0.19%	0.19%	0.29%	0.0%	0.18%	0.20%	0.05%					
24	"7. ""Новый курс - Автомобильная Россия"""	248	15	12	4	8	11	15	6	5	12	6	10	9	15	11	9	11	10	7	3	11	12	10	11	6	10	9					
		0.73%	1.30%	0.77%	0.31%	0.86%	1.01%	1.08%	0.43%	0.45%	1.05%	0.61%	0.89%	0.72%	1.10%	0.68%	0.76%	0.75%	0.78%	0.49%	0.33%	0.69%	0.77%	1.46%	0.72%	0.36%	0.68%	0.52%					
25	"8. ""Народно-республиканская партия России"""	22	1	0	1	0	2	2	0	0	0	0	2	2	0	0	1	1	3	0	0	1	1	0	1	2	0	2					
		0.06%	0.08%	0.0%	0.07%	0.0%	0.18%	0.14%	0.0%	0.0%	0.0%	0.0%	0.17%	0.16%	0.0%	0.0%	0.08%	0.06%	0.23%	0.0%	0.0%	0.06%	0.06%	0.0%	0.06%	0.12%	0.0%	0.11%					
26	"9. ""Российская экологическая партия ""Зеленые"""	327	14	4	6	7	12	13	13	8	13	8	10	7	9	11	27	12	16	9	33	20	16	6	15	14	8	16					
		0.97%	1.21%	0.25%	0.47%	0.75%	1.10%	0.94%	0.94%	0.73%	1.14%	0.81%	0.89%	0.56%	0.66%	0.68%	2.30%	0.82%	1.26%	0.64%	3.67%	1.27%	1.03%	0.87%	0.98%	0.84%	0.54%	0.93%					
27	"10. ""Аграрная партия России"""	444	14	27	13	16	13	18	12	17	6	10	15	19	8	22	25	18	12	22	9	27	15	6	25	25	26	24					
		1.32%	1.21%	1.74%	1.02%	1.72%	1.19%	1.30%	0.87%	1.55%	0.52%	1.02%	1.33%	1.53%	0.59%	1.36%	2.13%	1.24%	0.94%	1.56%	1.00%	1.71%	0.97%	0.87%	1.64%	1.50%	1.77%	1.40%					
28	"11. ""Истинные патриоты России"""	19	0	1	0	0	0	1	0	0	1	0	0	3	1	3	0	0	0	0	4	1	2	1	0	1	0	0					
		0.05%	0.0%	0.06%	0.0%	0.0%	0.0%	0.07%	0.0%	0.0%	0.08%	0.0%	0.0%	0.24%	0.07%	0.18%	0.0%	0.0%	0.0%	0.0%	0.44%	0.06%	0.12%	0.14%	0.0%	0.06%	0.0%	0.0%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	227	6	11	7	8	8	9	3	10	6	5	10	8	12	7	5	5	15	10	5	18	12	3	9	12	10	13					
		0.67%	0.52%	0.71%	0.55%	0.86%	0.73%	0.65%	0.21%	0.91%	0.52%	0.51%	0.89%	0.64%	0.88%	0.43%	0.42%	0.34%	1.18%	0.71%	0.55%	1.14%	0.77%	0.43%	0.59%	0.72%	0.68%	0.76%					
30	"13. ""Демократическая партия России"""	61	1	6	5	0	0	3	4	3	5	1	0	2	0	2	5	1	0	3	3	1	2	2	3	3	5	1					
		0.18%	0.08%	0.38%	0.39%	0.0%	0.0%	0.21%	0.29%	0.27%	0.44%	0.10%	0.0%	0.16%	0.0%	0.12%	0.42%	0.06%	0.0%	0.21%	0.33%	0.06%	0.12%	0.29%	0.19%	0.18%	0.34%	0.05%					
31	"14. ""Великая Россия - Евразийский Союз"""	61	3	2	3	1	1	2	1	2	3	1	2	3	2	3	5	3	5	2	0	9	1	0	1	2	2	2					
		0.18%	0.26%	0.12%	0.23%	0.10%	0.09%	0.14%	0.07%	0.18%	0.26%	0.10%	0.17%	0.24%	0.14%	0.18%	0.42%	0.20%	0.39%	0.14%	0.0%	0.57%	0.06%	0.0%	0.06%	0.12%	0.13%	0.11%					
32	"15. ""Партия СЛОН"""	99	3	4	3	2	9	5	5	1	4	5	5	4	2	2	3	3	3	1	6	6	3	3	3	3	6	5					
		0.29%	0.26%	0.25%	0.23%	0.21%	0.82%	0.36%	0.36%	0.09%	0.35%	0.51%	0.44%	0.32%	0.14%	0.12%	0.25%	0.20%	0.23%	0.07%	0.66%	0.38%	0.19%	0.43%	0.19%	0.18%	0.40%	0.29%					
33	"16. ""Родина"" (народно-патриотический союз)"""	4247	152	204	147	157	101	169	168	110	153	119	152	160	219	196	98	219	178	186	92	230	180	82	186	209	166	214					
		12.63%	13.22%	13.18%	11.59%	16.95%	9.29%	12.22%	12.21%	10.07%	13.49%	12.19%	13.57%	12.90%	16.16%	12.19%	8.36%	15.11%	14.03%	13.25%	10.25%	14.63%	11.66%	12.02%	12.25%	12.54%	11.32%	12.53%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	40	0	2	1	2	3	4	1	4	0	1	2	2	3	2	1	0	0	0	2	1	2	0	1	3	1	2					
		0.11%	0.0%	0.12%	0.07%	0.21%	0.27%	0.28%	0.07%	0.36%	0.0%	0.10%	0.17%	0.16%	0.22%	0.12%	0.08%	0.0%	0.0%	0.0%	0.22%	0.06%	0.12%	0.0%	0.06%	0.18%	0.06%	0.11%					
35	"18. ""ЛДПР"""	2344	74	63	79	57	76	103	83	78	56	41	120	81	83	111	73	104	89	85	60	139	92	77	121	141	126	132					
		6.97%	6.44%	4.07%	6.23%	6.15%	6.99%	7.45%	6.03%	7.14%	4.93%	4.20%	10.71%	6.53%	6.12%	6.90%	6.23%	7.17%	7.01%	6.05%	6.68%	8.84%	5.96%	11.29%	7.97%	8.46%	8.59%	7.73%					
36	"19. ""Партия Возрождения России - Российская партия ЖИЗНИ"""	425	9	21	9	21	17	30	15	8	18	9	9	11	12	31	17	22	8	16	9	21	13	11	19	19	20	30					
		1.26%	0.78%	1.35%	0.70%	2.26%	1.56%	2.17%	1.09%	0.73%	1.58%	0.92%	0.80%	0.88%	0.88%	1.92%	1.45%	1.51%	0.63%	1.14%	1.00%	1.33%	0.84%	1.61%	1.25%	1.14%	1.36%	1.75%					
37	"20. ""Политическая партия ""Единая Россия"""	8159	307	281	286	210	278	394	293	240	244	224	253	270	299	351	369	346	286	345	251	452	419	185	385	431	325	435					
		24.28%	26.71%	18.16%	22.55%	22.67%	25.57%	28.50%	21.30%	21.97%	21.51%	22.95%	22.58%	21.77%	22.06%	21.84%	31.51%	23.87%	22.55%	24.59%	27.98%	28.75%	27.15%	27.12%	25.36%	25.87%	22.16%	25.48%					
38	"21. ""Российская Конституционно-демократическая партия"""	28	1	0	1	2	0	2	1	0	1	0	0	1	0	3	1	2	1	0	2	0	2	0	0	7	1	0					
		0.08%	0.08%	0.0%	0.07%	0.21%	0.0%	0.14%	0.07%	0.0%	0.08%	0.0%	0.0%	0.08%	0.0%	0.18%	0.08%	0.13%	0.07%	0.0%	0.22%	0.0%	0.12%	0.0%	0.0%	0.42%	0.06%	0.0%					
39	"22. ""Развитие предпринимательства"""	141	8	5	4	3	6	7	10	2	2	2	7	3	6	15	3	1	9	3	3	2	5	2	5	16	4	8					
		0.41%	0.69%	0.32%	0.31%	0.32%	0.55%	0.50%	0.72%	0.18%	0.17%	0.20%	0.62%	0.24%	0.44%	0.93%	0.25%	0.06%	0.70%	0.21%	0.33%	0.12%	0.32%	0.29%	0.32%	0.96%	0.27%	0.46%					
40	"23. ""Коммунистическая партия Российской Федерации (КПРФ)"""	5702	153	389	204	125	149	170	222	202	221	162	189	236	253	285	137	260	230	251	129	230	295	104	267	281	291	267					
		16.97%	13.31%	25.14%	16.08%	13.49%	13.70%	12.30%	16.14%	18.49%	19.48%	16.59%	16.87%	19.03%	18.67%	17.73%	11.69%	17.94%	18.13%	17.89%	14.38%	14.63%	19.11%	15.24%	17.58%	16.86%	19.84%	15.64%					
																																	
41	Против всех	2177	81	96	71	53	92	94	93	74	55	43	63	65	84	97	116	100	53	88	68	116	99	59	93	116	94	114					
		6.47%	7.04%	6.20%	5.59%	5.72%	8.46%	6.80%	6.76%	6.77%	4.85%	4.40%	5.62%	5.24%	6.19%	6.03%	9.90%	6.90%	4.17%	6.27%	7.58%	7.37%	6.41%	8.65%	6.12%	6.96%	6.41%	6.67%					
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
