Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																					
Дата голосования: 18.09.2016																																					
																																					
Наименование Избирательной комиссии:    Североуральская городская																																					
																																					
Сводная таблица итогов голосования по федеральному избирательному округу																																					
																																					
		Сумма	УИК №2447	УИК №2448	УИК №2449	УИК №2450	УИК №2451	УИК №2452	УИК №2453	УИК №2454	УИК №2455	УИК №2456	УИК №2457	УИК №2458	УИК №2459	УИК №2460	УИК №2461	УИК №2462	УИК №2463	УИК №2464	УИК №2465	УИК №2466	УИК №2567	УИК №2568	УИК №2615	УИК №2616	УИК №2617	УИК №2618									
14	Число погашенных неиспользованных открепительных удостоверений	661	32	36	43	22	43	25	23	26	28	22	19	4	38	41	43	27	34	10	6	22	27	10	7	21	36	16									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	56	5	6	5	7	4	1	6	3	3	3	0	0	0	1	0	2	0	0	0	0	1	0	1	4	3	1									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																					
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	169	12	9	8	7	7	10	9	6	7	11	7	3	4	6	10	5	6	1	0	4	13	5	1	8	7	3									
		1.08%	1.59%	1.07%	0.94%	0.78%	0.90%	1.26%	1.08%	0.79%	0.98%	1.59%	2.15%	1.81%	0.70%	0.75%	1.14%	0.70%	1.09%	0.85%	0.00%	0.60%	1.58%	3.65%	1.12%	0.92%	1.06%	0.96%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	430	19	25	27	23	22	22	27	20	16	22	14	6	10	13	24	22	10	1	2	32	15	2	5	19	15	17									
		2.75%	2.52%	2.98%	3.17%	2.58%	2.81%	2.78%	3.24%	2.64%	2.25%	3.17%	4.29%	3.61%	1.74%	1.62%	2.74%	3.09%	1.82%	0.85%	2.94%	4.78%	1.83%	1.46%	5.62%	2.19%	2.27%	5.43%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	601	31	29	41	24	26	36	20	21	30	30	12	7	31	33	35	26	24	3	2	27	28	5	2	34	32	12									
		3.84%	4.11%	3.45%	4.82%	2.69%	3.32%	4.55%	2.40%	2.77%	4.21%	4.32%	3.68%	4.22%	5.39%	4.11%	4.00%	3.66%	4.38%	2.54%	2.94%	4.03%	3.41%	3.65%	2.25%	3.93%	4.84%	3.83%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	5936	296	342	319	342	282	298	316	285	283	257	110	86	236	276	312	298	191	60	25	268	279	49	45	356	216	109									
		37.92%	39.21%	40.71%	37.49%	38.34%	36.06%	37.63%	37.94%	37.65%	39.75%	37.03%	33.74%	51.81%	41.04%	34.41%	35.66%	41.91%	34.85%	50.85%	36.76%	40.00%	33.98%	35.77%	50.56%	41.11%	32.68%	34.82%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	98	4	2	10	5	0	2	5	5	7	6	2	1	1	5	9	4	4	0	1	5	6	1	0	11	2	0									
		0.63%	0.53%	0.24%	1.18%	0.56%	0.00%	0.25%	0.60%	0.66%	0.98%	0.86%	0.61%	0.60%	0.17%	0.62%	1.03%	0.56%	0.73%	0.00%	1.47%	0.75%	0.73%	0.73%	0.00%	1.27%	0.30%	0.00%									
24	"6. Политическая партия ""Гражданская Платформа"""	148	13	4	8	11	6	9	3	1	5	8	2	4	7	13	5	2	5	1	0	4	9	3	2	8	13	2									
		0.95%	1.72%	0.48%	0.94%	1.23%	0.77%	1.14%	0.36%	0.13%	0.70%	1.15%	0.61%	2.41%	1.22%	1.62%	0.57%	0.28%	0.91%	0.85%	0.00%	0.60%	1.10%	2.19%	2.25%	0.92%	1.97%	0.64%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	3123	141	132	165	136	183	147	153	150	114	121	75	41	153	205	182	147	128	24	22	138	186	20	11	141	139	69									
		19.95%	18.68%	15.71%	19.39%	15.25%	23.40%	18.56%	18.37%	19.82%	16.01%	17.44%	23.01%	24.70%	26.61%	25.56%	20.80%	20.68%	23.36%	20.34%	32.35%	20.60%	22.66%	14.60%	12.36%	16.28%	21.03%	22.04%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	99	4	7	2	7	1	2	4	6	5	8	6	1	1	5	8	1	3	0	0	4	6	2	2	5	7	2									
		0.63%	0.53%	0.83%	0.24%	0.78%	0.13%	0.25%	0.48%	0.79%	0.70%	1.15%	1.84%	0.60%	0.17%	0.62%	0.91%	0.14%	0.55%	0.00%	0.00%	0.60%	0.73%	1.46%	2.25%	0.58%	1.06%	0.64%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	114	4	5	5	9	10	3	7	6	10	9	0	0	2	2	4	4	3	2	1	4	6	1	0	11	4	2									
		0.73%	0.53%	0.60%	0.59%	1.01%	1.28%	0.38%	0.84%	0.79%	1.40%	1.30%	0.00%	0.00%	0.35%	0.25%	0.46%	0.56%	0.55%	1.69%	1.47%	0.60%	0.73%	0.73%	0.00%	1.27%	0.61%	0.64%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	22	3	0	0	1	2	0	3	3	1	0	1	0	2	0	0	1	0	0	0	2	1	1	0	0	0	1									
		0.14%	0.40%	0.00%	0.00%	0.11%	0.26%	0.00%	0.36%	0.40%	0.14%	0.00%	0.31%	0.00%	0.35%	0.00%	0.00%	0.14%	0.00%	0.00%	0.00%	0.30%	0.12%	0.73%	0.00%	0.00%	0.00%	0.32%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	187	10	12	7	10	6	12	11	12	11	8	5	3	6	5	11	4	3	1	0	8	15	4	1	9	11	2									
		1.19%	1.32%	1.43%	0.82%	1.12%	0.77%	1.52%	1.32%	1.59%	1.54%	1.15%	1.53%	1.81%	1.04%	0.62%	1.26%	0.56%	0.55%	0.85%	0.00%	1.19%	1.83%	2.92%	1.12%	1.04%	1.66%	0.64%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	1855	71	122	98	122	119	81	104	86	87	81	43	4	56	100	95	91	44	12	7	80	105	12	13	106	69	47									
		11.85%	9.40%	14.52%	11.52%	13.68%	15.22%	10.23%	12.48%	11.36%	12.22%	11.67%	13.19%	2.41%	9.74%	12.47%	10.86%	12.80%	8.03%	10.17%	10.29%	11.94%	12.79%	8.76%	14.61%	12.24%	10.44%	15.02%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	60	2	3	3	4	3	2	3	3	2	2	2	0	0	2	3	3	8	0	0	2	3	1	0	3	4	2									
		0.38%	0.26%	0.36%	0.35%	0.45%	0.38%	0.25%	0.36%	0.40%	0.28%	0.29%	0.61%	0.00%	0.00%	0.25%	0.34%	0.42%	1.46%	0.00%	0.00%	0.30%	0.37%	0.73%	0.00%	0.35%	0.61%	0.64%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	2234	117	118	123	153	93	141	128	138	118	109	32	6	39	112	134	85	98	5	4	73	133	8	6	122	112	27									
		14.27%	15.50%	14.05%	14.45%	17.15%	11.89%	17.80%	15.37%	18.23%	16.57%	15.71%	9.82%	3.61%	6.78%	13.97%	15.31%	11.95%	17.88%	4.24%	5.88%	10.90%	16.20%	5.84%	6.74%	14.09%	16.94%	8.63%									
																																					
																																					
																																					
																																					
																																					
																																					
																																					
																																					
																																					
																																					
																																					
																																					
																																					
																																					
																																					
																																					
																																					
																																					
																																					
																																					
																																					
																																					
