Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																																																																																								
Дата голосования: 18.09.2016																																																																																																																																								
																																																																																																																																								
Наименование Избирательной комиссии:    Сергиево-Посадская																																																																																																																																								
																																																																																																																																								
Сводная таблица итогов голосования по федеральному избирательному округу																																																																																																																																								
																																																																																																																																								
		Сумма	УИК №2722	УИК №2723	УИК №2724	УИК №2725	УИК №2726	УИК №2727	УИК №2728	УИК №2729	УИК №2730	УИК №2731	УИК №2732	УИК №2733	УИК №2734	УИК №2735	УИК №2736	УИК №2737	УИК №2738	УИК №2739	УИК №2740	УИК №2741	УИК №2742	УИК №2743	УИК №2744	УИК №2745	УИК №2746	УИК №2747	УИК №2748	УИК №2749	УИК №2750	УИК №2751	УИК №2752	УИК №2753	УИК №2754	УИК №2755	УИК №2756	УИК №2757	УИК №2758	УИК №2759	УИК №2760	УИК №2761	УИК №2762	УИК №2763	УИК №2764	УИК №2765	УИК №2766	УИК №2767	УИК №2768	УИК №2769	УИК №2770	УИК №2771	УИК №2772	УИК №2773	УИК №2774	УИК №2775	УИК №2776	УИК №2777	УИК №2778	УИК №2779	УИК №2780	УИК №2781	УИК №2782	УИК №2783	УИК №2784	УИК №2785	УИК №2786	УИК №2787	УИК №2788	УИК №2789	УИК №2790	УИК №2791	УИК №2792	УИК №2793	УИК №2794	УИК №2795	УИК №2796	УИК №2797	УИК №2798	УИК №2799	УИК №2800	УИК №2801	УИК №2802	УИК №2803	УИК №2804	УИК №2805	УИК №2806	УИК №2807	УИК №2808	УИК №2809	УИК №2810	УИК №2811	УИК №2812	УИК №2813	УИК №2814	УИК №2815	УИК №2816	УИК №2817	УИК №2818	УИК №2819	УИК №2820	УИК №2821	УИК №2822	УИК №2823	УИК №2824	УИК №2825	УИК №2826	УИК №2827	УИК №2828	УИК №2829	УИК №2830	УИК №2831	УИК №2832	УИК №2833	УИК №2834	УИК №2835	УИК №2836	УИК №2837	УИК №2838	УИК №2839	УИК №2840	УИК №2841	УИК №2842	УИК №2843	УИК №2844	УИК №2845	УИК №2864									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	3015	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	39	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	1485	16	24	16	16	15	23	21	23	16	3	10	5	16	20	20	35	23	22	24	11	8	6	5	2	15	16	7	20	17	10	12	8	24	3	17	20	12	21	11	12	10	0	11	10	9	16	0	15	12	12	16	15	18	23	23	23	19	6	10	13	17	10	11	16	11	6	4	5	12	8	4	4	10	14	12	11	22	1	0	6	24	24	21	1	11	18	15	19	22	9	4	3	2	10	23	3	12	22	8	10	7	5	0	11	3	1	7	13	4	6	6	0	11	14	3	10	9	12	12	2	5	7	3	12	11									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	1447	41	30	17	27	55	59	19	18	12	13	1	9	16	13	19	30	5	7	17	17	13	3	4	5	37	7	6	7	7	8	8	6	8	7	3	1	3	5	12	10	50	22	22	26	7	6	9	24	5	4	20	12	10	3	64	19	6	13	5	8	10	4	6	17	9	2	3	1	3	1	4	0	4	10	27	8	12	4	4	17	3	21	30	31	20	20	14	10	10	1	3	5	4	3	14	3	6	7	3	3	3	2	3	10	6	3	8	10	10	7	5	3	11	9	8	16	9	11	12	5	1	1	1	6	10									
14	Число погашенных неиспользованных открепительных удостоверений	1530	8	0	8	8	9	1	3	1	8	21	14	19	8	4	4	4	1	2	0	13	16	18	19	22	9	8	17	4	7	14	12	16	0	21	7	4	12	3	13	12	14	24	13	14	15	8	24	9	12	12	8	9	6	1	1	1	5	18	14	11	7	14	13	8	13	18	20	19	12	16	20	20	14	10	12	13	2	23	24	18	0	0	3	23	13	6	9	5	2	15	20	21	22	14	1	21	12	2	16	14	17	19	24	13	21	23	17	11	20	18	18	24	13	10	21	14	15	12	12	22	19	17	21	12	13									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	509	5	9	7	5	6	5	9	18	7	2	1	1	2	3	6	24	25	5	4	6	4	3	1	1	3	5	2	5	4	0	4	4	9	0	5	12	3	9	5	3	5	2	6	4	3	9	0	1	4	10	9	7	4	12	4	9	8	2	1	6	7	4	6	6	6	4	0	1	3	2	0	1	2	1	3	3	4	0	0	2	1	3	0	0	0	2	1	2	0	4	3	2	2	6	12	2	3	13	2	1	0	1	0	7	3	0	5	9	2	3	1	0	1	2	2	3	6	2	4	1	2	1	0	1	1									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																																																																																																								
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	1575	10	33	17	8	25	4	12	8	22	2	8	5	9	18	12	35	44	25	19	13	13	16	9	3	9	24	20	14	16	6	17	0	13	2	12	16	21	21	16	8	13	6	6	11	7	19	11	19	4	21	9	7	18	17	18	11	26	15	7	42	39	38	33	21	29	0	9	5	8	10	5	17	13	19	16	19	25	3	2	4	15	20	16	8	15	12	10	5	9	11	10	2	4	15	9	6	8	17	8	9	6	2	0	9	4	4	12	18	7	11	4	4	9	14	4	3	4	23	9	2	2	4	7	8	9									
		2.49%	1.48%	3.65%	2.92%	1.10%	3.99%	0.48%	1.66%	1.27%	4.09%	0.66%	3.10%	3.76%	2.34%	2.97%	1.93%	3.60%	3.98%	2.96%	2.16%	2.76%	2.50%	4.20%	3.57%	1.47%	1.93%	3.82%	2.99%	1.98%	3.25%	1.35%	3.10%	0.00%	2.61%	1.90%	1.79%	2.25%	3.61%	3.57%	2.46%	1.59%	1.99%	3.70%	1.10%	2.19%	1.50%	2.63%	7.10%	4.29%	1.22%	4.94%	2.20%	1.43%	2.98%	2.58%	1.65%	1.66%	3.71%	2.85%	2.04%	7.51%	4.92%	6.54%	5.02%	3.47%	5.10%	0.00%	2.46%	1.40%	1.53%	3.66%	1.59%	2.77%	1.95%	2.81%	2.72%	3.25%	3.34%	1.25%	1.56%	1.39%	1.97%	2.43%	2.94%	2.79%	2.71%	1.78%	1.56%	1.02%	1.79%	1.75%	2.26%	1.41%	1.08%	2.19%	1.21%	1.54%	1.95%	2.17%	1.91%	2.00%	1.55%	0.57%	0.00%	2.05%	1.32%	2.68%	1.82%	3.19%	3.91%	3.43%	2.38%	5.56%	1.81%	2.89%	1.14%	1.04%	0.35%	3.53%	1.83%	1.08%	0.91%	1.46%	2.99%	2.61%	2.59%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	1215	8	13	16	5	18	11	8	8	6	8	7	2	8	12	6	26	23	23	18	5	10	10	5	4	4	11	14	19	16	12	11	0	11	2	13	13	10	7	13	8	8	2	5	3	15	19	0	4	6	5	10	10	13	15	6	11	10	15	5	8	17	11	26	9	13	0	12	4	8	9	15	13	25	12	12	10	9	1	1	7	9	20	10	9	8	13	5	12	10	12	3	4	5	12	8	14	9	18	8	18	11	2	2	6	6	3	21	18	4	6	4	1	4	16	8	4	9	14	14	3	5	6	11	9	13									
		1.92%	1.18%	1.44%	2.75%	0.69%	2.88%	1.32%	1.11%	1.27%	1.12%	2.63%	2.71%	1.50%	2.08%	1.98%	0.97%	2.67%	2.08%	2.73%	2.05%	1.06%	1.92%	2.62%	1.98%	1.96%	0.86%	1.75%	2.09%	2.69%	3.25%	2.71%	2.01%	0.00%	2.21%	1.90%	1.93%	1.83%	1.72%	1.19%	1.99%	1.59%	1.22%	1.23%	0.92%	0.60%	3.22%	2.63%	0.00%	0.90%	1.83%	1.18%	2.44%	2.04%	2.15%	2.28%	0.55%	1.66%	1.43%	2.85%	1.46%	1.43%	2.15%	1.89%	3.95%	1.49%	2.28%	0.00%	3.28%	1.12%	1.53%	3.30%	4.78%	2.12%	3.76%	1.78%	2.04%	1.71%	1.20%	0.42%	0.78%	2.44%	1.18%	2.43%	1.84%	3.14%	1.44%	1.92%	0.78%	2.44%	1.99%	1.90%	0.68%	2.82%	1.36%	1.75%	1.08%	3.59%	2.20%	2.29%	1.91%	4.00%	2.85%	0.57%	6.90%	1.37%	1.97%	2.01%	3.18%	3.19%	2.23%	1.87%	2.38%	1.39%	0.81%	3.31%	2.27%	1.38%	0.80%	2.15%	2.85%	1.61%	2.27%	2.19%	4.70%	2.93%	3.75%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	1477	14	9	15	3	19	5	7	6	18	4	4	0	5	23	1	22	24	23	24	15	10	4	9	3	12	15	19	19	21	11	12	0	16	1	21	19	11	23	13	17	7	5	3	10	16	23	1	11	5	10	16	12	16	17	20	12	24	26	4	16	33	20	16	12	20	0	14	6	15	8	6	17	15	17	11	7	8	4	0	6	9	11	24	8	16	18	12	9	10	28	19	8	12	30	10	9	7	25	10	19	13	2	1	12	11	6	12	11	6	5	0	0	8	10	10	5	4	23	12	2	8	2	12	9	13									
		2.33%	2.07%	0.99%	2.58%	0.41%	3.04%	0.60%	0.97%	0.95%	3.35%	1.32%	1.55%	0.00%	1.30%	3.80%	0.16%	2.26%	2.17%	2.73%	2.73%	3.18%	1.92%	1.05%	3.57%	1.47%	2.57%	2.38%	2.84%	2.69%	4.27%	2.48%	2.19%	0.00%	3.21%	0.95%	3.13%	2.67%	1.89%	3.91%	1.99%	3.38%	1.07%	3.09%	0.55%	1.99%	3.43%	3.18%	0.65%	2.48%	1.53%	2.35%	3.91%	2.45%	2.65%	2.58%	1.84%	1.81%	3.43%	4.94%	1.17%	2.86%	4.17%	3.44%	2.43%	1.98%	3.51%	0.00%	3.83%	1.68%	2.87%	2.93%	1.91%	2.77%	2.26%	2.52%	1.87%	1.20%	1.07%	1.67%	0.00%	2.09%	1.18%	1.34%	4.41%	2.79%	2.89%	2.66%	1.87%	1.83%	1.99%	4.44%	4.29%	5.63%	3.25%	4.39%	1.35%	2.31%	1.71%	3.18%	2.39%	4.22%	3.37%	0.57%	3.45%	2.74%	3.62%	4.03%	1.82%	1.95%	3.35%	1.56%	0.00%	0.00%	1.61%	2.07%	2.84%	1.73%	0.35%	3.53%	2.44%	1.08%	3.64%	0.73%	5.13%	2.93%	3.75%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	30467	373	544	213	538	279	668	529	375	199	106	113	47	197	216	331	360	434	299	357	167	220	171	116	76	212	242	233	299	201	160	198	324	197	34	287	277	281	203	273	201	330	80	440	333	163	255	104	221	155	183	166	174	238	276	674	314	294	227	149	198	276	224	224	296	221	280	139	226	232	108	148	274	271	435	300	225	445	162	95	160	582	489	251	139	264	315	475	253	270	256	183	68	171	271	466	183	203	368	164	176	155	220	9	212	138	81	328	238	71	149	76	25	258	222	158	142	932	283	204	79	103	162	94	156	160									
		48.09%	55.10%	60.18%	36.60%	74.31%	44.57%	80.19%	73.37%	59.62%	36.99%	34.87%	43.80%	35.34%	51.17%	35.64%	53.30%	36.99%	39.28%	35.43%	40.66%	35.46%	42.23%	44.88%	46.03%	37.25%	45.40%	38.47%	34.83%	42.35%	40.85%	36.12%	36.13%	66.26%	39.56%	32.38%	42.71%	38.90%	48.28%	34.52%	41.94%	39.96%	50.46%	49.38%	81.03%	66.20%	34.98%	35.27%	67.10%	49.89%	47.40%	43.06%	40.59%	35.51%	39.40%	41.95%	61.89%	47.29%	42.00%	43.16%	43.44%	35.42%	34.85%	38.55%	34.04%	48.84%	38.84%	47.95%	37.98%	63.31%	44.44%	39.56%	47.13%	44.63%	40.75%	64.44%	51.02%	38.53%	59.41%	67.50%	74.22%	55.75%	76.58%	59.49%	46.14%	48.43%	47.65%	46.60%	74.10%	51.42%	53.78%	40.63%	41.31%	47.89%	46.34%	39.62%	62.80%	46.92%	49.51%	46.88%	39.14%	39.11%	40.16%	62.50%	31.03%	48.40%	45.39%	54.36%	49.62%	42.20%	39.66%	46.42%	45.24%	34.72%	52.02%	45.87%	44.89%	49.13%	82.40%	43.40%	41.46%	42.47%	46.82%	59.12%	40.17%	50.81%	46.11%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	639	6	6	5	2	9	4	6	3	10	7	2	0	5	12	0	6	13	11	18	5	11	1	3	1	8	5	11	13	8	8	9	0	5	0	4	10	5	7	8	19	14	0	6	3	3	9	7	6	2	5	8	6	4	5	9	7	8	5	1	4	4	3	10	7	5	0	6	3	3	2	3	1	11	8	10	5	2	1	0	1	2	12	3	4	4	8	10	8	5	5	0	0	6	13	9	4	2	12	0	3	5	0	0	0	2	1	8	8	3	1	1	1	6	2	6	0	0	6	2	2	2	0	0	4	6									
		1.01%	0.89%	0.66%	0.86%	0.28%	1.44%	0.48%	0.83%	0.48%	1.86%	2.30%	0.78%	0.00%	1.30%	1.98%	0.00%	0.62%	1.18%	1.30%	2.05%	1.06%	2.11%	0.26%	1.19%	0.49%	1.71%	0.79%	1.64%	1.84%	1.63%	1.81%	1.64%	0.00%	1.00%	0.00%	0.60%	1.40%	0.86%	1.19%	1.23%	3.78%	2.14%	0.00%	1.10%	0.60%	0.64%	1.24%	4.52%	1.35%	0.61%	1.18%	1.96%	1.22%	0.66%	0.76%	0.83%	1.05%	1.14%	0.95%	0.29%	0.72%	0.51%	0.52%	1.52%	1.16%	0.88%	0.00%	1.64%	0.84%	0.57%	0.73%	0.96%	0.16%	1.65%	1.19%	1.70%	0.86%	0.27%	0.42%	0.00%	0.35%	0.26%	1.46%	0.55%	1.39%	0.72%	1.18%	1.56%	1.63%	0.99%	0.79%	0.00%	0.00%	1.63%	1.90%	1.21%	1.03%	0.49%	1.53%	0.00%	0.67%	1.30%	0.00%	0.00%	0.00%	0.66%	0.67%	1.21%	1.42%	1.68%	0.31%	0.60%	1.39%	1.21%	0.41%	1.70%	0.00%	0.00%	0.92%	0.41%	1.08%	0.91%	0.00%	0.00%	1.30%	1.73%									
24	"6. Политическая партия ""Гражданская Платформа"""	229	0	0	1	3	1	1	1	14	1	0	2	0	1	0	0	5	3	1	0	0	1	0	0	0	0	3	3	3	0	0	3	0	0	0	0	2	0	1	3	0	5	0	3	1	0	3	0	0	0	0	0	3	0	4	2	1	0	0	1	0	1	2	2	1	2	0	2	1	0	1	1	13	0	6	1	0	1	0	0	2	1	3	0	0	2	2	3	0	3	0	0	0	2	0	2	1	1	0	1	0	0	0	0	0	0	0	0	1	1	1	0	0	1	1	0	1	81	1	5	0	1	0	0	2	0									
		0.36%	0.00%	0.00%	0.17%	0.41%	0.16%	0.12%	0.14%	2.23%	0.19%	0.00%	0.78%	0.00%	0.26%	0.00%	0.00%	0.51%	0.27%	0.12%	0.00%	0.00%	0.19%	0.00%	0.00%	0.00%	0.00%	0.48%	0.45%	0.42%	0.00%	0.00%	0.55%	0.00%	0.00%	0.00%	0.00%	0.28%	0.00%	0.17%	0.46%	0.00%	0.76%	0.00%	0.55%	0.20%	0.00%	0.41%	0.00%	0.00%	0.00%	0.00%	0.00%	0.61%	0.00%	0.61%	0.18%	0.15%	0.00%	0.00%	0.29%	0.00%	0.13%	0.34%	0.30%	0.17%	0.35%	0.00%	0.55%	0.28%	0.00%	0.37%	0.32%	2.12%	0.00%	0.89%	0.17%	0.00%	0.13%	0.00%	0.00%	0.70%	0.13%	0.36%	0.00%	0.00%	0.36%	0.30%	0.47%	0.00%	0.60%	0.00%	0.00%	0.00%	0.54%	0.00%	0.27%	0.26%	0.24%	0.00%	0.24%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.18%	0.56%	0.31%	0.00%	0.00%	0.20%	0.21%	0.00%	0.35%	7.16%	0.15%	1.02%	0.00%	0.45%	0.00%	0.00%	0.65%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	9070	76	99	97	37	91	32	57	77	77	56	40	23	47	86	82	146	138	119	152	55	66	64	39	43	56	96	87	94	72	76	101	66	61	21	129	104	72	92	78	102	101	17	10	62	65	89	9	50	70	67	51	90	81	88	121	102	103	81	68	98	129	92	107	90	78	29	87	48	89	49	67	107	120	62	64	47	75	28	10	47	53	75	68	53	67	99	38	79	64	129	83	23	81	154	129	77	67	124	90	58	64	56	10	82	51	21	114	83	32	69	46	22	105	112	71	60	1	150	96	32	28	44	47	52	57									
		14.32%	11.23%	10.95%	16.67%	5.11%	14.54%	3.84%	7.91%	12.24%	14.31%	18.42%	15.50%	17.29%	12.21%	14.19%	13.20%	15.01%	12.49%	14.10%	17.31%	11.68%	12.67%	16.80%	15.48%	21.08%	11.99%	15.26%	13.00%	13.31%	14.63%	17.16%	18.43%	13.50%	12.25%	20.00%	19.20%	14.61%	12.37%	15.65%	11.98%	20.28%	15.44%	10.49%	1.84%	12.33%	13.95%	12.31%	5.81%	11.29%	21.41%	15.76%	12.47%	18.37%	13.41%	13.37%	11.11%	15.36%	14.71%	15.40%	19.83%	17.53%	16.29%	15.83%	16.26%	14.85%	13.71%	4.97%	23.77%	13.45%	17.05%	17.95%	21.34%	17.43%	18.05%	9.19%	10.88%	8.05%	10.01%	11.67%	7.81%	16.38%	6.97%	9.12%	12.50%	18.47%	12.09%	14.64%	5.93%	16.06%	12.75%	20.48%	18.74%	16.20%	21.95%	22.51%	17.39%	19.74%	16.34%	15.80%	21.48%	12.89%	16.58%	15.91%	34.48%	18.72%	16.78%	14.09%	17.25%	14.72%	17.88%	21.50%	27.38%	30.56%	21.17%	23.14%	20.17%	20.76%	0.09%	23.01%	19.51%	17.20%	12.73%	16.06%	20.09%	16.94%	16.43%									
