Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																																						
Дата голосования: 18.09.2016																																																																																						
																																																																																						
Наименование Избирательной комиссии:    Джанкойская																																																																																						
																																																																																						
Сводная таблица итогов голосования по федеральному избирательному округу																																																																																						
																																																																																						
		Сумма	УИК №691	УИК №692	УИК №693	УИК №694	УИК №695	УИК №696	УИК №697	УИК №698	УИК №699	УИК №700	УИК №701	УИК №702	УИК №703	УИК №704	УИК №705	УИК №706	УИК №707	УИК №708	УИК №709	УИК №710	УИК №711	УИК №712	УИК №713	УИК №714	УИК №715	УИК №716	УИК №717	УИК №718	УИК №719	УИК №720	УИК №721	УИК №722	УИК №723	УИК №724	УИК №725	УИК №726	УИК №727	УИК №728	УИК №729	УИК №730	УИК №731	УИК №732	УИК №733	УИК №734	УИК №735	УИК №736	УИК №737	УИК №738	УИК №739	УИК №740	УИК №741	УИК №742	УИК №743	УИК №744	УИК №745	УИК №746	УИК №747	УИК №748	УИК №749	УИК №750	УИК №751	УИК №752	УИК №753	УИК №754	УИК №755	УИК №756	УИК №757	УИК №758	УИК №759	УИК №760	УИК №761	УИК №762	УИК №763	УИК №764	УИК №765									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	1419	25	25	25	15	15	10	15	45	15	17	10	25	15	15	25	25	17	15	15	17	12	8	25	25	10	17	15	10	35	15	18	10	55	20	12	55	15	15	20	10	15	40	15	8	20	18	25	25	15	15	20	8	15	15	20	25	20	10	10	40	25	15	20	25	20	20	20	9	15	25	10	25	10	8	5									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	436	5	5	8	8	5	2	1	7	0	4	0	5	0	2	8	3	0	2	3	5	0	0	4	7	1	2	15	1	16	5	0	0	55	20	0	11	0	2	5	1	0	22	2	8	6	17	13	6	2	3	1	1	0	11	8	25	3	0	2	1	2	2	5	2	6	16	20	2	15	5	2	6	0	4	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	148	2	6	3	1	4	1	3	1	1	4	0	1	2	3	4	5	2	3	1	0	3	5	1	0	1	2	2	1	3	1	4	4	2	3	1	2	1	4	1	0	4	0	1	0	1	2	9	3	0	3	0	1	3	1	2	1	0	1	2	5	1	0	1	1	0	5	2	1	0	3	0	2	2	3	0									
14	Число погашенных неиспользованных открепительных удостоверений	983	20	20	17	7	10	8	14	38	15	13	10	20	15	13	17	22	17	13	12	12	12	8	21	18	9	15	0	9	19	10	18	10	0	0	12	44	15	13	15	9	15	18	13	0	14	1	12	19	13	12	19	7	15	4	12	0	17	10	8	39	23	13	15	23	14	4	0	7	0	20	8	19	10	4	5									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	25	0	1	0	0	0	0	0	5	0	1	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	1	0	0	2	0	0	0	0	1	0	0	0	2	0	0	0	0	0	1	0	0	0	0	1	2	1	1	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																																																						
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	249	5	2	5	3	11	2	2	12	2	1	0	1	2	2	2	10	3	1	4	3	2	1	3	8	8	4	0	2	2	0	4	0	6	0	1	13	7	2	3	2	4	1	0	0	5	1	9	1	4	7	0	2	2	2	1	4	2	4	2	7	4	2	6	7	1	4	2	0	3	9	0	5	1	3	3									
		0.83%	0.65%	0.38%	0.86%	0.66%	2.12%	2.00%	0.68%	1.19%	1.03%	0.24%	0.00%	0.15%	1.60%	1.14%	0.27%	1.74%	0.90%	0.29%	1.08%	0.76%	1.18%	0.97%	0.33%	0.87%	2.62%	0.66%	0.00%	1.25%	0.20%	0.00%	1.70%	0.00%	0.45%	0.00%	0.57%	2.32%	2.03%	0.37%	0.49%	0.71%	2.25%	0.18%	0.00%	0.00%	0.94%	0.69%	1.24%	0.21%	1.29%	2.33%	0.00%	1.21%	0.77%	0.67%	0.36%	0.88%	0.53%	2.65%	1.10%	1.02%	0.68%	0.65%	1.38%	1.22%	0.40%	0.98%	1.20%	0.00%	0.51%	1.04%	0.00%	0.79%	0.64%	0.97%	2.08%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	299	4	5	9	9	1	0	3	11	3	4	1	11	2	6	3	5	3	9	1	1	2	1	4	11	3	3	0	0	12	3	4	0	10	7	1	8	3	12	4	3	2	1	1	1	9	2	11	2	3	5	3	0	0	2	1	3	2	0	1	12	8	0	2	5	7	8	1	0	2	9	1	4	1	4	4									
		0.99%	0.52%	0.95%	1.55%	1.97%	0.19%	0.00%	1.03%	1.09%	1.54%	0.97%	0.93%	1.62%	1.60%	3.41%	0.40%	0.87%	0.90%	2.62%	0.27%	0.25%	1.18%	0.97%	0.44%	1.19%	0.98%	0.50%	0.00%	0.00%	1.23%	1.59%	1.70%	0.00%	0.75%	2.44%	0.57%	1.43%	0.87%	2.25%	0.65%	1.06%	1.12%	0.18%	0.52%	0.89%	1.69%	1.38%	1.51%	0.42%	0.97%	1.67%	1.17%	0.00%	0.00%	0.67%	0.36%	0.66%	0.53%	0.00%	0.55%	1.75%	1.37%	0.00%	0.46%	0.87%	2.81%	1.96%	0.60%	0.00%	0.34%	1.04%	0.68%	0.64%	0.64%	1.30%	2.78%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	380	9	8	11	8	17	2	0	18	0	3	1	13	1	2	4	5	2	6	0	4	1	1	7	10	3	6	0	9	6	7	8	0	4	5	3	3	2	3	12	3	8	8	0	0	10	1	10	6	9	5	3	1	4	10	3	2	10	2	0	5	10	0	3	6	8	3	3	0	14	6	0	13	1	6	3									
		1.27%	1.17%	1.52%	1.90%	1.75%	3.27%	2.00%	0.00%	1.78%	0.00%	0.72%	0.93%	1.91%	0.80%	1.14%	0.53%	0.87%	0.60%	1.74%	0.00%	1.01%	0.59%	0.97%	0.78%	1.08%	0.98%	0.99%	0.00%	5.63%	0.61%	3.70%	3.40%	0.00%	0.30%	1.74%	1.70%	0.54%	0.58%	0.56%	1.94%	1.06%	4.49%	1.42%	0.00%	0.00%	1.88%	0.69%	1.37%	1.26%	2.91%	1.67%	1.17%	0.61%	1.54%	3.36%	1.08%	0.44%	2.65%	1.32%	0.00%	0.73%	1.71%	0.00%	0.69%	1.04%	3.21%	0.73%	1.80%	0.00%	2.38%	0.70%	0.00%	2.07%	0.64%	1.95%	2.08%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	23938	625	414	441	340	376	82	233	803	157	363	83	505	75	130	606	437	267	262	269	335	139	84	794	757	207	522	229	140	811	128	158	60	1231	233	153	439	243	413	501	211	120	434	129	95	432	116	570	368	227	221	202	140	211	221	224	376	315	117	150	544	441	285	382	456	178	323	145	56	449	670	104	521	133	234	93									
		79.77%	81.27%	78.71%	76.17%	74.56%	72.31%	82.00%	79.79%	79.35%	80.51%	87.68%	76.85%	74.37%	60.00%	73.86%	80.59%	75.87%	79.70%	76.16%	72.51%	84.60%	81.76%	81.55%	88.12%	81.93%	67.87%	86.57%	91.97%	87.50%	82.84%	67.72%	67.23%	88.24%	92.77%	81.18%	86.93%	78.39%	70.43%	77.34%	81.07%	74.56%	67.42%	77.22%	67.54%	84.82%	81.20%	80.00%	78.30%	77.31%	73.46%	73.67%	78.60%	84.85%	81.15%	74.16%	80.29%	82.64%	83.33%	77.48%	82.87%	79.53%	75.26%	93.14%	87.61%	79.30%	71.49%	78.97%	86.83%	88.89%	76.36%	77.73%	70.75%	82.83%	84.71%	75.97%	64.58%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	201	6	5	7	4	3	2	2	10	1	3	0	10	0	3	1	2	2	3	4	3	0	3	4	5	2	2	0	1	3	1	5	0	3	4	2	1	2	4	3	0	0	2	9	2	3	1	3	1	0	0	4	0	0	2	2	5	2	2	1	1	4	0	4	5	2	0	0	0	9	4	1	9	2	3	2									
		0.67%	0.78%	0.95%	1.21%	0.88%	0.58%	2.00%	0.68%	0.99%	0.51%	0.72%	0.00%	1.47%	0.00%	1.70%	0.13%	0.35%	0.60%	0.87%	1.08%	0.76%	0.00%	2.91%	0.44%	0.54%	0.66%	0.33%	0.00%	0.63%	0.31%	0.53%	2.13%	0.00%	0.23%	1.39%	1.14%	0.18%	0.58%	0.75%	0.49%	0.00%	0.00%	0.36%	4.71%	1.79%	0.56%	0.69%	0.41%	0.21%	0.00%	0.00%	1.56%	0.00%	0.00%	0.67%	0.72%	1.10%	0.53%	1.32%	0.55%	0.15%	0.68%	0.00%	0.92%	0.87%	0.80%	0.00%	0.00%	0.00%	1.53%	0.46%	0.68%	1.43%	1.27%	0.97%	1.39%									
24	"6. Политическая партия ""Гражданская Платформа"""	99	4	4	0	3	2	0	2	7	0	2	1	3	0	2	3	1	2	0	0	0	1	0	2	0	2	5	0	0	3	1	1	0	1	2	0	3	0	3	1	1	2	0	0	0	3	0	1	2	4	1	2	0	2	1	0	0	3	0	0	2	3	0	2	3	2	0	0	0	0	1	0	1	1	0	1									
		0.33%	0.52%	0.76%	0.00%	0.66%	0.38%	0.00%	0.68%	0.69%	0.00%	0.48%	0.93%	0.44%	0.00%	1.14%	0.40%	0.17%	0.60%	0.00%	0.00%	0.00%	0.59%	0.00%	0.22%	0.00%	0.66%	0.83%	0.00%	0.00%	0.31%	0.53%	0.43%	0.00%	0.08%	0.70%	0.00%	0.54%	0.00%	0.56%	0.16%	0.35%	1.12%	0.00%	0.00%	0.00%	0.56%	0.00%	0.14%	0.42%	1.29%	0.33%	0.78%	0.00%	0.77%	0.34%	0.00%	0.00%	0.79%	0.00%	0.00%	0.29%	0.51%	0.00%	0.46%	0.52%	0.80%	0.00%	0.00%	0.00%	0.00%	0.12%	0.00%	0.16%	0.64%	0.00%	0.69%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	2181	52	40	62	55	61	3	28	64	19	14	2	44	10	10	80	70	31	37	57	25	9	8	42	88	32	36	11	1	59	19	33	3	38	13	6	32	41	43	49	23	10	40	21	8	42	15	50	37	20	34	23	11	21	23	12	36	13	14	15	51	41	5	13	29	23	35	4	4	26	62	6	36	11	20	20									
		7.27%	6.76%	7.60%	10.71%	12.06%	11.73%	3.00%	9.59%	6.32%	9.74%	3.38%	1.85%	6.48%	8.00%	5.68%	10.64%	12.15%	9.25%	10.76%	15.36%	6.31%	5.29%	7.77%	4.66%	9.52%	10.49%	5.97%	4.42%	0.63%	6.03%	10.05%	14.04%	4.41%	2.86%	4.53%	3.41%	5.71%	11.88%	8.05%	7.93%	8.13%	5.62%	7.12%	10.99%	7.14%	7.89%	10.34%	6.87%	7.77%	6.47%	11.33%	8.95%	6.67%	8.08%	7.72%	4.30%	7.91%	3.44%	9.27%	8.29%	7.46%	6.99%	1.63%	2.98%	5.04%	9.24%	8.56%	2.40%	6.35%	4.42%	7.19%	4.08%	5.72%	7.01%	6.49%	13.89%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	161	8	4	4	2	6	0	0	1	1	3	0	3	0	2	4	4	3	2	1	1	1	0	3	1	1	7	0	0	5	9	0	0	4	3	0	4	1	2	2	0	2	2	0	1	0	3	6	1	2	2	4	0	0	5	0	7	4	0	2	1	4	3	0	10	3	0	1	0	2	0	2	0	0	2	0									
		0.54%	1.04%	0.76%	0.69%	0.44%	1.15%	0.00%	0.00%	0.10%	0.51%	0.72%	0.00%	0.44%	0.00%	1.14%	0.53%	0.69%	0.90%	0.58%	0.27%	0.25%	0.59%	0.00%	0.33%	0.11%	0.33%	1.16%	0.00%	0.00%	0.51%	4.76%	0.00%	0.00%	0.30%	1.05%	0.00%	0.71%	0.29%	0.37%	0.32%	0.00%	1.12%	0.36%	0.00%	0.89%	0.00%	2.07%	0.82%	0.21%	0.65%	0.67%	1.56%	0.00%	0.00%	1.68%	0.00%	1.54%	1.06%	0.00%	1.10%	0.15%	0.68%	0.98%	0.00%	1.74%	1.20%	0.00%	0.60%	0.00%	0.34%	0.00%	1.36%	0.00%	0.00%	0.65%	0.00%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	76	4	2	5	0	2	0	0	4	0	1	0	2	0	0	4	1	1	2	1	1	1	0	1	2	4	0	0	0	0	0	2	0	1	1	1	1	0	2	1	0	1	1	0	0	4	0	0	1	0	0	1	0	2	0	0	1	0	0	0	3	1	0	1	3	1	0	0	0	2	4	0	2	1	0	0									
		0.25%	0.52%	0.38%	0.86%	0.00%	0.38%	0.00%	0.00%	0.40%	0.00%	0.24%	0.00%	0.29%	0.00%	0.00%	0.53%	0.17%	0.30%	0.58%	0.27%	0.25%	0.59%	0.00%	0.11%	0.22%	1.31%	0.00%	0.00%	0.00%	0.00%	0.00%	0.85%	0.00%	0.08%	0.35%	0.57%	0.18%	0.00%	0.37%	0.16%	0.00%	0.56%	0.18%	0.00%	0.00%	0.75%	0.00%	0.00%	0.21%	0.00%	0.00%	0.39%	0.00%	0.77%	0.00%	0.00%	0.22%	0.00%	0.00%	0.00%	0.44%	0.17%	0.00%	0.23%	0.52%	0.40%	0.00%	0.00%	0.00%	0.34%	0.46%	0.00%	0.32%	0.64%	0.00%	0.00%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	41	3	3	0	1	2	0	0	1	0	0	1	0	1	2	0	0	1	2	0	2	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	2	1	1	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	1	1	0	1	1	0	0	0	0	0	2	0	0	1	0	1	1	0	0	1	0	2									
		0.14%	0.39%	0.57%	0.00%	0.22%	0.38%	0.00%	0.00%	0.10%	0.00%	0.00%	0.93%	0.00%	0.80%	1.14%	0.00%	0.00%	0.30%	0.58%	0.00%	0.51%	0.59%	0.00%	0.00%	0.11%	0.00%	0.00%	0.00%	0.00%	0.10%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.36%	0.29%	0.19%	0.00%	0.00%	0.00%	0.36%	0.00%	0.00%	0.00%	0.69%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.34%	0.36%	0.00%	0.26%	0.66%	0.00%	0.00%	0.00%	0.00%	0.00%	0.35%	0.00%	0.00%	0.60%	0.00%	0.17%	0.12%	0.00%	0.00%	0.64%	0.00%	1.39%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	218	3	5	1	2	3	0	0	6	0	5	4	16	6	1	4	3	1	5	1	3	1	1	8	3	3	3	0	0	12	8	5	1	2	2	0	7	1	4	6	1	9	3	0	0	1	1	1	3	1	1	2	1	0	3	0	1	7	1	3	1	7	2	3	10	2	0	0	0	3	2	1	5	2	4	1									
		0.73%	0.39%	0.95%	0.17%	0.44%	0.58%	0.00%	0.00%	0.59%	0.00%	1.21%	3.70%	2.36%	4.80%	0.57%	0.53%	0.52%	0.30%	1.45%	0.27%	0.76%	0.59%	0.97%	0.89%	0.32%	0.98%	0.50%	0.00%	0.00%	1.23%	4.23%	2.13%	1.47%	0.15%	0.70%	0.00%	1.25%	0.29%	0.75%	0.97%	0.35%	5.06%	0.53%	0.00%	0.00%	0.19%	0.69%	0.14%	0.63%	0.32%	0.33%	0.78%	0.61%	0.00%	1.01%	0.00%	0.22%	1.85%	0.66%	1.66%	0.15%	1.19%	0.65%	0.69%	1.74%	0.80%	0.00%	0.00%	0.00%	0.51%	0.23%	0.68%	0.79%	1.27%	1.30%	0.69%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	1134	22	18	17	13	19	2	10	41	7	4	10	24	20	9	20	20	1	9	13	14	5	2	18	26	23	5	4	3	30	4	6	3	19	5	7	23	22	25	14	8	1	49	29	5	11	1	24	25	23	15	9	2	4	18	16	9	10	3	2	44	34	7	8	12	13	21	8	2	64	69	19	16	2	6	8									
		3.78%	2.86%	3.42%	2.94%	2.85%	3.65%	2.00%	3.42%	4.05%	3.59%	0.97%	9.26%	3.53%	16.00%	5.11%	2.66%	3.47%	0.30%	2.62%	3.50%	3.54%	2.94%	1.94%	1.99%	2.81%	7.54%	0.83%	1.61%	1.88%	3.06%	2.12%	2.55%	4.41%	1.43%	1.74%	3.98%	4.11%	6.38%	4.68%	2.27%	2.83%	0.56%	8.72%	15.18%	4.46%	2.07%	0.69%	3.30%	5.25%	7.44%	5.00%	3.50%	1.21%	1.54%	6.04%	5.73%	1.98%	2.65%	1.99%	1.10%	6.43%	5.80%	2.29%	1.83%	2.09%	5.22%	5.13%	4.79%	3.17%	10.88%	8.00%	12.93%	2.54%	1.27%	1.95%	5.56%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	117	4	2	1	2	2	0	3	3	1	2	0	1	1	0	1	0	13	0	3	0	0	1	1	0	1	1	0	3	6	2	1	0	1	1	1	3	3	4	2	0	1	1	1	0	0	0	2	1	1	1	1	0	0	2	1	1	0	2	0	1	6	0	3	2	1	2	0	0	6	0	2	1	0	6	2									
		0.39%	0.52%	0.38%	0.17%	0.44%	0.38%	0.00%	1.03%	0.30%	0.51%	0.48%	0.00%	0.15%	0.80%	0.00%	0.13%	0.00%	3.88%	0.00%	0.81%	0.00%	0.00%	0.97%	0.11%	0.00%	0.33%	0.17%	0.00%	1.88%	0.61%	1.06%	0.43%	0.00%	0.08%	0.35%	0.57%	0.54%	0.87%	0.75%	0.32%	0.00%	0.56%	0.18%	0.52%	0.00%	0.00%	0.00%	0.27%	0.21%	0.32%	0.33%	0.39%	0.00%	0.00%	0.67%	0.36%	0.22%	0.00%	1.32%	0.00%	0.15%	1.02%	0.00%	0.69%	0.35%	0.40%	0.49%	0.00%	0.00%	1.02%	0.00%	1.36%	0.16%	0.00%	1.95%	1.39%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	293	4	5	3	5	7	4	5	13	0	3	5	4	0	0	5	10	1	0	3	0	1	0	2	5	3	3	0	0	9	5	4	0	3	1	1	9	5	6	5	9	3	5	0	0	5	1	21	10	7	7	1	4	0	4	5	4	4	3	2	2	5	2	0	14	2	5	1	1	7	5	6	4	0	5	0									
		0.98%	0.52%	0.95%	0.52%	1.10%	1.35%	4.00%	1.71%	1.28%	0.00%	0.72%	4.63%	0.59%	0.00%	0.00%	0.66%	1.74%	0.30%	0.00%	0.81%	0.00%	0.59%	0.00%	0.22%	0.54%	0.98%	0.50%	0.00%	0.00%	0.92%	2.65%	1.70%	0.00%	0.23%	0.35%	0.57%	1.61%	1.45%	1.12%	0.81%	3.18%	1.69%	0.89%	0.00%	0.00%	0.94%	0.69%	2.88%	2.10%	2.27%	2.33%	0.39%	2.42%	0.00%	1.34%	1.79%	0.88%	1.06%	1.99%	1.10%	0.29%	0.85%	0.65%	0.00%	2.43%	0.80%	1.22%	0.60%	1.59%	1.19%	0.58%	4.08%	0.64%	0.00%	1.62%	0.00%									
																																																																																						
																																																																																						
																																																																																						
																																																																																						
																																																																																						
																																																																																						
																																																																																						
																																																																																						
																																																																																						
																																																																																						
																																																																																						
																																																																																						
																																																																																						
																																																																																						
																																																																																						
																																																																																						
																																																																																						
																																																																																						
																																																																																						
																																																																																						
																																																																																						
																																																																																						
