Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																							
Дата голосования: 07.12.2003 0:00:00																																																							
																																																							
Наименование Избирательной комиссии:    Целинная 																																																							
																																																							
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																							
																																																							
		Сумма	УИК  865	УИК  866	УИК  867	УИК  868	УИК  869	УИК  870	УИК  871	УИК  872	УИК  873	УИК  874	УИК  875	УИК  876	УИК  877	УИК  878	УИК  879	УИК  880	УИК  881	УИК  882	УИК  883	УИК  884	УИК  885	УИК  886	УИК  887	УИК  888	УИК  889	УИК  890	УИК  891	УИК  892	УИК  893	УИК  894	УИК  895	УИК  896	УИК  897	УИК  898	УИК  899	УИК  900	УИК  901	УИК  902	УИК  903	УИК  904	УИК  905	УИК  906	УИК  907	УИК  908	УИК  909	УИК  910	УИК  911	УИК  912					
		2.21%	2.93%	1.40%	2.41%	2.4%	2.42%	1.53%	1.45%	0.78%	0.95%	1.62%	0.0%	7.14%	0.32%	0.0%	6.10%	0.0%	3.13%	1.68%	0.0%	2.57%	0.0%	0.0%	2.22%	3.37%	8.88%	0.0%	3.57%	0.0%	2.85%	0.0%	2.60%	2.83%	3.71%	3.43%	2.06%	2.43%	2.27%	3.72%	2.14%	5.40%	1.72%	1.23%	2.69%	2.77%	1.85%	0.0%	0.0%	7.40%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	85	7	6	4	17	0	0	0	2	0	1	0	0	2	0	0	2	2	0	0	3	0	0	0	0	0	0	0	1	1	1	8	0	6	1	1	3	0	2	4	0	0	1	9	0	0	0	1	0					
		0.86%	1.14%	1.20%	0.80%	2.72%	0.0%	0.0%	0.0%	0.78%	0.0%	0.32%	0.0%	0.0%	0.64%	0.0%	0.0%	1.16%	0.62%	0.0%	0.0%	0.85%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	2.17%	0.95%	1.85%	1.89%	0.0%	2.23%	0.38%	0.18%	2.43%	0.0%	1.06%	0.95%	0.0%	0.0%	1.23%	2.02%	0.0%	0.0%	0.0%	0.67%	0.0%					
22	"5. ""За Русь Святую"""	20	2	2	0	1	0	0	0	0	0	1	0	0	2	0	0	0	1	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	2	1	0	0	1	0	1	0	1	0					
		0.20%	0.32%	0.40%	0.0%	0.16%	0.0%	0.0%	0.0%	0.0%	0.0%	0.32%	0.0%	0.0%	0.64%	0.0%	0.0%	0.0%	0.31%	0.0%	0.0%	0.28%	0.0%	0.0%	0.20%	0.0%	0.0%	0.0%	1.78%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	1.06%	0.47%	1.35%	0.0%	0.0%	0.22%	0.0%	1.85%	0.0%	0.67%	0.0%					
23	"6. ""Объединенная Российская партия ""Русь"""	19	2	2	1	4	0	0	1	0	0	0	1	1	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0					
		0.19%	0.32%	0.40%	0.20%	0.64%	0.0%	0.0%	0.36%	0.0%	0.0%	0.0%	0.72%	7.14%	0.0%	0.0%	0.76%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	1.78%	0.0%	0.0%	0.0%	2.17%	0.0%	0.0%	0.0%	1.85%	0.23%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.23%	0.0%	0.0%	0.0%	0.22%	0.0%	0.0%	0.0%	0.0%	0.0%					
24	"7. ""Новый курс - Автомобильная Россия"""	38	4	1	3	3	0	0	1	0	1	1	1	0	1	0	0	1	0	0	0	2	0	0	0	0	2	0	1	0	0	0	0	2	0	2	1	0	0	0	7	1	0	0	2	0	0	0	1	0					
		0.38%	0.65%	0.20%	0.60%	0.48%	0.0%	0.0%	0.36%	0.0%	0.47%	0.32%	0.72%	0.0%	0.32%	0.0%	0.0%	0.58%	0.0%	0.0%	0.0%	0.57%	0.0%	0.0%	0.0%	0.0%	2.22%	0.0%	1.78%	0.0%	0.0%	0.0%	0.0%	1.41%	0.0%	0.76%	0.18%	0.0%	0.0%	0.0%	1.66%	1.35%	0.0%	0.0%	0.44%	0.0%	0.0%	0.0%	0.67%	0.0%					
25	"8. ""Народно-республиканская партия России"""	14	0	1	0	1	0	0	1	0	0	1	0	0	0	0	1	0	2	0	1	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0					
		0.14%	0.0%	0.20%	0.0%	0.16%	0.0%	0.0%	0.36%	0.0%	0.0%	0.32%	0.0%	0.0%	0.0%	0.0%	0.76%	0.0%	0.62%	0.0%	1.0%	0.28%	0.0%	0.0%	0.0%	0.0%	2.22%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.23%	0.0%	0.0%	1.23%	0.0%	0.0%	1.85%	0.0%	0.0%	0.0%					
26	"9. ""Российская экологическая партия ""Зеленые"""	9	1	0	2	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0					
		0.09%	0.16%	0.0%	0.40%	0.16%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.32%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.23%	0.70%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.23%	0.0%	0.0%	0.0%	0.0%	0.92%	0.0%	0.0%	0.0%	0.0%					
27	"10. ""Аграрная партия России"""	1232	66	29	30	53	17	4	64	46	37	50	18	0	56	4	23	30	22	32	8	44	17	3	65	23	12	1	6	4	8	2	71	12	43	39	60	8	3	31	61	5	5	16	59	11	3	10	14	7					
		12.52%	10.76%	5.83%	6.03%	8.48%	10.30%	6.15%	23.35%	18.11%	17.70%	16.23%	13.13%	0.0%	18.06%	13.33%	17.55%	17.54%	6.89%	26.89%	8.0%	12.60%	19.10%	5.35%	13.15%	25.84%	13.33%	2.17%	10.71%	8.69%	7.61%	3.70%	16.78%	8.51%	15.98%	14.88%	11.27%	6.50%	6.81%	16.48%	14.52%	6.75%	4.31%	19.75%	13.25%	10.18%	5.55%	13.88%	9.45%	25.92%					
28	"11. ""Истинные патриоты России"""	14	0	0	2	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	1	2	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	1					
		0.14%	0.0%	0.0%	0.40%	0.0%	0.0%	0.0%	0.36%	0.0%	0.0%	0.0%	0.72%	0.0%	0.0%	0.0%	0.0%	0.0%	0.31%	0.0%	0.0%	0.28%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	2.17%	0.0%	1.85%	0.47%	0.0%	0.0%	0.38%	0.0%	0.0%	0.0%	0.0%	0.0%	1.35%	0.0%	0.0%	0.22%	0.0%	0.0%	0.0%	0.0%	3.70%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	93	4	6	3	5	1	0	3	1	0	3	4	0	0	0	3	1	3	3	0	8	0	0	1	1	0	0	1	0	1	3	6	1	3	5	3	1	0	2	4	0	1	0	5	4	0	0	2	1					
		0.94%	0.65%	1.20%	0.60%	0.8%	0.60%	0.0%	1.09%	0.39%	0.0%	0.97%	2.91%	0.0%	0.0%	0.0%	2.29%	0.58%	0.94%	2.52%	0.0%	2.29%	0.0%	0.0%	0.20%	1.12%	0.0%	0.0%	1.78%	0.0%	0.95%	5.55%	1.41%	0.70%	1.11%	1.90%	0.56%	0.81%	0.0%	1.06%	0.95%	0.0%	0.86%	0.0%	1.12%	3.70%	0.0%	0.0%	1.35%	3.70%					
30	"13. ""Демократическая партия России"""	27	0	1	4	5	2	0	0	0	0	1	0	0	0	0	0	0	1	3	1	0	0	0	2	0	2	0	0	0	0	0	0	1	0	3	0	0	0	0	0	0	0	0	0	0	0	1	0	0					
		0.27%	0.0%	0.20%	0.80%	0.8%	1.21%	0.0%	0.0%	0.0%	0.0%	0.32%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.31%	2.52%	1.0%	0.0%	0.0%	0.0%	0.40%	0.0%	2.22%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.70%	0.0%	1.14%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	1.38%	0.0%	0.0%					
31	"14. ""Великая Россия - Евразийский Союз"""	14	1	0	1	1	0	0	0	1	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	2	0	0	0	1	1	0	0	0	0					
		0.14%	0.16%	0.0%	0.20%	0.16%	0.0%	0.0%	0.0%	0.39%	0.0%	0.0%	0.0%	0.0%	0.32%	0.0%	0.0%	0.0%	0.31%	0.0%	1.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.23%	0.0%	0.74%	0.0%	0.0%	0.0%	0.0%	0.0%	0.47%	0.0%	0.0%	0.0%	0.22%	0.92%	0.0%	0.0%	0.0%	0.0%					
32	"15. ""Партия СЛОН"""	9	1	1	0	1	0	0	1	0	0	1	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0					
		0.09%	0.16%	0.20%	0.0%	0.16%	0.0%	0.0%	0.36%	0.0%	0.0%	0.32%	0.0%	0.0%	0.0%	0.0%	0.0%	0.58%	0.0%	0.84%	0.0%	0.28%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.22%	0.0%	0.0%	0.0%	0.0%	0.0%					
33	"16. ""Родина"" (народно-патриотический союз)"""	320	21	10	9	34	2	1	5	6	3	12	2	4	6	0	8	3	3	2	1	20	16	1	14	3	0	0	1	0	4	1	25	2	5	5	35	10	1	5	21	1	2	1	8	3	1	0	2	1					
		3.25%	3.42%	2.01%	1.81%	5.44%	1.21%	1.53%	1.82%	2.36%	1.43%	3.89%	1.45%	28.57%	1.93%	0.0%	6.10%	1.75%	0.94%	1.68%	1.0%	5.73%	17.97%	1.78%	2.83%	3.37%	0.0%	0.0%	1.78%	0.0%	3.80%	1.85%	5.91%	1.41%	1.85%	1.90%	6.57%	8.13%	2.27%	2.65%	5.0%	1.35%	1.72%	1.23%	1.79%	2.77%	1.85%	0.0%	1.35%	3.70%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	18	0	0	1	0	3	0	0	1	1	1	0	0	2	0	0	0	1	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	2	0	0	1	1	0	0	0	0	1	0	0	0	0					
		0.18%	0.0%	0.0%	0.20%	0.0%	1.81%	0.0%	0.0%	0.39%	0.47%	0.32%	0.0%	0.0%	0.64%	0.0%	0.0%	0.0%	0.31%	0.0%	1.0%	0.0%	0.0%	0.0%	0.20%	0.0%	1.11%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.37%	0.0%	0.0%	0.53%	0.23%	0.0%	0.0%	0.0%	0.0%	0.92%	0.0%	0.0%	0.0%	0.0%					
35	"18. ""ЛДПР"""	1674	77	86	91	115	34	10	47	53	37	23	21	2	36	7	25	31	54	11	34	49	13	7	74	9	14	17	7	10	20	16	63	23	47	54	90	19	15	36	69	19	41	15	82	26	8	19	16	2					
		17.01%	12.56%	17.30%	18.30%	18.4%	20.60%	15.38%	17.15%	20.86%	17.70%	7.46%	15.32%	14.28%	11.61%	23.33%	19.08%	18.12%	16.92%	9.24%	34.0%	14.04%	14.60%	12.49%	14.97%	10.11%	15.55%	36.95%	12.49%	21.73%	19.04%	29.62%	14.89%	16.31%	17.47%	20.61%	16.91%	15.44%	34.09%	19.14%	16.42%	25.67%	35.34%	18.51%	18.42%	24.07%	14.81%	26.38%	10.81%	7.40%					
36	"19. ""Партия Возрождения России - Российская партия ЖИЗНИ"""	192	14	13	11	18	0	0	3	1	0	5	3	0	6	1	1	5	8	0	0	2	1	0	22	0	2	1	1	1	1	0	2	3	1	11	8	3	7	1	4	2	1	1	15	5	1	5	2	0					
		1.95%	2.28%	2.61%	2.21%	2.88%	0.0%	0.0%	1.09%	0.39%	0.0%	1.62%	2.18%	0.0%	1.93%	3.33%	0.76%	2.92%	2.50%	0.0%	0.0%	0.57%	1.12%	0.0%	4.45%	0.0%	2.22%	2.17%	1.78%	2.17%	0.95%	0.0%	0.47%	2.12%	0.37%	4.19%	1.50%	2.43%	15.90%	0.53%	0.95%	2.70%	0.86%	1.23%	3.37%	4.62%	1.85%	6.94%	1.35%	0.0%					
37	"20. ""Политическая партия ""Единая Россия"""	2909	217	144	141	163	46	13	68	100	69	108	52	5	91	0	35	67	83	29	33	94	15	30	92	22	31	13	14	14	34	22	96	9	98	95	204	48	7	42	129	18	53	22	122	15	26	12	64	4					
		29.56%	35.39%	28.97%	28.37%	26.08%	27.87%	20.0%	24.81%	39.37%	33.01%	35.06%	37.95%	35.71%	29.35%	0.0%	26.71%	39.18%	26.01%	24.36%	33.0%	26.93%	16.85%	53.57%	18.62%	24.71%	34.44%	28.26%	24.99%	30.43%	32.38%	40.74%	22.69%	6.38%	36.43%	36.25%	38.34%	39.02%	15.90%	22.34%	30.71%	24.32%	45.68%	27.16%	27.41%	13.88%	48.14%	16.66%	43.24%	14.81%					
38	"21. ""Российская Конституционно-демократическая партия"""	10	0	1	2	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0					
		0.10%	0.0%	0.20%	0.40%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.76%	0.0%	0.31%	0.0%	0.0%	0.57%	0.0%	0.0%	0.0%	0.0%	1.11%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.18%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.92%	0.0%	0.0%	0.0%	0.0%					
39	"22. ""Развитие предпринимательства"""	18	2	0	1	2	1	0	0	2	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	3	1	0	0	1	0					
		0.18%	0.32%	0.0%	0.20%	0.32%	0.60%	0.0%	0.0%	0.78%	0.0%	0.0%	0.0%	0.0%	0.32%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.57%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.18%	0.0%	0.0%	0.0%	0.23%	0.0%	0.0%	0.0%	0.67%	0.92%	0.0%	0.0%	0.67%	0.0%					
40	"23. ""Коммунистическая партия Российской Федерации (КПРФ)"""	2395	140	168	143	156	41	33	55	30	52	84	21	1	83	4	19	27	110	33	12	91	26	11	193	27	12	9	18	10	32	5	113	79	41	17	92	23	8	57	85	20	10	16	97	23	11	16	38	3					
		24.34%	22.83%	33.80%	28.77%	24.96%	24.84%	50.76%	20.07%	11.81%	24.88%	27.27%	15.32%	7.14%	26.77%	13.33%	14.50%	15.78%	34.48%	27.73%	12.0%	26.07%	29.21%	19.64%	39.06%	30.33%	13.33%	19.56%	32.14%	21.73%	30.47%	9.25%	26.71%	56.02%	15.24%	6.48%	17.29%	18.69%	18.18%	30.31%	20.23%	27.02%	8.62%	19.75%	21.79%	21.29%	20.37%	22.22%	25.67%	11.11%					
																																																							
41	Против всех	252	15	10	19	17	7	1	12	2	2	6	8	0	9	14	1	2	5	2	1	8	1	3	9	0	3	3	0	3	0	0	7	2	6	7	10	3	0	2	7	2	0	6	15	9	1	8	2	2					
		2.56%	2.44%	2.01%	3.82%	2.72%	4.24%	1.53%	4.37%	0.78%	0.95%	1.94%	5.83%	0.0%	2.90%	46.66%	0.76%	1.16%	1.56%	1.68%	1.0%	2.29%	1.12%	5.35%	1.82%	0.0%	3.33%	6.52%	0.0%	6.52%	0.0%	0.0%	1.65%	1.41%	2.23%	2.67%	1.87%	2.43%	0.0%	1.06%	1.66%	2.70%	0.0%	7.40%	3.37%	8.33%	1.85%	11.11%	1.35%	7.40%					
																																																							
																																																							
																																																							
																																																							
																																																							
																																																							
																																																							
																																																							
																																																							
																																																							
																																																							
																																																							
																																																							
																																																							
																																																							
