Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																												
Дата голосования: 18.09.2016																												
																												
Наименование Избирательной комиссии:    Левобережный район																												
																												
Сводная таблица итогов голосования по федеральному избирательному округу																												
																												
		Сумма	УИК №375	УИК №376	УИК №377	УИК №378	УИК №379	УИК №380	УИК №381	УИК №382	УИК №383	УИК №384	УИК №385	УИК №386	УИК №387	УИК №388	УИК №3647	УИК №3648	УИК №8376									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	1379	74	73	139	90	96	121	166	102	130	72	132	86	23	34	15	5	21									
		11.39%	10.39%	9.58%	14.04%	9.15%	10.55%	13.64%	18.61%	11.85%	13.82%	8.70%	14.80%	10.20%	12.92%	5.24%	6.38%	12.20%	4.15%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	362	17	27	24	25	32	15	11	21	30	45	20	30	2	4	1	0	58									
		2.99%	2.39%	3.54%	2.42%	2.54%	3.52%	1.69%	1.23%	2.44%	3.19%	5.43%	2.24%	3.56%	1.12%	0.62%	0.43%	0.00%	11.46%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	458	29	30	29	44	39	46	8	28	49	35	35	52	7	2	3	0	22									
		3.78%	4.07%	3.94%	2.93%	4.47%	4.29%	5.19%	0.90%	3.25%	5.21%	4.23%	3.92%	6.17%	3.93%	0.31%	1.28%	0.00%	4.35%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	29	2	1	4	4	1	1	2	1	1	3	3	2	0	2	0	0	2									
		0.24%	0.28%	0.13%	0.40%	0.41%	0.11%	0.11%	0.22%	0.12%	0.11%	0.36%	0.34%	0.24%	0.00%	0.31%	0.00%	0.00%	0.40%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	1680	121	109	156	149	163	107	24	98	104	142	100	136	17	19	2	1	232									
		13.87%	16.99%	14.30%	15.76%	15.14%	17.91%	12.06%	2.69%	11.38%	11.05%	17.15%	11.21%	16.13%	9.55%	2.93%	0.85%	2.44%	45.85%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	1663	133	124	130	149	106	132	128	144	116	120	121	106	26	56	35	2	35									
		13.73%	18.68%	16.27%	13.13%	15.14%	11.65%	14.88%	14.35%	16.72%	12.33%	14.49%	13.57%	12.57%	14.61%	8.63%	14.89%	4.88%	6.92%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	76	5	4	4	9	8	5	3	7	7	9	4	8	0	1	0	0	2									
		0.63%	0.70%	0.52%	0.40%	0.91%	0.88%	0.56%	0.34%	0.81%	0.74%	1.09%	0.45%	0.95%	0.00%	0.15%	0.00%	0.00%	0.40%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	762	48	45	76	94	47	50	18	78	80	59	67	62	11	12	9	0	6									
		6.29%	6.74%	5.91%	7.68%	9.55%	5.16%	5.64%	2.02%	9.06%	8.50%	7.13%	7.51%	7.35%	6.18%	1.85%	3.83%	0.00%	1.19%									
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
