Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																													
Дата голосования: 18.09.2016																													
																													
Наименование Избирательной комиссии:    Останкинский район																													
																													
Сводная таблица итогов голосования по федеральному избирательному округу																													
																													
		Сумма	УИК №670	УИК №671	УИК №672	УИК №673	УИК №674	УИК №675	УИК №676	УИК №677	УИК №678	УИК №679	УИК №680	УИК №681	УИК №682	УИК №683	УИК №684	УИК №685	УИК №686	УИК №687									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	3805	204	180	185	256	149	156	48	280	249	212	210	260	303	211	203	251	208	240									
		30.05%	34.46%	26.83%	28.64%	30.70%	27.29%	23.15%	33.33%	30.24%	30.86%	28.96%	36.08%	29.48%	33.44%	30.45%	30.62%	30.50%	26.00%	32.43%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	294	8	17	13	22	13	17	4	13	11	24	10	28	26	20	20	17	20	11									
		2.32%	1.35%	2.53%	2.01%	2.64%	2.38%	2.52%	2.78%	1.40%	1.36%	3.28%	1.72%	3.17%	2.87%	2.89%	3.02%	2.07%	2.50%	1.49%									
24	"6. Политическая партия ""Гражданская Платформа"""	53	1	3	1	4	6	2	0	5	2	3	1	1	5	1	2	6	8	2									
		0.42%	0.17%	0.45%	0.15%	0.48%	1.10%	0.30%	0.00%	0.54%	0.25%	0.41%	0.17%	0.11%	0.55%	0.14%	0.30%	0.73%	1.00%	0.27%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	1352	75	65	65	99	74	80	17	76	84	94	56	104	100	71	62	78	78	74									
		10.68%	12.67%	9.69%	10.06%	11.87%	13.55%	11.87%	11.81%	8.21%	10.41%	12.84%	9.62%	11.79%	11.04%	10.25%	9.35%	9.48%	9.75%	10.00%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	508	21	32	27	30	17	37	5	42	25	24	13	41	26	26	42	42	28	30									
		4.01%	3.55%	4.77%	4.18%	3.60%	3.11%	5.49%	3.47%	4.54%	3.10%	3.28%	2.23%	4.65%	2.87%	3.75%	6.33%	5.10%	3.50%	4.05%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	620	23	41	30	27	29	26	9	42	46	47	20	40	33	39	39	43	39	47									
		4.90%	3.89%	6.11%	4.64%	3.24%	5.31%	3.86%	6.25%	4.54%	5.70%	6.42%	3.44%	4.54%	3.64%	5.63%	5.88%	5.22%	4.88%	6.35%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	29	1	1	2	2	1	1	0	4	1	3	1	0	0	2	1	3	2	4									
		0.23%	0.17%	0.15%	0.31%	0.24%	0.18%	0.15%	0.00%	0.43%	0.12%	0.41%	0.17%	0.00%	0.00%	0.29%	0.15%	0.36%	0.25%	0.54%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	1884	73	126	139	103	96	125	18	125	113	95	114	122	110	87	99	111	142	86									
		14.88%	12.33%	18.78%	21.52%	12.35%	17.58%	18.55%	12.50%	13.50%	14.00%	12.98%	19.59%	13.83%	12.14%	12.55%	14.93%	13.49%	17.75%	11.62%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	1893	95	100	86	118	90	114	21	175	137	98	65	125	119	107	78	115	129	121									
		14.95%	16.05%	14.90%	13.31%	14.15%	16.48%	16.91%	14.58%	18.90%	16.98%	13.39%	11.17%	14.17%	13.13%	15.44%	11.76%	13.97%	16.13%	16.35%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	73	5	4	3	5	0	0	1	5	7	2	2	11	3	5	3	6	2	9									
		0.58%	0.84%	0.60%	0.46%	0.60%	0.00%	0.00%	0.69%	0.54%	0.87%	0.27%	0.34%	1.25%	0.33%	0.72%	0.45%	0.73%	0.25%	1.22%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	928	32	33	37	75	27	51	11	76	69	45	45	51	92	57	51	69	57	50									
		7.33%	5.41%	4.92%	5.73%	8.99%	4.95%	7.57%	7.64%	8.21%	8.55%	6.15%	7.73%	5.78%	10.15%	8.23%	7.69%	8.38%	7.13%	6.76%									
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
