Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва														
Дата голосования: 07.12.2003 0:00:00														
														
Наименование Избирательной комиссии:    Приуральская														
														
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)														
														
		Сумма	УИК №139	УИК №140	УИК №141	УИК №142	УИК №143	УИК №144	УИК №145					
		1.90%	2.64%	1.61%	0.53%	2.87%	1.53%	1.24%	2.27%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	95	37	17	0	27	7	7	0					
		2.26%	4.08%	1.71%	0.0%	3.53%	1.79%	1.73%	0.0%					
22	"5. ""За Русь Святую"""	22	7	1	0	2	10	2	0					
		0.52%	0.77%	0.10%	0.0%	0.26%	2.55%	0.49%	0.0%					
23	"6. ""Объединенная Российская партия ""Русь"""	16	2	5	0	4	3	0	2					
		0.38%	0.22%	0.50%	0.0%	0.52%	0.76%	0.0%	1.13%					
24	"7. ""Новый курс - Автомобильная Россия"""	20	5	4	1	5	5	0	0					
		0.47%	0.55%	0.40%	0.17%	0.65%	1.27%	0.0%	0.0%					
25	"8. ""Народно-республиканская партия России"""	3	2	0	1	0	0	0	0					
		0.07%	0.22%	0.0%	0.17%	0.0%	0.0%	0.0%	0.0%					
26	"9. ""Российская экологическая партия ""Зеленые"""	6	4	0	1	0	1	0	0					
		0.14%	0.44%	0.0%	0.17%	0.0%	0.25%	0.0%	0.0%					
27	"10. ""Аграрная партия России"""	24	7	9	0	4	0	4	0					
		0.57%	0.77%	0.90%	0.0%	0.52%	0.0%	0.99%	0.0%					
28	"11. ""Истинные патриоты России"""	10	2	4	0	1	3	0	0					
		0.23%	0.22%	0.40%	0.0%	0.13%	0.76%	0.0%	0.0%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	23	8	4	2	2	3	3	1					
		0.54%	0.88%	0.40%	0.35%	0.26%	0.76%	0.74%	0.56%					
30	"13. ""Демократическая партия России"""	6	2	3	0	1	0	0	0					
		0.14%	0.22%	0.30%	0.0%	0.13%	0.0%	0.0%	0.0%					
31	"14. ""Великая Россия - Евразийский Союз"""	8	2	2	1	0	1	2	0					
		0.19%	0.22%	0.20%	0.17%	0.0%	0.25%	0.49%	0.0%					
32	"15. ""Партия СЛОН"""	8	1	2	0	3	1	1	0					
		0.19%	0.11%	0.20%	0.0%	0.39%	0.25%	0.24%	0.0%					
33	"16. ""Родина"" (народно-патриотический союз)"""	78	24	13	1	18	12	8	2					
		1.86%	2.64%	1.31%	0.17%	2.35%	3.06%	1.98%	1.13%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	28	1	7	4	1	9	6	0					
		0.66%	0.11%	0.70%	0.71%	0.13%	2.30%	1.48%	0.0%					
35	"18. ""ЛДПР"""	281	81	67	8	60	17	43	5					
		6.70%	8.94%	6.76%	1.42%	7.85%	4.34%	10.66%	2.84%					
36	"19. ""Партия Возрождения России - Российская партия ЖИЗНИ"""	35	7	7	2	6	11	1	1					
		0.83%	0.77%	0.70%	0.35%	0.78%	2.81%	0.24%	0.56%					
37	"20. ""Политическая партия ""Единая Россия"""	2797	503	723	514	450	209	252	146					
		66.70%	55.51%	72.95%	91.45%	58.90%	53.45%	62.53%	82.95%					
38	"21. ""Российская Конституционно-демократическая партия"""	12	3	4	1	0	3	1	0					
		0.28%	0.33%	0.40%	0.17%	0.0%	0.76%	0.24%	0.0%					
39	"22. ""Развитие предпринимательства"""	12	2	3	0	5	1	1	0					
		0.28%	0.22%	0.30%	0.0%	0.65%	0.25%	0.24%	0.0%					
40	"23. ""Коммунистическая партия Российской Федерации (КПРФ)"""	118	31	17	4	25	21	18	2					
		2.81%	3.42%	1.71%	0.71%	3.27%	5.37%	4.46%	1.13%					
														
41	Против всех	222	67	27	5	65	23	24	11					
		5.29%	7.39%	2.72%	0.88%	8.50%	5.88%	5.95%	6.25%					
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
