Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																							
Дата голосования: 07.12.2003 0:00:00																																							
																																							
Наименование Избирательной комиссии:    Удомельская																																							
																																							
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																							
																																							
		Сумма	УИК  1319	УИК  1320	УИК  1321	УИК  1322	УИК  1323	УИК  1324	УИК  1325	УИК  1326	УИК  1327	УИК  1328	УИК  1329	УИК  1330	УИК  1331	УИК  1332	УИК  1333	УИК  1334	УИК  1335	УИК  1336	УИК  1337	УИК  1338	УИК  1339	УИК  1340	УИК  1341	УИК  1342	УИК  1343	УИК  1344	УИК  1345	УИК  1346	УИК  1347	УИК  1348	УИК  1349	УИК  1350					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	540	30	30	30	30	30	30	30	30	30	30	30	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	235	12	21	15	17	19	16	13	20	18	20	12	0	4	1	4	4	0	3	2	9	5	5	2	1	4	5	1	0	0	0	0	2					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	224	5	2	6	16	11	8	12	40	6	10	6	6	4	1	8	2	9	6	1	2	4	5	20	5	8	5	2	0	3	3	3	5					
14	Число погашенных открепительных удостоверений	305	18	9	15	13	11	14	17	10	12	10	18	10	6	9	6	6	10	7	8	1	5	5	8	9	6	5	9	10	10	10	10	8					
15	Число открепительных удостоверений выданных ТИК	3	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																							
18	"1. ""ЕДИНЕНИЕ"""	234	17	14	10	16	10	11	13	10	13	19	21	6	6	1	2	1	4	5	3	3	6	1	9	0	5	0	4	5	2	4	3	10					
		1.27%	1.95%	0.93%	0.84%	1.32%	0.93%	1.10%	1.17%	0.77%	0.99%	1.45%	1.52%	1.0%	1.71%	0.36%	1.41%	1.23%	1.69%	1.74%	0.64%	3.09%	1.31%	0.47%	5.17%	0.0%	2.15%	0.0%	2.63%	3.64%	2.15%	2.75%	1.66%	2.58%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	727	24	98	78	66	52	28	59	53	67	61	80	9	3	2	1	0	3	1	3	0	6	2	4	2	9	3	2	2	0	2	2	5					
		3.96%	2.76%	6.55%	6.62%	5.46%	4.86%	2.81%	5.34%	4.08%	5.11%	4.68%	5.80%	1.5%	0.85%	0.72%	0.70%	0.0%	1.27%	0.34%	0.64%	0.0%	1.31%	0.94%	2.29%	1.25%	3.87%	1.06%	1.31%	1.45%	0.0%	1.37%	1.11%	1.29%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	476	23	29	35	27	26	27	29	31	24	34	23	35	9	7	11	7	8	7	18	2	17	6	10	6	4	3	2	3	2	1	6	4					
		2.59%	2.64%	1.93%	2.97%	2.23%	2.43%	2.71%	2.62%	2.39%	1.83%	2.61%	1.66%	5.83%	2.57%	2.55%	7.80%	8.64%	3.38%	2.44%	3.87%	2.06%	3.73%	2.84%	5.74%	3.77%	1.72%	1.06%	1.31%	2.18%	2.15%	0.68%	3.33%	1.03%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	850	24	98	67	78	62	42	54	76	81	99	81	16	7	4	4	1	2	6	8	5	5	6	1	0	3	5	1	4	2	2	2	4					
		4.63%	2.76%	6.55%	5.68%	6.46%	5.79%	4.22%	4.89%	5.85%	6.18%	7.60%	5.87%	2.66%	2.0%	1.45%	2.83%	1.23%	0.84%	2.09%	1.72%	5.15%	1.09%	2.84%	0.57%	0.0%	1.29%	1.77%	0.65%	2.91%	2.15%	1.37%	1.11%	1.03%					
22	"5. ""За Русь Святую"""	224	8	22	9	16	19	7	9	22	19	19	19	8	4	3	1	4	6	1	7	1	3	0	0	0	3	6	1	2	0	1	2	2					
		1.22%	0.92%	1.47%	0.76%	1.32%	1.77%	0.70%	0.81%	1.69%	1.45%	1.45%	1.37%	1.33%	1.14%	1.09%	0.70%	4.93%	2.54%	0.34%	1.50%	1.03%	0.65%	0.0%	0.0%	0.0%	1.29%	2.12%	0.65%	1.45%	0.0%	0.68%	1.11%	0.51%					
23	"6. ""Объединенная Российская партия ""Русь"""	54	2	4	8	3	1	3	1	4	4	3	2	6	2	3	1	0	0	0	3	0	0	0	0	0	0	0	1	1	0	1	0	1					
		0.29%	0.23%	0.26%	0.67%	0.24%	0.09%	0.30%	0.09%	0.30%	0.30%	0.23%	0.14%	1.0%	0.57%	1.09%	0.70%	0.0%	0.0%	0.0%	0.64%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.65%	0.72%	0.0%	0.68%	0.0%	0.25%					
24	"7. ""Новый курс - Автомобильная Россия"""	232	7	30	12	26	17	14	17	12	28	21	22	6	2	1	1	2	0	0	0	1	0	0	1	0	2	1	1	1	0	3	1	3					
		1.26%	0.80%	2.00%	1.01%	2.15%	1.59%	1.40%	1.54%	0.92%	2.13%	1.61%	1.59%	1.0%	0.57%	0.36%	0.70%	2.46%	0.0%	0.0%	0.0%	1.03%	0.0%	0.0%	0.57%	0.0%	0.86%	0.35%	0.65%	0.72%	0.0%	2.06%	0.55%	0.77%					
25	"8. ""Народно-республиканская партия России"""	23	2	3	0	1	0	2	3	4	0	1	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	1	0	1	0	1					
		0.12%	0.23%	0.20%	0.0%	0.08%	0.0%	0.20%	0.27%	0.30%	0.0%	0.07%	0.07%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.34%	0.0%	0.0%	0.0%	0.0%	0.57%	0.0%	0.0%	0.0%	0.65%	0.72%	0.0%	0.68%	0.0%	0.25%					
26	"9. ""Российская экологическая партия ""Зеленые"""	62	2	9	3	5	7	4	0	7	4	2	3	2	2	0	0	2	2	1	2	0	1	0	0	0	0	0	1	1	0	1	0	1					
		0.33%	0.23%	0.60%	0.25%	0.41%	0.65%	0.40%	0.0%	0.53%	0.30%	0.15%	0.21%	0.33%	0.57%	0.0%	0.0%	2.46%	0.84%	0.34%	0.43%	0.0%	0.21%	0.0%	0.0%	0.0%	0.0%	0.0%	0.65%	0.72%	0.0%	0.68%	0.0%	0.25%					
27	"10. ""Аграрная партия России"""	885	36	37	30	36	29	33	26	43	33	24	21	28	30	33	11	10	10	30	26	16	119	10	7	14	12	53	23	26	10	17	28	24					
		4.82%	4.14%	2.47%	2.54%	2.98%	2.71%	3.31%	2.35%	3.31%	2.52%	1.84%	1.52%	4.66%	8.57%	12.04%	7.80%	12.34%	4.23%	10.48%	5.59%	16.49%	26.15%	4.73%	4.02%	8.80%	5.17%	18.79%	15.13%	18.97%	10.75%	11.72%	15.55%	6.20%					
28	"11. ""Истинные патриоты России"""	14	0	1	0	2	2	0	2	1	2	1	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0					
		0.07%	0.0%	0.06%	0.0%	0.16%	0.18%	0.0%	0.18%	0.07%	0.15%	0.07%	0.07%	0.16%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	1.03%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	224	15	16	14	13	12	16	15	16	29	11	18	4	4	2	0	0	1	2	3	1	3	2	3	2	4	2	3	2	3	2	4	2					
		1.22%	1.72%	1.06%	1.18%	1.07%	1.12%	1.60%	1.35%	1.23%	2.21%	0.84%	1.30%	0.66%	1.14%	0.72%	0.0%	0.0%	0.42%	0.69%	0.64%	1.03%	0.65%	0.94%	1.72%	1.25%	1.72%	0.70%	1.97%	1.45%	3.22%	1.37%	2.22%	0.51%					
30	"13. ""Демократическая партия России"""	41	4	5	4	2	2	1	1	5	2	0	3	1	0	0	0	0	1	3	0	0	3	1	0	0	1	1	0	0	0	1	0	0					
		0.22%	0.46%	0.33%	0.33%	0.16%	0.18%	0.10%	0.09%	0.38%	0.15%	0.0%	0.21%	0.16%	0.0%	0.0%	0.0%	0.0%	0.42%	1.04%	0.0%	0.0%	0.65%	0.47%	0.0%	0.0%	0.43%	0.35%	0.0%	0.0%	0.0%	0.68%	0.0%	0.0%					
31	"14. ""Великая Россия - Евразийский Союз"""	49	3	6	1	5	2	2	0	2	2	1	5	3	0	1	0	1	1	0	1	0	0	2	2	2	1	1	0	0	1	3	0	1					
		0.26%	0.34%	0.40%	0.08%	0.41%	0.18%	0.20%	0.0%	0.15%	0.15%	0.07%	0.36%	0.5%	0.0%	0.36%	0.0%	1.23%	0.42%	0.0%	0.21%	0.0%	0.0%	0.94%	1.14%	1.25%	0.43%	0.35%	0.0%	0.0%	1.07%	2.06%	0.0%	0.25%					
32	"15. ""Партия СЛОН"""	64	0	10	11	8	2	3	3	2	5	2	6	2	0	0	1	0	1	1	1	0	1	0	0	2	0	0	0	0	0	1	0	2					
		0.34%	0.0%	0.66%	0.93%	0.66%	0.18%	0.30%	0.27%	0.15%	0.38%	0.15%	0.43%	0.33%	0.0%	0.0%	0.70%	0.0%	0.42%	0.34%	0.21%	0.0%	0.21%	0.0%	0.0%	1.25%	0.0%	0.0%	0.0%	0.0%	0.0%	0.68%	0.0%	0.51%					
33	"16. ""Родина"" (народно-патриотический союз)"""	1394	83	146	95	113	108	85	103	95	124	110	126	21	12	2	4	8	17	16	28	2	6	11	13	17	8	5	5	7	5	2	4	13					
		7.60%	9.56%	9.75%	8.06%	9.36%	10.10%	8.55%	9.33%	7.32%	9.47%	8.44%	9.13%	3.5%	3.42%	0.72%	2.83%	9.87%	7.20%	5.59%	6.02%	2.06%	1.31%	5.21%	7.47%	10.69%	3.44%	1.77%	3.28%	5.10%	5.37%	1.37%	2.22%	3.35%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	49	3	1	1	5	1	0	5	3	2	1	6	2	2	1	0	1	2	0	2	0	2	2	0	1	0	1	1	0	0	1	1	2					
		0.26%	0.34%	0.06%	0.08%	0.41%	0.09%	0.0%	0.45%	0.23%	0.15%	0.07%	0.43%	0.33%	0.57%	0.36%	0.0%	1.23%	0.84%	0.0%	0.43%	0.0%	0.43%	0.94%	0.0%	0.62%	0.0%	0.35%	0.65%	0.0%	0.0%	0.68%	0.55%	0.51%					
35	"18. ""ЛДПР"""	2499	113	177	185	169	172	135	132	201	217	188	208	104	39	28	17	3	33	17	66	15	45	18	24	18	32	28	15	9	13	14	24	40					
		13.62%	13.01%	11.83%	15.70%	14.00%	16.08%	13.58%	11.96%	15.49%	16.57%	14.43%	15.08%	17.33%	11.14%	10.21%	12.05%	3.70%	13.98%	5.94%	14.19%	15.46%	9.89%	8.53%	13.79%	11.32%	13.79%	9.92%	9.86%	6.56%	13.97%	9.65%	13.33%	10.33%					
36	"19. ""Партия Возрождения России - Российская партия ЖИЗНИ"""	362	13	23	25	14	15	26	21	31	14	28	22	20	14	12	6	1	1	4	14	0	9	7	7	3	4	4	4	3	5	4	3	5					
		1.97%	1.49%	1.53%	2.12%	1.15%	1.40%	2.61%	1.90%	2.39%	1.06%	2.15%	1.59%	3.33%	4.0%	4.37%	4.25%	1.23%	0.42%	1.39%	3.01%	0.0%	1.97%	3.31%	4.02%	1.88%	1.72%	1.41%	2.63%	2.18%	5.37%	2.75%	1.66%	1.29%					
37	"20. ""Политическая партия ""Единая Россия"""	7131	327	546	411	434	381	381	419	480	453	503	538	227	169	144	66	32	112	121	225	36	170	106	81	54	104	135	73	51	30	56	69	197					
		38.88%	37.67%	36.49%	34.88%	35.95%	35.64%	38.32%	37.98%	37.00%	34.60%	38.63%	39.01%	37.83%	48.28%	52.55%	46.80%	39.50%	47.45%	42.30%	48.38%	37.11%	37.36%	50.23%	46.55%	33.96%	44.82%	47.87%	48.02%	37.22%	32.25%	38.62%	38.33%	50.90%					
38	"21. ""Российская Конституционно-демократическая партия"""	31	1	3	2	2	1	2	4	2	5	0	0	1	1	0	1	0	0	1	2	0	0	2	0	0	1	0	0	0	0	0	0	0					
		0.16%	0.11%	0.20%	0.16%	0.16%	0.09%	0.20%	0.36%	0.15%	0.38%	0.0%	0.0%	0.16%	0.28%	0.0%	0.70%	0.0%	0.0%	0.34%	0.43%	0.0%	0.0%	0.94%	0.0%	0.0%	0.43%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%					
39	"22. ""Развитие предпринимательства"""	55	1	3	8	5	4	3	3	1	4	2	9	4	0	3	1	0	0	0	1	0	2	0	0	0	0	0	0	1	0	0	0	0					
		0.29%	0.11%	0.20%	0.67%	0.41%	0.37%	0.30%	0.27%	0.07%	0.30%	0.15%	0.65%	0.66%	0.0%	1.09%	0.70%	0.0%	0.0%	0.0%	0.21%	0.0%	0.43%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.72%	0.0%	0.0%	0.0%	0.0%					
40	"23. ""Коммунистическая партия Российской Федерации (КПРФ)"""	1534	121	98	69	86	68	107	100	104	87	82	81	64	32	25	8	5	24	57	36	6	41	21	6	28	30	22	10	17	17	18	23	41					
		8.36%	13.94%	6.55%	5.85%	7.12%	6.36%	10.76%	9.06%	8.01%	6.64%	6.29%	5.87%	10.66%	9.14%	9.12%	5.67%	6.17%	10.16%	19.93%	7.74%	6.18%	9.01%	9.95%	3.44%	17.61%	12.93%	7.80%	6.57%	12.40%	18.27%	12.41%	12.77%	10.59%					
																																							
41	Против всех	950	30	95	96	73	67	47	70	85	79	82	83	20	6	1	1	2	3	8	10	7	11	11	4	8	8	7	2	1	3	2	4	24					
		5.18%	3.45%	6.35%	8.14%	6.04%	6.26%	4.72%	6.34%	6.55%	6.03%	6.29%	6.01%	3.33%	1.71%	0.36%	0.70%	2.46%	1.27%	2.79%	2.15%	7.21%	2.41%	5.21%	2.29%	5.03%	3.44%	2.48%	1.31%	0.72%	3.22%	1.37%	2.22%	6.20%					
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
