Выборы Президента Российской Федерации																																																																			
																																																																			
Наименование Избирательной комиссии:    район Марьино																																																																			
																																																																			
Итоги голосования 																																																																			
																																																																			
		Сумма	УИК №1395	УИК №1396	УИК №1397	УИК №1398	УИК №1399	УИК №1400	УИК №1401	УИК №1402	УИК №1403	УИК №1404	УИК №1405	УИК №1406	УИК №1407	УИК №1408	УИК №1409	УИК №1410	УИК №1411	УИК №1412	УИК №1413	УИК №1414	УИК №1415	УИК №1416	УИК №1417	УИК №1418	УИК №1419	УИК №1420	УИК №1421	УИК №1422	УИК №1423	УИК №1424	УИК №1425	УИК №1426	УИК №1427	УИК №1428	УИК №1429	УИК №1430	УИК №1431	УИК №1432	УИК №1433	УИК №1434	УИК №1435	УИК №1436	УИК №1437	УИК №1438	УИК №1439	УИК №1440	УИК №1441	УИК №1442	УИК №1443	УИК №1444	УИК №1445	УИК №1446	УИК №1447	УИК №1448	УИК №1449	УИК №1450	УИК №1451	УИК №1452	УИК №1453	УИК №1454					
11	Число полученных открепительных  удостоверений	4198	50	50	60	100	50	60	70	50	50	80	50	50	70	50	100	100	50	65	50	70	50	50	100	60	70	70	60	100	100	50	100	100	50	63	100	50	50	65	60	95	50	50	100	100	50	50	70	70	50	70	100	70	70	100	70	50	100	110	100	50					
12	Число выданных открепительных удостоверений	3371	49	48	60	74	46	45	47	43	41	63	39	32	45	43	52	92	40	45	39	51	37	32	97	45	56	51	50	98	74	48	87	73	41	51	78	49	48	46	47	93	32	47	77	89	44	35	46	70	38	68	58	51	63	74	64	38	83	90	71	38					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	1852	17	46	16	16	26	27	16	17	27	18	19	34	29	25	6	38	20	14	26	22	20	20	44	18	31	28	24	22	41	18	17	20	25	61	59	31	15	38	54	55	50	22	18	34	22	16	29	37	21	38	36	31	36	74	38	19	94	67	45	25					
14	Число неиспользованных открепительных удостоверений	827	1	2	0	26	4	15	23	7	9	17	11	18	25	7	48	8	10	20	11	19	13	18	3	15	14	19	10	2	26	2	13	27	9	12	22	1	2	19	13	2	18	3	23	11	6	15	24	0	12	2	42	19	7	26	6	12	17	20	29	12					
15	"Число открепительных удостоверений, выданных в ТИК"	19	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	4	0	1	0	0	0	0	0	0	0	1	0	0	2	0	0	0	2	0	1	0	1	1	0	0	1	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																																			
18	. Глазьев Сергей Юрьевич	4976	62	91	51	74	85	65	58	177	64	46	72	61	75	276	95	178	72	47	73	79	85	87	79	97	68	85	81	93	112	65	81	89	63	111	96	54	64	99	114	74	63	50	73	67	59	44	89	74	77	96	93	72	72	104	72	52	107	97	57	60					
		4.81%	3.64%	5.87%	3.72%	4.90%	5.34%	3.60%	3.58%	9.33%	4.26%	3.43%	5.85%	4.37%	4.82%	13.74%	5.55%	10.33%	4.77%	3.65%	4.94%	4.05%	4.25%	4.77%	3.84%	5.85%	3.98%	4.99%	5.99%	4.72%	5.68%	4.03%	3.95%	6.27%	5.11%	5.82%	4.44%	3.09%	3.40%	3.86%	4.46%	3.80%	5.41%	3.85%	4.79%	3.98%	3.93%	3.49%	4.58%	3.83%	4.58%	4.90%	5.38%	4.37%	3.83%	4.70%	4.05%	4.96%	4.99%	4.11%	2.73%	3.80%					
19	. Малышкин Олег Александрович	1476	26	18	17	31	27	15	21	91	21	14	18	24	22	56	29	65	20	25	21	15	34	55	6	26	27	16	19	33	18	34	27	17	16	35	24	20	19	13	18	11	14	16	37	20	19	12	33	25	15	21	48	14	21	34	6	9	30	20	20	18					
		1.43%	1.53%	1.16%	1.24%	2.05%	1.70%	0.83%	1.30%	4.80%	1.40%	1.04%	1.46%	1.72%	1.41%	2.79%	1.69%	3.77%	1.33%	1.94%	1.42%	0.77%	1.70%	3.02%	0.29%	1.57%	1.58%	0.94%	1.40%	1.67%	0.91%	2.11%	1.32%	1.20%	1.30%	1.84%	1.11%	1.14%	1.01%	0.51%	0.70%	0.56%	1.20%	1.23%	2.43%	1.19%	1.26%	0.95%	1.70%	1.29%	0.89%	1.07%	2.77%	0.85%	1.12%	1.54%	0.34%	0.86%	1.40%	0.85%	0.96%	1.14%					
20	. Миронов Сергей Михайлович	888	9	6	13	12	4	4	8	89	10	7	6	7	17	82	8	12	9	25	10	4	12	34	12	10	8	7	8	24	11	4	12	9	2	17	7	7	10	11	6	11	6	7	24	15	3	2	16	6	1	17	33	7	21	118	7	6	3	17	10	5					
		0.86%	0.53%	0.39%	0.95%	0.79%	0.25%	0.22%	0.49%	4.69%	0.67%	0.52%	0.49%	0.50%	1.09%	4.08%	0.47%	0.70%	0.60%	1.94%	0.68%	0.21%	0.60%	1.87%	0.58%	0.60%	0.47%	0.41%	0.59%	1.22%	0.56%	0.25%	0.59%	0.63%	0.16%	0.89%	0.32%	0.40%	0.53%	0.43%	0.23%	0.56%	0.52%	0.54%	1.57%	0.89%	0.20%	0.16%	0.82%	0.31%	0.06%	0.87%	1.91%	0.42%	1.12%	5.34%	0.39%	0.57%	0.14%	0.72%	0.48%	0.32%					
21	. Путин Владимир Владимирович	77583	1399	1162	1060	1085	1161	1472	1265	1027	1156	1071	873	1037	1119	1254	1255	1360	1074	959	1057	1591	1461	1342	1594	1237	1284	1273	1006	1392	1461	1185	1626	1070	891	1300	1724	1373	1479	1886	1932	1496	793	934	1100	1268	1153	1006	1472	1530	1299	1441	1248	1270	1469	1569	1400	794	1507	1840	1745	1296					
		74.96%	82.20%	75.02%	77.26%	71.81%	72.97%	81.42%	78.18%	54.14%	76.96%	79.81%	70.98%	74.34%	71.87%	62.42%	73.26%	78.93%	71.22%	74.46%	71.47%	81.59%	73.12%	73.66%	77.45%	74.61%	75.22%	74.75%	74.35%	70.59%	74.09%	73.47%	79.28%	75.35%	72.20%	68.21%	79.70%	78.46%	78.54%	73.44%	75.62%	76.80%	68.13%	71.90%	72.18%	75.39%	76.76%	79.78%	75.68%	79.15%	77.23%	73.52%	72.14%	77.02%	78.10%	70.96%	78.83%	75.69%	70.26%	78.03%	83.57%	82.08%					
22	. Хакамада Ирина Муцуовна	6903	71	91	68	84	88	67	68	172	75	55	88	100	128	74	81	63	91	72	105	72	110	104	135	91	91	124	86	181	141	106	101	68	86	187	122	170	140	316	251	144	134	121	93	130	101	84	137	137	121	159	117	128	110	147	156	81	171	153	88	68					
		6.67%	4.17%	5.87%	4.96%	5.56%	5.53%	3.71%	4.20%	9.07%	4.99%	4.10%	7.15%	7.17%	8.22%	3.68%	4.73%	3.66%	6.03%	5.59%	7.10%	3.69%	5.51%	5.71%	6.56%	5.49%	5.33%	7.28%	6.36%	9.18%	7.15%	6.57%	4.92%	4.79%	6.97%	9.81%	5.64%	9.71%	7.43%	12.31%	9.82%	7.39%	11.51%	9.31%	6.10%	7.73%	6.72%	6.66%	7.04%	7.09%	7.19%	8.11%	6.76%	7.76%	5.85%	6.65%	8.78%	7.72%	7.97%	6.49%	4.21%	4.31%					
23	. Харитонов Николай Михайлович	5590	101	105	89	118	107	81	102	237	104	78	90	70	92	230	142	25	141	64	91	106	114	144	109	75	126	101	57	103	106	79	94	75	78	124	78	67	77	95	88	74	59	81	84	57	67	51	71	70	82	98	92	62	98	87	52	57	133	116	72	64					
		5.40%	5.93%	6.78%	6.49%	7.81%	6.73%	4.48%	6.30%	12.49%	6.92%	5.81%	7.32%	5.02%	5.91%	11.45%	8.29%	1.45%	9.35%	4.97%	6.15%	5.44%	5.71%	7.90%	5.30%	4.52%	7.38%	5.93%	4.21%	5.22%	5.38%	4.90%	4.58%	5.28%	6.32%	6.51%	3.61%	3.83%	4.09%	3.70%	3.44%	3.80%	5.07%	6.24%	5.51%	3.39%	4.46%	4.04%	3.65%	3.62%	4.88%	5.00%	5.32%	3.76%	5.21%	3.93%	2.93%	5.43%	6.20%	4.92%	3.45%	4.05%					
																																																																			
24	Против всех	5462	26	68	70	96	107	88	83	91	68	54	79	85	95	23	97	20	96	82	109	77	168	46	108	112	97	88	91	129	115	129	97	89	90	117	103	34	88	140	146	86	95	86	107	109	71	54	120	87	82	122	87	85	83	134	79	46	184	106	82	56					
		5.28%	1.53%	4.39%	5.10%	6.35%	6.73%	4.87%	5.13%	4.80%	4.53%	4.02%	6.42%	6.09%	6.10%	1.14%	5.66%	1.16%	6.37%	6.37%	7.37%	3.95%	8.41%	2.52%	5.25%	6.76%	5.68%	5.17%	6.73%	6.54%	5.83%	8.00%	4.73%	6.27%	7.29%	6.14%	4.76%	1.94%	4.67%	5.45%	5.71%	4.41%	8.16%	6.62%	7.02%	6.48%	4.73%	4.28%	6.17%	4.50%	4.88%	6.22%	5.03%	5.15%	4.41%	6.06%	4.45%	4.39%	8.58%	4.50%	3.93%	3.55%					
																																																																			
																																																																			
																																																																			
																																																																			
																																																																			
																																																																			
																																																																			
																																																																			
																																																																			
																																																																			
																																																																			
																																																																			
																																																																			
																																																																			
																																																																			
