Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																												
Дата голосования: 18.09.2016																																																																												
																																																																												
Наименование Избирательной комиссии:    Кугарчинская																																																																												
																																																																												
Сводная таблица итогов голосования по федеральному избирательному округу																																																																												
																																																																												
		Сумма	УИК №2385	УИК №2386	УИК №2387	УИК №2388	УИК №2389	УИК №2390	УИК №2391	УИК №2392	УИК №2393	УИК №2394	УИК №2395	УИК №2396	УИК №2397	УИК №2398	УИК №2399	УИК №2400	УИК №2401	УИК №2402	УИК №2403	УИК №2404	УИК №2405	УИК №2406	УИК №2407	УИК №2408	УИК №2409	УИК №2410	УИК №2411	УИК №2412	УИК №2413	УИК №2414	УИК №2415	УИК №2416	УИК №2417	УИК №2418	УИК №2419	УИК №2420	УИК №2421	УИК №2422	УИК №2423	УИК №2424	УИК №2425	УИК №2426	УИК №2427	УИК №2428	УИК №2429	УИК №2430	УИК №2431	УИК №2432	УИК №2433	УИК №2434	УИК №2435	УИК №2436	УИК №2437	УИК №2438	УИК №2439	УИК №2440	УИК №2441	УИК №2442	УИК №2443	УИК №2444	УИК №2445	УИК №2446	УИК №2447	УИК №2448	УИК №2449									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	2101	66	192	129	107	53	8	6	23	19	17	36	29	50	9	6	7	13	27	21	50	42	35	21	15	4	13	45	143	167	103	1	23	14	6	22	5	25	0	3	29	57	0	13	88	1	15	0	8	21	73	23	17	5	1	14	68	13	3	5	9	24	10	3	35	11									
		11.38%	13.55%	17.30%	16.54%	19.49%	15.92%	13.11%	2.11%	9.43%	22.89%	11.04%	9.18%	11.37%	15.63%	1.77%	1.82%	5.30%	11.40%	6.91%	11.11%	13.23%	13.04%	23.97%	10.14%	9.93%	3.39%	7.60%	11.25%	16.61%	19.11%	10.28%	2.13%	10.60%	12.96%	2.33%	7.12%	4.90%	12.20%	0.00%	3.37%	11.07%	11.05%	0.00%	4.74%	11.41%	0.79%	12.20%	0.00%	7.48%	16.28%	14.15%	11.79%	14.17%	5.75%	0.48%	12.73%	15.89%	5.37%	1.46%	5.10%	7.44%	16.00%	12.35%	2.68%	17.77%	7.48%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	50	0	8	0	2	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	11	0	0	0	0	0	0	2	0	0	15	1	0	0	0	1	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	1	0	2	0									
		0.27%	0.00%	0.72%	0.00%	0.36%	0.30%	1.64%	0.00%	0.41%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.58%	0.00%	0.00%	0.00%	1.10%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.98%	0.00%	0.00%	5.73%	0.19%	0.00%	0.00%	0.00%	0.79%	0.00%	0.00%	0.00%	0.00%	0.39%	0.00%	0.00%	0.00%	0.00%	0.91%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	1.23%	0.00%	1.02%	0.00%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	1036	29	76	29	41	19	1	9	10	14	0	48	10	5	3	27	21	5	29	17	23	15	19	15	6	0	2	14	29	71	18	0	6	7	8	0	1	6	20	14	12	18	8	18	115	11	0	11	14	5	34	5	15	3	0	0	51	30	5	0	3	0	1	0	4	6									
		5.61%	5.95%	6.85%	3.72%	7.47%	5.71%	1.64%	3.16%	4.10%	16.87%	0.00%	12.24%	3.92%	1.56%	0.59%	8.21%	15.91%	4.39%	7.42%	8.99%	6.08%	4.66%	13.01%	7.25%	3.97%	0.00%	1.17%	3.50%	3.37%	8.12%	1.80%	0.00%	2.76%	6.48%	3.10%	0.00%	0.98%	2.93%	7.75%	15.73%	4.58%	3.49%	8.51%	6.57%	14.92%	8.73%	0.00%	11.34%	13.08%	3.88%	6.59%	2.56%	12.50%	3.45%	0.00%	0.00%	11.92%	12.40%	2.43%	0.00%	2.48%	0.00%	1.23%	0.00%	2.03%	4.08%									
																																																																												
																																																																												
																																																																												
																																																																												
																																																																												
																																																																												
																																																																												
																																																																												
																																																																												
																																																																												
																																																																												
																																																																												
																																																																												
																																																																												
																																																																												
																																																																												
																																																																												
																																																																												
																																																																												
																																																																												
																																																																												
																																																																												
