Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																																	
Дата голосования: 04.12.2011																																																																	
																																																																	
Наименование Избирательной комиссии:    Территориальная избирательная комиссия №7																																																																	
																																																																	
Сводная таблица результатов выборов																																																																	
																																																																	
		Сумма	УИК №562	УИК №563	УИК №564	УИК №565	УИК №566	УИК №567	УИК №568	УИК №569	УИК №570	УИК №571	УИК №572	УИК №573	УИК №574	УИК №575	УИК №576	УИК №577	УИК №578	УИК №579	УИК №580	УИК №581	УИК №582	УИК №583	УИК №584	УИК №585	УИК №586	УИК №587	УИК №588	УИК №589	УИК №590	УИК №591	УИК №592	УИК №593	УИК №594	УИК №595	УИК №596	УИК №597	УИК №598	УИК №599	УИК №600	УИК №601	УИК №602	УИК №603	УИК №604	УИК №605	УИК №606	УИК №607	УИК №608	УИК №609	УИК №610	УИК №611	УИК №612	УИК №613	УИК №614	УИК №615	УИК №616	УИК №617	УИК №618	УИК №619					
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	8723	113	49	50	234	51	337	271	82	225	442	56	84	346	66	70	286	334	41	355	401	80	99	221	88	51	107	83	293	95	90	21	17	241	140	262	50	303	118	34	26	84	75	28	64	27	27	30	178	113	20	181	151	128	122	356	292	266	269					
		12.07%	11.20%	4.71%	6.22%	30.04%	4.46%	29.30%	27.85%	6.75%	29.53%	29.86%	4.80%	6.62%	26.49%	4.39%	9.86%	28.37%	31.36%	4.12%	28.38%	32.05%	7.04%	10.20%	25.73%	6.98%	9.48%	9.80%	8.66%	26.35%	32.65%	7.99%	1.07%	1.02%	14.14%	11.65%	18.18%	4.11%	25.25%	9.05%	2.06%	1.47%	6.75%	6.60%	1.74%	4.11%	1.87%	1.66%	1.61%	9.89%	8.97%	1.05%	15.03%	8.74%	10.72%	8.18%	24.96%	25.02%	25.63%	21.25%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	7087	167	159	112	80	118	137	123	163	80	184	170	190	128	151	94	111	105	156	148	147	177	153	102	184	105	126	136	127	24	172	32	35	92	50	99	86	100	75	178	37	128	128	128	139	56	41	44	138	174	32	84	270	184	220	157	153	92	106					
		9.80%	16.55%	15.29%	13.93%	10.27%	10.31%	11.91%	12.64%	13.43%	10.50%	12.43%	14.57%	14.97%	9.80%	10.05%	13.24%	11.01%	9.86%	15.66%	11.83%	11.75%	15.57%	15.76%	11.87%	14.59%	19.52%	11.54%	14.20%	11.42%	8.25%	15.26%	1.64%	2.11%	5.40%	4.16%	6.87%	7.06%	8.33%	5.75%	10.76%	2.09%	10.28%	11.26%	7.96%	8.92%	3.87%	2.53%	2.36%	7.67%	13.81%	1.68%	6.98%	15.63%	15.41%	14.76%	11.01%	13.11%	8.86%	8.37%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	1013	9	28	11	6	13	12	15	15	12	28	19	12	27	37	14	16	12	21	11	17	21	12	12	26	9	12	15	14	7	13	5	13	13	6	16	23	10	31	15	11	31	15	26	14	24	20	22	22	40	5	12	25	34	37	13	16	17	21					
		1.40%	0.89%	2.69%	1.37%	0.77%	1.14%	1.04%	1.54%	1.24%	1.57%	1.89%	1.63%	0.95%	2.07%	2.46%	1.97%	1.59%	1.13%	2.11%	0.88%	1.36%	1.85%	1.24%	1.40%	2.06%	1.67%	1.10%	1.57%	1.26%	2.41%	1.15%	0.26%	0.78%	0.76%	0.50%	1.11%	1.89%	0.83%	2.38%	0.91%	0.62%	2.49%	1.32%	1.62%	0.90%	1.66%	1.23%	1.18%	1.22%	3.17%	0.26%	0.99%	1.45%	2.85%	2.48%	0.91%	1.37%	1.64%	1.66%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	9112	145	145	95	131	115	203	181	157	150	266	169	175	275	147	135	171	195	142	246	205	165	138	171	162	77	174	134	227	38	158	41	56	238	109	151	155	164	169	180	67	145	132	176	187	75	42	52	289	170	34	213	253	161	213	223	192	152	181					
		12.60%	14.37%	13.94%	11.82%	16.82%	10.05%	17.65%	18.60%	12.93%	19.69%	17.97%	14.48%	13.79%	21.06%	9.79%	19.01%	16.96%	18.31%	14.26%	19.66%	16.39%	14.51%	14.21%	19.91%	12.85%	14.31%	15.93%	13.99%	20.41%	13.06%	14.02%	2.10%	3.38%	13.97%	9.07%	10.48%	12.73%	13.67%	12.96%	10.88%	3.78%	11.65%	11.61%	10.95%	11.99%	5.19%	2.59%	2.79%	16.06%	13.49%	1.78%	17.69%	14.65%	13.48%	14.29%	15.64%	16.45%	14.64%	14.30%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	4840	19	19	18	100	19	153	136	19	70	203	19	33	186	26	15	135	122	10	182	174	17	22	73	31	20	124	28	113	21	29	9	24	181	104	151	117	153	83	48	32	157	69	38	67	52	25	33	208	47	23	202	84	47	76	183	154	189	148					
		6.69%	1.88%	1.83%	2.24%	12.84%	1.66%	13.30%	13.98%	1.57%	9.19%	13.72%	1.63%	2.60%	14.24%	1.73%	2.11%	13.39%	11.46%	1.00%	14.55%	13.91%	1.50%	2.27%	8.50%	2.46%	3.72%	11.36%	2.92%	10.16%	7.22%	2.57%	0.46%	1.45%	10.62%	8.65%	10.48%	9.61%	12.75%	6.37%	2.90%	1.80%	12.61%	6.07%	2.36%	4.30%	3.60%	1.54%	1.77%	11.56%	3.73%	1.21%	16.78%	4.86%	3.94%	5.10%	12.83%	13.20%	18.21%	11.69%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	39771	534	616	484	207	787	278	227	608	210	315	698	742	321	1031	358	277	273	596	291	269	660	511	258	753	266	525	545	310	94	647	1835	1498	913	774	733	762	451	816	1167	1595	687	704	1159	1055	1178	1387	1667	901	667	1769	490	887	608	776	480	323	293	505					
		55.01%	52.92%	59.23%	60.20%	26.57%	68.79%	24.17%	23.33%	50.08%	27.56%	21.28%	59.81%	58.47%	24.58%	68.64%	50.42%	27.48%	25.63%	59.84%	23.26%	21.50%	58.05%	52.63%	30.03%	59.71%	49.44%	48.08%	56.89%	27.88%	32.30%	57.41%	93.77%	90.30%	53.58%	64.39%	50.87%	62.56%	37.58%	62.58%	70.56%	89.91%	55.18%	61.92%	72.08%	67.67%	81.47%	85.51%	89.38%	50.08%	52.94%	92.86%	40.70%	51.36%	50.92%	52.05%	33.66%	27.68%	28.23%	39.89%					
25	"7. Всероссийская политическая партия ""ПРАВОЕ ДЕЛО"""	672	8	13	10	4	20	9	5	8	5	12	22	13	5	28	16	3	8	12	7	18	8	8	7	17	4	8	4	9	2	7	6	10	10	10	8	7	11	10	9	6	10	5	12	10	12	10	17	29	31	7	9	34	17	34	8	8	14	18					
		0.93%	0.79%	1.25%	1.24%	0.51%	1.75%	0.78%	0.51%	0.66%	0.66%	0.81%	1.89%	1.02%	0.38%	1.86%	2.25%	0.30%	0.75%	1.20%	0.56%	1.44%	0.70%	0.82%	0.81%	1.35%	0.74%	0.73%	0.42%	0.81%	0.69%	0.62%	0.31%	0.60%	0.59%	0.83%	0.56%	0.57%	0.92%	0.77%	0.54%	0.34%	0.80%	0.44%	0.75%	0.64%	0.83%	0.62%	0.91%	1.61%	2.46%	0.37%	0.75%	1.97%	1.42%	2.28%	0.56%	0.69%	1.35%	1.42%					
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
