Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																						
Дата голосования: 18.09.2016																						
																						
Наименование Избирательной комиссии:    Первомайская																						
																						
Сводная таблица итогов голосования по федеральному избирательному округу																						
																						
		Сумма	УИК №1517	УИК №1518	УИК №1519	УИК №1520	УИК №1521	УИК №1522	УИК №1523	УИК №1524	УИК №1525	УИК №1526	УИК №1527									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	33	0	0	1	9	0	0	0	0	0	0	23									
		0.26%	0.00%	0.00%	0.05%	0.37%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	6.73%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	76	44	2	10	12	5	0	0	3	0	0	0									
		0.59%	1.83%	0.09%	0.48%	0.49%	0.40%	0.00%	0.00%	0.52%	0.00%	0.00%	0.00%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	1025	268	150	101	230	66	34	33	56	26	40	21									
		7.98%	11.16%	6.43%	4.81%	9.44%	5.30%	8.56%	9.51%	9.76%	7.62%	12.16%	6.14%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	23	0	4	1	15	1	0	0	0	0	1	1									
		0.18%	0.00%	0.17%	0.05%	0.62%	0.08%	0.00%	0.00%	0.00%	0.00%	0.30%	0.29%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	197	81	26	18	18	12	1	16	5	14	5	1									
		1.53%	3.37%	1.11%	0.86%	0.74%	0.96%	0.25%	4.61%	0.87%	4.11%	1.52%	0.29%									
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
