Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																					
Дата голосования: 07.12.2003 0:00:00																					
																					
Наименование Избирательной комиссии:    Район Капотня																					
																					
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																					
																					
		Сумма	УИК №1283	УИК №1284	УИК №1285	УИК №1286	УИК №1287	УИК №1288	УИК №1289	УИК №3116	УИК  5064	УИК  5065	УИК  5215	УИК  5260	УИК  5262	УИК  5281					
		0.24%	0.21%	0.15%	0.29%	0.27%	0.46%	0.27%	0.19%	1.40%	0.30%	0.0%	0.0%	0.0%	0.0%	0.0%					
24	"7. ""Новый курс - Автомобильная Россия"""	271	33	30	36	39	34	42	36	3	3	0	4	6	5	0					
		2.04%	2.39%	2.36%	2.63%	2.64%	2.62%	2.85%	2.29%	0.84%	0.45%	0.0%	1.71%	0.74%	0.95%	0.0%					
25	"8. ""Народно-республиканская партия России"""	8	0	3	0	2	0	0	1	0	0	0	0	1	1	0					
		0.06%	0.0%	0.23%	0.0%	0.13%	0.0%	0.0%	0.06%	0.0%	0.0%	0.0%	0.0%	0.12%	0.19%	0.0%					
26	"9. ""Российская экологическая партия ""Зеленые"""	76	5	6	7	7	9	11	12	0	5	2	4	4	1	3					
		0.57%	0.36%	0.47%	0.51%	0.47%	0.69%	0.74%	0.76%	0.0%	0.76%	0.42%	1.71%	0.49%	0.19%	0.8%					
27	"10. ""Аграрная партия России"""	223	25	27	35	39	21	22	31	7	1	0	2	4	4	5					
		1.68%	1.81%	2.13%	2.56%	2.64%	1.61%	1.49%	1.97%	1.96%	0.15%	0.0%	0.85%	0.49%	0.76%	1.33%					
28	"11. ""Истинные патриоты России"""	25	5	2	2	4	1	0	1	3	1	4	0	0	1	1					
		0.18%	0.36%	0.15%	0.14%	0.27%	0.07%	0.0%	0.06%	0.84%	0.15%	0.85%	0.0%	0.0%	0.19%	0.26%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	128	12	13	24	18	8	18	16	3	2	3	0	2	6	3					
		0.96%	0.86%	1.02%	1.75%	1.22%	0.61%	1.22%	1.01%	0.84%	0.30%	0.64%	0.0%	0.24%	1.14%	0.8%					
30	"13. ""Демократическая партия России"""	27	5	0	0	0	4	2	3	1	0	6	3	1	1	1					
		0.20%	0.36%	0.0%	0.0%	0.0%	0.30%	0.13%	0.19%	0.28%	0.0%	1.28%	1.28%	0.12%	0.19%	0.26%					
31	"14. ""Великая Россия - Евразийский Союз"""	19	0	1	1	1	1	3	1	1	1	0	1	3	4	1					
		0.14%	0.0%	0.07%	0.07%	0.06%	0.07%	0.20%	0.06%	0.28%	0.15%	0.0%	0.42%	0.37%	0.76%	0.26%					
32	"15. ""Партия СЛОН"""	61	8	9	9	11	5	2	6	2	0	3	0	3	3	0					
		0.46%	0.57%	0.71%	0.65%	0.74%	0.38%	0.13%	0.38%	0.56%	0.0%	0.64%	0.0%	0.37%	0.57%	0.0%					
33	"16. ""Родина"" (народно-патриотический союз)"""	1697	226	169	170	185	124	169	219	35	142	29	20	101	49	59					
		12.81%	16.37%	13.33%	12.45%	12.56%	9.56%	11.49%	13.94%	9.83%	21.67%	6.19%	8.58%	12.5%	9.36%	15.73%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	27	0	2	1	3	3	1	4	4	2	1	0	3	2	1					
		0.20%	0.0%	0.15%	0.07%	0.20%	0.23%	0.06%	0.25%	1.12%	0.30%	0.21%	0.0%	0.37%	0.38%	0.26%					
35	"18. ""ЛДПР"""	1259	116	157	136	175	136	162	163	18	43	22	10	46	49	26					
		9.50%	8.40%	12.39%	9.96%	11.88%	10.48%	11.02%	10.37%	5.05%	6.56%	4.70%	4.29%	5.69%	9.36%	6.93%					
36	"19. ""Партия Возрождения России - Российская партия ЖИЗНИ"""	163	12	18	15	22	19	15	17	3	3	9	8	14	4	4					
		1.23%	0.86%	1.42%	1.09%	1.49%	1.46%	1.02%	1.08%	0.84%	0.45%	1.92%	3.43%	1.73%	0.76%	1.06%					
37	"20. ""Политическая партия ""Единая Россия"""	5210	556	495	474	554	515	560	616	171	290	274	76	305	190	134					
		39.35%	40.28%	39.06%	34.72%	37.63%	39.70%	38.09%	39.21%	48.03%	44.27%	58.54%	32.61%	37.74%	36.32%	35.73%					
38	"21. ""Российская Конституционно-демократическая партия"""	18	2	2	0	2	0	2	1	3	1	1	0	1	2	1					
		0.13%	0.14%	0.15%	0.0%	0.13%	0.0%	0.13%	0.06%	0.84%	0.15%	0.21%	0.0%	0.12%	0.38%	0.26%					
39	"22. ""Развитие предпринимательства"""	28	3	2	3	2	1	5	2	0	2	3	2	2	1	0					
		0.21%	0.21%	0.15%	0.21%	0.13%	0.07%	0.34%	0.12%	0.0%	0.30%	0.64%	0.85%	0.24%	0.19%	0.0%					
40	"23. ""Коммунистическая партия Российской Федерации (КПРФ)"""	976	79	80	93	79	109	82	94	17	52	57	18	117	50	49					
		7.37%	5.72%	6.31%	6.81%	5.36%	8.40%	5.57%	5.98%	4.77%	7.93%	12.17%	7.72%	14.48%	9.56%	13.06%					
																					
41	Против всех	896	84	94	124	119	106	135	125	33	13	16	20	10	9	8					
		6.76%	6.08%	7.41%	9.08%	8.08%	8.17%	9.18%	7.95%	9.26%	1.98%	3.41%	8.58%	1.23%	1.72%	2.13%					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
