Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																																	
Дата голосования: 07.12.2003 0:00:00																																																																	
																																																																	
Наименование Избирательной комиссии:    Домодедовская																																																																	
																																																																	
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																																	
																																																																	
		Сумма	УИК  329	УИК  330	УИК  331	УИК  332	УИК  333	УИК  334	УИК  335	УИК  336	УИК  337	УИК  338	УИК  339	УИК  340	УИК  341	УИК  342	УИК  343	УИК  344	УИК  345	УИК  346	УИК  347	УИК  348	УИК  349	УИК  350	УИК  351	УИК  352	УИК  353	УИК  354	УИК  355	УИК  356	УИК  357	УИК  358	УИК  359	УИК  360	УИК  361	УИК  362	УИК  363	УИК  364	УИК  365	УИК  366	УИК  367	УИК  368	УИК  369	УИК  370	УИК  371	УИК  372	УИК  373	УИК  374	УИК  375	УИК  376	УИК  377	УИК  378	УИК  379	УИК  380	УИК  381	УИК  382	УИК  383	УИК  384	УИК  385	УИК  386					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	1433	31	27	41	22	28	28	32	24	36	29	30	43	11	48	47	28	37	40	26	30	16	14	22	23	13	12	32	46	40	52	40	9	11	9	7	5	37	1	41	13	32	11	17	40	1	15	24	24	11	24	31	10	17	27	14	13	19	22					
		2.94%	3.36%	3.10%	3.43%	2.03%	3.55%	4.45%	3.30%	2.50%	2.93%	2.30%	2.30%	3.43%	1.56%	3.77%	4.26%	2.48%	3.25%	3.01%	1.93%	4.83%	3.44%	2.34%	3.15%	2.87%	2.70%	3.68%	2.89%	3.49%	3.23%	4.50%	4.22%	1.83%	2.04%	1.19%	4.24%	4.95%	3.32%	1.02%	3.31%	2.21%	4.03%	4.91%	2.69%	2.97%	0.57%	3.67%	2.51%	1.65%	3.33%	2.92%	3.52%	1.69%	2.55%	4.75%	1.73%	4.19%	1.28%	2.48%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	2552	56	39	55	64	49	41	50	65	87	69	98	67	77	45	72	54	61	106	95	30	16	66	47	76	18	16	69	89	82	44	50	32	36	24	4	5	41	3	33	17	16	4	30	39	1	9	51	102	7	36	21	19	27	33	29	14	29	37					
		5.25%	6.08%	4.48%	4.60%	5.92%	6.21%	6.51%	5.17%	6.78%	7.09%	5.48%	7.53%	5.35%	10.96%	3.53%	6.52%	4.78%	5.37%	7.98%	7.05%	4.83%	3.44%	11.03%	6.74%	9.48%	3.74%	4.90%	6.24%	6.75%	6.62%	3.80%	5.27%	6.51%	6.70%	3.19%	2.42%	4.95%	3.68%	3.06%	2.66%	2.89%	2.01%	1.78%	4.75%	2.89%	0.57%	2.20%	5.34%	7.03%	2.12%	4.38%	2.38%	3.22%	4.06%	5.80%	3.58%	4.51%	1.96%	4.18%					
22	"5. ""За Русь Святую"""	326	5	6	8	6	1	4	6	10	3	7	4	6	4	12	10	7	5	7	2	8	4	3	7	4	3	2	10	9	3	9	11	5	7	3	3	0	3	2	11	4	11	7	8	13	1	3	9	7	6	4	9	6	4	3	5	0	4	2					
		0.67%	0.54%	0.68%	0.66%	0.55%	0.12%	0.63%	0.62%	1.04%	0.24%	0.55%	0.30%	0.47%	0.56%	0.94%	0.90%	0.62%	0.44%	0.52%	0.14%	1.29%	0.86%	0.50%	1.00%	0.49%	0.62%	0.61%	0.90%	0.68%	0.24%	0.77%	1.16%	1.01%	1.30%	0.39%	1.81%	0.0%	0.26%	2.04%	0.88%	0.68%	1.38%	3.12%	1.26%	0.96%	0.57%	0.73%	0.94%	0.48%	1.81%	0.48%	1.02%	1.01%	0.60%	0.52%	0.61%	0.0%	0.27%	0.22%					
23	"6. ""Объединенная Российская партия ""Русь"""	143	5	3	2	2	1	2	0	1	4	3	4	5	3	3	0	2	4	1	6	5	0	5	4	1	2	4	0	4	3	1	1	2	1	3	1	0	1	1	4	1	8	3	1	2	2	2	1	7	1	2	2	1	3	1	0	4	7	1					
		0.29%	0.54%	0.34%	0.16%	0.18%	0.12%	0.31%	0.0%	0.10%	0.32%	0.23%	0.30%	0.39%	0.42%	0.23%	0.0%	0.17%	0.35%	0.07%	0.44%	0.80%	0.0%	0.83%	0.57%	0.12%	0.41%	1.22%	0.0%	0.30%	0.24%	0.08%	0.10%	0.40%	0.18%	0.39%	0.60%	0.0%	0.08%	1.02%	0.32%	0.17%	1.00%	1.33%	0.15%	0.14%	1.14%	0.49%	0.10%	0.48%	0.30%	0.24%	0.22%	0.16%	0.45%	0.17%	0.0%	1.29%	0.47%	0.11%					
24	"7. ""Новый курс - Автомобильная Россия"""	644	16	18	8	14	8	6	15	16	15	9	14	14	13	9	9	11	18	17	14	5	4	12	13	17	7	7	22	22	22	12	21	4	7	6	1	0	15	2	9	3	18	4	9	18	3	4	7	18	4	5	15	10	4	7	12	6	24	21					
		1.32%	1.73%	2.06%	0.66%	1.29%	1.01%	0.95%	1.55%	1.67%	1.22%	0.71%	1.07%	1.11%	1.85%	0.70%	0.81%	0.97%	1.58%	1.28%	1.04%	0.80%	0.86%	2.00%	1.86%	2.12%	1.45%	2.14%	1.99%	1.67%	1.77%	1.03%	2.21%	0.81%	1.30%	0.79%	0.60%	0.0%	1.34%	2.04%	0.72%	0.51%	2.26%	1.78%	1.42%	1.33%	1.71%	0.98%	0.73%	1.24%	1.21%	0.60%	1.70%	1.69%	0.60%	1.23%	1.48%	1.93%	1.62%	2.37%					
25	"8. ""Народно-республиканская партия России"""	54	0	0	0	1	1	0	0	1	1	0	0	1	1	1	2	1	0	3	0	1	0	0	2	3	0	0	0	1	1	1	0	1	0	1	1	0	5	0	3	2	0	1	1	0	0	1	2	2	1	0	3	3	2	1	0	0	2	0					
		0.11%	0.0%	0.0%	0.0%	0.09%	0.12%	0.0%	0.0%	0.10%	0.08%	0.0%	0.0%	0.07%	0.14%	0.07%	0.18%	0.08%	0.0%	0.22%	0.0%	0.16%	0.0%	0.0%	0.28%	0.37%	0.0%	0.0%	0.0%	0.07%	0.08%	0.08%	0.0%	0.20%	0.0%	0.13%	0.60%	0.0%	0.44%	0.0%	0.24%	0.34%	0.0%	0.44%	0.15%	0.0%	0.0%	0.24%	0.20%	0.13%	0.30%	0.0%	0.34%	0.50%	0.30%	0.17%	0.0%	0.0%	0.13%	0.0%					
26	"9. ""Российская экологическая партия ""Зеленые"""	269	4	1	7	5	5	6	8	6	7	14	5	4	5	6	4	5	7	9	5	1	2	4	5	11	3	2	4	5	10	10	4	2	2	0	2	0	5	1	15	4	3	1	2	5	0	1	6	8	2	1	6	1	2	1	4	2	12	7					
		0.55%	0.43%	0.11%	0.58%	0.46%	0.63%	0.95%	0.82%	0.62%	0.57%	1.11%	0.38%	0.31%	0.71%	0.47%	0.36%	0.44%	0.61%	0.67%	0.37%	0.16%	0.43%	0.66%	0.71%	1.37%	0.62%	0.61%	0.36%	0.37%	0.80%	0.86%	0.42%	0.40%	0.37%	0.0%	1.21%	0.0%	0.44%	1.02%	1.21%	0.68%	0.37%	0.44%	0.31%	0.37%	0.0%	0.24%	0.62%	0.55%	0.60%	0.12%	0.68%	0.16%	0.30%	0.17%	0.49%	0.64%	0.81%	0.79%					
27	"10. ""Аграрная партия России"""	1293	14	17	23	18	22	23	19	20	22	31	34	30	13	28	32	20	29	30	26	21	20	10	14	17	11	10	33	26	27	38	19	19	14	45	13	7	35	4	52	18	42	10	16	44	4	28	14	45	12	28	30	12	23	21	13	8	22	17					
		2.66%	1.52%	1.95%	1.92%	1.66%	2.79%	3.65%	1.96%	2.08%	1.79%	2.46%	2.61%	2.39%	1.85%	2.20%	2.90%	1.77%	2.55%	2.25%	1.93%	3.38%	4.30%	1.67%	2.00%	2.12%	2.28%	3.06%	2.98%	1.97%	2.18%	3.29%	2.00%	3.86%	2.60%	5.99%	7.87%	6.93%	3.14%	4.08%	4.20%	3.06%	5.29%	4.46%	2.53%	3.27%	2.28%	6.86%	1.46%	3.10%	3.63%	3.41%	3.40%	2.03%	3.45%	3.69%	1.60%	2.58%	1.49%	1.92%					
28	"11. ""Истинные патриоты России"""	38	0	0	0	2	0	0	0	0	0	0	0	3	1	0	0	1	1	0	0	0	0	0	1	0	1	0	0	1	2	0	0	0	1	0	0	0	1	0	2	2	1	0	1	3	1	0	2	0	0	0	0	1	1	1	1	3	3	1					
		0.07%	0.0%	0.0%	0.0%	0.18%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.23%	0.14%	0.0%	0.0%	0.08%	0.08%	0.0%	0.0%	0.0%	0.0%	0.0%	0.14%	0.0%	0.20%	0.0%	0.0%	0.07%	0.16%	0.0%	0.0%	0.0%	0.18%	0.0%	0.0%	0.0%	0.08%	0.0%	0.16%	0.34%	0.12%	0.0%	0.15%	0.22%	0.57%	0.0%	0.20%	0.0%	0.0%	0.0%	0.0%	0.16%	0.15%	0.17%	0.12%	0.96%	0.20%	0.11%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	629	12	9	15	16	11	10	12	11	20	27	18	32	1	19	17	7	10	14	19	6	4	1	8	13	6	1	4	13	10	15	11	9	4	10	4	0	24	2	30	9	5	1	8	6	0	4	18	34	4	10	9	9	13	10	9	3	13	9					
		1.29%	1.30%	1.03%	1.25%	1.48%	1.39%	1.58%	1.24%	1.14%	1.62%	2.14%	1.38%	2.55%	0.14%	1.49%	1.54%	0.62%	0.88%	1.05%	1.41%	0.96%	0.86%	0.16%	1.14%	1.62%	1.24%	0.30%	0.36%	0.98%	0.80%	1.29%	1.16%	1.83%	0.74%	1.33%	2.42%	0.0%	2.15%	2.04%	2.42%	1.53%	0.63%	0.44%	1.26%	0.44%	0.0%	0.98%	1.88%	2.34%	1.21%	1.21%	1.02%	1.52%	1.95%	1.76%	1.11%	0.96%	0.88%	1.01%					
30	"13. ""Демократическая партия России"""	114	7	1	1	1	3	1	1	2	3	3	4	0	1	5	3	3	3	0	4	3	0	2	2	4	1	4	4	1	4	0	0	3	0	1	0	2	6	1	2	2	1	1	3	2	0	0	1	2	3	2	2	2	2	2	1	1	1	0					
		0.23%	0.76%	0.11%	0.08%	0.09%	0.38%	0.15%	0.10%	0.20%	0.24%	0.23%	0.30%	0.0%	0.14%	0.39%	0.27%	0.26%	0.26%	0.0%	0.29%	0.48%	0.0%	0.33%	0.28%	0.49%	0.20%	1.22%	0.36%	0.07%	0.32%	0.0%	0.0%	0.61%	0.0%	0.13%	0.0%	1.98%	0.53%	1.02%	0.16%	0.34%	0.12%	0.44%	0.47%	0.14%	0.0%	0.0%	0.10%	0.13%	0.90%	0.24%	0.22%	0.33%	0.30%	0.35%	0.12%	0.32%	0.06%	0.0%					
31	"14. ""Великая Россия - Евразийский Союз"""	114	2	2	2	1	1	2	0	1	2	2	2	7	2	4	0	1	3	6	2	1	1	2	2	1	1	3	2	4	2	0	0	6	0	1	1	0	0	0	2	5	2	1	0	5	0	0	5	4	2	4	1	0	1	0	1	0	9	3					
		0.23%	0.21%	0.22%	0.16%	0.09%	0.12%	0.31%	0.0%	0.10%	0.16%	0.15%	0.15%	0.55%	0.28%	0.31%	0.0%	0.08%	0.26%	0.45%	0.14%	0.16%	0.21%	0.33%	0.28%	0.12%	0.20%	0.92%	0.18%	0.30%	0.16%	0.0%	0.0%	1.22%	0.0%	0.13%	0.60%	0.0%	0.0%	0.0%	0.16%	0.85%	0.25%	0.44%	0.0%	0.37%	0.0%	0.0%	0.52%	0.27%	0.60%	0.48%	0.11%	0.0%	0.15%	0.0%	0.12%	0.0%	0.61%	0.33%					
32	"15. ""Партия СЛОН"""	69	0	4	0	0	1	6	1	3	2	1	1	1	1	1	2	0	0	0	0	3	1	2	1	4	2	1	0	0	1	4	1	0	0	2	0	0	3	0	2	0	0	0	1	3	0	0	0	1	1	0	1	1	0	1	2	0	5	2					
		0.14%	0.0%	0.45%	0.0%	0.0%	0.12%	0.95%	0.10%	0.31%	0.16%	0.07%	0.07%	0.07%	0.14%	0.07%	0.18%	0.0%	0.0%	0.0%	0.0%	0.48%	0.21%	0.33%	0.14%	0.49%	0.41%	0.30%	0.0%	0.0%	0.08%	0.34%	0.10%	0.0%	0.0%	0.26%	0.0%	0.0%	0.26%	0.0%	0.16%	0.0%	0.0%	0.0%	0.15%	0.22%	0.0%	0.0%	0.0%	0.06%	0.30%	0.0%	0.11%	0.16%	0.0%	0.17%	0.24%	0.0%	0.33%	0.22%					
33	"16. ""Родина"" (народно-патриотический союз)"""	8212	105	128	174	189	140	129	211	141	230	255	217	201	108	219	189	276	228	229	255	107	57	90	103	124	90	47	251	264	260	224	183	79	119	125	12	9	223	13	186	71	107	25	120	201	8	70	144	261	51	129	124	48	140	99	160	19	126	119					
		16.89%	11.40%	14.71%	14.56%	17.48%	17.76%	20.50%	21.82%	14.71%	18.74%	20.25%	16.67%	16.06%	15.38%	17.21%	17.13%	24.44%	20.08%	17.24%	18.94%	17.25%	12.25%	15.05%	14.77%	15.48%	18.71%	14.41%	22.71%	20.04%	21.01%	19.39%	19.32%	16.08%	22.16%	16.64%	7.27%	8.91%	20.03%	13.26%	15.02%	12.09%	13.49%	11.16%	19.01%	14.94%	4.57%	17.15%	15.07%	18.0%	15.45%	15.71%	14.09%	8.13%	21.05%	17.42%	19.77%	6.12%	8.54%	13.46%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	138	2	2	6	0	0	1	0	1	3	0	0	2	0	0	19	2	1	0	1	3	1	1	5	2	5	2	1	1	7	3	2	1	3	0	0	0	12	0	1	2	5	1	0	4	2	1	2	3	1	4	3	4	2	2	0	0	7	5					
		0.28%	0.21%	0.22%	0.50%	0.0%	0.0%	0.15%	0.0%	0.10%	0.24%	0.0%	0.0%	0.15%	0.0%	0.0%	1.72%	0.17%	0.08%	0.0%	0.07%	0.48%	0.21%	0.16%	0.71%	0.24%	1.03%	0.61%	0.09%	0.07%	0.56%	0.25%	0.21%	0.20%	0.55%	0.0%	0.0%	0.0%	1.07%	0.0%	0.08%	0.34%	0.63%	0.44%	0.0%	0.29%	1.14%	0.24%	0.20%	0.20%	0.30%	0.48%	0.34%	0.67%	0.30%	0.35%	0.0%	0.0%	0.47%	0.56%					
35	"18. ""ЛДПР"""	4928	108	113	130	113	83	67	88	91	104	116	113	128	64	110	74	100	115	121	135	50	50	51	65	67	53	26	109	130	119	109	45	56	50	89	16	10	125	2	121	66	79	16	62	156	13	64	103	140	31	91	109	70	50	44	93	61	223	141					
		10.13%	11.72%	12.98%	10.87%	10.45%	10.53%	10.65%	9.10%	9.49%	8.47%	9.21%	8.68%	10.23%	9.11%	8.64%	6.70%	8.85%	10.13%	9.11%	10.02%	8.06%	10.75%	8.52%	9.32%	8.36%	11.01%	7.97%	9.86%	9.87%	9.62%	9.43%	4.75%	11.40%	9.31%	11.85%	9.69%	9.90%	11.23%	2.04%	9.77%	11.24%	9.96%	7.14%	9.82%	11.59%	7.42%	15.68%	10.78%	9.65%	9.39%	11.08%	12.38%	11.86%	7.51%	7.74%	11.49%	19.67%	15.12%	15.95%					
36	"19. ""Партия Возрождения России - Российская партия ЖИЗНИ"""	680	14	10	15	18	8	12	9	18	12	11	15	20	4	13	16	20	17	9	19	19	20	10	4	12	11	5	17	6	20	6	18	8	6	9	3	7	16	0	16	6	10	5	6	18	0	6	13	22	2	25	22	8	11	7	5	2	25	14					
		1.39%	1.52%	1.14%	1.25%	1.66%	1.01%	1.90%	0.93%	1.87%	0.97%	0.87%	1.15%	1.59%	0.56%	1.02%	1.45%	1.77%	1.49%	0.67%	1.41%	3.06%	4.30%	1.67%	0.57%	1.49%	2.28%	1.53%	1.53%	0.45%	1.61%	0.51%	1.90%	1.62%	1.11%	1.19%	1.81%	6.93%	1.43%	0.0%	1.29%	1.02%	1.26%	2.23%	0.95%	1.33%	0.0%	1.47%	1.36%	1.51%	0.60%	3.04%	2.5%	1.35%	1.65%	1.23%	0.61%	0.64%	1.69%	1.58%					
37	"20. ""Политическая партия ""Единая Россия"""	15501	324	297	380	353	246	153	288	302	364	386	420	371	221	486	327	316	326	416	443	194	131	182	232	206	151	102	290	357	338	338	283	155	174	267	64	36	330	52	431	190	240	83	209	492	110	114	378	482	109	245	262	263	179	169	243	91	609	301					
		31.89%	35.17%	34.13%	31.79%	32.65%	31.21%	24.32%	29.78%	31.52%	29.66%	30.65%	32.28%	29.65%	31.48%	38.20%	29.64%	27.98%	28.72%	31.32%	32.91%	31.29%	28.17%	30.43%	33.28%	25.71%	31.39%	31.28%	26.24%	27.10%	27.32%	29.26%	29.88%	31.56%	32.40%	35.55%	38.78%	35.64%	29.64%	53.06%	34.81%	32.36%	30.26%	37.05%	33.12%	36.57%	62.85%	27.94%	39.58%	33.24%	33.03%	29.84%	29.77%	44.57%	26.91%	29.75%	30.03%	29.35%	41.31%	34.04%					
38	"21. ""Российская Конституционно-демократическая партия"""	79	1	2	1	0	1	1	0	2	0	2	3	4	0	1	1	1	0	3	2	0	0	0	1	3	4	0	1	3	2	3	1	0	0	2	0	0	2	1	3	2	4	1	0	2	1	1	1	0	1	0	2	4	0	3	1	0	3	2					
		0.16%	0.10%	0.22%	0.08%	0.0%	0.12%	0.15%	0.0%	0.20%	0.0%	0.15%	0.23%	0.31%	0.0%	0.07%	0.09%	0.08%	0.0%	0.22%	0.14%	0.0%	0.0%	0.0%	0.14%	0.37%	0.83%	0.0%	0.09%	0.22%	0.16%	0.25%	0.10%	0.0%	0.0%	0.26%	0.0%	0.0%	0.17%	1.02%	0.24%	0.34%	0.50%	0.44%	0.0%	0.14%	0.57%	0.24%	0.10%	0.0%	0.30%	0.0%	0.22%	0.67%	0.0%	0.52%	0.12%	0.0%	0.20%	0.22%					
39	"22. ""Развитие предпринимательства"""	157	4	1	3	3	2	2	3	2	6	4	2	6	4	3	6	5	5	4	4	3	0	3	0	1	3	1	7	5	5	5	2	2	2	1	0	0	1	0	2	0	8	2	2	2	0	1	0	2	1	6	4	3	2	0	5	3	3	1					
		0.32%	0.43%	0.11%	0.25%	0.27%	0.25%	0.31%	0.31%	0.20%	0.48%	0.31%	0.15%	0.47%	0.56%	0.23%	0.54%	0.44%	0.44%	0.30%	0.29%	0.48%	0.0%	0.50%	0.0%	0.12%	0.62%	0.30%	0.63%	0.37%	0.40%	0.43%	0.21%	0.40%	0.37%	0.13%	0.0%	0.0%	0.08%	0.0%	0.16%	0.0%	1.00%	0.89%	0.31%	0.14%	0.0%	0.24%	0.0%	0.13%	0.30%	0.73%	0.45%	0.50%	0.30%	0.0%	0.61%	0.96%	0.20%	0.11%					
40	"23. ""Коммунистическая партия Российской Федерации (КПРФ)"""	4545	85	88	127	109	69	65	111	94	118	156	141	132	51	127	115	116	122	137	119	63	74	25	36	71	37	28	85	119	124	133	120	41	37	74	10	7	92	4	113	87	100	16	59	107	5	43	37	80	25	89	114	31	75	64	83	33	82	40					
		9.35%	9.22%	10.11%	10.62%	10.08%	8.75%	10.33%	11.47%	9.81%	9.61%	12.39%	10.83%	10.55%	7.26%	9.98%	10.42%	10.27%	10.74%	10.31%	8.84%	10.16%	15.91%	4.18%	5.16%	8.86%	7.69%	8.58%	7.69%	9.03%	10.02%	11.51%	12.67%	8.35%	6.89%	9.85%	6.06%	6.93%	8.26%	4.08%	9.12%	14.82%	12.61%	7.14%	9.35%	7.95%	2.85%	10.53%	3.87%	5.51%	7.57%	10.84%	12.95%	5.25%	11.27%	11.26%	10.25%	10.64%	5.56%	4.52%					
																																																																	
41	Против всех	3431	71	49	98	72	59	35	55	76	76	73	78	79	42	64	80	62	61	97	83	35	43	50	62	76	28	16	73	112	79	72	67	30	24	47	11	6	70	3	73	46	53	13	55	121	9	27	83	97	32	64	55	35	56	37	64	33	164	100					
