Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																																																				
Дата голосования: 18.09.2016																																																																																																				
																																																																																																				
Наименование Избирательной комиссии:    Нижнеудинская																																																																																																				
																																																																																																				
Сводная таблица итогов голосования по федеральному избирательному округу																																																																																																				
																																																																																																				
		Сумма	УИК №1066	УИК №1067	УИК №1068	УИК №1069	УИК №1070	УИК №1071	УИК №1072	УИК №1073	УИК №1074	УИК №1075	УИК №1076	УИК №1077	УИК №1078	УИК №1079	УИК №1080	УИК №1081	УИК №1082	УИК №1083	УИК №1084	УИК №1085	УИК №1086	УИК №1087	УИК №1088	УИК №1089	УИК №1090	УИК №1091	УИК №1092	УИК №1093	УИК №1094	УИК №1095	УИК №1096	УИК №1097	УИК №1098	УИК №1099	УИК №1100	УИК №1101	УИК №1102	УИК №1103	УИК №1104	УИК №1105	УИК №1106	УИК №1107	УИК №1108	УИК №1109	УИК №1110	УИК №1111	УИК №1112	УИК №1113	УИК №1114	УИК №1115	УИК №1116	УИК №1117	УИК №1118	УИК №1119	УИК №1120	УИК №1121	УИК №1122	УИК №1123	УИК №1124	УИК №1125	УИК №1126	УИК №1127	УИК №1128	УИК №1129	УИК №1130	УИК №1131	УИК №1132	УИК №1133	УИК №1134	УИК №1135	УИК №1136	УИК №1137	УИК №1138	УИК №1139	УИК №1140	УИК №1141	УИК №1142	УИК №1143	УИК №1144	УИК №1145	УИК №1146	УИК №1147	УИК №1148	УИК №1149	УИК №1150	УИК №1151	УИК №1152	УИК №1153	УИК №1154									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	766	10	10	10	6	8	10	8	15	2	4	4	5	3	10	4	3	6	10	5	2	6	6	4	6	5	3	4	8	6	3	2	10	4	20	15	15	20	25	10	20	20	8	25	20	30	8	10	15	15	20	20	15	6	5	6	4	3	5	4	8	10	8	5	8	15	6	6	8	3	4	3	3	10	10	3	3	5	3	6	3	6	3	6	6	8	6	6	4	25									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	217	1	0	0	6	2	0	3	7	0	4	0	1	0	3	2	2	0	0	0	2	5	4	0	2	0	3	0	1	0	0	0	0	0	8	2	4	12	11	4	5	12	1	6	6	9	0	6	2	1	7	4	7	1	5	0	0	1	0	0	0	0	2	0	3	4	0	2	8	0	4	3	3	1	3	0	0	0	0	1	3	1	1	0	0	3	0	6	0	7									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	156	1	2	0	2	1	0	1	2	2	3	1	3	3	1	1	1	0	3	0	0	1	1	0	0	0	1	0	0	1	0	1	0	0	0	5	1	6	0	5	0	7	1	4	4	14	4	10	5	4	5	2	4	1	0	1	1	0	2	0	1	2	0	0	2	2	3	2	1	2	1	3	0	0	2	1	1	2	2	1	0	0	1	2	1	2	1	0	1	2									
14	Число погашенных неиспользованных открепительных удостоверений	549	9	10	10	0	6	10	5	8	2	0	4	4	3	7	2	1	6	10	5	0	1	2	4	4	5	0	4	7	6	3	2	10	4	12	13	11	8	14	6	15	8	7	19	14	21	8	4	13	14	13	16	8	5	0	6	4	2	5	4	8	10	6	5	5	11	6	4	0	3	0	0	0	9	7	3	3	5	3	5	0	5	2	6	6	5	6	0	4	18									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	77	0	0	2	1	2	0	0	1	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	4	1	3	0	7	2	2	4	0	4	1	4	3	1	2	5	8	3	2	0	0	0	0	0	1	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	2	1	0	0	0	1									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																																																																				
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	173	0	2	1	1	1	3	2	3	0	1	0	0	0	1	0	0	2	0	2	0	2	1	0	1	0	0	1	3	0	0	1	2	1	9	2	1	6	7	3	7	6	0	8	9	9	0	4	6	5	6	10	3	4	0	0	0	0	2	0	0	5	3	0	0	1	1	1	1	0	2	1	0	3	1	0	0	1	0	1	0	1	0	3	0	1	0	2	0	7									
		1.08%	0.00%	0.91%	0.48%	0.71%	0.88%	1.38%	1.35%	0.64%	0.00%	1.18%	0.00%	0.00%	0.00%	2.38%	0.00%	0.00%	1.94%	0.00%	2.60%	0.00%	1.75%	0.83%	0.00%	0.91%	0.00%	0.00%	2.86%	2.42%	0.00%	0.00%	3.85%	0.83%	1.37%	0.92%	0.69%	0.33%	2.14%	1.15%	1.08%	1.68%	1.10%	0.00%	1.76%	1.65%	1.49%	0.00%	1.32%	1.58%	1.55%	1.54%	2.42%	1.27%	2.26%	0.00%	0.00%	0.00%	0.00%	3.08%	0.00%	0.00%	2.04%	1.60%	0.00%	0.00%	0.25%	0.68%	0.96%	0.52%	0.00%	3.03%	3.45%	0.00%	1.13%	0.43%	0.00%	0.00%	2.44%	0.00%	0.92%	0.00%	0.53%	0.00%	2.13%	0.00%	0.68%	0.00%	4.44%	0.00%	1.53%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	483	12	8	6	6	7	14	13	8	0	4	1	1	1	1	1	0	2	5	1	1	2	4	1	4	5	0	0	0	2	0	0	9	0	21	4	7	8	18	7	16	14	2	11	20	14	9	7	12	10	6	14	6	6	5	9	2	0	2	2	2	8	7	2	5	14	3	3	13	0	1	0	2	11	6	0	3	2	3	4	0	8	1	5	1	6	1	2	5	14									
		3.03%	4.78%	3.65%	2.90%	4.29%	6.19%	6.45%	8.78%	1.71%	0.00%	4.71%	1.41%	1.59%	2.63%	2.38%	2.08%	0.00%	1.94%	2.73%	1.30%	3.23%	1.75%	3.31%	1.72%	3.64%	5.32%	0.00%	0.00%	0.00%	2.74%	0.00%	0.00%	3.72%	0.00%	2.14%	1.38%	2.31%	2.85%	2.96%	2.52%	3.84%	2.56%	1.56%	2.42%	3.66%	2.31%	5.73%	2.30%	3.16%	3.10%	1.54%	3.39%	2.53%	3.39%	6.02%	5.66%	3.03%	0.00%	3.08%	3.23%	1.75%	3.27%	3.74%	1.40%	3.07%	3.43%	2.03%	2.88%	6.74%	0.00%	1.52%	0.00%	5.71%	4.15%	2.56%	0.00%	9.68%	4.88%	12.00%	3.67%	0.00%	4.28%	1.79%	3.55%	1.32%	4.11%	0.98%	4.44%	6.67%	3.06%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	330	1	2	6	8	0	3	4	3	0	0	0	1	0	0	2	0	1	5	1	0	6	0	2	0	2	1	0	3	2	1	0	3	1	11	8	10	3	22	10	7	15	5	10	19	9	2	5	10	9	10	8	4	1	3	3	2	0	1	1	0	5	2	2	7	6	5	3	2	3	1	0	2	9	6	0	1	2	0	1	0	4	3	3	2	4	0	0	0	11									
		2.07%	0.40%	0.91%	2.90%	5.71%	0.00%	1.38%	2.70%	0.64%	0.00%	0.00%	0.00%	1.59%	0.00%	0.00%	4.17%	0.00%	0.97%	2.73%	1.30%	0.00%	5.26%	0.00%	3.45%	0.00%	2.13%	2.13%	0.00%	2.42%	2.74%	3.70%	0.00%	1.24%	1.37%	1.12%	2.76%	3.30%	1.07%	3.62%	3.60%	1.68%	2.75%	3.91%	2.20%	3.47%	1.49%	1.27%	1.64%	2.63%	2.79%	2.57%	1.94%	1.69%	0.56%	3.61%	1.89%	3.03%	0.00%	1.54%	1.61%	0.00%	2.04%	1.07%	1.40%	4.29%	1.47%	3.38%	2.88%	1.04%	4.76%	1.52%	0.00%	5.71%	3.40%	2.56%	0.00%	3.23%	4.88%	0.00%	0.92%	0.00%	2.14%	5.36%	2.13%	2.63%	2.74%	0.00%	0.00%	0.00%	2.41%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	7271	111	84	74	53	32	78	45	262	12	41	46	29	17	27	27	19	83	98	37	18	64	63	41	56	50	38	14	67	33	11	13	90	46	549	124	126	123	254	115	142	211	48	164	190	239	52	142	144	129	149	156	93	102	49	80	38	26	38	35	80	96	99	116	107	161	72	51	81	27	35	17	21	94	94	31	11	19	13	52	22	93	34	108	40	67	76	18	44	195									
		45.55%	44.22%	38.36%	35.75%	37.86%	28.32%	35.94%	30.41%	55.98%	52.17%	48.24%	64.79%	46.03%	44.74%	64.29%	56.25%	52.78%	80.58%	53.55%	48.05%	58.06%	56.14%	52.07%	70.69%	50.91%	53.19%	80.85%	40.00%	54.03%	45.21%	40.74%	50.00%	37.19%	63.01%	56.02%	42.76%	41.58%	43.77%	41.78%	41.37%	34.05%	38.64%	37.50%	36.04%	34.73%	39.50%	33.12%	46.71%	37.89%	39.94%	38.30%	37.77%	39.24%	57.63%	59.04%	50.31%	57.58%	70.27%	58.46%	56.45%	70.18%	39.18%	52.94%	81.12%	65.64%	39.46%	48.65%	49.04%	41.97%	42.86%	53.03%	58.62%	60.00%	35.47%	40.17%	72.09%	35.48%	46.34%	52.00%	47.71%	64.71%	49.73%	60.71%	76.60%	52.63%	45.89%	74.51%	40.00%	58.67%	42.67%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	85	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	2	0	0	0	1	0	1	0	0	0	0	1	0	10	1	2	1	0	3	4	3	1	5	6	5	1	1	2	0	1	3	2	1	0	0	0	0	0	0	2	3	0	0	0	5	1	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	2	0	1	1	0	0	3									
		0.53%	0.40%	1.37%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.97%	1.09%	0.00%	0.00%	1.75%	0.00%	0.00%	0.00%	1.06%	0.00%	2.86%	0.00%	0.00%	0.00%	0.00%	0.41%	0.00%	1.02%	0.34%	0.66%	0.36%	0.00%	1.08%	0.96%	0.55%	0.78%	1.10%	1.10%	0.83%	0.64%	0.33%	0.53%	0.00%	0.26%	0.73%	0.84%	0.56%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	1.75%	1.22%	0.00%	0.00%	0.00%	1.23%	0.68%	0.96%	0.00%	0.00%	0.00%	0.00%	2.86%	0.00%	0.00%	0.00%	3.23%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	1.42%	0.00%	0.68%	0.98%	0.00%	0.00%	0.66%									
24	"6. Политическая партия ""Гражданская Платформа"""	42	1	1	0	0	1	1	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	5	0	0	0	1	0	0	0	1	0	0	0	0	0	2	0	0	0	1	2	1	2	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	1	0	1	0	0	3	2	0	0	0	1	0	0	1	0	1	0	0	1	0	0	0	0	0	0	1	2									
		0.26%	0.40%	0.46%	0.00%	0.00%	0.88%	0.46%	0.68%	0.21%	0.00%	0.00%	1.41%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	1.65%	0.00%	4.55%	0.00%	0.00%	0.00%	0.81%	0.00%	0.00%	0.00%	0.41%	0.00%	0.00%	0.00%	0.00%	0.00%	0.33%	0.00%	0.00%	0.00%	0.78%	0.44%	0.18%	0.33%	0.00%	0.33%	0.00%	0.00%	0.00%	0.00%	0.00%	0.56%	0.00%	0.00%	0.00%	0.00%	1.54%	0.00%	0.00%	0.41%	0.00%	0.70%	0.00%	0.25%	0.00%	0.00%	1.55%	3.17%	0.00%	0.00%	0.00%	0.38%	0.00%	0.00%	3.23%	0.00%	4.00%	0.00%	0.00%	0.53%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	1.33%	0.44%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	3313	39	49	44	27	25	37	30	91	7	14	11	11	12	4	7	10	6	33	12	4	16	26	10	29	19	8	13	22	32	4	6	55	16	166	72	88	55	105	46	106	125	39	106	103	150	36	46	85	75	105	115	58	32	10	35	6	6	11	9	15	75	36	5	26	101	40	17	40	14	16	7	5	60	62	4	6	6	6	18	9	26	8	6	14	30	8	16	15	103									
		20.76%	15.54%	22.37%	21.26%	19.29%	22.12%	17.05%	20.27%	19.44%	30.43%	16.47%	15.49%	17.46%	31.58%	9.52%	14.58%	27.78%	5.83%	18.03%	15.58%	12.90%	14.04%	21.49%	17.24%	26.36%	20.21%	17.02%	37.14%	17.74%	43.84%	14.81%	23.08%	22.73%	21.92%	16.94%	24.83%	29.04%	19.57%	17.27%	16.55%	25.42%	22.89%	30.47%	23.30%	18.83%	24.79%	22.93%	15.13%	22.37%	23.22%	26.99%	27.85%	24.47%	18.08%	12.05%	22.01%	9.09%	16.22%	16.92%	14.52%	13.16%	30.61%	19.25%	3.50%	15.95%	24.75%	27.03%	16.35%	20.73%	22.22%	24.24%	24.14%	14.29%	22.64%	26.50%	9.30%	19.35%	14.63%	24.00%	16.51%	26.47%	13.90%	14.29%	4.26%	18.42%	20.55%	7.84%	35.56%	20.00%	22.54%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	60	0	0	2	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	5	3	1	3	1	2	3	2	0	4	6	1	0	2	0	6	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0									
		0.38%	0.00%	0.00%	0.97%	0.00%	0.00%	0.46%	0.00%	0.00%	4.35%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	1.06%	0.00%	0.00%	0.81%	0.00%	0.00%	0.00%	0.41%	0.00%	0.51%	1.03%	0.33%	1.07%	0.16%	0.72%	0.72%	0.37%	0.00%	0.88%	1.10%	0.17%	0.00%	0.66%	0.00%	1.86%	1.54%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.74%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.75%	0.85%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.68%	0.00%	0.00%	0.00%	0.00%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	199	0	3	1	2	2	1	0	1	0	0	0	0	0	0	0	0	0	3	1	0	0	2	0	1	1	0	0	1	0	1	0	3	0	5	4	7	5	14	6	10	9	2	6	12	11	3	4	2	4	5	10	5	0	0	0	0	0	1	0	0	3	2	1	0	10	0	3	2	0	0	0	0	15	4	0	0	0	0	2	0	2	0	0	0	1	1	0	0	5									
		1.25%	0.00%	1.37%	0.48%	1.43%	1.77%	0.46%	0.00%	0.21%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	1.64%	1.30%	0.00%	0.00%	1.65%	0.00%	0.91%	1.06%	0.00%	0.00%	0.81%	0.00%	3.70%	0.00%	1.24%	0.00%	0.51%	1.38%	2.31%	1.78%	2.30%	2.16%	2.40%	1.65%	1.56%	1.32%	2.19%	1.82%	1.91%	1.32%	0.53%	1.24%	1.29%	2.42%	2.11%	0.00%	0.00%	0.00%	0.00%	0.00%	1.54%	0.00%	0.00%	1.22%	1.07%	0.70%	0.00%	2.45%	0.00%	2.88%	1.04%	0.00%	0.00%	0.00%	0.00%	5.66%	1.71%	0.00%	0.00%	0.00%	0.00%	1.83%	0.00%	1.07%	0.00%	0.00%	0.00%	0.68%	0.98%	0.00%	0.00%	1.09%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	23	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	1	1	1	0	0	1	0	0	1	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	1	0	1	1									
		0.14%	0.00%	0.00%	0.00%	0.00%	0.00%	0.92%	0.00%	0.21%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.41%	0.00%	0.20%	0.00%	0.00%	0.36%	0.16%	0.36%	0.00%	0.00%	0.78%	0.00%	0.00%	0.17%	0.00%	0.00%	0.00%	0.31%	0.00%	0.24%	0.42%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.41%	0.00%	0.70%	0.00%	0.25%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.38%	0.00%	0.00%	3.23%	0.00%	0.00%	0.00%	0.00%	0.53%	0.00%	0.00%	0.00%	0.00%	0.98%	0.00%	1.33%	0.22%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	95	1	3	1	1	0	0	1	3	0	0	0	0	0	3	0	0	0	1	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	3	1	2	0	5	0	5	3	0	2	7	6	1	3	4	0	1	1	1	0	0	1	1	0	0	0	0	2	0	1	0	0	1	0	0	0	1	0	0	5	3	0	1	0	0	0	0	1	0	0	1	2	0	4	4	5									
		0.60%	0.40%	1.37%	0.48%	0.71%	0.00%	0.00%	0.68%	0.64%	0.00%	0.00%	0.00%	0.00%	0.00%	7.14%	0.00%	0.00%	0.00%	0.55%	0.00%	0.00%	0.00%	1.65%	0.00%	0.91%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.31%	0.34%	0.66%	0.00%	0.82%	0.00%	1.20%	0.55%	0.00%	0.44%	1.28%	0.99%	0.64%	0.99%	1.05%	0.00%	0.26%	0.24%	0.42%	0.00%	0.00%	0.63%	1.52%	0.00%	0.00%	0.00%	0.00%	0.82%	0.00%	0.70%	0.00%	0.00%	0.68%	0.00%	0.00%	0.00%	1.52%	0.00%	0.00%	1.89%	1.28%	0.00%	3.23%	0.00%	0.00%	0.00%	0.00%	0.53%	0.00%	0.00%	1.32%	1.37%	0.00%	8.89%	5.33%	1.09%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	3058	78	49	60	35	44	69	45	74	3	23	11	19	8	6	9	6	5	25	19	8	19	18	1	7	14	0	3	16	4	7	6	59	4	135	48	44	61	152	73	92	124	23	99	126	128	38	67	89	64	70	72	48	22	14	23	15	4	7	12	12	42	31	6	15	82	20	22	39	15	7	4	4	51	43	3	4	8	1	28	2	47	9	14	17	26	10	2	4	86									
		19.16%	31.08%	22.37%	28.99%	25.00%	38.94%	31.80%	30.41%	15.81%	13.04%	27.06%	15.49%	30.16%	21.05%	14.29%	18.75%	16.67%	4.85%	13.66%	24.68%	25.81%	16.67%	14.88%	1.72%	6.36%	14.89%	0.00%	8.57%	12.90%	5.48%	25.93%	23.08%	24.38%	5.48%	13.78%	16.55%	14.52%	21.71%	25.00%	26.26%	22.06%	22.71%	17.97%	21.76%	23.03%	21.16%	24.20%	22.04%	23.42%	19.81%	17.99%	17.43%	20.25%	12.43%	16.87%	14.47%	22.73%	10.81%	10.77%	19.35%	10.53%	17.14%	16.58%	4.20%	9.20%	20.10%	13.51%	21.15%	20.21%	23.81%	10.61%	13.79%	11.43%	19.25%	18.38%	6.98%	12.90%	19.51%	4.00%	25.69%	5.88%	25.13%	16.07%	9.93%	22.37%	17.81%	9.80%	4.44%	5.33%	18.82%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	65	2	1	0	0	0	1	1	3	0	0	0	0	0	0	0	0	0	2	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	7	0	1	3	2	1	2	1	0	6	1	3	1	1	2	2	1	1	1	0	1	1	0	0	0	0	0	1	0	3	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	2	0	1	0	2									
