Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																									
Дата голосования: 07.12.2003 0:00:00																																																									
																																																									
Наименование Избирательной комиссии:    Карасукская 																																																									
																																																									
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																									
																																																									
		Сумма	УИК  295	УИК  296	УИК  297	УИК  298	УИК  299	УИК  300	УИК  301	УИК  302	УИК  303	УИК  304	УИК  305	УИК  306	УИК  307	УИК  308	УИК  309	УИК  310	УИК  311	УИК  312	УИК  313	УИК  314	УИК  315	УИК  316	УИК  317	УИК  318	УИК  319	УИК  320	УИК  321	УИК  322	УИК  323	УИК  324	УИК  325	УИК  326	УИК  327	УИК  328	УИК  329	УИК  330	УИК  331	УИК  332	УИК  333	УИК  334	УИК  335	УИК  336	УИК  337	УИК  338	УИК  339	УИК  340	УИК  341	УИК  342	УИК  343	УИК  344					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	148	7	7	25	4	4	2	12	6	9	6	8	4	0	1	4	4	0	0	0	4	0	0	0	0	4	0	0	0	6	1	4	4	0	0	4	0	0	1	0	5	0	0	5	0	0	6	0	0	1	0					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	81	3	7	11	3	4	2	8	3	7	6	4	2	0	1	1	2	0	0	0	0	0	0	0	0	0	0	0	0	6	1	2	0	0	0	2	0	0	1	0	2	0	0	0	0	0	2	0	0	1	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	39	1	3	2	1	1	2	0	2	2	2	6	1	0	1	0	0	1	1	0	0	1	0	0	0	0	0	0	0	1	0	1	0	3	0	2	0	3	0	0	0	0	2	0	0	0	0	0	0	0	0					
14	Число погашенных открепительных удостоверений	63	4	0	14	1	0	0	4	3	2	0	4	2	0	0	3	2	0	0	0	0	0	0	0	0	4	0	0	0	0	0	2	4	0	0	2	0	0	0	0	3	0	0	5	0	0	4	0	0	0	0					
15	Число открепительных удостоверений выданных ТИК	7	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																									
18	"1. ""ЕДИНЕНИЕ"""	376	6	15	18	19	14	7	26	13	12	6	20	9	8	4	13	11	12	6	5	6	7	0	2	2	3	1	0	0	19	6	6	7	7	2	18	7	5	3	4	8	5	4	14	2	1	5	1	1	0	6					
		1.74%	0.99%	1.12%	1.63%	1.79%	0.97%	1.29%	2.21%	1.20%	1.44%	0.51%	1.35%	1.51%	2.59%	1.37%	2.19%	2.59%	3.24%	3.63%	3.64%	1.42%	1.66%	0.0%	1.27%	2.24%	0.83%	1.14%	0.0%	0.0%	2.85%	8.69%	1.80%	3.04%	4.69%	2.85%	3.38%	3.88%	2.99%	1.84%	3.63%	1.35%	2.68%	6.77%	3.45%	2.22%	1.72%	1.78%	0.81%	0.44%	0.0%	3.92%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	265	7	16	19	14	17	7	30	14	18	21	17	3	0	0	4	1	3	2	1	6	4	0	3	0	4	0	1	1	7	2	3	2	4	1	8	9	1	0	1	4	2	0	2	0	0	2	0	0	0	4					
		1.23%	1.15%	1.20%	1.72%	1.32%	1.17%	1.29%	2.55%	1.29%	2.17%	1.78%	1.15%	0.50%	0.0%	0.0%	0.67%	0.23%	0.81%	1.21%	0.72%	1.42%	0.95%	0.0%	1.91%	0.0%	1.11%	0.0%	1.36%	1.17%	1.05%	2.89%	0.90%	0.86%	2.68%	1.42%	1.50%	5.0%	0.59%	0.0%	0.90%	0.67%	1.07%	0.0%	0.49%	0.0%	0.0%	0.71%	0.0%	0.0%	0.0%	2.61%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	567	14	48	29	35	42	16	37	24	17	45	26	7	10	14	16	10	2	3	4	14	9	2	1	7	6	1	3	0	12	5	16	5	1	0	7	3	5	1	3	16	5	4	9	2	0	7	1	9	2	12					
		2.63%	2.31%	3.60%	2.62%	3.30%	2.91%	2.96%	3.15%	2.22%	2.05%	3.82%	1.76%	1.18%	3.24%	4.82%	2.70%	2.35%	0.54%	1.81%	2.91%	3.31%	2.13%	1.41%	0.63%	7.86%	1.67%	1.14%	4.10%	0.0%	1.80%	7.24%	4.80%	2.17%	0.67%	0.0%	1.31%	1.66%	2.99%	0.61%	2.72%	2.71%	2.68%	6.77%	2.22%	2.22%	0.0%	2.49%	0.81%	3.96%	1.39%	7.84%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	344	14	34	16	21	22	10	14	34	20	34	27	3	0	1	3	8	1	2	1	8	8	1	0	0	3	3	0	0	6	0	2	0	0	1	4	3	14	5	1	6	1	2	2	0	0	0	3	2	2	2					
		1.60%	2.31%	2.55%	1.45%	1.98%	1.52%	1.85%	1.19%	3.15%	2.41%	2.89%	1.83%	0.50%	0.0%	0.34%	0.50%	1.88%	0.27%	1.21%	0.72%	1.89%	1.90%	0.70%	0.0%	0.0%	0.83%	3.44%	0.0%	0.0%	0.90%	0.0%	0.60%	0.0%	0.0%	1.42%	0.75%	1.66%	8.38%	3.06%	0.90%	1.01%	0.53%	3.38%	0.49%	0.0%	0.0%	0.0%	2.43%	0.88%	1.39%	1.30%					
22	"5. ""За Русь Святую"""	95	3	7	1	1	3	0	6	9	6	2	3	1	3	3	1	4	2	0	0	5	1	3	0	0	2	0	0	0	10	1	0	0	1	0	3	2	0	0	1	0	0	0	0	0	0	2	0	5	0	4					
		0.44%	0.49%	0.52%	0.09%	0.09%	0.20%	0.0%	0.51%	0.83%	0.72%	0.17%	0.20%	0.16%	0.97%	1.03%	0.16%	0.94%	0.54%	0.0%	0.0%	1.18%	0.23%	2.12%	0.0%	0.0%	0.55%	0.0%	0.0%	0.0%	1.50%	1.44%	0.0%	0.0%	0.67%	0.0%	0.56%	1.11%	0.0%	0.0%	0.90%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.71%	0.0%	2.20%	0.0%	2.61%					
23	"6. ""Объединенная Российская партия ""Русь"""	51	1	2	2	2	3	0	4	1	1	2	1	1	1	0	0	3	1	1	0	0	6	1	0	0	1	0	0	0	3	0	0	0	0	0	1	0	1	0	1	4	0	0	1	0	1	0	1	0	3	1					
		0.23%	0.16%	0.15%	0.18%	0.18%	0.20%	0.0%	0.34%	0.09%	0.12%	0.17%	0.06%	0.16%	0.32%	0.0%	0.0%	0.70%	0.27%	0.60%	0.0%	0.0%	1.42%	0.70%	0.0%	0.0%	0.27%	0.0%	0.0%	0.0%	0.45%	0.0%	0.0%	0.0%	0.0%	0.0%	0.18%	0.0%	0.59%	0.0%	0.90%	0.67%	0.0%	0.0%	0.24%	0.0%	1.72%	0.0%	0.81%	0.0%	2.09%	0.65%					
24	"7. ""Новый курс - Автомобильная Россия"""	89	3	5	5	6	12	3	8	2	3	4	5	4	0	1	5	1	1	0	2	2	0	0	2	0	1	1	0	0	1	0	0	0	0	0	2	0	0	0	1	1	0	1	1	2	0	1	0	3	0	0					
		0.41%	0.49%	0.37%	0.45%	0.56%	0.83%	0.55%	0.68%	0.18%	0.36%	0.34%	0.33%	0.67%	0.0%	0.34%	0.84%	0.23%	0.27%	0.0%	1.45%	0.47%	0.0%	0.0%	1.27%	0.0%	0.27%	1.14%	0.0%	0.0%	0.15%	0.0%	0.0%	0.0%	0.0%	0.0%	0.37%	0.0%	0.0%	0.0%	0.90%	0.16%	0.0%	1.69%	0.24%	2.22%	0.0%	0.35%	0.0%	1.32%	0.0%	0.0%					
25	"8. ""Народно-республиканская партия России"""	47	0	0	2	2	2	0	6	3	1	4	2	2	0	0	3	0	0	3	0	1	0	0	0	0	1	0	0	0	1	1	0	1	1	2	2	0	1	0	0	1	0	0	0	0	0	2	1	0	0	2					
		0.21%	0.0%	0.0%	0.18%	0.18%	0.13%	0.0%	0.51%	0.27%	0.12%	0.34%	0.13%	0.33%	0.0%	0.0%	0.50%	0.0%	0.0%	1.81%	0.0%	0.23%	0.0%	0.0%	0.0%	0.0%	0.27%	0.0%	0.0%	0.0%	0.15%	1.44%	0.0%	0.43%	0.67%	2.85%	0.37%	0.0%	0.59%	0.0%	0.0%	0.16%	0.0%	0.0%	0.0%	0.0%	0.0%	0.71%	0.81%	0.0%	0.0%	1.30%					
26	"9. ""Российская экологическая партия ""Зеленые"""	54	1	5	4	5	3	1	10	4	0	2	0	0	0	1	0	0	1	4	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	1	0	0	0	3	1	0	1	0	0	2	1	0	1	0					
		0.25%	0.16%	0.37%	0.36%	0.47%	0.20%	0.18%	0.85%	0.37%	0.0%	0.17%	0.0%	0.0%	0.0%	0.34%	0.0%	0.0%	0.27%	2.42%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.27%	0.0%	0.0%	0.0%	0.15%	0.0%	0.0%	0.0%	0.0%	0.0%	0.18%	0.55%	0.0%	0.0%	0.0%	0.50%	0.53%	0.0%	0.24%	0.0%	0.0%	0.71%	0.81%	0.0%	0.69%	0.0%					
27	"10. ""Аграрная партия России"""	1972	32	55	78	76	96	28	81	48	31	56	82	97	59	63	116	40	38	21	28	69	51	17	18	0	42	11	5	6	83	9	37	39	25	16	29	10	27	16	7	98	20	8	81	6	5	41	23	28	3	17					
		9.17%	5.28%	4.13%	7.07%	7.17%	6.66%	5.18%	6.89%	4.45%	3.73%	4.76%	5.57%	16.35%	19.15%	21.72%	19.62%	9.43%	10.27%	12.72%	20.43%	16.35%	12.11%	12.05%	11.46%	0.0%	11.73%	12.64%	6.84%	7.05%	12.48%	13.04%	11.11%	16.95%	16.77%	22.85%	5.45%	5.55%	16.16%	9.81%	6.36%	16.63%	10.75%	13.55%	20.0%	6.66%	8.62%	14.64%	18.69%	12.33%	2.09%	11.11%					
28	"11. ""Истинные патриоты России"""	32	1	1	2	0	0	0	1	1	0	1	0	3	0	0	0	1	1	0	0	1	0	0	0	0	0	1	0	1	0	1	1	0	4	0	0	4	0	0	0	2	1	0	0	0	1	0	0	2	0	1					
		0.14%	0.16%	0.07%	0.18%	0.0%	0.0%	0.0%	0.08%	0.09%	0.0%	0.08%	0.0%	0.50%	0.0%	0.0%	0.0%	0.23%	0.27%	0.0%	0.0%	0.23%	0.0%	0.0%	0.0%	0.0%	0.0%	1.14%	0.0%	1.17%	0.0%	1.44%	0.30%	0.0%	2.68%	0.0%	0.0%	2.22%	0.0%	0.0%	0.0%	0.33%	0.53%	0.0%	0.0%	0.0%	1.72%	0.0%	0.0%	0.88%	0.0%	0.65%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	180	5	9	8	18	11	5	6	7	5	10	6	2	0	0	7	4	1	2	1	4	4	1	0	0	2	0	0	3	4	3	0	1	5	2	5	4	1	1	2	3	5	1	6	0	0	3	2	5	2	4					
		0.83%	0.82%	0.67%	0.72%	1.69%	0.76%	0.92%	0.51%	0.64%	0.60%	0.85%	0.40%	0.33%	0.0%	0.0%	1.18%	0.94%	0.27%	1.21%	0.72%	0.94%	0.95%	0.70%	0.0%	0.0%	0.55%	0.0%	0.0%	3.52%	0.60%	4.34%	0.0%	0.43%	3.35%	2.85%	0.93%	2.22%	0.59%	0.61%	1.81%	0.50%	2.68%	1.69%	1.48%	0.0%	0.0%	1.07%	1.62%	2.20%	1.39%	2.61%					
30	"13. ""Демократическая партия России"""	61	0	5	3	5	3	0	4	0	1	3	2	1	1	2	0	0	1	0	2	1	3	0	1	2	7	0	0	0	3	0	1	0	2	0	2	0	0	1	0	0	0	0	3	1	0	1	0	0	0	0					
		0.28%	0.0%	0.37%	0.27%	0.47%	0.20%	0.0%	0.34%	0.0%	0.12%	0.25%	0.13%	0.16%	0.32%	0.68%	0.0%	0.0%	0.27%	0.0%	1.45%	0.23%	0.71%	0.0%	0.63%	2.24%	1.95%	0.0%	0.0%	0.0%	0.45%	0.0%	0.30%	0.0%	1.34%	0.0%	0.37%	0.0%	0.0%	0.61%	0.0%	0.0%	0.0%	0.0%	0.74%	1.11%	0.0%	0.35%	0.0%	0.0%	0.0%	0.0%					
31	"14. ""Великая Россия - Евразийский Союз"""	37	0	4	2	3	2	0	1	1	0	0	5	0	0	0	1	0	0	2	0	1	0	0	1	0	0	1	0	1	2	1	0	0	0	0	0	0	0	1	0	1	2	0	2	0	0	1	0	1	1	0					
		0.17%	0.0%	0.30%	0.18%	0.28%	0.13%	0.0%	0.08%	0.09%	0.0%	0.0%	0.33%	0.0%	0.0%	0.0%	0.16%	0.0%	0.0%	1.21%	0.0%	0.23%	0.0%	0.0%	0.63%	0.0%	0.0%	1.14%	0.0%	1.17%	0.30%	1.44%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.61%	0.0%	0.16%	1.07%	0.0%	0.49%	0.0%	0.0%	0.35%	0.0%	0.44%	0.69%	0.0%					
32	"15. ""Партия СЛОН"""	23	0	0	2	0	2	1	2	0	1	0	2	0	0	2	1	0	1	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	2	1	0	0	0	0	3	0	0	0	0	0	0	0					
		0.10%	0.0%	0.0%	0.18%	0.0%	0.13%	0.18%	0.17%	0.0%	0.12%	0.0%	0.13%	0.0%	0.0%	0.68%	0.16%	0.0%	0.27%	0.0%	0.0%	0.23%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.30%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	1.19%	0.61%	0.0%	0.0%	0.0%	0.0%	0.74%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%					
33	"16. ""Родина"" (народно-патриотический союз)"""	1166	41	86	74	50	74	49	48	72	56	84	95	22	14	15	25	23	16	7	6	27	21	4	5	0	20	1	1	4	36	2	20	6	3	0	27	3	3	6	5	33	9	1	14	4	0	12	3	21	11	7					
		5.42%	6.77%	6.46%	6.70%	4.72%	5.13%	9.07%	4.08%	6.68%	6.75%	7.14%	6.45%	3.70%	4.54%	5.17%	4.23%	5.42%	4.32%	4.24%	4.37%	6.39%	4.98%	2.83%	3.18%	0.0%	5.58%	1.14%	1.36%	4.70%	5.41%	2.89%	6.00%	2.60%	2.01%	0.0%	5.07%	1.66%	1.79%	3.68%	4.54%	5.60%	4.83%	1.69%	3.45%	4.44%	0.0%	4.28%	2.43%	9.25%	7.69%	4.57%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	68	0	4	3	3	2	1	4	2	1	4	3	3	0	0	1	1	2	0	0	0	5	3	1	0	1	0	0	0	4	0	2	2	1	0	1	0	0	0	0	2	3	0	3	0	1	1	1	1	0	2					
		0.31%	0.0%	0.30%	0.27%	0.28%	0.13%	0.18%	0.34%	0.18%	0.12%	0.34%	0.20%	0.50%	0.0%	0.0%	0.16%	0.23%	0.54%	0.0%	0.0%	0.0%	1.18%	2.12%	0.63%	0.0%	0.27%	0.0%	0.0%	0.0%	0.60%	0.0%	0.60%	0.86%	0.67%	0.0%	0.18%	0.0%	0.0%	0.0%	0.0%	0.33%	1.61%	0.0%	0.74%	0.0%	1.72%	0.35%	0.81%	0.44%	0.0%	1.30%					
35	"18. ""ЛДПР"""	2806	84	169	150	158	185	77	153	120	119	127	210	43	28	24	70	60	47	25	5	44	91	24	22	10	51	5	5	33	54	7	61	29	1	23	53	44	24	20	9	83	34	4	43	8	13	45	32	31	19	30					
		13.05%	13.88%	12.70%	13.59%	14.91%	12.83%	14.25%	13.03%	11.14%	14.35%	10.79%	14.27%	7.25%	9.09%	8.27%	11.84%	14.15%	12.70%	15.15%	3.64%	10.42%	21.61%	17.02%	14.01%	11.23%	14.24%	5.74%	6.84%	38.82%	8.12%	10.14%	18.31%	12.60%	0.67%	32.85%	9.96%	24.44%	14.37%	12.26%	8.18%	14.09%	18.27%	6.77%	10.61%	8.88%	22.41%	16.07%	26.01%	13.65%	13.28%	19.60%					
36	"19. ""Партия Возрождения России - Российская партия ЖИЗНИ"""	453	11	28	24	31	35	7	21	21	15	21	30	4	6	5	11	8	8	1	8	3	5	3	2	1	11	5	3	2	20	1	8	4	5	16	10	3	4	2	1	12	4	1	11	0	1	12	1	4	0	3					
		2.10%	1.81%	2.10%	2.17%	2.92%	2.42%	1.29%	1.78%	1.94%	1.80%	1.78%	2.03%	0.67%	1.94%	1.72%	1.86%	1.88%	2.16%	0.60%	5.83%	0.71%	1.18%	2.12%	1.27%	1.12%	3.07%	5.74%	4.10%	2.35%	3.00%	1.44%	2.40%	1.73%	3.35%	22.85%	1.87%	1.66%	2.39%	1.22%	0.90%	2.03%	2.15%	1.69%	2.71%	0.0%	1.72%	4.28%	0.81%	1.76%	0.0%	1.96%					
37	"20. ""Политическая партия ""Единая Россия"""	6837	207	457	362	367	439	165	388	339	325	406	563	96	68	105	125	143	134	37	52	126	116	41	39	55	114	25	47	14	171	11	109	68	31	0	246	47	51	72	36	143	47	24	116	30	10	91	31	70	48	30					
		31.80%	34.21%	34.36%	32.81%	34.65%	30.46%	30.55%	33.04%	31.47%	39.20%	34.52%	38.27%	16.18%	22.07%	36.20%	21.15%	33.72%	36.21%	22.42%	37.95%	29.85%	27.55%	29.07%	24.84%	61.79%	31.84%	28.73%	64.38%	16.47%	25.71%	15.94%	32.73%	29.56%	20.80%	0.0%	46.24%	26.11%	30.53%	44.17%	32.72%	24.27%	25.26%	40.67%	28.64%	33.33%	17.24%	32.5%	25.20%	30.83%	33.56%	19.60%					
38	"21. ""Российская Конституционно-демократическая партия"""	49	0	0	0	1	7	0	1	3	1	6	2	0	0	0	0	0	2	0	2	1	2	1	0	0	0	0	0	0	1	0	4	0	1	0	0	1	1	3	3	0	0	0	2	1	0	0	1	0	1	1					
		0.22%	0.0%	0.0%	0.0%	0.09%	0.48%	0.0%	0.08%	0.27%	0.12%	0.51%	0.13%	0.0%	0.0%	0.0%	0.0%	0.0%	0.54%	0.0%	1.45%	0.23%	0.47%	0.70%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.15%	0.0%	1.20%	0.0%	0.67%	0.0%	0.0%	0.55%	0.59%	1.84%	2.72%	0.0%	0.0%	0.0%	0.49%	1.11%	0.0%	0.0%	0.81%	0.0%	0.69%	0.65%					
39	"22. ""Развитие предпринимательства"""	53	0	4	1	2	3	1	3	2	4	3	5	1	3	0	5	1	0	0	0	2	0	0	2	0	0	0	0	1	3	0	0	1	1	1	0	1	0	1	0	0	0	0	1	0	0	1	0	0	0	0					
		0.24%	0.0%	0.30%	0.09%	0.18%	0.20%	0.18%	0.25%	0.18%	0.48%	0.25%	0.33%	0.16%	0.97%	0.0%	0.84%	0.23%	0.0%	0.0%	0.0%	0.47%	0.0%	0.0%	1.27%	0.0%	0.0%	0.0%	0.0%	1.17%	0.45%	0.0%	0.0%	0.43%	0.67%	1.42%	0.0%	0.55%	0.0%	0.61%	0.0%	0.0%	0.0%	0.0%	0.24%	0.0%	0.0%	0.35%	0.0%	0.0%	0.0%	0.0%					
40	"23. ""Коммунистическая партия Российской Федерации (КПРФ)"""	4733	156	304	212	178	408	133	267	288	136	281	312	274	80	46	166	79	84	42	20	86	66	37	48	7	65	13	5	13	178	10	52	47	52	4	87	24	26	25	17	127	33	5	67	28	23	32	13	25	37	15					
		22.01%	25.78%	22.85%	19.22%	16.80%	28.31%	24.62%	22.74%	26.74%	16.40%	23.89%	21.21%	46.20%	25.97%	15.86%	28.08%	18.63%	22.70%	25.45%	14.59%	20.37%	15.67%	26.24%	30.57%	7.86%	18.15%	14.94%	6.84%	15.29%	26.76%	14.49%	15.61%	20.43%	34.89%	5.71%	16.35%	13.33%	15.56%	15.33%	15.45%	21.56%	17.74%	8.47%	16.54%	31.11%	39.65%	11.42%	10.56%	11.01%	25.87%	9.80%					
																																																									
41	Против всех	699	11	48	46	42	41	19	28	49	40	40	45	9	17	2	11	11	7	3	0	9	15	3	8	5	13	7	1	3	24	9	7	8	1	2	15	0	1	3	8	26	6	2	15	3	2	10	3	11	4	6					
		3.25%	1.81%	3.60%	4.17%	3.96%	2.84%	3.51%	2.38%	4.54%	4.82%	3.40%	3.05%	1.51%	5.51%	0.68%	1.86%	2.59%	1.89%	1.81%	0.0%	2.13%	3.56%	2.12%	5.09%	5.61%	3.63%	8.04%	1.36%	3.52%	3.60%	13.04%	2.10%	3.47%	0.67%	2.85%	2.81%	0.0%	0.59%	1.84%	7.27%	4.41%	3.22%	3.38%	3.70%	3.33%	3.44%	3.57%	2.43%	4.84%	2.79%	3.92%					
																																																									
																																																									
																																																									
																																																									
																																																									
																																																									
																																																									
																																																									
																																																									
																																																									
																																																									
																																																									
																																																									
																																																									
																																																									
