Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																															
Дата голосования: 07.12.2003 0:00:00																																															
																																															
Наименование Избирательной комиссии:    Сретенская																																															
																																															
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																															
																																															
		Сумма	УИК  754	УИК  755	УИК  756	УИК  757	УИК  758	УИК  759	УИК  760	УИК  761	УИК  762	УИК  763	УИК  764	УИК  765	УИК  766	УИК  767	УИК  768	УИК  769	УИК  770	УИК  771	УИК  772	УИК  773	УИК  774	УИК  775	УИК  776	УИК  777	УИК  778	УИК  779	УИК  780	УИК  781	УИК  782	УИК  783	УИК  784	УИК  785	УИК  786	УИК  787	УИК  788	УИК  789	УИК  790	УИК  791	УИК  792	УИК  793					
		0.19%	0.34%	0.0%	0.49%	0.0%	0.0%	0.69%	0.14%	0.37%	0.32%	0.17%	0.25%	0.58%	0.0%	0.0%	0.0%	0.0%	0.0%	0.35%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.32%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.24%	0.0%	0.0%	0.0%					
27	"10. ""Аграрная партия России"""	825	20	16	25	12	19	12	59	9	22	46	35	40	1	3	23	2	48	25	13	54	2	24	15	6	57	24	17	24	4	6	9	19	4	13	11	9	18	5	62	12					
		6.84%	6.94%	7.20%	6.18%	5.33%	4.78%	4.15%	8.55%	3.33%	7.23%	4.00%	2.93%	3.33%	2.38%	2.75%	5.28%	5.26%	18.82%	8.99%	9.15%	14.17%	4.65%	9.26%	22.72%	7.31%	18.50%	11.32%	5.92%	7.16%	6.25%	8.33%	6.76%	7.16%	6.77%	9.02%	7.14%	12.67%	4.44%	1.30%	18.28%	21.42%					
28	"11. ""Истинные патриоты России"""	16	0	0	0	0	0	0	2	0	0	0	0	13	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
		0.13%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.28%	0.0%	0.0%	0.0%	0.0%	1.08%	0.0%	0.0%	0.0%	0.0%	0.39%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	114	1	4	4	0	3	1	3	6	5	13	7	16	1	1	4	2	2	4	0	1	0	3	1	2	2	0	1	2	0	0	2	4	5	0	4	0	1	5	4	0					
		0.94%	0.34%	1.80%	0.99%	0.0%	0.75%	0.34%	0.43%	2.22%	1.64%	1.13%	0.58%	1.33%	2.38%	0.91%	0.91%	5.26%	0.78%	1.43%	0.0%	0.26%	0.0%	1.15%	1.51%	2.43%	0.64%	0.0%	0.34%	0.59%	0.0%	0.0%	1.50%	1.50%	8.47%	0.0%	2.59%	0.0%	0.24%	1.30%	1.17%	0.0%					
30	"13. ""Демократическая партия России"""	62	3	1	2	3	5	1	7	10	0	2	10	5	0	1	0	0	0	0	0	1	0	1	0	0	1	0	2	0	0	0	0	0	0	0	0	0	3	3	1	0					
		0.51%	1.04%	0.45%	0.49%	1.33%	1.25%	0.34%	1.01%	3.70%	0.0%	0.17%	0.83%	0.41%	0.0%	0.91%	0.0%	0.0%	0.0%	0.0%	0.0%	0.26%	0.0%	0.38%	0.0%	0.0%	0.32%	0.0%	0.69%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.74%	0.78%	0.29%	0.0%					
31	"14. ""Великая Россия - Евразийский Союз"""	18	0	1	0	0	0	0	0	0	0	2	3	1	0	0	1	0	0	1	0	0	0	1	0	0	3	1	2	0	0	0	0	0	0	1	0	0	0	0	1	0					
		0.14%	0.0%	0.45%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.17%	0.25%	0.08%	0.0%	0.0%	0.22%	0.0%	0.0%	0.35%	0.0%	0.0%	0.0%	0.38%	0.0%	0.0%	0.97%	0.47%	0.69%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.69%	0.0%	0.0%	0.0%	0.0%	0.29%	0.0%					
32	"15. ""Партия СЛОН"""	11	0	0	0	0	0	0	2	0	0	2	0	4	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0					
		0.09%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.28%	0.0%	0.0%	0.17%	0.0%	0.33%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.26%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.24%	0.26%	0.0%	0.0%					
33	"16. ""Родина"" (народно-патриотический союз)"""	539	9	14	15	11	13	13	14	5	12	98	101	41	2	0	12	1	7	10	2	17	0	4	3	1	13	4	3	9	1	2	1	10	0	14	5	8	16	40	7	1					
		4.47%	3.12%	6.30%	3.71%	4.88%	3.27%	4.49%	2.02%	1.85%	3.94%	8.52%	8.47%	3.41%	4.76%	0.0%	2.75%	2.63%	2.74%	3.59%	1.40%	4.46%	0.0%	1.54%	4.54%	1.21%	4.22%	1.88%	1.04%	2.68%	1.56%	2.77%	0.75%	3.77%	0.0%	9.72%	3.24%	11.26%	3.95%	10.41%	2.06%	1.78%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	39	2	0	3	0	0	0	2	2	3	1	1	9	0	0	0	0	1	3	0	0	1	2	0	0	4	0	0	0	0	1	1	0	0	0	0	0	1	0	1	1					
		0.32%	0.69%	0.0%	0.74%	0.0%	0.0%	0.0%	0.28%	0.74%	0.98%	0.08%	0.08%	0.74%	0.0%	0.0%	0.0%	0.0%	0.39%	1.07%	0.0%	0.0%	2.32%	0.77%	0.0%	0.0%	1.29%	0.0%	0.0%	0.0%	0.0%	1.38%	0.75%	0.0%	0.0%	0.0%	0.0%	0.0%	0.24%	0.0%	0.29%	1.78%					
35	"18. ""ЛДПР"""	2009	51	33	55	25	49	33	127	78	40	134	152	257	12	12	96	14	32	55	32	35	9	20	4	32	50	28	55	85	21	7	27	42	15	17	65	34	65	51	44	16					
		16.67%	17.70%	14.86%	13.61%	11.11%	12.34%	11.41%	18.40%	28.88%	13.15%	11.66%	12.75%	21.39%	28.57%	11.00%	22.06%	36.84%	12.54%	19.78%	22.53%	9.18%	20.93%	7.72%	6.06%	39.02%	16.23%	13.20%	19.16%	25.37%	32.81%	9.72%	20.30%	15.84%	25.42%	11.80%	42.20%	47.88%	16.04%	13.28%	12.97%	28.57%					
36	"19. ""Партия Возрождения России - Российская партия ЖИЗНИ"""	247	10	3	4	0	10	6	13	5	9	28	19	26	1	2	2	0	6	8	0	18	2	6	0	3	6	2	6	8	0	0	0	6	0	4	2	2	13	10	7	0					
		2.04%	3.47%	1.35%	0.99%	0.0%	2.51%	2.07%	1.88%	1.85%	2.96%	2.43%	1.59%	2.16%	2.38%	1.83%	0.45%	0.0%	2.35%	2.87%	0.0%	4.72%	4.65%	2.31%	0.0%	3.65%	1.94%	0.94%	2.09%	2.38%	0.0%	0.0%	0.0%	2.26%	0.0%	2.77%	1.29%	2.81%	3.20%	2.60%	2.06%	0.0%					
37	"20. ""Политическая партия ""Единая Россия"""	5036	118	102	178	114	197	149	300	71	145	437	496	457	16	59	209	12	63	114	62	194	14	118	25	15	103	112	145	129	25	31	60	139	21	75	51	9	152	154	149	16					
		41.79%	40.97%	45.94%	44.05%	50.66%	49.62%	51.55%	43.47%	26.29%	47.69%	38.03%	41.61%	38.05%	38.09%	54.12%	48.04%	31.57%	24.70%	41.00%	43.66%	50.91%	32.55%	45.55%	37.87%	18.29%	33.44%	52.83%	50.52%	38.50%	39.06%	43.05%	45.11%	52.45%	35.59%	52.08%	33.11%	12.67%	37.53%	40.10%	43.95%	28.57%					
38	"21. ""Российская Конституционно-демократическая партия"""	38	0	0	4	1	1	0	2	2	0	1	2	7	0	0	1	1	0	0	0	2	0	1	0	0	2	3	1	2	0	0	0	1	0	0	0	0	0	3	0	1					
		0.31%	0.0%	0.0%	0.99%	0.44%	0.25%	0.0%	0.28%	0.74%	0.0%	0.08%	0.16%	0.58%	0.0%	0.0%	0.22%	2.63%	0.0%	0.0%	0.0%	0.52%	0.0%	0.38%	0.0%	0.0%	0.64%	1.41%	0.34%	0.59%	0.0%	0.0%	0.0%	0.37%	0.0%	0.0%	0.0%	0.0%	0.0%	0.78%	0.0%	1.78%					
39	"22. ""Развитие предпринимательства"""	15	0	0	1	1	1	1	1	0	0	2	2	3	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0					
		0.12%	0.0%	0.0%	0.24%	0.44%	0.25%	0.34%	0.14%	0.0%	0.0%	0.17%	0.16%	0.24%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	1.21%	0.0%	0.47%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.24%	0.0%	0.0%	0.0%					
40	"23. ""Коммунистическая партия Российской Федерации (КПРФ)"""	1626	36	16	70	30	54	26	70	45	23	261	223	111	7	6	48	3	50	18	16	28	3	38	10	7	41	16	27	52	5	15	19	25	12	9	8	8	80	76	32	2					
		13.49%	12.5%	7.20%	17.32%	13.33%	13.60%	8.99%	10.14%	16.66%	7.56%	22.71%	18.70%	9.24%	16.66%	5.50%	11.03%	7.89%	19.60%	6.47%	11.26%	7.34%	6.97%	14.67%	15.15%	8.53%	13.31%	7.54%	9.40%	15.52%	7.81%	20.83%	14.28%	9.43%	20.33%	6.25%	5.19%	11.26%	19.75%	19.79%	9.43%	3.57%					
																																															
41	Против всех	396	10	7	9	4	5	6	22	9	10	35	23	88	2	17	9	0	23	5	1	10	6	13	5	5	5	3	10	7	2	6	0	4	0	3	0	0	11	5	14	2					
		3.28%	3.47%	3.15%	2.22%	1.77%	1.25%	2.07%	3.18%	3.33%	3.28%	3.04%	1.92%	7.32%	4.76%	15.59%	2.06%	0.0%	9.01%	1.79%	0.70%	2.62%	13.95%	5.01%	7.57%	6.09%	1.62%	1.41%	3.48%	2.08%	3.12%	8.33%	0.0%	1.50%	0.0%	2.08%	0.0%	0.0%	2.71%	1.30%	4.12%	3.57%					
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
