Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																																																												
Дата голосования: 04.12.2011																																																																																												
																																																																																												
Наименование Избирательной комиссии:    Территориальная избирательная комиссия №2																																																																																												
																																																																																												
Сводная таблица результатов выборов																																																																																												
																																																																																												
		Сумма	УИК №74	УИК №75	УИК №76	УИК №77	УИК №78	УИК №79	УИК №80	УИК №81	УИК №82	УИК №83	УИК №84	УИК №85	УИК №86	УИК №87	УИК №88	УИК №89	УИК №90	УИК №91	УИК №92	УИК №93	УИК №94	УИК №95	УИК №96	УИК №97	УИК №98	УИК №99	УИК №100	УИК №101	УИК №102	УИК №103	УИК №104	УИК №105	УИК №106	УИК №107	УИК №108	УИК №109	УИК №110	УИК №111	УИК №112	УИК №113	УИК №114	УИК №115	УИК №116	УИК №117	УИК №118	УИК №119	УИК №120	УИК №121	УИК №122	УИК №123	УИК №124	УИК №125	УИК №126	УИК №127	УИК №128	УИК №129	УИК №130	УИК №131	УИК №132	УИК №133	УИК №134	УИК №135	УИК №136	УИК №137	УИК №138	УИК №139	УИК №140	УИК №141	УИК №142	УИК №143	УИК №144	УИК №145	УИК №146	УИК №147	УИК №148	УИК №149	УИК №150	УИК №151	УИК №152	УИК №153	УИК №154	УИК №155	УИК №156	УИК №157	УИК №158					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	3320	40	40	40	20	40	40	40	40	40	20	80	40	50	80	40	60	40	40	60	40	40	40	120	40	40	40	40	40	40	60	60	40	40	60	60	60	40	60	40	40	40	40	60	50	40	40	20	40	40	40	100	40	40	20	40	40	40	40	40	40	40	40	60	40	40	40	40	40	20	40	40	40	60	40	0	0	0	0	0	0	0	0	0	0	0					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	2382	31	37	35	20	28	28	26	29	25	19	64	31	39	76	27	39	25	33	50	30	18	31	80	26	30	28	25	30	26	42	55	28	27	43	25	45	26	37	23	26	31	30	41	32	32	30	19	27	31	21	67	40	36	20	27	35	18	36	15	23	24	23	44	38	33	29	32	26	16	23	21	27	43	29	0	0	0	0	0	0	0	0	0	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	2478	9	43	41	49	128	47	19	32	45	47	33	72	22	58	22	52	9	125	16	47	14	0	9	33	65	14	10	55	17	32	56	17	93	13	70	32	47	29	28	20	30	27	23	19	18	50	30	6	28	33	13	27	34	10	19	12	14	27	18	16	50	29	17	13	20	47	11	29	30	18	15	56	52	40	8	2	10	7	0	0	0	0	0	0	0					
14	Число погашенных неиспользованных открепительных удостоверений	938	9	3	5	0	12	12	14	11	15	1	16	9	11	4	13	21	15	7	10	10	22	9	40	14	10	12	15	10	14	18	5	12	13	17	35	15	14	23	17	14	9	10	19	18	8	10	1	13	9	19	33	0	4	0	13	5	22	4	25	17	16	17	16	2	7	11	8	14	4	17	19	13	17	11	0	0	0	0	0	0	0	0	0	0	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	34	0	2	0	0	0	0	1	0	0	0	0	0	1	3	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	1	0	0	3	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	3	1	4	0	1	0	0	0	0	1	2	1	0	0	0	1	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																																																												
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	23889	244	343	175	254	268	322	265	261	263	304	190	356	373	368	233	411	321	306	274	306	246	295	346	315	307	252	259	410	385	294	387	380	386	386	332	304	283	300	239	272	305	238	353	456	353	347	313	323	381	338	324	321	349	208	308	333	340	314	239	321	386	347	372	352	382	331	400	343	334	315	312	463	372	303	4	27	70	40	2	0	10	1	11	0	33					
		29.01%	23.22%	29.98%	18.40%	27.79%	25.33%	29.95%	27.58%	30.42%	26.30%	28.87%	18.92%	26.69%	31.40%	26.32%	28.59%	29.78%	32.72%	28.31%	28.31%	28.36%	29.60%	32.49%	28.93%	29.17%	27.96%	31.38%	28.34%	31.96%	35.35%	26.90%	33.30%	33.19%	32.06%	26.90%	33.37%	25.06%	28.79%	28.85%	32.30%	29.82%	26.38%	21.56%	32.84%	33.53%	32.24%	29.76%	28.48%	30.36%	30.05%	29.44%	24.27%	24.90%	30.88%	23.45%	32.66%	31.96%	32.05%	30.13%	30.76%	27.41%	32.88%	29.56%	27.66%	24.38%	30.61%	28.39%	31.55%	31.47%	29.30%	30.35%	28.31%	35.10%	30.85%	29.11%	50.00%	24.77%	29.66%	15.38%	8.70%	0.00%	18.87%	5.56%	22.45%	0.00%	19.53%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	7846	119	98	58	97	101	99	86	70	117	80	141	118	112	167	109	130	74	102	116	117	99	100	162	84	107	93	128	114	89	176	113	92	105	145	90	111	94	98	63	81	98	142	112	77	80	88	91	70	97	77	145	145	131	198	102	80	85	63	69	99	83	104	149	134	89	93	102	83	112	96	93	76	71	109	0	17	20	68	1	0	9	2	5	1	25					
		9.53%	11.32%	8.57%	6.10%	10.61%	9.55%	9.21%	8.95%	8.16%	11.70%	7.60%	14.04%	8.85%	9.43%	11.95%	13.37%	9.42%	7.54%	9.44%	11.98%	10.84%	11.91%	11.01%	13.55%	7.78%	9.74%	11.58%	14.00%	8.89%	8.17%	16.10%	9.72%	8.03%	8.72%	10.10%	9.05%	9.15%	9.56%	9.42%	8.51%	8.88%	8.48%	12.86%	10.42%	5.66%	7.31%	7.55%	8.28%	6.58%	7.65%	6.71%	10.86%	11.25%	11.59%	22.32%	10.82%	7.68%	8.01%	6.05%	8.88%	8.45%	7.07%	8.86%	11.08%	9.28%	7.13%	7.98%	8.04%	7.61%	9.82%	9.25%	8.44%	5.76%	5.89%	10.47%	0.00%	15.60%	8.47%	26.15%	4.35%	0.00%	16.98%	11.11%	10.20%	6.25%	14.79%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	988	11	11	5	10	13	10	15	3	12	11	10	10	17	19	8	20	11	12	14	13	12	6	23	25	10	14	16	12	14	20	10	11	15	10	9	19	7	13	7	9	21	17	8	19	15	15	12	11	12	18	12	12	13	7	8	17	17	8	12	14	16	11	18	24	15	16	13	8	17	15	6	11	18	19	1	1	1	2	3	0	1	1	2	0	4					
		1.20%	1.05%	0.96%	0.53%	1.09%	1.23%	0.93%	1.56%	0.35%	1.20%	1.04%	0.99%	0.75%	1.43%	1.36%	0.98%	1.45%	1.12%	1.11%	1.45%	1.20%	1.44%	0.66%	1.92%	2.31%	0.91%	1.74%	1.75%	0.94%	1.29%	1.83%	0.86%	0.96%	1.25%	0.70%	0.90%	1.57%	0.71%	1.25%	0.95%	0.99%	1.82%	1.54%	0.74%	1.40%	1.37%	1.29%	1.09%	1.03%	0.95%	1.57%	0.90%	0.93%	1.15%	0.79%	0.85%	1.63%	1.60%	0.77%	1.54%	1.20%	1.36%	0.94%	1.34%	1.66%	1.20%	1.37%	1.03%	0.73%	1.49%	1.45%	0.54%	0.83%	1.49%	1.83%	12.50%	0.92%	0.42%	0.77%	13.04%	0.00%	1.89%	5.56%	4.08%	0.00%	2.37%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	13788	201	148	126	161	105	159	144	122	181	158	228	205	187	246	134	198	140	150	139	177	152	138	206	151	134	114	141	168	166	128	198	179	185	203	144	219	173	196	133	152	217	210	171	240	188	203	208	193	236	231	239	237	224	191	170	182	195	239	140	185	221	210	210	254	226	232	205	188	210	170	175	232	206	189	1	12	56	31	4	7	6	6	5	0	44					
		16.74%	19.12%	12.94%	13.25%	17.61%	9.92%	14.79%	14.98%	14.22%	18.10%	15.00%	22.71%	15.37%	15.74%	17.60%	16.44%	14.35%	14.27%	13.88%	14.36%	16.40%	18.29%	15.20%	17.22%	13.98%	12.20%	14.20%	15.43%	13.09%	15.24%	11.71%	17.04%	15.63%	15.37%	14.15%	14.47%	18.05%	17.60%	18.85%	17.97%	16.67%	18.77%	19.02%	15.91%	17.65%	17.17%	17.41%	18.93%	18.14%	18.61%	20.12%	17.90%	18.39%	19.82%	21.53%	18.03%	17.47%	18.38%	22.94%	18.02%	15.80%	18.82%	17.89%	15.61%	17.59%	18.11%	19.90%	16.17%	17.25%	18.42%	16.38%	15.88%	17.59%	17.08%	18.16%	12.50%	11.01%	23.73%	11.92%	17.39%	41.18%	11.32%	33.33%	10.20%	0.00%	26.04%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	14470	99	216	30	169	182	178	138	146	192	177	138	176	159	161	153	225	185	190	166	142	163	176	167	159	160	132	159	190	178	163	214	264	181	254	179	323	158	183	148	162	232	220	154	281	200	263	214	239	235	245	388	256	183	97	130	186	167	192	120	175	190	195	302	317	230	208	283	224	235	215	208	226	276	151	1	13	21	33	3	1	11	2	2	1	10					
		17.57%	9.42%	18.88%	3.15%	18.49%	17.20%	16.56%	14.36%	17.02%	19.20%	16.81%	13.75%	13.19%	13.38%	11.52%	18.77%	16.30%	18.86%	17.58%	17.15%	13.16%	19.61%	19.38%	13.96%	14.72%	14.57%	16.44%	17.40%	14.81%	16.35%	14.91%	18.42%	23.06%	15.03%	17.70%	17.99%	26.63%	16.07%	17.60%	20.00%	17.76%	20.07%	19.93%	14.33%	20.66%	18.26%	22.56%	19.47%	22.46%	18.53%	21.34%	29.06%	19.86%	16.19%	10.94%	13.79%	17.85%	15.74%	18.43%	15.44%	14.94%	16.18%	16.61%	22.45%	21.95%	18.43%	17.84%	22.32%	20.55%	20.61%	20.71%	18.87%	17.13%	22.89%	14.51%	12.50%	11.93%	8.90%	12.69%	13.04%	5.88%	20.75%	11.11%	4.08%	6.25%	5.92%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	18906	326	291	220	194	356	285	284	232	212	301	267	427	309	409	163	357	229	291	232	287	140	175	254	323	356	183	192	362	224	264	211	193	294	393	209	198	250	230	136	215	244	254	252	251	222	221	242	207	278	216	189	291	203	158	203	218	232	203	181	347	251	279	266	318	269	255	238	211	202	209	282	277	237	250	0	34	62	75	6	7	15	3	22	14	38					
		22.96%	31.02%	25.44%	23.13%	21.23%	33.65%	26.51%	29.55%	27.04%	21.20%	28.58%	26.59%	32.01%	26.01%	29.26%	20.00%	25.87%	23.34%	26.92%	23.97%	26.60%	16.85%	19.27%	21.24%	29.91%	32.42%	22.79%	21.01%	28.22%	20.57%	24.15%	18.16%	16.86%	24.42%	27.39%	21.01%	16.32%	25.43%	22.12%	18.38%	23.57%	21.11%	23.01%	23.44%	18.46%	20.27%	18.95%	22.02%	19.45%	21.92%	18.82%	14.16%	22.58%	17.96%	17.81%	21.53%	20.92%	21.87%	19.48%	23.29%	29.63%	21.38%	23.76%	19.78%	22.02%	21.55%	21.87%	18.77%	19.36%	17.72%	20.13%	25.59%	21.00%	19.65%	24.02%	0.00%	31.19%	26.27%	28.85%	26.09%	41.18%	28.30%	16.67%	44.90%	87.50%	22.49%					
25	"7. Всероссийская политическая партия ""ПРАВОЕ ДЕЛО"""	898	14	8	7	10	13	9	12	10	8	8	9	12	12	16	7	17	9	12	13	18	5	8	18	3	13	8	12	11	17	24	12	8	19	17	16	19	8	8	6	9	18	17	7	11	12	14	13	14	10	3	21	13	16	9	8	12	12	9	12	11	12	16	15	23	21	10	12	13	8	8	6	14	10	8	1	2	3	4	0	1	0	0	2	0	2					
		1.09%	1.33%	0.70%	0.74%	1.09%	1.23%	0.84%	1.25%	1.17%	0.80%	0.76%	0.90%	0.90%	1.01%	1.14%	0.86%	1.23%	0.92%	1.11%	1.34%	1.67%	0.60%	0.88%	1.51%	0.28%	1.18%	0.99%	1.31%	0.86%	1.56%	2.20%	1.03%	0.70%	1.58%	1.18%	1.61%	1.57%	0.81%	0.77%	0.81%	0.99%	1.56%	1.54%	0.65%	0.81%	1.10%	1.20%	1.18%	1.32%	0.79%	0.26%	1.57%	1.01%	1.42%	1.01%	0.85%	1.15%	1.13%	0.86%	1.54%	0.94%	1.02%	1.36%	1.12%	1.59%	1.68%	0.86%	0.95%	1.19%	0.70%	0.77%	0.54%	1.06%	0.83%	0.77%	12.50%	1.83%	1.27%	1.54%	0.00%	5.88%	0.00%	0.00%	4.08%	0.00%	1.18%					
																																																																																												
																																																																																												
																																																																																												
																																																																																												
																																																																																												
																																																																																												
																																																																																												
																																																																																												
																																																																																												
																																																																																												
																																																																																												
																																																																																												
																																																																																												
																																																																																												
																																																																																												
																																																																																												
																																																																																												
																																																																																												
