Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																																					
Дата голосования: 18.09.2016																																																																																					
																																																																																					
Наименование Избирательной комиссии:    Белокалитвинская																																																																																					
																																																																																					
Сводная таблица итогов голосования по федеральному избирательному округу																																																																																					
																																																																																					
		Сумма	УИК №268	УИК №269	УИК №270	УИК №271	УИК №272	УИК №273	УИК №274	УИК №275	УИК №276	УИК №277	УИК №278	УИК №279	УИК №280	УИК №281	УИК №282	УИК №283	УИК №284	УИК №285	УИК №286	УИК №287	УИК №288	УИК №289	УИК №290	УИК №291	УИК №292	УИК №293	УИК №294	УИК №295	УИК №296	УИК №297	УИК №298	УИК №299	УИК №300	УИК №301	УИК №302	УИК №303	УИК №304	УИК №305	УИК №306	УИК №307	УИК №308	УИК №309	УИК №310	УИК №311	УИК №312	УИК №313	УИК №314	УИК №315	УИК №316	УИК №317	УИК №318	УИК №319	УИК №320	УИК №321	УИК №322	УИК №323	УИК №324	УИК №325	УИК №326	УИК №327	УИК №328	УИК №329	УИК №330	УИК №331	УИК №332	УИК №333	УИК №334	УИК №335	УИК №336	УИК №337	УИК №338	УИК №339	УИК №340	УИК №8343									
		1.55%	1.64%	1.56%	1.29%	2.42%	1.98%	2.03%	1.76%	2.51%	2.75%	1.89%	1.31%	2.22%	2.92%	2.44%	2.00%	2.12%	1.05%	1.32%	1.74%	1.73%	3.92%	1.44%	0.76%	1.35%	1.44%	1.32%	2.13%	2.27%	0.62%	1.39%	1.00%	1.95%	0.62%	0.60%	1.33%	1.32%	1.02%	0.00%	0.76%	0.37%	0.83%	0.66%	1.97%	0.99%	3.17%	1.25%	1.68%	1.35%	0.52%	0.00%	2.05%	1.27%	0.00%	0.45%	0.61%	0.37%	1.49%	3.68%	0.45%	1.03%	0.00%	0.00%	1.58%	0.78%	0.42%	0.24%	0.41%	1.97%	1.07%	0.15%	1.48%	0.71%	1.14%	5.79%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	1249	21	40	27	14	26	12	27	40	33	22	37	25	27	27	28	19	31	28	33	7	8	8	5	30	24	19	4	1	11	1	1	17	25	16	10	8	11	7	18	20	24	12	21	18	18	35	29	13	13	17	3	8	9	33	15	10	13	35	10	3	3	13	7	6	6	19	10	12	15	6	6	9	3	27									
		2.68%	1.82%	4.17%	2.68%	2.83%	2.34%	2.22%	2.16%	2.95%	3.78%	2.97%	2.85%	2.93%	3.15%	4.11%	2.15%	2.52%	2.50%	3.07%	3.01%	2.42%	3.14%	3.83%	1.27%	5.80%	2.66%	5.01%	2.13%	2.27%	6.83%	0.69%	1.00%	3.31%	5.18%	1.91%	3.32%	3.51%	2.80%	3.89%	1.24%	1.24%	2.22%	2.64%	8.27%	2.55%	2.60%	3.65%	3.04%	2.50%	3.38%	2.52%	1.03%	5.06%	1.84%	2.97%	1.31%	3.73%	2.76%	3.68%	2.27%	3.09%	2.44%	5.39%	2.77%	1.56%	0.85%	4.55%	4.12%	3.37%	2.66%	0.91%	1.78%	1.60%	3.41%	1.84%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	795	24	21	10	11	44	7	24	37	24	18	13	18	27	24	34	22	21	24	25	4	3	1	5	7	12	6	1	0	2	1	0	9	8	5	5	4	14	2	14	9	14	2	6	8	14	16	11	6	8	12	4	0	3	26	8	1	5	19	3	1	0	4	0	8	7	5	1	8	15	8	3	5	6	18									
		1.71%	2.08%	2.19%	0.99%	2.22%	3.96%	1.29%	1.92%	2.73%	2.75%	2.43%	1.00%	2.11%	3.15%	3.65%	2.62%	2.92%	1.69%	2.63%	2.28%	1.38%	1.18%	0.48%	1.27%	1.35%	1.33%	1.58%	0.53%	0.00%	1.24%	0.69%	0.00%	1.75%	1.66%	0.60%	1.66%	1.75%	3.56%	1.11%	0.96%	0.56%	1.29%	0.44%	2.36%	1.13%	2.02%	1.67%	1.15%	1.16%	2.08%	1.78%	1.37%	0.00%	0.61%	2.34%	0.70%	0.37%	1.06%	1.99%	0.68%	1.03%	0.00%	1.66%	0.00%	2.08%	0.99%	1.20%	0.41%	2.25%	2.66%	1.21%	0.89%	0.89%	6.82%	1.23%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	26663	633	412	469	300	552	277	598	618	396	348	785	373	386	259	678	337	788	429	484	149	127	143	255	224	646	161	108	22	91	109	67	217	243	591	143	101	232	124	1069	1232	756	306	160	374	361	552	495	328	233	443	205	98	382	575	894	179	233	475	271	57	78	131	161	286	537	208	126	193	331	474	239	387	52	907									
		57.29%	54.76%	42.92%	46.62%	60.61%	49.73%	51.20%	47.80%	45.58%	45.41%	46.96%	60.38%	43.68%	45.09%	39.42%	52.15%	44.75%	63.60%	47.09%	44.20%	51.56%	49.80%	68.42%	64.89%	43.33%	71.70%	42.48%	57.45%	50.00%	56.52%	75.69%	67.00%	42.30%	50.31%	70.53%	47.51%	44.30%	59.03%	68.89%	73.57%	76.52%	69.87%	67.40%	62.99%	52.97%	52.09%	57.50%	51.83%	63.20%	60.52%	65.73%	70.21%	62.03%	78.12%	51.71%	78.28%	66.79%	49.47%	49.89%	61.45%	58.76%	63.41%	54.36%	63.64%	74.29%	75.85%	49.76%	51.85%	54.21%	58.79%	71.71%	70.92%	68.98%	59.09%	61.78%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	243	12	5	3	7	4	6	10	11	1	3	3	7	9	14	11	7	5	7	11	3	0	1	1	0	1	1	0	1	0	0	2	1	3	3	1	0	2	1	0	4	2	3	6	3	2	8	13	1	2	0	1	0	1	5	4	0	2	6	3	1	0	0	3	1	2	1	1	0	1	2	2	0	0	6									
		0.52%	1.04%	0.52%	0.30%	1.41%	0.36%	1.11%	0.80%	0.81%	0.11%	0.40%	0.23%	0.82%	1.05%	2.13%	0.85%	0.93%	0.40%	0.77%	1.00%	1.04%	0.00%	0.48%	0.25%	0.00%	0.11%	0.26%	0.00%	2.27%	0.00%	0.00%	2.00%	0.19%	0.62%	0.36%	0.33%	0.00%	0.51%	0.56%	0.00%	0.25%	0.18%	0.66%	2.36%	0.42%	0.29%	0.83%	1.36%	0.19%	0.52%	0.00%	0.34%	0.00%	0.20%	0.45%	0.35%	0.00%	0.42%	0.63%	0.68%	1.03%	0.00%	0.00%	1.19%	0.26%	0.28%	0.24%	0.41%	0.00%	0.18%	0.30%	0.59%	0.00%	0.00%	0.41%									
24	"6. Политическая партия ""Гражданская Платформа"""	110	3	4	1	0	20	0	7	2	3	0	0	1	0	3	0	3	1	0	4	1	0	0	0	0	0	2	1	0	0	0	2	0	2	0	0	0	2	2	3	0	2	1	1	5	1	4	4	0	1	0	0	0	0	12	2	0	0	3	0	0	0	0	0	0	1	1	0	0	1	1	0	2	0	1									
		0.24%	0.26%	0.42%	0.10%	0.00%	1.80%	0.00%	0.56%	0.15%	0.34%	0.00%	0.00%	0.12%	0.00%	0.46%	0.00%	0.40%	0.08%	0.00%	0.37%	0.35%	0.00%	0.00%	0.00%	0.00%	0.00%	0.53%	0.53%	0.00%	0.00%	0.00%	2.00%	0.00%	0.41%	0.00%	0.00%	0.00%	0.51%	1.11%	0.21%	0.00%	0.18%	0.22%	0.39%	0.71%	0.14%	0.42%	0.42%	0.00%	0.26%	0.00%	0.00%	0.00%	0.00%	1.08%	0.18%	0.00%	0.00%	0.32%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.14%	0.24%	0.00%	0.00%	0.18%	0.15%	0.00%	0.36%	0.00%	0.07%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	7434	193	175	229	89	189	129	283	239	196	146	181	152	167	149	238	143	182	196	215	84	32	20	56	100	108	89	48	7	19	18	13	99	99	88	61	45	68	28	173	197	137	43	24	96	106	130	158	57	64	65	41	22	35	167	135	38	125	160	69	13	24	33	43	33	101	51	40	66	83	85	56	85	16	90									
		15.97%	16.70%	18.23%	22.76%	17.98%	17.03%	23.84%	22.62%	17.63%	22.48%	19.70%	13.92%	17.80%	19.51%	22.68%	18.31%	18.99%	14.69%	21.51%	19.63%	29.07%	12.55%	9.57%	14.25%	19.34%	11.99%	23.48%	25.53%	15.91%	11.80%	12.50%	13.00%	19.30%	20.50%	10.50%	20.27%	19.74%	17.30%	15.56%	11.91%	12.24%	12.66%	9.47%	9.45%	13.60%	15.30%	13.54%	16.54%	10.98%	16.62%	9.64%	14.04%	13.92%	7.16%	15.02%	11.82%	14.18%	26.54%	16.81%	15.65%	13.40%	19.51%	13.69%	16.99%	8.57%	14.27%	12.20%	16.46%	18.54%	14.74%	12.86%	16.62%	15.15%	18.18%	6.13%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	195	3	5	4	0	19	5	4	3	12	6	6	1	6	2	6	1	2	9	3	1	1	0	5	0	1	0	0	2	1	0	0	2	0	10	1	0	2	0	2	1	5	0	0	4	2	6	3	1	0	0	0	0	1	16	0	0	1	4	2	4	0	1	0	1	0	0	0	4	0	0	1	0	0	13									
		0.42%	0.26%	0.52%	0.40%	0.00%	1.71%	0.92%	0.32%	0.22%	1.38%	0.81%	0.46%	0.12%	0.70%	0.30%	0.46%	0.13%	0.16%	0.99%	0.27%	0.35%	0.39%	0.00%	1.27%	0.00%	0.11%	0.00%	0.00%	4.55%	0.62%	0.00%	0.00%	0.39%	0.00%	1.19%	0.33%	0.00%	0.51%	0.00%	0.14%	0.06%	0.46%	0.00%	0.00%	0.57%	0.29%	0.63%	0.31%	0.19%	0.00%	0.00%	0.00%	0.00%	0.20%	1.44%	0.00%	0.00%	0.21%	0.42%	0.45%	4.12%	0.00%	0.41%	0.00%	0.26%	0.00%	0.00%	0.00%	1.12%	0.00%	0.00%	0.30%	0.00%	0.00%	0.89%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	279	8	7	4	0	7	7	9	16	7	11	9	13	5	4	9	6	10	8	7	2	1	0	1	3	3	0	2	0	0	0	2	2	4	4	8	1	2	0	2	3	6	2	0	2	5	10	10	5	0	1	1	0	0	12	1	0	1	9	0	0	0	0	0	3	0	1	0	1	4	0	1	1	0	16									
		0.60%	0.69%	0.73%	0.40%	0.00%	0.63%	1.29%	0.72%	1.18%	0.80%	1.48%	0.69%	1.52%	0.58%	0.61%	0.69%	0.80%	0.81%	0.88%	0.64%	0.69%	0.39%	0.00%	0.25%	0.58%	0.33%	0.00%	1.06%	0.00%	0.00%	0.00%	2.00%	0.39%	0.83%	0.48%	2.66%	0.44%	0.51%	0.00%	0.14%	0.19%	0.55%	0.44%	0.00%	0.28%	0.72%	1.04%	1.05%	0.96%	0.00%	0.15%	0.34%	0.00%	0.00%	1.08%	0.09%	0.00%	0.21%	0.95%	0.00%	0.00%	0.00%	0.00%	0.00%	0.78%	0.00%	0.24%	0.00%	0.28%	0.71%	0.00%	0.30%	0.18%	0.00%	1.09%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	58	0	4	1	1	1	3	2	4	3	0	1	0	0	2	2	3	0	1	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	1	1	0	0	2	0	0	2	8	0	1	0	2	1	1	0	0	0	0	2	1	0	0	2	0	0	0	0	0									
		0.12%	0.00%	0.42%	0.10%	0.20%	0.09%	0.55%	0.16%	0.29%	0.34%	0.00%	0.08%	0.00%	0.00%	0.30%	0.15%	0.40%	0.00%	0.11%	0.00%	0.00%	0.39%	0.00%	0.00%	0.19%	0.00%	0.00%	0.00%	0.00%	0.62%	0.00%	0.00%	0.00%	0.00%	0.12%	0.00%	0.00%	0.00%	0.00%	0.14%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.10%	0.10%	0.00%	0.00%	0.30%	0.00%	0.00%	0.41%	0.72%	0.00%	0.37%	0.00%	0.21%	0.23%	1.03%	0.00%	0.00%	0.00%	0.00%	0.28%	0.24%	0.00%	0.00%	0.36%	0.00%	0.00%	0.00%	0.00%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	275	4	4	14	1	13	1	14	5	3	6	8	14	10	5	11	4	6	13	14	3	0	0	2	2	1	1	2	0	0	0	0	1	0	6	1	1	0	0	3	2	0	1	0	5	2	9	2	3	2	5	0	3	0	8	1	1	2	9	1	0	0	1	0	0	1	2	0	1	1	1	1	2	0	36									
		0.59%	0.35%	0.42%	1.39%	0.20%	1.17%	0.18%	1.12%	0.37%	0.34%	0.81%	0.62%	1.64%	1.17%	0.76%	0.85%	0.53%	0.48%	1.43%	1.28%	1.04%	0.00%	0.00%	0.51%	0.39%	0.11%	0.26%	1.06%	0.00%	0.00%	0.00%	0.00%	0.19%	0.00%	0.72%	0.33%	0.44%	0.00%	0.00%	0.21%	0.12%	0.00%	0.22%	0.00%	0.71%	0.29%	0.94%	0.21%	0.58%	0.52%	0.74%	0.00%	1.90%	0.00%	0.72%	0.09%	0.37%	0.42%	0.95%	0.23%	0.00%	0.00%	0.41%	0.00%	0.00%	0.14%	0.48%	0.00%	0.28%	0.18%	0.15%	0.30%	0.36%	0.00%	2.45%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	6024	175	185	130	42	165	55	188	227	113	107	162	160	132	97	156	124	138	119	161	17	63	21	54	115	81	76	16	8	23	10	10	100	69	80	43	47	41	12	125	109	100	53	23	131	119	138	169	70	50	76	19	17	39	97	65	28	62	145	55	7	14	50	21	33	35	117	56	54	68	63	21	46	2	225									
		12.94%	15.14%	19.27%	12.92%	8.48%	14.86%	10.17%	15.03%	16.74%	12.96%	14.44%	12.46%	18.74%	15.42%	14.76%	12.00%	16.47%	11.14%	13.06%	14.70%	5.88%	24.71%	10.05%	13.74%	22.24%	8.99%	20.05%	8.51%	18.18%	14.29%	6.94%	10.00%	19.49%	14.29%	9.55%	14.29%	20.61%	10.43%	6.67%	8.60%	6.77%	9.24%	11.67%	9.06%	18.56%	17.17%	14.38%	17.70%	13.49%	12.99%	11.28%	6.51%	10.76%	7.98%	8.72%	5.69%	10.45%	13.16%	15.23%	12.47%	7.22%	11.38%	20.75%	8.30%	8.57%	4.94%	27.99%	23.05%	15.17%	12.08%	9.53%	6.23%	8.20%	2.27%	15.33%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	189	5	13	8	2	1	3	6	7	4	2	8	1	4	7	5	5	4	4	6	3	0	1	1	7	1	3	0	0	1	0	0	0	1	2	1	0	3	0	4	2	1	1	0	9	8	2	3	3	2	0	0	0	1	3	1	2	8	4	2	0	0	2	0	2	0	0	1	1	1	0	0	2	1	4									
		0.41%	0.43%	1.35%	0.80%	0.40%	0.09%	0.55%	0.48%	0.52%	0.46%	0.27%	0.62%	0.12%	0.47%	1.07%	0.38%	0.66%	0.32%	0.44%	0.55%	1.04%	0.00%	0.48%	0.25%	1.35%	0.11%	0.79%	0.00%	0.00%	0.62%	0.00%	0.00%	0.00%	0.21%	0.24%	0.33%	0.00%	0.76%	0.00%	0.28%	0.12%	0.09%	0.22%	0.00%	1.27%	1.15%	0.21%	0.31%	0.58%	0.52%	0.00%	0.00%	0.00%	0.20%	0.27%	0.09%	0.75%	1.70%	0.42%	0.45%	0.00%	0.00%	0.83%	0.00%	0.52%	0.00%	0.00%	0.41%	0.28%	0.18%	0.00%	0.00%	0.36%	1.14%	0.27%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	1425	41	53	50	10	30	8	33	69	35	41	52	48	28	32	73	42	26	35	77	5	6	6	5	16	6	14	2	2	2	2	0	24	15	11	7	8	8	3	20	14	22	11	6	19	21	24	29	13	7	16	6	5	10	72	8	2	10	39	10	4	4	4	9	7	5	11	7	9	26	8	2	8	6	26									
		3.06%	3.55%	5.52%	4.97%	2.02%	2.70%	1.48%	2.64%	5.09%	4.01%	5.53%	4.00%	5.62%	3.27%	4.87%	5.62%	5.58%	2.10%	3.84%	7.03%	1.73%	2.35%	2.87%	1.27%	3.09%	0.67%	3.69%	1.06%	4.55%	1.24%	1.39%	0.00%	4.68%	3.11%	1.31%	2.33%	3.51%	2.04%	1.67%	1.38%	0.87%	2.03%	2.42%	2.36%	2.69%	3.03%	2.50%	3.04%	2.50%	1.82%	2.37%	2.05%	3.16%	2.04%	6.47%	0.70%	0.75%	2.12%	4.10%	2.27%	4.12%	3.25%	1.66%	3.56%	1.82%	0.71%	2.63%	2.88%	2.53%	4.62%	1.21%	0.59%	1.43%	6.82%	1.77%									
																																																																																					
																																																																																					
																																																																																					
																																																																																					
																																																																																					
																																																																																					
																																																																																					
																																																																																					
																																																																																					
																																																																																					
																																																																																					
																																																																																					
																																																																																					
																																																																																					
																																																																																					
																																																																																					
																																																																																					
																																																																																					
																																																																																					
																																																																																					
																																																																																					
																																																																																					
