Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																								
Дата голосования: 18.09.2016																								
																								
Наименование Избирательной комиссии:    Красносельский район																								
																								
Сводная таблица итогов голосования по федеральному избирательному округу																								
																								
		Сумма	УИК №49	УИК №50	УИК №51	УИК №52	УИК №53	УИК №54	УИК №55	УИК №56	УИК №57	УИК №58	УИК №4003	УИК №4004	УИК №4005									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	1237	125	77	174	130	97	81	105	92	106	75	103	44	28									
		11.82%	12.25%	8.77%	12.75%	9.61%	14.10%	10.15%	12.68%	10.64%	10.67%	13.54%	12.97%	23.04%	20.00%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	412	33	38	44	38	29	38	37	33	30	26	59	5	2									
		3.94%	3.24%	4.33%	3.22%	2.81%	4.22%	4.76%	4.47%	3.82%	3.02%	4.69%	7.43%	2.62%	1.43%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	453	52	41	67	62	33	22	40	32	46	23	29	3	3									
		4.33%	5.10%	4.67%	4.91%	4.58%	4.80%	2.76%	4.83%	3.70%	4.63%	4.15%	3.65%	1.57%	2.14%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	18	1	1	0	2	3	1	2	3	2	1	2	0	0									
		0.17%	0.10%	0.11%	0.00%	0.15%	0.44%	0.13%	0.24%	0.35%	0.20%	0.18%	0.25%	0.00%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	1404	155	178	172	175	91	92	112	110	119	53	137	5	5									
		13.41%	15.20%	20.27%	12.60%	12.93%	13.23%	11.53%	13.53%	12.72%	11.98%	9.57%	17.25%	2.62%	3.57%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	1447	107	136	185	204	97	151	125	135	127	76	66	26	12									
		13.82%	10.49%	15.49%	13.55%	15.08%	14.10%	18.92%	15.10%	15.61%	12.79%	13.72%	8.31%	13.61%	8.57%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	59	3	2	15	10	1	4	5	5	5	2	3	2	2									
		0.56%	0.29%	0.23%	1.10%	0.74%	0.15%	0.50%	0.60%	0.58%	0.50%	0.36%	0.38%	1.05%	1.43%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	586	36	47	56	93	24	55	50	50	84	37	35	7	12									
		5.60%	3.53%	5.35%	4.10%	6.87%	3.49%	6.89%	6.04%	5.78%	8.46%	6.68%	4.41%	3.66%	8.57%									
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
