Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																																																																									
Дата голосования: 04.12.2011																																																																																																									
																																																																																																									
"Наименование Избирательной комиссии:    Киров, Ленинская"																																																																																																									
																																																																																																									
Сводная таблица результатов выборов																																																																																																									
																																																																																																									
		Сумма	УИК №306	УИК №307	УИК №308	УИК №309	УИК №310	УИК №311	УИК №312	УИК №313	УИК №314	УИК №315	УИК №316	УИК №317	УИК №318	УИК №319	УИК №320	УИК №321	УИК №322	УИК №323	УИК №324	УИК №325	УИК №326	УИК №327	УИК №328	УИК №329	УИК №330	УИК №331	УИК №332	УИК №333	УИК №334	УИК №335	УИК №336	УИК №337	УИК №338	УИК №339	УИК №340	УИК №341	УИК №342	УИК №343	УИК №344	УИК №345	УИК №346	УИК №347	УИК №348	УИК №349	УИК №350	УИК №351	УИК №352	УИК №353	УИК №354	УИК №355	УИК №356	УИК №357	УИК №358	УИК №359	УИК №360	УИК №361	УИК №362	УИК №363	УИК №364	УИК №365	УИК №366	УИК №367	УИК №368	УИК №369	УИК №370	УИК №371	УИК №372	УИК №373	УИК №374	УИК №375	УИК №376	УИК №377	УИК №378	УИК №379	УИК №380	УИК №381	УИК №382	УИК №383	УИК №384	УИК №385	УИК №386	УИК №387	УИК №388	УИК №389	УИК №390	УИК №391	УИК №392	УИК №393	УИК №394	УИК №395	УИК №396	УИК №397	УИК №398	УИК №399	УИК №400	УИК №401	УИК №402	УИК №403					
		16.17%	17.74%	17.75%	17.95%	16.46%	12.72%	15.49%	10.67%	12.10%	15.79%	5.41%	22.77%	15.09%	20.28%	16.13%	17.85%	11.23%	18.75%	11.79%	12.99%	11.83%	17.43%	12.58%	11.71%	14.98%	14.63%	14.65%	22.26%	20.75%	19.37%	15.94%	24.25%	16.33%	17.49%	15.48%	19.01%	14.49%	27.88%	14.06%	14.02%	11.55%	12.36%	14.75%	16.06%	14.02%	10.22%	14.21%	14.04%	16.65%	14.83%	13.10%	16.29%	14.98%	19.66%	15.66%	16.98%	10.02%	13.06%	15.78%	16.49%	16.90%	17.89%	23.53%	15.53%	15.61%	24.86%	16.69%	16.68%	16.80%	13.67%	17.31%	16.28%	17.02%	17.68%	17.90%	15.45%	20.17%	17.92%	16.37%	16.74%	17.13%	16.77%	16.57%	16.77%	18.59%	17.57%	12.40%	22.51%	15.09%	19.93%	16.83%	17.54%	18.85%	17.31%	16.69%	10.13%	15.36%	11.88%	31.94%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	1327	3	27	16	6	2	4	4	4	1	2	0	1	2	23	12	3	12	28	18	0	15	9	15	7	22	24	4	7	8	22	6	13	24	24	14	19	10	18	15	10	8	14	25	18	16	16	15	29	11	11	10	15	7	12	9	10	7	6	10	21	22	10	20	11	4	24	22	15	23	22	20	17	29	12	20	13	18	28	19	18	21	23	15	17	21	24	11	11	7	16	13	9	7	17	3	12	6	3					
		1.52%	2.42%	2.59%	1.60%	1.23%	0.88%	0.94%	1.78%	2.55%	0.88%	5.41%	0.00%	0.94%	1.40%	2.10%	1.55%	0.66%	1.32%	2.54%	1.46%	0.00%	1.44%	0.78%	1.53%	0.79%	1.59%	2.42%	1.25%	0.88%	0.96%	2.00%	1.19%	2.17%	2.16%	1.90%	1.65%	1.58%	1.62%	1.68%	1.77%	1.09%	0.97%	1.55%	1.75%	1.36%	1.86%	1.23%	1.29%	2.19%	1.66%	0.94%	1.02%	1.73%	0.70%	1.02%	1.05%	1.82%	0.90%	0.70%	0.86%	1.95%	1.62%	1.55%	1.60%	1.93%	2.26%	1.84%	1.81%	1.10%	1.88%	1.50%	1.36%	1.52%	2.04%	0.95%	1.80%	1.08%	1.40%	2.15%	1.64%	1.80%	1.95%	1.88%	1.19%	1.46%	1.76%	1.88%	1.77%	1.41%	1.21%	1.43%	1.63%	0.94%	1.59%	1.41%	0.98%	2.30%	1.03%	2.08%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	24821	26	305	243	145	83	129	80	26	31	14	24	46	35	307	246	146	235	314	421	11	294	368	310	284	451	309	104	196	197	330	87	173	299	394	235	354	161	260	241	287	267	280	416	375	245	383	380	351	171	348	261	259	264	339	260	160	229	242	336	281	346	185	430	165	34	393	313	402	369	422	401	338	442	322	325	335	379	375	292	318	310	398	411	316	371	416	130	208	149	292	197	238	92	264	118	150	99	28					
		28.45%	20.97%	29.27%	24.23%	29.84%	36.40%	30.28%	35.56%	16.56%	27.19%	37.84%	23.76%	43.40%	24.48%	27.99%	31.82%	32.16%	25.77%	28.47%	34.17%	1.91%	28.16%	31.70%	31.57%	31.98%	32.49%	31.21%	32.60%	24.50%	23.71%	30.05%	17.30%	28.83%	26.96%	31.12%	27.74%	29.48%	26.09%	24.21%	28.39%	31.26%	32.36%	31.04%	29.05%	28.26%	28.46%	29.42%	32.73%	26.45%	25.87%	29.79%	26.74%	29.84%	26.35%	28.85%	30.44%	29.14%	29.32%	28.07%	28.87%	26.09%	25.48%	28.64%	34.43%	28.95%	19.21%	30.09%	25.72%	29.36%	30.20%	28.86%	27.32%	30.12%	31.13%	25.62%	29.20%	27.92%	29.40%	28.82%	25.19%	31.86%	28.73%	32.49%	32.52%	27.19%	31.05%	32.65%	20.90%	26.60%	25.82%	26.14%	24.69%	24.79%	20.96%	21.93%	38.56%	28.79%	17.04%	19.44%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	4652	8	47	61	33	3	8	10	7	2	1	4	1	7	53	35	57	53	91	67	3	62	69	80	55	89	51	10	25	48	63	13	36	59	73	55	105	23	100	57	46	43	55	68	86	51	83	71	63	42	85	57	56	61	49	37	17	55	32	48	41	68	24	45	25	5	69	99	77	66	68	70	65	61	75	50	52	49	62	83	53	54	56	54	75	66	124	15	25	14	22	42	46	11	39	13	27	33	0					
		5.33%	6.45%	4.51%	6.08%	6.79%	1.32%	1.88%	4.44%	4.46%	1.75%	2.70%	3.96%	0.94%	4.90%	4.83%	4.53%	12.56%	5.81%	8.25%	5.44%	0.52%	5.94%	5.94%	8.15%	6.19%	6.41%	5.15%	3.13%	3.13%	5.78%	5.74%	2.58%	6.00%	5.32%	5.77%	6.49%	8.74%	3.73%	9.31%	6.71%	5.01%	5.21%	6.10%	4.75%	6.48%	5.92%	6.37%	6.12%	4.75%	6.35%	7.28%	5.84%	6.45%	6.09%	4.17%	4.33%	3.10%	7.04%	3.71%	4.12%	3.81%	5.01%	3.72%	3.60%	4.39%	2.82%	5.28%	8.13%	5.62%	5.40%	4.65%	4.77%	5.79%	4.30%	5.97%	4.49%	4.33%	3.80%	4.77%	7.16%	5.31%	5.00%	4.57%	4.27%	6.45%	5.52%	9.73%	2.41%	3.20%	2.43%	1.97%	5.26%	4.79%	2.51%	3.24%	4.25%	5.18%	5.68%	0.00%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	22881	37	237	257	122	66	104	60	69	29	12	34	20	32	299	195	103	223	273	291	451	235	324	231	215	329	258	71	243	230	273	200	131	281	300	213	275	100	298	228	218	194	219	354	345	228	323	277	362	189	295	259	237	243	312	206	147	207	219	293	307	356	141	279	149	55	300	304	353	307	332	382	260	348	318	297	261	312	352	266	230	298	278	300	281	278	279	216	281	201	403	275	325	149	461	75	133	221	42					
		26.22%	29.84%	22.74%	25.62%	25.10%	28.95%	24.41%	26.67%	43.95%	25.44%	32.43%	33.66%	18.87%	22.38%	27.26%	25.23%	22.69%	24.45%	24.75%	23.62%	78.43%	22.51%	27.91%	23.52%	24.21%	23.70%	26.06%	22.26%	30.38%	27.68%	24.86%	39.76%	21.83%	25.34%	23.70%	25.15%	22.90%	16.21%	27.75%	26.86%	23.75%	23.52%	24.28%	24.72%	25.99%	26.48%	24.81%	23.86%	27.28%	28.59%	25.26%	26.54%	27.30%	24.25%	26.55%	24.12%	26.78%	26.50%	25.41%	25.17%	28.51%	26.22%	21.83%	22.34%	26.14%	31.07%	22.97%	24.98%	25.79%	25.12%	22.71%	26.02%	23.17%	24.51%	25.30%	26.68%	21.75%	24.20%	27.06%	22.95%	23.05%	27.62%	22.69%	23.73%	24.18%	23.26%	21.90%	34.73%	35.93%	34.84%	36.08%	34.46%	33.85%	33.94%	38.29%	24.51%	25.53%	38.04%	29.17%					
25	"7. Всероссийская политическая партия ""ПРАВОЕ ДЕЛО"""	667	1	11	13	3	1	6	2	3	1	0	0	0	0	6	11	5	7	6	16	8	6	7	6	4	9	5	2	5	8	12	2	8	8	11	9	7	4	14	13	8	9	6	13	8	2	10	10	8	3	7	9	5	4	4	11	1	3	6	5	3	10	10	6	6	2	6	10	12	9	9	7	5	11	15	11	12	13	8	9	11	7	8	12	8	11	14	2	4	2	6	4	12	4	2	5	1	8	0					
		0.76%	0.81%	1.06%	1.30%	0.62%	0.44%	1.41%	0.89%	1.91%	0.88%	0.00%	0.00%	0.00%	0.00%	0.55%	1.42%	1.10%	0.77%	0.54%	1.30%	1.39%	0.57%	0.60%	0.61%	0.45%	0.65%	0.51%	0.63%	0.63%	0.96%	1.09%	0.40%	1.33%	0.72%	0.87%	1.06%	0.58%	0.65%	1.30%	1.53%	0.87%	1.09%	0.67%	0.91%	0.60%	0.23%	0.77%	0.86%	0.60%	0.45%	0.60%	0.92%	0.58%	0.40%	0.34%	1.29%	0.18%	0.38%	0.70%	0.43%	0.28%	0.74%	1.55%	0.48%	1.05%	1.13%	0.46%	0.82%	0.88%	0.74%	0.62%	0.48%	0.45%	0.77%	1.19%	0.99%	1.00%	1.01%	0.61%	0.78%	1.10%	0.65%	0.65%	0.95%	0.69%	0.92%	1.10%	0.32%	0.51%	0.35%	0.54%	0.50%	1.25%	0.91%	0.17%	1.63%	0.19%	1.38%	0.00%					
																																																																																																									
																																																																																																									
																																																																																																									
																																																																																																									
																																																																																																									
																																																																																																									
																																																																																																									
																																																																																																									
																																																																																																									
																																																																																																									
																																																																																																									
																																																																																																									
																																																																																																									
																																																																																																									
																																																																																																									
																																																																																																									
																																																																																																									
																																																																																																									
