Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																													
Дата голосования: 18.09.2016																																																													
																																																													
Наименование Избирательной комиссии:    Элистинская городская																																																													
																																																													
Сводная таблица итогов голосования по федеральному избирательному округу																																																													
																																																													
		Сумма	УИК №1	УИК №2	УИК №3	УИК №4	УИК №5	УИК №6	УИК №7	УИК №8	УИК №9	УИК №10	УИК №11	УИК №12	УИК №13	УИК №14	УИК №15	УИК №16	УИК №17	УИК №18	УИК №19	УИК №20	УИК №21	УИК №22	УИК №23	УИК №24	УИК №25	УИК №26	УИК №27	УИК №28	УИК №29	УИК №30	УИК №31	УИК №32	УИК №33	УИК №34	УИК №35	УИК №36	УИК №37	УИК №38	УИК №39	УИК №40	УИК №41	УИК №42	УИК №43	УИК №44	УИК №45	УИК №46	УИК №47	УИК №48	УИК №49	УИК №251									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	1546	55	3	21	34	2	2	12	55	30	40	69	46	0	38	25	24	35	17	38	2	30	6	25	40	25	35	28	28	39	43	5	20	39	31	34	60	51	55	57	26	23	40	32	60	42	18	56	25	25	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	2499	65	32	22	38	8	4	44	42	21	29	61	35	0	33	165	35	68	27	98	7	30	38	21	20	26	376	29	28	45	26	56	44	27	43	25	42	14	43	31	81	24	52	60	35	15	212	32	23	5	162									
14	Число погашенных неиспользованных открепительных удостоверений	204	0	2	19	6	3	3	8	10	0	0	6	9	0	2	0	1	10	3	12	8	0	4	0	0	0	0	2	12	1	2	10	0	1	14	1	0	4	0	13	9	7	0	8	0	3	2	4	5	0	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	440	17	1	6	13	2	0	5	17	9	10	9	13	0	7	9	16	12	13	22	0	15	1	7	10	8	13	10	18	12	15	3	2	11	3	5	11	13	13	7	7	4	7	7	13	14	13	14	1	2	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																													
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	353	8	0	3	13	2	0	3	0	3	2	4	4	0	7	5	4	11	4	13	2	5	5	8	7	2	11	1	3	10	11	5	3	6	12	15	17	15	19	13	13	2	5	7	14	16	14	13	2	7	4									
		0.89%	0.55%	0.00%	0.58%	1.54%	1.27%	0.00%	0.57%	0.00%	0.61%	0.21%	0.34%	0.41%	0.00%	0.71%	0.59%	0.56%	0.97%	0.86%	1.13%	1.61%	0.55%	1.84%	1.12%	0.75%	0.35%	0.84%	0.10%	0.29%	0.92%	1.28%	1.59%	0.44%	0.70%	1.68%	1.75%	1.60%	1.17%	1.68%	1.07%	1.74%	0.27%	0.61%	0.94%	1.01%	1.61%	1.94%	1.20%	0.38%	0.83%	0.94%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	855	48	5	13	18	7	5	8	2	7	3	45	21	5	26	26	5	8	2	24	3	12	10	21	21	10	31	7	0	36	41	3	6	18	10	14	44	31	33	33	19	8	33	32	13	29	14	19	14	6	6									
		2.15%	3.29%	4.35%	2.50%	2.13%	4.43%	5.95%	1.53%	0.20%	1.43%	0.31%	3.80%	2.17%	3.16%	2.62%	3.07%	0.70%	0.71%	0.43%	2.09%	2.42%	1.33%	3.68%	2.93%	2.24%	1.73%	2.36%	0.67%	0.00%	3.30%	4.76%	0.95%	0.88%	2.11%	1.40%	1.63%	4.13%	2.43%	2.92%	2.72%	2.55%	1.09%	4.04%	4.32%	0.94%	2.92%	1.94%	1.75%	2.68%	0.71%	1.42%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	862	46	4	7	2	10	0	9	0	8	1	27	20	5	44	22	2	13	0	22	4	11	5	26	30	5	48	15	3	36	39	4	0	12	32	31	53	34	47	43	25	11	21	22	8	8	10	24	4	1	8									
		2.17%	3.15%	3.48%	1.35%	0.24%	6.33%	0.00%	1.72%	0.00%	1.63%	0.10%	2.28%	2.07%	3.16%	4.44%	2.60%	0.28%	1.15%	0.00%	1.92%	3.23%	1.22%	1.84%	3.63%	3.21%	0.87%	3.66%	1.44%	0.29%	3.30%	4.52%	1.27%	0.00%	1.41%	4.49%	3.61%	4.98%	2.66%	4.16%	3.54%	3.35%	1.50%	2.57%	2.97%	0.58%	0.81%	1.39%	2.21%	0.77%	0.12%	1.89%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	22470	797	67	389	416	82	52	355	703	295	682	658	594	125	400	407	571	683	337	611	70	759	125	321	414	291	751	840	772	535	347	169	474	456	301	380	437	548	521	519	315	392	439	392	972	498	384	563	382	568	311									
		56.52%	54.55%	58.26%	74.95%	49.29%	51.90%	61.90%	67.88%	69.67%	60.08%	70.60%	55.57%	61.36%	79.11%	40.36%	48.05%	80.42%	60.44%	72.63%	53.22%	56.45%	84.15%	45.96%	44.77%	44.23%	50.35%	57.20%	80.69%	74.59%	49.08%	40.26%	53.65%	69.50%	53.46%	42.22%	44.29%	41.03%	42.88%	46.15%	42.75%	42.23%	53.48%	53.80%	52.90%	70.18%	50.20%	53.26%	51.84%	73.18%	67.30%	73.35%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	315	17	0	2	7	2	0	0	0	1	1	8	9	0	20	5	1	5	1	14	0	2	3	5	8	2	12	9	1	6	13	2	0	6	2	9	16	25	22	18	10	2	6	6	10	0	9	11	1	1	5									
		0.79%	1.16%	0.00%	0.39%	0.83%	1.27%	0.00%	0.00%	0.00%	0.20%	0.10%	0.68%	0.93%	0.00%	2.02%	0.59%	0.14%	0.44%	0.22%	1.22%	0.00%	0.22%	1.10%	0.70%	0.85%	0.35%	0.91%	0.86%	0.10%	0.55%	1.51%	0.63%	0.00%	0.70%	0.28%	1.05%	1.50%	1.96%	1.95%	1.48%	1.34%	0.27%	0.74%	0.81%	0.72%	0.00%	1.25%	1.01%	0.19%	0.12%	1.18%									
24	"6. Политическая партия ""Гражданская Платформа"""	186	12	1	1	7	2	0	0	0	0	1	7	7	0	9	2	6	2	3	5	1	3	1	3	2	1	3	3	0	5	2	0	0	2	0	33	6	10	9	6	0	2	0	3	10	3	5	4	1	1	2									
		0.47%	0.82%	0.87%	0.19%	0.83%	1.27%	0.00%	0.00%	0.00%	0.00%	0.10%	0.59%	0.72%	0.00%	0.91%	0.24%	0.85%	0.18%	0.65%	0.44%	0.81%	0.33%	0.37%	0.42%	0.21%	0.17%	0.23%	0.29%	0.00%	0.46%	0.23%	0.00%	0.00%	0.23%	0.00%	3.85%	0.56%	0.78%	0.80%	0.49%	0.00%	0.27%	0.00%	0.40%	0.72%	0.30%	0.69%	0.37%	0.19%	0.12%	0.47%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	2372	68	19	12	46	8	2	46	58	56	45	32	50	2	72	51	20	51	11	36	16	27	31	116	76	45	60	35	35	49	54	27	63	48	21	55	62	70	53	58	100	104	118	88	51	56	48	45	8	60	8									
		5.97%	4.65%	16.52%	2.31%	5.45%	5.06%	2.38%	8.80%	5.75%	11.41%	4.66%	2.70%	5.17%	1.27%	7.27%	6.02%	2.82%	4.51%	2.37%	3.14%	12.90%	2.99%	11.40%	16.18%	8.12%	7.79%	4.57%	3.36%	3.38%	4.50%	6.26%	8.57%	9.24%	5.63%	2.95%	6.41%	5.82%	5.48%	4.69%	4.78%	13.40%	14.19%	14.46%	11.88%	3.68%	5.65%	6.66%	4.14%	1.53%	7.11%	1.89%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	307	7	1	2	10	0	0	3	0	2	4	6	4	0	11	8	8	11	5	12	0	5	3	5	11	2	13	1	0	11	15	4	6	4	7	7	8	14	12	16	9	2	3	3	7	11	13	18	0	0	3									
		0.77%	0.48%	0.87%	0.39%	1.18%	0.00%	0.00%	0.57%	0.00%	0.41%	0.41%	0.51%	0.41%	0.00%	1.11%	0.94%	1.13%	0.97%	1.08%	1.05%	0.00%	0.55%	1.10%	0.70%	1.18%	0.35%	0.99%	0.10%	0.00%	1.01%	1.74%	1.27%	0.88%	0.47%	0.98%	0.82%	0.75%	1.10%	1.06%	1.32%	1.21%	0.27%	0.37%	0.40%	0.51%	1.11%	1.80%	1.66%	0.00%	0.00%	0.71%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	514	27	0	6	16	0	0	4	0	3	4	30	14	0	19	20	4	9	10	18	0	1	3	10	20	3	12	1	0	15	14	4	17	14	7	17	18	20	13	31	20	8	9	9	10	16	9	19	3	3	4									
		1.29%	1.85%	0.00%	1.16%	1.90%	0.00%	0.00%	0.76%	0.00%	0.61%	0.41%	2.53%	1.45%	0.00%	1.92%	2.36%	0.56%	0.80%	2.16%	1.57%	0.00%	0.11%	1.10%	1.39%	2.14%	0.52%	0.91%	0.10%	0.00%	1.38%	1.62%	1.27%	2.49%	1.64%	0.98%	1.98%	1.69%	1.56%	1.15%	2.55%	2.68%	1.09%	1.10%	1.21%	0.72%	1.61%	1.25%	1.75%	0.57%	0.36%	0.94%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	60	4	0	0	0	0	0	0	0	1	1	2	0	0	0	0	6	0	0	3	0	2	2	0	0	1	2	0	0	2	2	0	0	2	2	0	3	2	3	1	1	2	3	3	4	5	0	0	0	0	1									
		0.15%	0.27%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.20%	0.10%	0.17%	0.00%	0.00%	0.00%	0.00%	0.85%	0.00%	0.00%	0.26%	0.00%	0.22%	0.74%	0.00%	0.00%	0.17%	0.15%	0.00%	0.00%	0.18%	0.23%	0.00%	0.00%	0.23%	0.28%	0.00%	0.28%	0.16%	0.27%	0.08%	0.13%	0.27%	0.37%	0.40%	0.29%	0.50%	0.00%	0.00%	0.00%	0.00%	0.24%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	1384	59	0	9	39	5	4	10	5	9	5	45	25	0	75	45	9	34	9	64	1	14	12	17	46	26	40	15	18	39	55	12	23	28	28	65	42	76	55	94	19	8	12	9	19	41	33	54	9	18	5									
		3.48%	4.04%	0.00%	1.73%	4.62%	3.16%	4.76%	1.91%	0.50%	1.83%	0.52%	3.80%	2.58%	0.00%	7.57%	5.31%	1.27%	3.01%	1.94%	5.57%	0.81%	1.55%	4.41%	2.37%	4.91%	4.50%	3.05%	1.44%	1.74%	3.58%	6.38%	3.81%	3.37%	3.28%	3.93%	7.58%	3.94%	5.95%	4.87%	7.74%	2.55%	1.09%	1.47%	1.21%	1.37%	4.13%	4.58%	4.97%	1.72%	2.13%	1.18%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	5717	221	13	44	138	30	9	52	151	79	168	165	98	16	189	139	24	198	46	193	19	33	34	104	159	111	170	55	121	200	161	52	45	152	114	131	229	222	167	177	126	134	110	109	156	167	106	180	58	103	39									
		14.38%	15.13%	11.30%	8.48%	16.35%	18.99%	10.71%	9.94%	14.97%	16.09%	17.39%	13.94%	10.12%	10.13%	19.07%	16.41%	3.38%	17.52%	9.91%	16.81%	15.32%	3.66%	12.50%	14.50%	16.99%	19.20%	12.95%	5.28%	11.69%	18.35%	18.68%	16.51%	6.60%	17.82%	15.99%	15.27%	21.50%	17.37%	14.79%	14.58%	16.89%	18.28%	13.48%	14.71%	11.26%	16.83%	14.70%	16.57%	11.11%	12.20%	9.20%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	1680	56	2	13	69	5	4	18	33	7	24	69	48	2	60	45	10	51	13	55	0	5	16	38	62	35	62	19	29	41	38	9	13	38	9	33	52	71	74	89	33	14	25	21	56	70	33	55	15	33	8									
		4.23%	3.83%	1.74%	2.50%	8.18%	3.16%	4.76%	3.44%	3.27%	1.43%	2.48%	5.83%	4.96%	1.27%	6.05%	5.31%	1.41%	4.51%	2.80%	4.79%	0.00%	0.55%	5.88%	5.30%	6.62%	6.06%	4.72%	1.83%	2.80%	3.76%	4.41%	2.86%	1.91%	4.45%	1.26%	3.85%	4.88%	5.56%	6.55%	7.33%	4.42%	1.91%	3.06%	2.83%	4.04%	7.06%	4.58%	5.06%	2.87%	3.91%	1.89%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	1595	61	2	10	42	2	2	11	42	11	10	47	43	1	36	50	15	29	17	53	2	6	13	28	45	30	59	16	30	68	48	17	13	49	36	37	51	93	67	78	35	20	19	23	50	52	29	52	6	29	10									
		4.01%	4.18%	1.74%	1.93%	4.98%	1.27%	2.38%	2.10%	4.16%	2.24%	1.04%	3.97%	4.44%	0.63%	3.63%	5.90%	2.11%	2.57%	3.66%	4.62%	1.61%	0.67%	4.78%	3.91%	4.81%	5.19%	4.49%	1.54%	2.90%	6.24%	5.57%	5.40%	1.91%	5.74%	5.05%	4.31%	4.79%	7.28%	5.93%	6.43%	4.69%	2.73%	2.33%	3.10%	3.61%	5.24%	4.02%	4.79%	1.15%	3.44%	2.36%									
																																																													
																																																													
																																																													
																																																													
																																																													
																																																													
																																																													
																																																													
																																																													
																																																													
																																																													
																																																													
																																																													
																																																													
																																																													
																																																													
																																																													
																																																													
																																																													
																																																													
																																																													
																																																													
