Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																		
Дата голосования: 07.12.2003 0:00:00																		
																		
Наименование Избирательной комиссии:    Калганская																		
																		
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																		
																		
		Сумма	УИК  545	УИК  546	УИК  547	УИК  548	УИК  549	УИК  550	УИК  551	УИК  552	УИК  553	УИК  554	УИК  555					
		0.81%	0.27%	0.0%	0.23%	0.90%	1.09%	0.78%	0.53%	0.91%	0.58%	1.86%	0.67%					
22	"5. ""За Русь Святую"""	16	0	3	1	1	3	1	4	0	2	0	1					
		0.38%	0.0%	2.04%	0.23%	0.18%	0.21%	0.78%	1.06%	0.0%	1.17%	0.0%	0.67%					
23	"6. ""Объединенная Российская партия ""Русь"""	15	4	0	0	0	8	0	0	0	1	1	1					
		0.35%	1.08%	0.0%	0.0%	0.0%	0.58%	0.0%	0.0%	0.0%	0.58%	0.37%	0.67%					
24	"7. ""Новый курс - Автомобильная Россия"""	18	1	3	0	2	9	0	1	0	2	0	0					
		0.43%	0.27%	2.04%	0.0%	0.36%	0.65%	0.0%	0.26%	0.0%	1.17%	0.0%	0.0%					
25	"8. ""Народно-республиканская партия России"""	7	0	0	0	1	3	0	0	0	0	0	3					
		0.16%	0.0%	0.0%	0.0%	0.18%	0.21%	0.0%	0.0%	0.0%	0.0%	0.0%	2.01%					
26	"9. ""Российская экологическая партия ""Зеленые"""	7	1	0	1	1	3	0	0	0	0	1	0					
		0.16%	0.27%	0.0%	0.23%	0.18%	0.21%	0.0%	0.0%	0.0%	0.0%	0.37%	0.0%					
27	"10. ""Аграрная партия России"""	651	79	35	36	10	168	10	101	48	55	82	27					
		15.58%	21.46%	23.80%	8.31%	1.80%	12.29%	7.87%	26.86%	22.01%	32.35%	30.59%	18.12%					
28	"11. ""Истинные патриоты России"""	10	5	0	0	2	1	0	1	0	0	1	0					
		0.23%	1.35%	0.0%	0.0%	0.36%	0.07%	0.0%	0.26%	0.0%	0.0%	0.37%	0.0%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	37	4	0	4	1	9	3	7	3	1	5	0					
		0.88%	1.08%	0.0%	0.92%	0.18%	0.65%	2.36%	1.86%	1.37%	0.58%	1.86%	0.0%					
30	"13. ""Демократическая партия России"""	10	4	0	0	2	4	0	0	0	0	0	0					
		0.23%	1.08%	0.0%	0.0%	0.36%	0.29%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%					
31	"14. ""Великая Россия - Евразийский Союз"""	6	4	0	0	1	0	0	0	1	0	0	0					
		0.14%	1.08%	0.0%	0.0%	0.18%	0.0%	0.0%	0.0%	0.45%	0.0%	0.0%	0.0%					
32	"15. ""Партия СЛОН"""	5	0	0	1	0	1	1	0	1	1	0	0					
		0.11%	0.0%	0.0%	0.23%	0.0%	0.07%	0.78%	0.0%	0.45%	0.58%	0.0%	0.0%					
33	"16. ""Родина"" (народно-патриотический союз)"""	182	3	3	7	31	76	8	11	16	5	13	9					
		4.35%	0.81%	2.04%	1.61%	5.59%	5.56%	6.29%	2.92%	7.33%	2.94%	4.85%	6.04%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	18	2	2	1	4	1	0	6	1	1	0	0					
		0.43%	0.54%	1.36%	0.23%	0.72%	0.07%	0.0%	1.59%	0.45%	0.58%	0.0%	0.0%					
35	"18. ""ЛДПР"""	610	53	9	60	120	215	13	41	19	19	39	22					
		14.60%	14.40%	6.12%	13.85%	21.66%	15.73%	10.23%	10.90%	8.71%	11.17%	14.55%	14.76%					
36	"19. ""Партия Возрождения России - Российская партия ЖИЗНИ"""	86	10	1	4	21	25	6	6	3	2	7	1					
		2.05%	2.71%	0.68%	0.92%	3.79%	1.83%	4.72%	1.59%	1.37%	1.17%	2.61%	0.67%					
37	"20. ""Политическая партия ""Единая Россия"""	1321	112	61	188	170	443	37	109	67	52	44	38					
		31.63%	30.43%	41.49%	43.41%	30.68%	32.43%	29.13%	28.98%	30.73%	30.58%	16.41%	25.50%					
38	"21. ""Российская Конституционно-демократическая партия"""	8	0	0	1	2	3	0	1	0	0	1	0					
		0.19%	0.0%	0.0%	0.23%	0.36%	0.21%	0.0%	0.26%	0.0%	0.0%	0.37%	0.0%					
39	"22. ""Развитие предпринимательства"""	6	1	2	0	0	2	0	0	0	0	1	0					
		0.14%	0.27%	1.36%	0.0%	0.0%	0.14%	0.0%	0.0%	0.0%	0.0%	0.37%	0.0%					
40	"23. ""Коммунистическая партия Российской Федерации (КПРФ)"""	701	63	8	84	94	283	31	57	29	11	24	17					
		16.78%	17.11%	5.44%	19.39%	16.96%	20.71%	24.40%	15.15%	13.30%	6.47%	8.95%	11.40%					
																		
41	Против всех	130	9	3	9	22	27	6	14	6	6	21	7					
		3.11%	2.44%	2.04%	2.07%	3.97%	1.97%	4.72%	3.72%	2.75%	3.52%	7.83%	4.69%					
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
