Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																																																																															
Дата голосования: 07.12.2003 0:00:00																																																																																																															
																																																																																																															
"Наименование Избирательной комиссии:    Владивосток, Фрунзенская"																																																																																																															
																																																																																																															
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																																																																															
																																																																																																															
		Сумма	УИК №333	УИК №334	УИК №335	УИК №336	УИК №337	УИК №338	УИК №339	УИК №340	УИК №341	УИК №342	УИК №343	УИК №344	УИК №345	УИК №346	УИК №347	УИК №348	УИК №349	УИК №350	УИК №351	УИК №352	УИК №353	УИК №354	УИК №355	УИК №356	УИК №357	УИК №1610	УИК №1611	УИК №1612	УИК №1613	УИК №1614	УИК №1615	УИК №1616	УИК №1617	УИК №1619	УИК №1620	УИК №1622	УИК №1623	УИК №1624	УИК №1625	УИК №1626	УИК №1628	УИК №1630	УИК №1631	УИК №1634	УИК №1635	УИК №1636	УИК №1637	УИК №1638	УИК №1639	УИК №1640	УИК №1642	УИК №1643	УИК №1644	УИК №1645	УИК №1646	УИК №1647	УИК №1648	УИК №1649	УИК №1650	УИК №1651	УИК №1652	УИК №1653	УИК №1654	УИК №1655	УИК №1656	УИК №1658	УИК №1659	УИК №1660	УИК №1661	УИК №1662	УИК №1663	УИК №1664	УИК №1665	УИК №1666	УИК №1667	УИК №1668	УИК №1669	УИК №1670	УИК №1671	УИК №1672	УИК №1673	УИК №1674	УИК №1675	УИК №1676	УИК №1677	УИК №1680	УИК №1687	УИК №1688	УИК №1689	УИК №1690	УИК №1691	УИК №1692	УИК №1693	УИК №1694	УИК №1695	УИК №1696	УИК №1697	УИК №1698	УИК №1699	УИК №1700	УИК №1703	УИК №1712	УИК №1713	УИК №1714					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	3375	137	191	135	143	168	278	124	79	120	74	58	123	146	192	176	181	218	226	172	182	22	11	25	28	2	1	3	2	0	3	4	0	3	9	4	7	0	0	1	1	4	4	3	0	3	2	3	3	1	2	4	2	4	0	1	0	4	2	3	2	4	0	0	1	0	4	0	0	0	3	4	1	2	1	5	2	4	3	0	1	2	0	4	4	2	0	2	3	1	0	0	0	3	3	0	2	1	0	3	4	1	5	0	4					
		15.28%	19.43%	15.40%	13.87%	13.93%	19.42%	22.09%	16.33%	13.18%	19.83%	16.70%	13.84%	15.49%	20.30%	15.88%	18.10%	17.25%	18.64%	19.23%	17.65%	16.86%	8.39%	9.09%	4.57%	2.62%	0.70%	4.54%	12.5%	8.69%	0.0%	13.63%	22.22%	NaN%	13.04%	20.93%	21.05%	29.16%	NaN%	0.0%	3.84%	4.16%	18.18%	16.66%	11.53%	0.0%	12.5%	10.0%	12.0%	14.28%	4.34%	8.69%	16.66%	8.33%	19.04%	0.0%	3.70%	NaN%	13.79%	9.52%	13.04%	5.71%	18.18%	NaN%	0.0%	4.34%	0.0%	12.12%	NaN%	0.0%	0.0%	12.0%	14.28%	4.54%	9.09%	3.70%	23.80%	9.52%	18.18%	13.04%	NaN%	4.34%	8.69%	0.0%	17.39%	15.38%	10.0%	NaN%	7.40%	13.04%	4.34%	0.0%	0.0%	0.0%	13.04%	13.63%	0.0%	8.0%	3.70%	0.0%	11.11%	13.79%	4.76%	8.92%	NaN%	8.16%					
22	"5. ""За Русь Святую"""	98	1	10	5	5	4	5	4	1	1	0	0	4	1	9	2	4	5	3	3	0	0	1	7	6	4	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	2	0	0	0	0	0	1	1	0	0	0	1	0	1					
		0.44%	0.14%	0.80%	0.51%	0.48%	0.46%	0.39%	0.52%	0.16%	0.16%	0.0%	0.0%	0.50%	0.13%	0.74%	0.20%	0.38%	0.42%	0.25%	0.30%	0.0%	0.0%	0.82%	1.27%	0.56%	1.41%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	NaN%	0.0%	2.32%	0.0%	0.0%	NaN%	0.0%	0.0%	0.0%	0.0%	4.16%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	NaN%	3.44%	0.0%	0.0%	0.0%	0.0%	NaN%	5.26%	0.0%	4.16%	0.0%	NaN%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	NaN%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	NaN%	3.70%	0.0%	0.0%	4.16%	8.33%	0.0%	0.0%	0.0%	0.0%	0.0%	3.70%	3.12%	0.0%	0.0%	0.0%	1.78%	NaN%	2.04%					
23	"6. ""Объединенная Российская партия ""Русь"""	121	5	7	5	1	11	15	6	2	1	1	0	4	3	0	3	3	3	7	7	2	0	3	6	8	2	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	3	1	0	0	0	0	0	0	0	0	0	1	0	0	3	0	1	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
		0.54%	0.70%	0.56%	0.51%	0.09%	1.27%	1.19%	0.79%	0.33%	0.16%	0.22%	0.0%	0.50%	0.41%	0.0%	0.30%	0.28%	0.25%	0.59%	0.71%	0.18%	0.0%	2.47%	1.09%	0.75%	0.70%	0.0%	0.0%	0.0%	0.0%	4.54%	0.0%	NaN%	4.34%	0.0%	0.0%	0.0%	NaN%	0.0%	0.0%	0.0%	4.54%	0.0%	0.0%	15.0%	4.16%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	3.70%	NaN%	0.0%	14.28%	0.0%	2.85%	0.0%	NaN%	0.0%	0.0%	0.0%	0.0%	NaN%	0.0%	3.84%	0.0%	0.0%	4.54%	4.54%	0.0%	0.0%	0.0%	0.0%	0.0%	NaN%	0.0%	0.0%	0.0%	4.34%	0.0%	0.0%	NaN%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	NaN%	0.0%					
24	"7. ""Новый курс - Автомобильная Россия"""	334	8	27	12	16	19	13	12	5	5	1	2	11	7	10	17	11	12	14	14	20	3	0	3	14	2	0	1	0	0	1	0	0	0	4	0	0	0	0	2	4	2	0	0	2	2	1	2	0	1	0	1	0	0	2	1	0	1	0	3	1	1	0	5	3	0	3	0	1	0	2	2	0	1	5	0	1	0	0	0	0	2	0	0	1	0	0	0	1	2	0	2	1	1	2	0	1	1	0	1	3	0	1	0	2					
		1.51%	1.13%	2.17%	1.23%	1.55%	2.19%	1.03%	1.58%	0.83%	0.82%	0.22%	0.47%	1.38%	0.97%	0.82%	1.74%	1.04%	1.02%	1.19%	1.43%	1.85%	1.14%	0.0%	0.54%	1.31%	0.70%	0.0%	4.16%	0.0%	0.0%	4.54%	0.0%	NaN%	0.0%	9.30%	0.0%	0.0%	NaN%	0.0%	7.69%	16.66%	9.09%	0.0%	0.0%	10.0%	8.33%	5.0%	8.0%	0.0%	4.34%	0.0%	4.16%	0.0%	0.0%	8.33%	3.70%	NaN%	3.44%	0.0%	13.04%	2.85%	4.54%	NaN%	26.31%	13.04%	0.0%	9.09%	NaN%	4.16%	0.0%	8.0%	7.14%	0.0%	4.54%	18.51%	0.0%	4.76%	0.0%	0.0%	NaN%	0.0%	8.69%	0.0%	0.0%	3.84%	0.0%	NaN%	0.0%	4.34%	8.69%	0.0%	8.33%	4.34%	4.34%	9.09%	0.0%	4.0%	3.70%	0.0%	3.70%	10.34%	0.0%	1.78%	NaN%	4.08%					
25	"8. ""Народно-республиканская партия России"""	25	0	2	3	2	1	2	3	0	0	1	0	1	3	2	0	1	0	1	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
		0.11%	0.0%	0.16%	0.30%	0.19%	0.11%	0.15%	0.39%	0.0%	0.0%	0.22%	0.0%	0.12%	0.41%	0.16%	0.0%	0.09%	0.0%	0.08%	0.0%	0.0%	0.0%	0.0%	0.0%	0.18%	0.0%	0.0%	0.0%	0.0%	0.0%	4.54%	0.0%	NaN%	0.0%	0.0%	0.0%	0.0%	NaN%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	NaN%	0.0%	0.0%	0.0%	0.0%	0.0%	NaN%	0.0%	0.0%	0.0%	0.0%	NaN%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	NaN%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	NaN%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	NaN%	0.0%					
26	"9. ""Российская экологическая партия ""Зеленые"""	176	6	10	5	10	8	5	4	4	2	5	5	5	10	11	6	9	9	9	6	9	3	0	5	0	1	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	1	0	1	2	0	0	0	0	2	0	1	1	0	2	0	0	0	0	1	1	0	1	0	1	0	0	0	1	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	1	1	0	0	0	0	1	0	0	0	0					
		0.79%	0.85%	0.80%	0.51%	0.97%	0.92%	0.39%	0.52%	0.66%	0.33%	1.12%	1.19%	0.62%	1.39%	0.90%	0.61%	0.85%	0.76%	0.76%	0.61%	0.83%	1.14%	0.0%	0.91%	0.0%	0.35%	0.0%	4.16%	0.0%	5.0%	4.54%	0.0%	NaN%	0.0%	0.0%	0.0%	0.0%	NaN%	0.0%	0.0%	0.0%	9.09%	4.16%	0.0%	0.0%	0.0%	0.0%	4.0%	0.0%	4.34%	8.69%	0.0%	0.0%	0.0%	0.0%	7.40%	NaN%	3.44%	4.76%	0.0%	5.71%	0.0%	NaN%	0.0%	0.0%	4.16%	3.03%	NaN%	4.16%	0.0%	4.0%	0.0%	0.0%	0.0%	3.70%	0.0%	9.52%	0.0%	0.0%	NaN%	0.0%	0.0%	0.0%	0.0%	3.84%	0.0%	NaN%	0.0%	0.0%	0.0%	0.0%	4.16%	4.34%	0.0%	4.54%	4.0%	0.0%	0.0%	0.0%	0.0%	3.44%	0.0%	0.0%	NaN%	0.0%					
27	"10. ""Аграрная партия России"""	483	12	27	33	27	12	20	22	12	10	10	8	20	9	36	29	30	29	24	21	40	0	1	7	14	3	2	0	1	2	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	2	0	0	1	1	1	0	0	0	1	1	0	0	0	0	0	3	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	2	1	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0					
		2.18%	1.70%	2.17%	3.39%	2.63%	1.38%	1.58%	2.89%	2.00%	1.65%	2.25%	1.90%	2.51%	1.25%	2.97%	2.98%	2.85%	2.48%	2.04%	2.15%	3.70%	0.0%	0.82%	1.27%	1.31%	1.06%	9.09%	0.0%	4.34%	10.0%	0.0%	0.0%	NaN%	0.0%	0.0%	0.0%	0.0%	NaN%	0.0%	3.84%	0.0%	0.0%	4.16%	0.0%	0.0%	8.33%	0.0%	0.0%	4.76%	4.34%	4.34%	0.0%	0.0%	0.0%	4.16%	3.70%	NaN%	0.0%	0.0%	0.0%	0.0%	13.63%	NaN%	0.0%	0.0%	4.16%	0.0%	NaN%	0.0%	0.0%	0.0%	3.57%	0.0%	0.0%	0.0%	4.76%	0.0%	0.0%	4.34%	NaN%	0.0%	0.0%	0.0%	0.0%	7.69%	5.0%	NaN%	7.40%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	3.70%	0.0%	0.0%	0.0%	NaN%	0.0%					
28	"11. ""Истинные патриоты России"""	21	0	0	0	1	1	3	0	0	0	0	1	0	0	1	0	0	0	0	2	1	0	1	1	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
