Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																	
Дата голосования: 18.09.2016																																																																	
																																																																	
Наименование Избирательной комиссии:    Куйбышевская																																																																	
																																																																	
Сводная таблица итогов голосования по федеральному избирательному округу																																																																	
																																																																	
		Сумма	УИК №567	УИК №568	УИК №569	УИК №570	УИК №571	УИК №572	УИК №573	УИК №574	УИК №575	УИК №576	УИК №577	УИК №578	УИК №579	УИК №580	УИК №581	УИК №582	УИК №583	УИК №584	УИК №585	УИК №586	УИК №587	УИК №588	УИК №589	УИК №590	УИК №591	УИК №592	УИК №593	УИК №594	УИК №595	УИК №596	УИК №597	УИК №598	УИК №599	УИК №600	УИК №601	УИК №602	УИК №603	УИК №604	УИК №605	УИК №606	УИК №607	УИК №608	УИК №609	УИК №610	УИК №611	УИК №612	УИК №613	УИК №614	УИК №615	УИК №616	УИК №617	УИК №618	УИК №619	УИК №620									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	910	20	5	10	10	5	10	10	5	30	15	15	10	10	10	5	5	5	10	10	25	5	5	5	10	10	15	5	15	10	5	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	342	4	0	10	10	5	10	0	0	30	15	5	3	10	10	5	5	0	9	0	17	1	0	5	4	3	11	2	8	1	3	4	11	4	7	8	9	9	5	5	4	7	3	7	6	8	5	7	8	11	5	9	3	5	6									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	237	9	2	3	3	3	1	0	1	7	4	8	0	4	3	4	4	1	2	1	4	4	4	4	0	6	4	2	6	3	4	4	7	14	7	3	6	7	4	3	4	7	7	6	1	16	0	8	5	3	5	7	0	10	2									
14	Число погашенных неиспользованных открепительных удостоверений	568	16	5	0	0	0	0	10	5	0	0	10	7	0	0	0	0	5	1	10	8	4	5	0	6	7	4	3	7	9	2	21	14	21	18	17	16	16	20	20	21	18	22	18	19	17	20	18	17	14	20	16	22	20	19									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	109	5	1	2	1	0	3	1	0	0	2	0	1	1	1	1	0	0	1	0	0	3	0	2	1	0	3	2	1	1	1	3	2	7	7	2	4	8	2	0	3	5	4	0	5	1	1	7	1	3	1	1	1	3	4									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																																	
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	268	1	0	2	1	1	1	0	0	2	1	3	0	4	0	0	0	1	2	3	6	1	3	1	1	2	6	1	3	2	0	12	14	5	11	11	5	9	12	9	10	13	6	12	12	8	15	2	13	12	9	9	2	4	5									
		1.39%	0.22%	0.00%	1.46%	0.49%	0.89%	0.74%	0.00%	0.00%	0.78%	0.60%	1.02%	0.00%	2.38%	0.00%	0.00%	0.00%	0.87%	1.68%	1.13%	1.06%	1.04%	3.13%	1.75%	0.62%	2.02%	1.50%	0.73%	0.66%	0.99%	0.00%	2.48%	2.30%	0.81%	1.75%	1.99%	0.85%	1.64%	2.11%	1.68%	1.82%	2.12%	1.11%	2.17%	2.55%	1.40%	2.56%	0.40%	1.60%	1.85%	1.57%	1.43%	0.43%	0.75%	0.85%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	946	21	3	10	10	7	4	10	5	16	6	22	9	9	9	5	3	4	9	11	21	5	3	3	4	9	15	3	34	13	5	13	22	33	29	30	27	25	18	26	45	29	30	25	22	30	33	18	38	24	21	32	30	29	29									
		4.91%	4.67%	7.89%	7.30%	4.88%	6.25%	2.96%	7.46%	11.90%	6.20%	3.61%	7.51%	7.83%	5.36%	3.95%	8.47%	3.49%	3.48%	7.56%	4.15%	3.70%	5.21%	3.13%	5.26%	2.48%	9.09%	3.75%	2.19%	7.52%	6.40%	4.39%	2.69%	3.61%	5.37%	4.61%	5.42%	4.62%	4.56%	3.17%	4.84%	8.21%	4.72%	5.55%	4.52%	4.68%	5.25%	5.63%	3.63%	4.69%	3.70%	3.66%	5.10%	6.45%	5.46%	4.94%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	318	7	0	2	2	0	3	0	1	5	5	3	1	4	2	0	0	1	1	5	6	3	1	0	2	1	12	0	7	1	2	4	9	17	10	11	12	12	9	14	11	8	9	8	2	10	18	10	19	8	7	12	5	9	7									
		1.65%	1.56%	0.00%	1.46%	0.98%	0.00%	2.22%	0.00%	2.38%	1.94%	3.01%	1.02%	0.87%	2.38%	0.88%	0.00%	0.00%	0.87%	0.84%	1.89%	1.06%	3.13%	1.04%	0.00%	1.24%	1.01%	3.00%	0.00%	1.55%	0.49%	1.75%	0.83%	1.48%	2.76%	1.59%	1.99%	2.05%	2.19%	1.58%	2.61%	2.01%	1.30%	1.66%	1.45%	0.43%	1.75%	3.07%	2.02%	2.35%	1.23%	1.22%	1.91%	1.08%	1.69%	1.19%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	6939	170	11	66	71	55	82	60	14	88	72	95	42	79	72	19	50	52	55	123	207	50	40	28	84	42	190	63	166	78	59	174	206	210	223	203	212	208	253	213	183	209	168	181	139	178	208	163	243	214	183	174	178	156	177									
		36.03%	37.78%	28.95%	48.18%	34.63%	49.11%	60.74%	44.78%	33.33%	34.11%	43.37%	32.42%	36.52%	47.02%	31.58%	32.20%	58.14%	45.22%	46.22%	46.42%	36.44%	52.08%	41.67%	49.12%	52.17%	42.42%	47.50%	45.99%	36.73%	38.42%	51.75%	36.02%	33.77%	34.15%	35.45%	36.71%	36.24%	37.96%	44.54%	39.66%	33.39%	34.04%	31.05%	32.73%	29.57%	31.17%	35.49%	32.86%	30.00%	32.97%	31.88%	27.71%	38.28%	29.38%	30.15%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	115	4	0	0	1	0	0	5	0	0	1	1	0	0	1	0	1	0	0	1	4	0	1	0	0	0	1	0	4	1	1	3	7	4	7	4	4	5	6	2	2	5	2	3	3	3	4	0	0	7	5	2	1	5	4									
		0.60%	0.89%	0.00%	0.00%	0.49%	0.00%	0.00%	3.73%	0.00%	0.00%	0.60%	0.34%	0.00%	0.00%	0.44%	0.00%	1.16%	0.00%	0.00%	0.38%	0.70%	0.00%	1.04%	0.00%	0.00%	0.00%	0.25%	0.00%	0.88%	0.49%	0.88%	0.62%	1.15%	0.65%	1.11%	0.72%	0.68%	0.91%	1.06%	0.37%	0.36%	0.81%	0.37%	0.54%	0.64%	0.53%	0.68%	0.00%	0.00%	1.08%	0.87%	0.32%	0.22%	0.94%	0.68%									
24	"6. Политическая партия ""Гражданская Платформа"""	30	0	0	0	1	1	0	0	0	0	3	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	2	1	0	1	1	1	0	1	1	4	2	2	0	0	0	0	0	1	2	1	1	0	0									
		0.16%	0.00%	0.00%	0.00%	0.49%	0.89%	0.00%	0.00%	0.00%	0.00%	1.81%	0.00%	0.00%	0.00%	0.44%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.49%	0.88%	0.21%	0.33%	0.16%	0.00%	0.18%	0.17%	0.18%	0.00%	0.19%	0.18%	0.65%	0.37%	0.36%	0.00%	0.00%	0.00%	0.00%	0.00%	0.15%	0.35%	0.16%	0.22%	0.00%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	3477	93	10	21	49	14	23	22	4	51	17	50	22	31	52	14	20	34	23	69	123	22	15	8	26	26	100	35	78	42	25	140	163	72	96	122	123	121	112	123	92	87	80	73	70	64	90	86	135	92	90	81	102	71	73									
		18.05%	20.67%	26.32%	15.33%	23.90%	12.50%	17.04%	16.42%	9.52%	19.77%	10.24%	17.06%	19.13%	18.45%	22.81%	23.73%	23.26%	29.57%	19.33%	26.04%	21.65%	22.92%	15.63%	14.04%	16.15%	26.26%	25.00%	25.55%	17.26%	20.69%	21.93%	28.99%	26.72%	11.71%	15.26%	22.06%	21.03%	22.08%	19.72%	22.91%	16.79%	14.17%	14.79%	13.20%	14.89%	11.21%	15.36%	17.34%	16.67%	14.18%	15.68%	12.90%	21.94%	13.37%	12.44%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	91	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	1	2	0	1	0	1	0	3	0	3	1	0	1	3	1	4	3	2	2	2	0	2	3	5	6	1	4	2	9	8	1	4	4	3	4	2									
		0.47%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	1.16%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.38%	0.35%	0.00%	1.04%	0.00%	0.62%	0.00%	0.75%	0.00%	0.66%	0.49%	0.00%	0.21%	0.49%	0.16%	0.64%	0.54%	0.34%	0.36%	0.35%	0.00%	0.36%	0.49%	0.92%	1.08%	0.21%	0.70%	0.34%	1.81%	0.99%	0.15%	0.70%	0.64%	0.65%	0.75%	0.34%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	105	1	0	2	1	1	2	0	0	0	0	0	0	1	0	0	0	2	0	3	2	0	0	0	2	1	0	0	3	0	0	0	3	5	5	1	5	4	3	4	0	3	7	7	1	4	6	4	8	3	3	2	1	4	1									
		0.55%	0.22%	0.00%	1.46%	0.49%	0.89%	1.48%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.60%	0.00%	0.00%	0.00%	1.74%	0.00%	1.13%	0.35%	0.00%	0.00%	0.00%	1.24%	1.01%	0.00%	0.00%	0.66%	0.00%	0.00%	0.00%	0.49%	0.81%	0.79%	0.18%	0.85%	0.73%	0.53%	0.74%	0.00%	0.49%	1.29%	1.27%	0.21%	0.70%	1.02%	0.81%	0.99%	0.46%	0.52%	0.32%	0.22%	0.75%	0.17%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	23	1	0	0	0	0	0	0	0	0	1	2	1	0	1	0	0	1	0	0	1	1	0	1	0	0	1	0	0	0	0	0	0	2	1	1	0	1	1	0	0	1	1	0	0	1	0	0	2	1	0	0	0	0	0									
		0.12%	0.22%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.60%	0.68%	0.87%	0.00%	0.44%	0.00%	0.00%	0.87%	0.00%	0.00%	0.18%	1.04%	0.00%	1.75%	0.00%	0.00%	0.25%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.33%	0.16%	0.18%	0.00%	0.18%	0.18%	0.00%	0.00%	0.16%	0.18%	0.00%	0.00%	0.18%	0.00%	0.00%	0.25%	0.15%	0.00%	0.00%	0.00%	0.00%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	192	6	0	0	2	1	2	1	0	1	0	0	0	1	0	1	0	0	0	0	1	0	1	1	1	0	2	1	5	2	0	5	9	7	9	8	3	5	6	3	3	3	6	10	18	9	9	4	15	3	10	2	4	5	7									
		0.99%	1.33%	0.00%	0.00%	0.98%	0.89%	1.48%	0.75%	0.00%	0.39%	0.00%	0.00%	0.00%	0.60%	0.00%	1.69%	0.00%	0.00%	0.00%	0.00%	0.18%	0.00%	1.04%	1.75%	0.62%	0.00%	0.50%	0.73%	1.11%	0.99%	0.00%	1.04%	1.48%	1.14%	1.43%	1.45%	0.51%	0.91%	1.06%	0.56%	0.55%	0.49%	1.11%	1.81%	3.83%	1.58%	1.54%	0.81%	1.85%	0.46%	1.74%	0.32%	0.86%	0.94%	1.19%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	4739	110	10	20	43	21	9	24	15	65	35	94	34	17	64	15	8	15	23	28	125	12	22	9	21	12	46	28	103	47	15	88	94	179	175	99	126	109	94	105	144	181	149	161	146	187	145	142	234	206	170	231	105	165	214									
		24.61%	24.44%	26.32%	14.60%	20.98%	18.75%	6.67%	17.91%	35.71%	25.19%	21.08%	32.08%	29.57%	10.12%	28.07%	25.42%	9.30%	13.04%	19.33%	10.57%	22.01%	12.50%	22.92%	15.79%	13.04%	12.12%	11.50%	20.44%	22.79%	23.15%	13.16%	18.22%	15.41%	29.11%	27.82%	17.90%	21.54%	19.89%	16.55%	19.55%	26.28%	29.48%	27.54%	29.11%	31.06%	32.75%	24.74%	28.63%	28.89%	31.74%	29.62%	36.78%	22.58%	31.07%	36.46%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	69	2	0	1	0	0	2	0	1	0	1	1	0	0	0	0	0	1	0	2	6	1	1	0	1	2	0	0	1	1	0	1	0	1	3	1	4	2	0	2	1	4	5	2	0	2	2	3	4	1	0	2	2	1	2									
		0.36%	0.44%	0.00%	0.73%	0.00%	0.00%	1.48%	0.00%	2.38%	0.00%	0.60%	0.34%	0.00%	0.00%	0.00%	0.00%	0.00%	0.87%	0.00%	0.75%	1.06%	1.04%	1.04%	0.00%	0.62%	2.02%	0.00%	0.00%	0.22%	0.49%	0.00%	0.21%	0.00%	0.16%	0.48%	0.18%	0.68%	0.36%	0.00%	0.37%	0.18%	0.65%	0.92%	0.36%	0.00%	0.35%	0.34%	0.60%	0.49%	0.15%	0.00%	0.32%	0.43%	0.19%	0.34%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	1067	14	2	9	13	3	3	4	0	9	11	8	3	5	9	1	0	1	2	14	30	1	1	4	8	4	10	1	17	5	3	22	17	55	34	23	27	23	31	17	26	46	51	36	34	51	38	38	56	48	46	50	11	46	46									
		5.54%	3.11%	5.26%	6.57%	6.34%	2.68%	2.22%	2.99%	0.00%	3.49%	6.63%	2.73%	2.61%	2.98%	3.95%	1.69%	0.00%	0.87%	1.68%	5.28%	5.28%	1.04%	1.04%	7.02%	4.97%	4.04%	2.50%	0.73%	3.76%	2.46%	2.63%	4.55%	2.79%	8.94%	5.41%	4.16%	4.62%	4.20%	5.46%	3.17%	4.74%	7.49%	9.43%	6.51%	7.23%	8.93%	6.48%	7.66%	6.91%	7.40%	8.01%	7.96%	2.37%	8.66%	7.84%									
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
