Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																																																																																																																			
Дата голосования: 04.12.2011																																																																																																																																																			
																																																																																																																																																			
"Наименование Избирательной комиссии:    Владивосток, Фрунзенская"																																																																																																																																																			
																																																																																																																																																			
Сводная таблица результатов выборов																																																																																																																																																			
																																																																																																																																																			
		Сумма	УИК №333	УИК №334	УИК №335	УИК №336	УИК №337	УИК №338	УИК №339	УИК №340	УИК №341	УИК №342	УИК №343	УИК №344	УИК №345	УИК №346	УИК №347	УИК №348	УИК №349	УИК №350	УИК №351	УИК №352	УИК №353	УИК №354	УИК №355	УИК №356	УИК №357	УИК №358	УИК №359	УИК №360	УИК №361	УИК №362	УИК №363	УИК №364	УИК №365	УИК №366	УИК №1732	УИК №1733	УИК №1734	УИК №1735	УИК №1736	УИК №1737	УИК №1738	УИК №1739	УИК №1740	УИК №1741	УИК №1742	УИК №1743	УИК №1744	УИК №1745	УИК №1746	УИК №1747	УИК №1748	УИК №1749	УИК №1750	УИК №1751	УИК №1752	УИК №1753	УИК №1754	УИК №1755	УИК №1756	УИК №1757	УИК №1758	УИК №1759	УИК №1760	УИК №1761	УИК №1762	УИК №1763	УИК №1764	УИК №1765	УИК №1768	УИК №1770	УИК №1771	УИК №1773	УИК №1774	УИК №1775	УИК №1776	УИК №1777	УИК №1778	УИК №1779	УИК №1780	УИК №1781	УИК №1782	УИК №1783	УИК №1784	УИК №1785	УИК №1786	УИК №1787	УИК №1788	УИК №1789	УИК №1790	УИК №1791	УИК №1792	УИК №1793	УИК №1794	УИК №1795	УИК №1796	УИК №1797	УИК №1798	УИК №1799	УИК №1800	УИК №1801	УИК №1802	УИК №1803	УИК №1804	УИК №1805	УИК №1806	УИК №1807	УИК №1808	УИК №1810	УИК №1811	УИК №1812	УИК №1818	УИК №1819	УИК №1820	УИК №1821	УИК №1823	УИК №1824	УИК №1825	УИК №1826	УИК №1827	УИК №1828	УИК №1829	УИК №1830	УИК №1831	УИК №1832	УИК №1833	УИК №1834	УИК №1836	УИК №1837	УИК №1839	УИК №1840	УИК №1841	УИК №1842	УИК №1843	УИК №1844	УИК №1845	УИК №1846	УИК №1847	УИК №1848	УИК №1850	УИК №1851					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	950	40	30	30	30	30	40	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	40	30	30	40	20	0	0	0	0	20	20	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	508	26	21	9	13	14	29	9	16	11	13	14	15	6	25	8	9	20	16	14	15	27	30	16	23	31	1	0	0	0	0	8	12	57	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	722	14	20	29	31	19	18	9	12	21	24	85	27	10	25	10	10	42	10	11	12	8	18	25	5	5	0	122	5	0	11	28	13	9	34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
14	Число погашенных неиспользованных открепительных удостоверений	442	14	9	21	17	16	11	21	14	19	17	16	15	24	5	22	21	10	14	16	15	3	10	14	7	9	19	0	0	0	0	12	8	43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	31	2	1	1	1	4	2	1	2	1	0	0	0	2	1	0	1	0	3	0	1	0	2	0	2	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																																																																																																																			
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	4776	217	247	219	223	184	260	167	111	100	113	89	141	138	223	196	131	177	247	135	206	247	203	40	87	99	22	82	21	4	39	42	36	68	40	7	2	0	1	0	1	5	0	1	2	6	4	3	10	8	4	0	0	2	1	9	2	5	3	1	1	3	6	1	5	1	3	1	0	0	1	5	0	0	0	0	0	8	9	8	4	4	5	0	0	0	2	1	0	0	0	2	1	1	0	3	2	2	0	1	2	1	0	1	5	2	1	2	0	1	2	0	0	1	0	0	0	0	0	0	0	1	4	4	9	0	0	3	3	5	2	1	2	0	2	0	1	0	1	3	6					
		18.33%	22.26%	21.67%	23.40%	21.91%	20.22%	24.48%	25.08%	25.11%	19.96%	18.80%	14.69%	19.32%	22.77%	23.88%	24.84%	23.69%	20.85%	25.86%	27.49%	25.43%	27.38%	23.20%	18.78%	15.21%	15.37%	9.17%	25.00%	25.61%	8.00%	21.91%	14.95%	13.04%	7.30%	5.67%	16.67%	10.00%	0.00%	7.69%	0.00%	5.88%	26.32%	0.00%	5.26%	7.14%	27.27%	14.29%	12.00%	27.03%	29.63%	13.33%	0.00%	0.00%	8.70%	4.55%	30.00%	7.69%	10.20%	11.11%	3.57%	4.35%	13.64%	26.09%	3.85%	17.24%	4.00%	17.65%	2.94%	0.00%	0.00%	0.47%	1.92%	0.00%	0.00%	0.00%	0.00%	0.00%	32.00%	37.50%	34.78%	16.00%	16.00%	5.88%	0.00%	0.00%	0.00%	4.35%	3.70%	0.00%	0.00%	0.00%	1.52%	2.04%	3.70%	0.00%	11.54%	4.55%	4.17%	0.00%	1.09%	1.57%	0.83%	0.00%	2.27%	5.56%	2.33%	3.33%	8.00%	0.00%	3.33%	2.30%	0.00%	0.00%	4.76%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	3.57%	19.05%	18.18%	37.50%	0.00%	0.00%	13.64%	18.75%	17.24%	9.09%	4.55%	9.09%	0.00%	6.25%	0.00%	2.94%	0.00%	7.69%	18.75%	21.43%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	4184	180	206	160	203	162	138	84	53	72	119	59	141	84	114	93	99	125	127	67	103	129	134	52	121	138	40	59	13	14	35	45	47	204	204	10	12	2	4	5	4	6	0	8	9	8	5	7	7	5	14	3	11	10	2	4	6	27	9	4	8	8	6	3	2	1	1	10	15	0	1	12	0	0	0	0	0	9	3	4	12	8	5	0	0	0	2	1	1	0	0	5	1	1	8	0	2	3	3	2	4	4	2	2	22	3	10	12	3	18	25	1	1	0	1	1	1	1	1	6	0	2	5	9	7	0	0	9	2	8	8	8	7	11	10	13	3	3	5	6	7					
		16.06%	18.46%	18.07%	17.09%	19.94%	17.80%	12.99%	12.61%	11.99%	14.37%	19.80%	9.74%	19.32%	13.86%	12.21%	11.79%	17.90%	14.72%	13.30%	13.65%	12.72%	14.30%	15.31%	24.41%	21.15%	21.43%	16.67%	17.99%	15.85%	28.00%	19.66%	16.01%	17.03%	21.91%	28.94%	23.81%	60.00%	2.06%	30.77%	25.00%	23.53%	31.58%	0.00%	42.11%	32.14%	36.36%	17.86%	28.00%	18.92%	18.52%	46.67%	12.50%	45.83%	43.48%	9.09%	13.33%	23.08%	55.10%	33.33%	14.29%	34.78%	36.36%	26.09%	11.54%	6.90%	4.00%	5.88%	29.41%	51.72%	0.00%	0.47%	4.60%	0.00%	0.00%	0.00%	0.00%	0.00%	36.00%	12.50%	17.39%	48.00%	32.00%	5.88%	0.00%	0.00%	0.00%	4.35%	3.70%	6.25%	0.00%	0.00%	3.79%	2.04%	3.70%	32.00%	0.00%	4.55%	6.25%	3.23%	2.17%	3.15%	3.33%	2.11%	4.55%	24.44%	3.49%	33.33%	48.00%	11.11%	60.00%	28.74%	4.55%	3.57%	0.00%	4.35%	5.56%	4.00%	7.14%	4.17%	4.41%	0.00%	7.14%	23.81%	40.91%	29.17%	0.00%	0.00%	40.91%	12.50%	27.59%	36.36%	36.36%	31.82%	61.11%	31.25%	46.43%	8.82%	16.67%	38.46%	37.50%	25.00%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	262	13	10	10	19	8	10	8	2	5	8	8	6	4	12	13	4	6	9	4	13	10	3	5	2	7	4	1	1	0	2	6	2	2	0	0	1	0	0	0	2	1	0	0	0	0	0	0	1	0	0	0	1	2	0	0	0	0	2	1	3	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	1	3	3	1	0	0	0	0	1	1	0	2	1	1	0	2	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	2	2	0	1	0	0	0					
		1.01%	1.33%	0.88%	1.07%	1.87%	0.88%	0.94%	1.20%	0.45%	0.99%	1.33%	1.32%	0.82%	0.66%	1.28%	1.65%	0.72%	0.71%	0.94%	0.81%	1.60%	1.11%	0.34%	2.35%	0.35%	1.09%	1.67%	0.30%	1.22%	0.00%	1.12%	2.14%	0.72%	0.21%	0.00%	0.00%	5.00%	0.00%	0.00%	0.00%	11.76%	5.26%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	2.70%	0.00%	0.00%	0.00%	4.17%	8.70%	0.00%	0.00%	0.00%	0.00%	7.41%	3.57%	13.04%	4.55%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.47%	0.38%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	4.35%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	1.52%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.79%	0.00%	0.00%	2.27%	3.33%	3.49%	3.33%	0.00%	0.00%	0.00%	0.00%	4.55%	3.57%	0.00%	8.70%	5.56%	4.00%	0.00%	8.33%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	4.55%	0.00%	3.45%	0.00%	4.55%	0.00%	0.00%	6.25%	7.14%	0.00%	5.56%	0.00%	0.00%	0.00%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	6512	285	353	243	278	280	354	233	137	168	164	121	234	183	290	278	171	281	291	143	236	268	281	47	105	164	18	67	19	17	49	51	55	158	87	17	3	1	2	1	0	0	0	2	7	5	9	5	5	9	3	6	8	2	3	2	5	10	6	9	8	4	3	7	2	0	4	23	0	0	1	4	0	0	0	0	0	4	10	3	5	9	2	0	0	0	0	0	2	0	0	3	2	1	0	0	10	11	5	3	2	5	1	11	11	2	10	7	4	6	10	0	1	0	0	1	0	0	0	1	0	1	2	1	7	0	0	1	4	8	5	8	5	3	7	8	5	11	3	5	1					
		24.99%	29.23%	30.96%	25.96%	27.31%	30.77%	33.33%	34.98%	30.99%	33.53%	27.29%	19.97%	32.05%	30.20%	31.05%	35.23%	30.92%	33.10%	30.47%	29.12%	29.14%	29.71%	32.11%	22.07%	18.36%	25.47%	7.50%	20.43%	23.17%	34.00%	27.53%	18.15%	19.93%	16.97%	12.34%	40.48%	15.00%	1.03%	15.38%	5.00%	0.00%	0.00%	0.00%	10.53%	25.00%	22.73%	32.14%	20.00%	13.51%	33.33%	10.00%	25.00%	33.33%	8.70%	13.64%	6.67%	19.23%	20.41%	22.22%	32.14%	34.78%	18.18%	13.04%	26.92%	6.90%	0.00%	23.53%	67.65%	0.00%	0.00%	0.47%	1.53%	0.00%	0.00%	0.00%	0.00%	0.00%	16.00%	41.67%	13.04%	20.00%	36.00%	2.35%	0.00%	0.00%	0.00%	0.00%	0.00%	12.50%	0.00%	0.00%	2.27%	4.08%	3.70%	0.00%	0.00%	22.73%	22.92%	5.38%	3.26%	1.57%	4.17%	1.05%	25.00%	12.22%	2.33%	33.33%	28.00%	14.81%	20.00%	11.49%	0.00%	3.57%	0.00%	0.00%	5.56%	0.00%	0.00%	0.00%	0.74%	0.00%	3.57%	9.52%	4.55%	29.17%	0.00%	0.00%	4.55%	25.00%	27.59%	22.73%	36.36%	22.73%	16.67%	21.88%	28.57%	14.71%	61.11%	23.08%	31.25%	3.57%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	1654	65	71	53	57	88	107	56	49	71	47	30	62	79	78	85	45	71	81	37	67	87	74	12	5	8	5	6	3	1	7	25	9	23	10	1	0	0	1	0	0	1	0	3	0	0	1	0	4	0	0	1	0	2	0	1	1	1	0	2	2	1	0	0	0	0	2	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	14	0	1	0	0	0	0	0	0	0	0	0	0	0	0	17	7	1	1	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	1	0	0	2	1	1	0	0	0	0	0					
		6.35%	6.67%	6.23%	5.66%	5.60%	9.67%	10.08%	8.41%	11.09%	14.17%	7.82%	4.95%	8.49%	13.04%	8.35%	10.77%	8.14%	8.36%	8.48%	7.54%	8.27%	9.65%	8.46%	5.63%	0.87%	1.24%	2.08%	1.83%	3.66%	2.00%	3.93%	8.90%	3.26%	2.47%	1.42%	2.38%	0.00%	0.00%	7.69%	0.00%	0.00%	5.26%	0.00%	15.79%	0.00%	0.00%	3.57%	0.00%	10.81%	0.00%	0.00%	4.17%	0.00%	8.70%	0.00%	3.33%	3.85%	2.04%	0.00%	7.14%	8.70%	4.55%	0.00%	0.00%	0.00%	0.00%	11.76%	0.00%	0.00%	0.00%	0.47%	0.38%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	2.35%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	100.00%	0.00%	0.76%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	18.89%	8.14%	3.33%	4.00%	0.00%	0.00%	3.45%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	4.55%	12.50%	0.00%	4.55%	0.00%	0.00%	11.11%	3.13%	3.57%	0.00%	0.00%	0.00%	0.00%	0.00%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	7929	190	230	208	198	166	161	105	72	73	130	274	131	103	174	110	89	165	176	97	157	132	159	54	228	211	144	107	24	11	41	100	115	437	337	5	2	94	4	13	10	6	15	5	9	3	5	8	9	5	8	14	4	4	16	10	12	5	7	11	1	4	6	14	18	23	7	0	14	16	205	235	22	22	24	23	22	3	2	6	4	4	71	95	47	79	42	25	13	0	14	117	45	24	17	23	30	32	85	86	117	108	92	29	31	67	7	3	20	5	40	20	24	19	20	14	19	11	20	129	25	24	9	8	1	45	29	3	3	7	5	2	4	1	6	4	22	3	4	2	14					
