Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																																																				
Дата голосования: 02.12.2007																																																																																				
																																																																																				
"Наименование Избирательной комиссии:    Омск, Ленинская"																																																																																				
																																																																																				
Сводная таблица результатов выборов																																																																																				
																																																																																				
		Сумма	УИК №94	УИК №95	УИК №96	УИК №97	УИК №98	УИК №99	УИК №100	УИК №101	УИК №102	УИК №103	УИК №104	УИК №105	УИК №106	УИК №107	УИК №108	УИК №109	УИК №110	УИК №111	УИК №112	УИК №113	УИК №114	УИК №115	УИК №116	УИК №117	УИК №118	УИК №119	УИК №120	УИК №121	УИК №122	УИК №123	УИК №124	УИК №125	УИК №126	УИК №127	УИК №128	УИК №129	УИК №130	УИК №131	УИК №132	УИК №133	УИК №134	УИК №135	УИК №136	УИК №137	УИК №138	УИК №139	УИК №140	УИК №141	УИК №142	УИК №143	УИК №144	УИК №145	УИК №146	УИК №147	УИК №148	УИК №149	УИК №150	УИК №151	УИК №152	УИК №153	УИК №154	УИК №155	УИК №156	УИК №157	УИК №158	УИК №159	УИК №160	УИК №161	УИК №162	УИК №163	УИК №164	УИК №165	УИК №166	УИК №167	УИК №168	УИК №169	УИК №170					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	3182	50	35	50	80	50	80	40	55	30	40	50	35	40	41	39	50	90	65	30	40	50	30	50	40	40	30	20	25	10	85	100	35	50	30	40	40	60	40	40	30	30	60	30	40	30	35	45	55	40	60	52	50	50	40	40	35	40	50	40	40	30	50	35	5	10	30	40	15	50	140	40	40	0	0	0	0	0					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	3014	50	34	44	79	45	67	40	45	29	32	43	35	36	41	39	47	90	60	29	40	50	30	49	39	38	26	19	22	10	81	100	24	50	30	40	40	55	40	40	30	30	60	29	40	30	35	45	55	39	45	52	50	50	40	38	35	27	50	39	40	30	40	35	5	9	30	38	15	49	128	35	33	0	0	0	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	2632	38	24	41	48	29	46	41	62	107	33	65	26	21	16	19	287	32	38	27	30	21	24	22	14	24	11	10	33	7	17	16	20	20	14	26	26	21	19	19	15	8	21	16	22	28	30	20	25	11	27	26	12	15	13	12	14	32	14	27	30	24	25	18	8	12	32	8	24	23	25	39	32	49	59	208	37	197					
14	Число погашенных неиспользованных открепительных удостоверений	168	0	1	6	1	5	13	0	10	1	8	7	0	4	0	0	3	0	5	1	0	0	0	1	1	2	4	1	3	0	4	0	11	0	0	0	0	5	0	0	0	0	0	1	0	0	0	0	0	1	15	0	0	0	0	2	0	13	0	1	0	0	10	0	0	1	0	2	0	1	12	5	7	0	0	0	0	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	68	0	2	1	1	0	17	1	1	0	2	1	0	0	0	0	2	0	0	1	0	1	1	3	1	0	0	1	0	0	2	1	1	0	0	3	0	0	1	0	0	0	0	2	3	0	1	0	0	0	0	0	0	0	2	2	1	0	0	1	1	0	2	0	0	0	0	1	1	1	6	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																																																				
18	1.Политическая партия «Аграрная партия России»	2290	39	39	59	48	42	61	38	44	42	29	50	50	42	44	42	41	33	25	38	17	38	24	11	20	30	23	8	8	8	39	17	16	14	12	45	37	53	42	29	15	9	25	23	20	40	35	22	21	38	19	35	37	51	26	38	41	21	34	43	42	33	20	32	16	14	23	24	12	44	29	43	42	2	6	15	0	3					
		2.49%	2.50%	2.53%	3.72%	2.77%	2.75%	3.57%	2.69%	3.03%	2.98%	2.37%	3.75%	3.67%	3.40%	3.40%	3.45%	2.38%	2.31%	2.10%	2.88%	1.48%	2.66%	2.08%	0.92%	1.61%	2.27%	3.10%	1.38%	2.13%	2.30%	1.88%	1.84%	2.33%	1.30%	1.56%	3.12%	2.59%	3.63%	2.98%	2.15%	2.27%	0.89%	2.07%	2.16%	1.84%	3.54%	3.23%	1.90%	1.64%	2.59%	1.40%	2.40%	2.66%	3.75%	1.98%	2.81%	3.17%	1.53%	2.73%	3.09%	2.77%	2.28%	1.69%	2.45%	3.08%	3.38%	2.01%	2.09%	1.99%	2.44%	1.55%	2.10%	2.36%	1.27%	2.70%	3.11%	0.00%	1.53%					
19	2.Всероссийская политическая партия «Гражданская Сила»	1151	22	50	40	19	37	24	30	23	22	23	25	22	21	26	16	17	19	15	23	7	13	6	8	12	18	10	7	1	0	12	7	2	9	1	15	25	12	18	24	7	12	14	19	12	14	12	17	16	20	23	16	15	10	20	20	8	21	10	10	6	21	12	13	1	3	10	11	11	31	11	20	12	3	0	9	0	0					
		1.25%	1.41%	3.25%	2.53%	1.10%	2.42%	1.40%	2.12%	1.58%	1.56%	1.88%	1.87%	1.61%	1.70%	2.01%	1.32%	0.99%	1.33%	1.26%	1.74%	0.61%	0.91%	0.52%	0.67%	0.97%	1.36%	1.35%	1.20%	0.27%	0.00%	0.58%	0.76%	0.29%	0.84%	0.13%	1.04%	1.75%	0.82%	1.28%	1.78%	1.06%	1.19%	1.16%	1.78%	1.10%	1.24%	1.11%	1.47%	1.25%	1.37%	1.70%	1.10%	1.08%	0.74%	1.52%	1.48%	0.62%	1.53%	0.80%	0.72%	0.40%	1.45%	1.02%	0.99%	0.19%	0.72%	0.87%	0.96%	1.82%	1.72%	0.59%	0.97%	0.67%	1.91%	0.00%	1.86%	0.00%	0.00%					
20	3.Политическая партия «Демократическая партия России»	198	7	3	5	3	2	4	3	2	2	2	8	5	4	3	2	4	3	2	6	2	3	5	1	1	2	3	0	2	3	2	2	2	1	2	3	0	1	3	3	3	4	0	4	8	1	3	3	4	5	2	3	3	2	3	3	2	0	0	1	4	2	1	3	0	1	2	0	0	6	2	1	4	0	2	5	0	0					
		0.21%	0.45%	0.19%	0.32%	0.17%	0.13%	0.23%	0.21%	0.14%	0.14%	0.16%	0.60%	0.37%	0.32%	0.23%	0.16%	0.23%	0.21%	0.17%	0.45%	0.17%	0.21%	0.43%	0.08%	0.08%	0.15%	0.40%	0.00%	0.53%	0.86%	0.10%	0.22%	0.29%	0.09%	0.26%	0.21%	0.00%	0.07%	0.21%	0.22%	0.45%	0.40%	0.00%	0.37%	0.74%	0.09%	0.28%	0.26%	0.31%	0.34%	0.15%	0.21%	0.22%	0.15%	0.23%	0.22%	0.15%	0.00%	0.00%	0.07%	0.26%	0.14%	0.08%	0.23%	0.00%	0.24%	0.17%	0.00%	0.00%	0.33%	0.11%	0.05%	0.22%	0.00%	0.90%	1.04%	0.00%	0.00%					
21	4.Политическая партия «Коммунистическая партия Российской Федерации»	14937	346	303	354	379	313	389	304	335	266	266	229	257	256	294	212	257	159	190	269	212	240	177	151	151	196	106	63	44	55	166	62	49	152	109	257	205	288	250	241	115	136	222	182	202	176	174	199	213	218	274	243	189	265	248	239	260	250	175	235	248	179	169	201	40	64	156	172	61	209	110	215	206	10	30	53	20	27					
		16.21%	22.17%	19.68%	22.35%	21.91%	20.51%	22.75%	21.51%	23.04%	18.87%	21.75%	17.15%	18.84%	20.75%	22.72%	17.43%	14.91%	11.13%	15.98%	20.38%	18.43%	16.78%	15.34%	12.57%	12.16%	14.81%	14.30%	10.84%	11.70%	15.80%	8.02%	6.70%	7.12%	14.17%	14.14%	17.81%	14.35%	19.74%	17.76%	17.89%	17.42%	13.45%	18.35%	17.06%	18.58%	15.58%	16.04%	17.23%	16.59%	14.88%	20.24%	16.68%	13.61%	19.50%	18.90%	17.66%	20.09%	18.26%	14.06%	16.88%	16.36%	12.36%	14.30%	15.37%	7.69%	15.46%	13.64%	14.99%	10.10%	11.59%	5.87%	10.48%	11.58%	6.37%	13.51%	10.97%	10.10%	13.78%					
22	5.Политическая партия «СОЮЗ ПРАВЫХ СИЛ»	2003	49	45	45	43	39	44	41	32	33	28	26	51	34	38	32	37	35	22	31	18	29	18	26	13	16	10	10	3	6	22	12	10	13	17	49	27	25	23	50	12	27	45	29	36	18	29	39	36	31	25	28	28	28	41	33	33	25	34	50	21	26	26	35	4	6	25	20	11	27	15	16	26	1	7	5	1	2					
		2.17%	3.14%	2.92%	2.84%	2.49%	2.56%	2.57%	2.90%	2.20%	2.34%	2.29%	1.95%	3.74%	2.76%	2.94%	2.63%	2.15%	2.45%	1.85%	2.35%	1.57%	2.03%	1.56%	2.16%	1.05%	1.21%	1.35%	1.72%	0.80%	1.72%	1.06%	1.30%	1.45%	1.21%	2.20%	3.40%	1.89%	1.71%	1.63%	3.71%	1.82%	2.67%	3.72%	2.72%	3.31%	1.59%	2.67%	3.38%	2.80%	2.12%	1.85%	1.92%	2.02%	2.06%	3.13%	2.44%	2.55%	1.83%	2.73%	3.59%	1.39%	1.80%	2.20%	2.68%	0.77%	1.45%	2.19%	1.74%	1.82%	1.50%	0.80%	0.78%	1.46%	0.64%	3.15%	1.04%	0.51%	1.02%					
23	6.Политическая партия «Партия социальной справедливости»	302	4	8	6	8	6	4	9	3	4	2	6	4	1	2	2	3	9	7	6	5	2	3	3	1	4	3	5	1	1	9	3	1	3	2	4	5	3	6	5	1	6	2	6	4	3	3	4	7	6	9	4	3	6	4	5	4	2	5	5	4	0	4	6	0	0	5	4	1	7	4	3	11	0	0	1	0	0					
		0.33%	0.26%	0.52%	0.38%	0.46%	0.39%	0.23%	0.64%	0.21%	0.28%	0.16%	0.45%	0.29%	0.08%	0.15%	0.16%	0.17%	0.63%	0.59%	0.45%	0.43%	0.14%	0.26%	0.25%	0.08%	0.30%	0.40%	0.86%	0.27%	0.29%	0.43%	0.32%	0.15%	0.28%	0.26%	0.28%	0.35%	0.21%	0.43%	0.37%	0.15%	0.59%	0.17%	0.56%	0.37%	0.27%	0.28%	0.35%	0.55%	0.41%	0.66%	0.27%	0.22%	0.44%	0.30%	0.37%	0.31%	0.15%	0.40%	0.36%	0.26%	0.00%	0.34%	0.46%	0.00%	0.00%	0.44%	0.35%	0.17%	0.39%	0.21%	0.15%	0.62%	0.00%	0.00%	0.21%	0.00%	0.00%					
24	7.Политическая партия «Либерально-демократическая партия России»	10214	130	108	137	123	115	175	118	118	174	97	161	141	116	109	127	210	182	124	127	90	167	139	134	134	139	80	57	34	37	351	136	71	171	92	157	155	144	145	138	57	151	130	134	125	113	110	133	169	192	162	150	162	170	145	174	157	123	134	150	178	262	145	113	7	47	142	125	68	248	341	201	220	4	21	34	27	27					
		11.09%	8.33%	7.01%	8.65%	7.11%	7.54%	10.23%	8.35%	8.12%	12.34%	7.93%	12.06%	10.34%	9.40%	8.42%	10.44%	12.18%	12.74%	10.43%	9.62%	7.83%	11.68%	12.05%	11.16%	10.79%	10.51%	10.80%	9.81%	9.04%	10.63%	16.95%	14.70%	10.32%	15.94%	11.93%	10.88%	10.85%	9.87%	10.30%	10.24%	8.64%	14.94%	10.74%	12.56%	11.50%	10.00%	10.14%	11.52%	13.16%	13.11%	11.96%	10.30%	11.66%	12.51%	11.05%	12.86%	12.13%	8.98%	10.76%	10.78%	11.74%	18.09%	12.27%	8.64%	1.35%	11.35%	12.41%	10.90%	11.26%	13.75%	18.20%	9.80%	12.37%	2.55%	9.46%	7.04%	13.64%	13.78%					
25	8.Политическая партия «СПРАВЕДЛИВАЯ РОССИЯ: РОДИНА/ПЕНСИОНЕРЫ/ЖИЗНЬ»	6728	158	120	135	178	140	124	121	138	80	98	99	101	98	117	80	114	81	82	81	72	83	48	69	59	108	41	26	11	15	76	52	27	65	58	120	111	118	114	109	52	69	93	75	108	80	77	82	92	121	99	119	159	115	92	92	109	88	84	80	119	112	101	102	12	29	75	74	39	229	108	107	143	2	26	18	8	11					
		7.30%	10.12%	7.79%	8.52%	10.29%	9.17%	7.25%	8.56%	9.49%	5.67%	8.01%	7.42%	7.40%	7.94%	9.04%	6.58%	6.61%	5.67%	6.90%	6.14%	6.26%	5.80%	4.16%	5.75%	4.75%	8.16%	5.53%	4.48%	2.93%	4.31%	3.67%	5.62%	3.92%	6.06%	7.52%	8.32%	7.77%	8.09%	8.10%	8.09%	7.88%	6.82%	7.69%	7.03%	9.94%	7.08%	7.10%	7.10%	7.17%	8.26%	7.31%	8.17%	11.45%	8.46%	7.01%	6.80%	8.42%	6.43%	6.75%	5.75%	7.85%	7.73%	8.54%	7.80%	2.31%	7.00%	6.56%	6.45%	6.46%	12.69%	5.76%	5.21%	8.04%	1.27%	11.71%	3.73%	4.04%	5.61%					
26	9.Политическая партия «ПАТРИОТЫ РОССИИ»	1203	26	23	22	26	30	20	24	18	30	18	13	24	33	33	17	30	15	15	19	10	19	8	10	20	16	2	1	10	2	30	8	7	8	7	14	9	12	14	12	1	14	17	20	21	14	12	13	19	13	9	29	21	10	28	19	20	30	24	26	22	23	13	4	7	5	17	6	4	26	16	14	17	1	2	5	4	2					
		1.31%	1.67%	1.49%	1.39%	1.50%	1.97%	1.17%	1.70%	1.24%	2.13%	1.47%	0.97%	1.76%	2.67%	2.55%	1.40%	1.74%	1.05%	1.26%	1.44%	0.87%	1.33%	0.69%	0.83%	1.61%	1.21%	0.27%	0.17%	2.66%	0.57%	1.45%	0.86%	1.02%	0.75%	0.91%	0.97%	0.63%	0.82%	0.99%	0.89%	0.15%	1.38%	1.40%	1.87%	1.93%	1.24%	1.11%	1.13%	1.48%	0.89%	0.66%	1.99%	1.51%	0.74%	2.13%	1.40%	1.55%	2.19%	1.93%	1.87%	1.45%	1.59%	1.10%	0.31%	1.35%	1.21%	1.49%	0.52%	0.66%	1.44%	0.85%	0.68%	0.96%	0.64%	0.90%	1.04%	2.02%	1.02%					
27	10.Всероссийская политическая партия «ЕДИНАЯ РОССИЯ»	50013	699	752	687	816	734	784	667	680	706	607	659	652	576	584	630	940	834	657	662	674	787	708	755	801	754	441	394	254	209	1323	601	495	606	453	741	803	750	734	687	381	559	606	539	514	643	610	603	668	764	695	799	730	656	659	673	610	761	707	761	827	761	662	762	425	232	655	677	378	941	1205	1387	1036	130	125	327	132	117					
		54.28%	44.78%	48.83%	43.37%	47.17%	48.10%	45.85%	47.20%	46.77%	50.07%	49.63%	49.36%	47.80%	46.68%	45.13%	51.81%	54.52%	58.36%	55.26%	50.15%	58.61%	55.03%	61.35%	62.86%	64.49%	56.99%	59.51%	67.81%	67.55%	60.06%	63.88%	64.97%	71.95%	56.48%	58.75%	51.35%	56.19%	51.41%	52.13%	51.00%	57.73%	55.29%	50.08%	50.52%	47.29%	56.90%	56.22%	52.21%	52.02%	52.15%	51.33%	54.84%	52.56%	48.27%	50.23%	49.74%	47.14%	55.59%	56.79%	54.67%	54.55%	52.56%	56.01%	58.26%	81.73%	56.04%	57.26%	59.02%	62.58%	52.16%	64.30%	67.59%	58.23%	82.80%	56.31%	67.70%	66.67%	59.69%					
28	11.Политическая партия «Российская объединенная демократическая партия «ЯБЛОКО»	1799	59	65	63	64	48	50	40	44	36	40	45	41	32	33	35	48	23	26	49	18	18	10	16	11	21	9	6	3	0	14	9	4	15	5	20	29	22	40	38	5	14	41	26	29	14	10	20	19	32	18	12	28	25	30	33	30	31	19	19	26	16	17	19	1	5	14	18	8	13	10	14	22	0	2	5	1	4					
		1.95%	3.78%	4.22%	3.98%	3.70%	3.15%	2.92%	2.83%	3.03%	2.55%	3.27%	3.37%	3.01%	2.59%	2.55%	2.88%	2.78%	1.61%	2.19%	3.71%	1.57%	1.26%	0.87%	1.33%	0.89%	1.59%	1.21%	1.03%	0.80%	0.00%	0.68%	0.97%	0.58%	1.40%	0.65%	1.39%	2.03%	1.51%	2.84%	2.82%	0.76%	1.38%	3.39%	2.44%	2.67%	1.24%	0.92%	1.73%	1.48%	2.18%	1.33%	0.82%	2.02%	1.84%	2.29%	2.44%	2.32%	2.26%	1.53%	1.36%	1.72%	1.10%	1.44%	1.45%	0.19%	1.21%	1.22%	1.57%	1.32%	0.72%	0.53%	0.68%	1.24%	0.00%	0.90%	1.04%	0.51%	2.04%					
																																																																																				
																																																																																				
																																																																																				
																																																																																				
																																																																																				
																																																																																				
																																																																																				
																																																																																				
																																																																																				
																																																																																				
																																																																																				
																																																																																				
																																																																																				
																																																																																				
																																																																																				
																																																																																				
																																																																																				
																																																																																				
