Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																																																																																	
Дата голосования: 04.12.2011																																																																																																																	
																																																																																																																	
"Наименование Избирательной комиссии:    Саратов, Ленинская"																																																																																																																	
																																																																																																																	
Сводная таблица результатов выборов																																																																																																																	
																																																																																																																	
		Сумма	УИК №176	УИК №177	УИК №179	УИК №180	УИК №181	УИК №182	УИК №183	УИК №184	УИК №185	УИК №186	УИК №187	УИК №188	УИК №189	УИК №190	УИК №191	УИК №192	УИК №193	УИК №194	УИК №195	УИК №196	УИК №197	УИК №198	УИК №199	УИК №200	УИК №201	УИК №202	УИК №203	УИК №204	УИК №205	УИК №206	УИК №207	УИК №208	УИК №209	УИК №210	УИК №211	УИК №212	УИК №213	УИК №214	УИК №215	УИК №216	УИК №217	УИК №218	УИК №219	УИК №220	УИК №221	УИК №222	УИК №223	УИК №224	УИК №225	УИК №226	УИК №227	УИК №228	УИК №229	УИК №230	УИК №231	УИК №232	УИК №233	УИК №234	УИК №235	УИК №236	УИК №237	УИК №238	УИК №239	УИК №240	УИК №241	УИК №242	УИК №243	УИК №244	УИК №245	УИК №246	УИК №247	УИК №248	УИК №249	УИК №250	УИК №251	УИК №252	УИК №253	УИК №254	УИК №255	УИК №256	УИК №257	УИК №258	УИК №259	УИК №260	УИК №261	УИК №262	УИК №263	УИК №264	УИК №265	УИК №266	УИК №267	УИК №268	УИК №269	УИК №270	УИК №271	УИК №272	УИК №273	УИК №274	УИК №275	УИК №276	УИК №277	УИК №278	УИК №279	УИК №280	УИК №281	УИК №282					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	7230	65	200	60	70	90	80	85	70	70	60	60	60	55	60	90	50	50	0	70	60	60	30	60	60	75	100	60	40	90	60	65	55	60	60	40	0	60	60	60	90	60	30	40	80	70	100	60	40	60	60	80	85	80	70	110	60	85	65	60	40	35	95	30	40	60	60	60	80	90	30	70	65	105	70	60	30	80	70	40	90	55	55	90	80	90	60	70	30	65	60	100	70	130	90	60	120	60	70	80	90	80	70	140	80	60	90					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	6486	64	190	56	68	79	60	85	63	59	54	50	54	40	60	89	49	50	0	50	47	53	20	52	57	65	93	58	36	72	44	65	55	44	48	39	0	50	57	60	89	43	30	40	75	63	90	53	35	52	49	68	69	78	54	89	54	85	59	53	40	35	79	30	40	51	60	52	80	90	10	70	60	105	69	44	30	61	60	33	84	41	46	84	78	86	56	64	29	50	50	84	60	117	75	44	118	60	68	78	80	80	66	108	80	56	82					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	3749	31	152	26	15	34	55	23	17	30	30	25	27	26	38	31	19	19	253	23	8	28	21	12	11	26	47	74	14	48	21	17	16	7	8	16	130	26	6	5	23	52	16	53	12	10	16	20	30	34	28	57	19	7	7	20	59	23	195	22	117	17	167	20	18	149	20	15	32	10	8	32	23	24	19	15	7	18	22	9	13	33	14	142	15	87	15	7	18	45	29	26	14	14	12	16	17	40	129	22	30	23	60	14	17	22	15					
14	Число погашенных неиспользованных открепительных удостоверений	744	1	10	4	2	11	20	0	7	11	6	10	6	15	0	1	1	0	0	20	13	7	10	8	3	10	7	2	4	18	16	0	0	16	12	1	0	10	3	0	1	17	0	0	5	7	10	7	5	8	11	12	16	2	16	21	6	0	6	7	0	0	16	0	0	9	0	8	0	0	20	0	5	0	1	16	0	19	10	7	6	14	9	6	2	4	4	6	1	15	10	16	10	13	15	16	2	0	2	2	10	0	4	32	0	4	8					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	363	6	5	5	3	1	2	6	4	5	4	3	3	6	3	4	3	2	0	2	1	5	3	3	4	5	4	2	0	3	3	1	1	5	2	2	0	2	0	2	2	7	1	2	8	4	8	3	2	2	3	6	2	7	4	3	2	0	1	1	7	5	3	2	0	7	2	4	2	3	0	6	4	7	4	3	3	2	3	1	8	1	2	10	4	3	1	4	5	2	2	4	9	10	3	1	4	2	3	5	2	3	3	7	8	3	3					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																																																																																	
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	15069	160	180	80	148	168	112	190	181	201	241	202	198	201	169	81	247	308	15	123	151	236	90	210	260	293	259	246	170	180	83	100	79	224	146	184	22	81	216	113	173	120	72	168	269	116	214	175	139	161	141	172	183	50	66	161	140	76	119	71	144	47	235	88	88	18	107	155	157	202	10	107	182	168	152	55	78	163	108	91	148	91	134	197	108	176	125	175	93	100	119	99	113	205	186	129	127	55	20	116	183	98	164	177	116	54	72					
		11.56%	12.15%	16.97%	11.38%	17.79%	11.61%	8.20%	18.29%	15.44%	22.66%	22.54%	15.84%	11.04%	10.09%	12.18%	5.43%	21.46%	23.99%	5.60%	13.00%	16.41%	17.38%	13.27%	14.76%	15.91%	21.17%	21.26%	22.34%	18.44%	13.03%	13.37%	9.60%	9.32%	13.72%	10.60%	20.79%	6.21%	6.00%	13.97%	8.71%	10.40%	8.91%	9.60%	14.45%	15.20%	11.25%	18.21%	24.17%	15.17%	12.94%	12.04%	13.36%	9.36%	4.01%	6.54%	16.41%	11.88%	5.06%	7.89%	14.73%	11.48%	7.53%	13.83%	11.44%	11.34%	1.53%	10.17%	9.16%	13.98%	17.32%	6.41%	8.02%	12.48%	14.04%	11.06%	14.59%	10.00%	11.53%	8.12%	13.98%	8.24%	7.95%	9.50%	10.57%	6.57%	9.25%	10.21%	10.88%	8.62%	12.82%	8.89%	6.37%	9.58%	10.81%	11.20%	10.08%	8.55%	6.96%	3.94%	6.53%	10.03%	6.64%	10.53%	7.43%	7.09%	5.11%	4.63%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	9431	131	203	73	117	109	85	98	108	129	114	3	116	142	2	144	119	126	3	92	57	119	56	13	147	119	111	89	81	98	60	77	61	163	78	84	8	107	56	107	130	102	78	53	183	68	109	89	53	82	60	104	106	59	51	133	128	123	102	82	87	39	273	68	58	29	53	98	107	136	25	84	80	109	90	74	42	114	123	46	112	84	64	36	100	35	38	95	86	75	25	115	80	116	95	77	104	41	42	94	136	60	117	85	101	62	121					
		7.23%	9.95%	19.13%	10.38%	14.06%	7.53%	6.22%	9.43%	9.22%	14.54%	10.66%	0.24%	6.47%	7.12%	0.14%	9.66%	10.34%	9.81%	1.12%	9.73%	6.20%	8.76%	8.26%	0.91%	8.99%	8.60%	9.11%	8.08%	8.79%	7.10%	9.66%	7.39%	7.19%	9.98%	5.66%	9.49%	2.26%	7.93%	3.62%	8.24%	7.81%	7.57%	10.40%	4.56%	10.34%	6.60%	9.28%	12.29%	5.79%	6.59%	5.12%	8.08%	5.42%	4.74%	5.05%	13.56%	10.87%	8.18%	6.76%	17.01%	6.94%	6.25%	16.07%	8.84%	7.47%	2.46%	5.04%	5.79%	9.53%	11.66%	16.03%	6.30%	5.49%	9.11%	6.55%	19.63%	5.38%	8.06%	9.25%	7.07%	6.24%	7.34%	4.54%	1.93%	6.08%	1.84%	3.10%	5.91%	7.97%	9.62%	1.87%	7.41%	6.79%	6.12%	5.72%	6.02%	6.99%	5.19%	8.27%	5.29%	7.46%	4.07%	7.51%	3.57%	6.17%	5.87%	7.78%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	712	10	22	5	11	12	7	17	0	14	10	2	5	5	0	12	5	23	0	2	2	26	2	0	0	8	8	15	10	3	5	7	0	7	6	3	1	7	3	4	5	3	0	2	12	3	9	6	5	0	8	9	8	5	5	14	0	7	7	5	2	0	8	4	0	1	5	15	5	20	0	2	0	17	19	2	0	12	14	9	19	6	3	5	2	3	2	5	10	6	6	11	1	1	2	2	2	10	0	12	2	13	13	16	8	12	13					
		0.55%	0.76%	2.07%	0.71%	1.32%	0.83%	0.51%	1.64%	0.00%	1.58%	0.94%	0.16%	0.28%	0.25%	0.00%	0.80%	0.43%	1.79%	0.00%	0.21%	0.22%	1.91%	0.29%	0.00%	0.00%	0.58%	0.66%	1.36%	1.08%	0.22%	0.81%	0.67%	0.00%	0.43%	0.44%	0.34%	0.28%	0.52%	0.19%	0.31%	0.30%	0.22%	0.00%	0.17%	0.68%	0.29%	0.77%	0.83%	0.55%	0.00%	0.68%	0.70%	0.41%	0.40%	0.50%	1.43%	0.00%	0.47%	0.46%	1.04%	0.16%	0.00%	0.47%	0.52%	0.00%	0.08%	0.48%	0.89%	0.45%	1.72%	0.00%	0.15%	0.00%	1.42%	1.38%	0.53%	0.00%	0.85%	1.05%	1.38%	1.06%	0.52%	0.21%	0.27%	0.12%	0.16%	0.16%	0.31%	0.93%	0.77%	0.45%	0.71%	0.08%	0.05%	0.12%	0.16%	0.13%	1.27%	0.00%	0.68%	0.11%	0.88%	0.83%	0.67%	0.49%	1.14%	0.84%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	18621	259	211	144	238	228	138	222	218	178	280	184	283	308	250	192	230	297	12	157	125	350	118	242	284	275	251	299	197	190	90	176	175	211	114	129	19	123	265	133	165	140	108	51	271	106	237	174	144	107	190	227	218	124	83	218	185	128	168	123	115	51	281	96	118	58	200	170	161	297	14	185	175	199	212	76	97	176	163	135	239	142	172	263	184	309	132	161	107	92	93	191	140	289	209	134	201	120	86	186	209	119	200	254	187	108	153					
		14.28%	19.67%	19.89%	20.48%	28.61%	15.76%	10.10%	21.37%	18.60%	20.07%	26.19%	14.43%	15.78%	15.45%	18.01%	12.88%	19.98%	23.13%	4.48%	16.60%	13.59%	25.77%	17.40%	17.01%	17.38%	19.87%	20.61%	27.16%	21.37%	13.76%	14.49%	16.89%	20.64%	12.92%	8.28%	14.58%	5.37%	9.11%	17.14%	10.25%	9.92%	10.39%	14.40%	4.39%	15.31%	10.28%	20.17%	24.03%	15.72%	8.60%	16.23%	17.64%	11.15%	9.95%	8.23%	22.22%	15.70%	8.52%	11.14%	25.52%	9.17%	8.17%	16.54%	12.48%	15.21%	4.93%	19.01%	10.04%	14.34%	25.47%	8.97%	13.87%	12.00%	16.62%	15.43%	20.16%	12.44%	12.45%	12.26%	20.74%	13.31%	12.40%	12.20%	14.11%	11.19%	16.25%	10.78%	10.01%	9.92%	11.79%	6.95%	12.30%	11.87%	15.24%	12.58%	10.47%	13.53%	15.19%	16.93%	10.47%	11.46%	8.06%	12.84%	10.66%	11.42%	10.22%	9.84%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	2462	59	68	20	46	70	53	42	57	54	73	4	7	6	2	72	27	62	1	3	6	57	3	0	0	31	42	34	24	7	5	15	7	12	26	6	2	34	50	3	3	11	0	3	32	5	27	19	19	30	13	57	50	5	3	60	1	31	29	14	3	7	72	24	0	2	2	38	4	62	0	6	0	40	45	38	4	29	30	25	24	10	7	2	71	7	24	21	23	25	3	29	4	3	1	2	9	8	2	41	3	15	39	56	11	28	61					
		1.89%	4.48%	6.41%	2.84%	5.53%	4.84%	3.88%	4.04%	4.86%	6.09%	6.83%	0.31%	0.39%	0.30%	0.14%	4.83%	2.35%	4.83%	0.37%	0.32%	0.65%	4.20%	0.44%	0.00%	0.00%	2.24%	3.45%	3.09%	2.60%	0.51%	0.81%	1.44%	0.83%	0.73%	1.89%	0.68%	0.56%	2.52%	3.23%	0.23%	0.18%	0.82%	0.00%	0.26%	1.81%	0.48%	2.30%	2.62%	2.07%	2.41%	1.11%	4.43%	2.56%	0.40%	0.30%	6.12%	0.08%	2.06%	1.92%	2.90%	0.24%	1.12%	4.24%	3.12%	0.00%	0.17%	0.19%	2.24%	0.36%	5.32%	0.00%	0.45%	0.00%	3.34%	3.28%	10.08%	0.51%	2.05%	2.26%	3.84%	1.34%	0.87%	0.50%	0.11%	4.32%	0.37%	1.96%	1.31%	2.13%	3.21%	0.22%	1.87%	0.34%	0.16%	0.06%	0.16%	0.61%	1.01%	0.39%	2.31%	0.16%	1.02%	2.50%	2.35%	0.67%	2.65%	3.92%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	82560	676	344	380	257	715	965	445	598	289	323	877	1179	1326	963	977	515	440	234	567	577	387	401	951	934	640	530	369	429	902	367	632	524	1002	998	477	296	991	954	919	1172	956	492	881	951	728	560	250	545	864	747	705	1383	979	785	374	724	1119	1068	178	899	472	803	473	512	1066	684	1201	687	409	107	948	1021	637	839	124	559	906	877	334	1238	803	1025	1361	1178	1369	894	1132	741	471	1090	1091	830	1281	1164	920	1041	553	351	1322	1279	1154	1013	1772	1204	787	1127					
		63.33%	51.33%	32.42%	54.05%	30.89%	49.41%	70.64%	42.83%	51.02%	32.58%	30.22%	68.78%	65.76%	66.53%	69.38%	65.53%	44.74%	34.27%	87.31%	59.94%	62.72%	28.50%	59.14%	66.83%	57.16%	46.24%	43.51%	33.51%	46.53%	65.31%	59.10%	60.65%	61.79%	61.36%	72.48%	53.90%	83.62%	73.41%	61.71%	70.80%	70.43%	70.97%	65.60%	75.75%	53.73%	70.61%	47.66%	34.53%	59.50%	69.45%	63.79%	54.78%	70.74%	78.57%	77.80%	38.12%	61.46%	74.45%	70.82%	36.93%	71.69%	75.64%	47.26%	61.51%	65.98%	90.57%	65.02%	70.94%	61.18%	35.08%	68.59%	71.06%	70.03%	53.22%	61.06%	32.89%	71.67%	64.07%	65.94%	51.31%	68.93%	70.13%	72.70%	73.02%	71.65%	71.98%	73.04%	70.40%	68.67%	60.38%	81.40%	70.25%	70.40%	67.56%	70.08%	71.88%	70.05%	70.00%	69.09%	74.44%	70.12%	78.18%	65.02%	74.39%	73.55%	74.46%	72.48%					
25	"7. Всероссийская политическая партия ""ПРАВОЕ ДЕЛО"""	366	7	13	1	6	6	6	8	0	6	10	3	5	5	2	7	1	4	0	0	0	11	0	0	0	6	8	6	5	1	0	1	0	5	3	2	1	5	2	2	6	2	0	5	5	2	6	3	1	0	4	11	7	6	4	6	0	6	5	2	1	2	7	2	0	0	1	4	2	12	0	2	0	11	4	3	0	5	7	1	2	2	5	0	1	1	1	4	5	3	2	4	0	1	1	3	2	3	0	4	1	5	4	4	9	3	3					
		0.28%	0.53%	1.23%	0.14%	0.72%	0.41%	0.44%	0.77%	0.00%	0.68%	0.94%	0.24%	0.28%	0.25%	0.14%	0.47%	0.09%	0.31%	0.00%	0.00%	0.00%	0.81%	0.00%	0.00%	0.00%	0.43%	0.66%	0.54%	0.54%	0.07%	0.00%	0.10%	0.00%	0.31%	0.22%	0.23%	0.28%	0.37%	0.13%	0.15%	0.36%	0.15%	0.00%	0.43%	0.28%	0.19%	0.51%	0.41%	0.11%	0.00%	0.34%	0.85%	0.36%	0.48%	0.40%	0.61%	0.00%	0.40%	0.33%	0.41%	0.08%	0.32%	0.41%	0.26%	0.00%	0.00%	0.10%	0.24%	0.18%	1.03%	0.00%	0.15%	0.00%	0.92%	0.29%	0.80%	0.00%	0.35%	0.53%	0.15%	0.11%	0.17%	0.35%	0.00%	0.06%	0.05%	0.08%	0.25%	0.46%	0.38%	0.15%	0.26%	0.00%	0.05%	0.06%	0.23%	0.13%	0.38%	0.00%	0.23%	0.05%	0.34%	0.26%	0.17%	0.55%	0.28%	0.19%					
																																																																																																																	
																																																																																																																	
																																																																																																																	
																																																																																																																	
																																																																																																																	
																																																																																																																	
																																																																																																																	
																																																																																																																	
																																																																																																																	
																																																																																																																	
																																																																																																																	
																																																																																																																	
																																																																																																																	
																																																																																																																	
																																																																																																																	
																																																																																																																	
																																																																																																																	
																																																																																																																	
