Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва														
Дата голосования: 07.12.2003 0:00:00														
														
Наименование Избирательной комиссии:    Пенжинская														
														
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)														
														
		Сумма	УИК  23	УИК  24	УИК  25	УИК  26	УИК  27	УИК  28	УИК  29					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	19	1	2	5	2	1	6	2					
		1.36%	2.17%	0.47%	2.87%	0.62%	1.78%	2.88%	1.21%					
22	"5. ""За Русь Святую"""	2	0	0	0	0	1	0	1					
		0.14%	0.0%	0.0%	0.0%	0.0%	1.78%	0.0%	0.60%					
23	"6. ""Объединенная Российская партия ""Русь"""	6	0	5	0	1	0	0	0					
		0.43%	0.0%	1.17%	0.0%	0.31%	0.0%	0.0%	0.0%					
24	"7. ""Новый курс - Автомобильная Россия"""	5	2	1	2	0	0	0	0					
		0.35%	4.34%	0.23%	1.14%	0.0%	0.0%	0.0%	0.0%					
25	"8. ""Народно-республиканская партия России"""	2	1	0	0	0	0	1	0					
		0.14%	2.17%	0.0%	0.0%	0.0%	0.0%	0.48%	0.0%					
26	"9. ""Российская экологическая партия ""Зеленые"""	1	0	0	1	0	0	0	0					
		0.07%	0.0%	0.0%	0.57%	0.0%	0.0%	0.0%	0.0%					
27	"10. ""Аграрная партия России"""	38	3	4	4	7	2	16	2					
		2.73%	6.52%	0.94%	2.29%	2.20%	3.57%	7.69%	1.21%					
28	"11. ""Истинные патриоты России"""	0	0	0	0	0	0	0	0					
		0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	6	1	1	1	2	1	0	0					
		0.43%	2.17%	0.23%	0.57%	0.62%	1.78%	0.0%	0.0%					
30	"13. ""Демократическая партия России"""	1	0	0	1	0	0	0	0					
		0.07%	0.0%	0.0%	0.57%	0.0%	0.0%	0.0%	0.0%					
31	"14. ""Великая Россия - Евразийский Союз"""	5	0	3	0	1	0	0	1					
		0.35%	0.0%	0.70%	0.0%	0.31%	0.0%	0.0%	0.60%					
32	"15. ""Партия СЛОН"""	2	0	0	0	1	0	1	0					
		0.14%	0.0%	0.0%	0.0%	0.31%	0.0%	0.48%	0.0%					
33	"16. ""Родина"" (народно-патриотический союз)"""	47	0	9	6	15	2	10	5					
		3.38%	0.0%	2.12%	3.44%	4.71%	3.57%	4.80%	3.04%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	9	0	3	1	0	0	3	2					
		0.64%	0.0%	0.70%	0.57%	0.0%	0.0%	1.44%	1.21%					
35	"18. ""ЛДПР"""	175	0	54	27	49	4	28	13					
		12.58%	0.0%	12.73%	15.51%	15.40%	7.14%	13.46%	7.92%					
36	"19. ""Партия Возрождения России - Российская партия ЖИЗНИ"""	12	0	3	0	5	1	2	1					
		0.86%	0.0%	0.70%	0.0%	1.57%	1.78%	0.96%	0.60%					
37	"20. ""Политическая партия ""Единая Россия"""	711	6	245	75	153	30	101	101					
		51.15%	13.04%	57.78%	43.10%	48.11%	53.57%	48.55%	61.58%					
38	"21. ""Российская Конституционно-демократическая партия"""	5	0	1	1	3	0	0	0					
		0.35%	0.0%	0.23%	0.57%	0.94%	0.0%	0.0%	0.0%					
39	"22. ""Развитие предпринимательства"""	5	0	2	0	2	0	0	1					
		0.35%	0.0%	0.47%	0.0%	0.62%	0.0%	0.0%	0.60%					
40	"23. ""Коммунистическая партия Российской Федерации (КПРФ)"""	139	11	41	16	31	9	14	17					
		10.0%	23.91%	9.66%	9.19%	9.74%	16.07%	6.73%	10.36%					
														
41	Против всех	53	10	10	5	17	1	6	4					
		3.81%	21.73%	2.35%	2.87%	5.34%	1.78%	2.88%	2.43%					
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
