Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																																																																																																																			
Дата голосования: 04.12.2011																																																																																																																																																			
																																																																																																																																																			
Наименование Избирательной комиссии:    Вологодская городская																																																																																																																																																			
																																																																																																																																																			
Сводная таблица результатов выборов																																																																																																																																																			
																																																																																																																																																			
		Сумма	УИК №273	УИК №274	УИК №275	УИК №276	УИК №277	УИК №278	УИК №279	УИК №280	УИК №281	УИК №282	УИК №283	УИК №284	УИК №285	УИК №286	УИК №287	УИК №288	УИК №289	УИК №290	УИК №291	УИК №292	УИК №293	УИК №294	УИК №295	УИК №296	УИК №297	УИК №298	УИК №299	УИК №300	УИК №301	УИК №302	УИК №303	УИК №304	УИК №305	УИК №306	УИК №307	УИК №308	УИК №309	УИК №310	УИК №311	УИК №312	УИК №313	УИК №314	УИК №315	УИК №316	УИК №317	УИК №318	УИК №319	УИК №320	УИК №321	УИК №322	УИК №323	УИК №324	УИК №325	УИК №326	УИК №327	УИК №328	УИК №329	УИК №330	УИК №331	УИК №332	УИК №333	УИК №334	УИК №335	УИК №336	УИК №337	УИК №338	УИК №339	УИК №340	УИК №341	УИК №342	УИК №343	УИК №344	УИК №345	УИК №346	УИК №347	УИК №348	УИК №349	УИК №350	УИК №351	УИК №352	УИК №353	УИК №354	УИК №355	УИК №356	УИК №357	УИК №358	УИК №359	УИК №360	УИК №361	УИК №362	УИК №363	УИК №364	УИК №365	УИК №366	УИК №367	УИК №368	УИК №369	УИК №370	УИК №371	УИК №372	УИК №373	УИК №374	УИК №375	УИК №376	УИК №377	УИК №378	УИК №379	УИК №380	УИК №381	УИК №382	УИК №383	УИК №384	УИК №385	УИК №386	УИК №387	УИК №388	УИК №389	УИК №390	УИК №391	УИК №392	УИК №393	УИК №394	УИК №395	УИК №396	УИК №397	УИК №398	УИК №399	УИК №400	УИК №401	УИК №402	УИК №403	УИК №404	УИК №405	УИК №406	УИК №407	УИК №408	УИК №409	УИК №410	УИК №411	УИК №412					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	4360	150	150	50	30	40	30	30	40	25	25	30	40	35	20	25	20	30	25	15	35	40	35	25	20	20	20	30	40	40	40	40	35	25	35	60	40	15	25	35	40	30	50	50	35	50	35	30	30	40	25	30	35	30	30	20	20	35	25	25	35	35	15	25	25	15	25	25	35	30	45	35	30	25	25	40	10	25	35	20	35	25	30	25	25	30	35	35	30	35	25	30	25	10	15	30	30	30	45	30	40	40	30	200	30	40	40	35	35	30	40	40	30	25	30	20	40	35	35	35	40	20	150	30	5	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	3017	130	150	29	27	15	11	18	36	25	11	21	36	19	13	23	12	18	12	4	26	19	26	22	16	12	8	26	30	35	16	32	24	16	23	43	35	4	22	23	23	18	35	30	20	29	24	19	21	28	16	15	30	21	19	19	20	26	23	14	30	21	12	19	24	8	21	25	19	25	18	33	16	20	15	38	5	15	20	9	23	23	11	13	22	27	12	15	18	24	23	24	17	4	10	15	13	22	32	18	36	27	20	126	26	34	24	22	35	24	34	18	20	7	17	12	28	27	26	35	16	20	93	12	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	3167	18	17	29	48	37	33	40	30	33	26	28	17	21	14	21	18	28	32	8	34	37	35	20	13	6	19	26	32	10	28	16	32	17	27	25	37	5	8	25	20	11	36	21	23	24	9	21	20	23	22	21	27	27	15	13	28	14	21	21	29	16	17	27	30	14	19	21	56	54	33	21	39	27	20	21	9	32	42	20	27	19	16	18	17	28	22	30	20	14	18	22	23	9	13	12	11	21	21	23	51	19	14	33	15	37	26	22	40	31	25	24	23	23	34	25	18	32	23	40	19	20	25	21	0	48	7	44	13	10	5	1	0	9	4	18	15	11	8	8	28					
14	Число погашенных неиспользованных открепительных удостоверений	1343	20	0	21	3	25	19	12	4	0	14	9	4	16	7	2	8	12	13	11	9	21	9	3	4	8	12	4	10	5	24	8	11	9	12	17	5	11	3	12	17	12	15	20	15	21	11	11	9	12	9	15	5	9	11	1	0	9	2	11	5	14	3	6	1	7	4	0	16	5	27	2	14	5	10	2	5	10	15	11	12	2	19	12	3	3	23	20	12	11	2	6	8	6	5	15	17	8	13	12	4	13	10	74	4	6	16	13	0	6	6	22	10	18	13	8	12	8	9	0	24	0	57	18	5	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	37	0	0	0	0	0	0	0	1	0	0	0	0	0	0	3	0	0	0	1	0	1	0	0	1	0	0	1	0	0	0	1	1	0	0	1	0	0	2	0	1	1	2	0	1	0	1	0	0	0	0	1	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	1	0	0	0	0	0	0	0	0	1	2	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																																																																																																																			
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	39084	88	162	415	195	234	211	301	373	232	238	344	293	298	222	280	285	264	262	54	301	353	330	313	221	197	94	465	451	399	154	420	355	338	489	497	479	35	389	241	436	447	442	458	468	426	318	301	349	364	249	340	401	359	311	249	259	195	212	227	461	248	178	407	288	174	203	396	306	392	257	397	349	396	371	519	33	238	269	133	408	245	276	305	360	362	328	310	244	342	305	331	243	46	99	417	291	274	354	388	476	367	346	416	362	363	348	365	392	249	451	395	276	250	343	247	434	416	365	354	328	232	408	387	31	18	22	100	46	18	3	5	7	45	4	26	12	33	15	19	84					
		28.09%	26.19%	23.55%	28.80%	21.52%	25.05%	23.26%	26.29%	29.28%	26.76%	28.20%	28.15%	27.00%	28.52%	29.37%	28.84%	28.76%	25.71%	27.04%	23.18%	24.79%	29.01%	26.46%	27.60%	29.39%	24.87%	27.81%	30.25%	32.03%	30.46%	22.29%	30.61%	29.17%	27.04%	32.02%	29.94%	29.57%	22.29%	30.09%	27.83%	27.95%	30.83%	29.29%	31.43%	30.21%	27.66%	28.83%	28.72%	29.03%	29.81%	27.82%	30.91%	25.77%	29.12%	27.11%	28.49%	26.67%	28.43%	25.63%	31.14%	29.67%	29.38%	28.21%	29.11%	30.44%	29.24%	31.82%	31.99%	26.75%	27.80%	25.57%	28.94%	31.36%	27.71%	26.48%	31.06%	18.97%	25.90%	27.65%	26.13%	27.62%	27.28%	33.01%	28.29%	28.99%	26.48%	29.29%	24.66%	24.47%	29.97%	25.89%	28.34%	30.84%	24.34%	21.38%	30.68%	29.48%	28.13%	26.94%	25.78%	28.27%	28.10%	29.27%	22.12%	26.66%	27.46%	27.86%	29.44%	24.36%	26.77%	29.48%	29.99%	29.33%	28.15%	28.75%	27.47%	28.00%	28.97%	30.14%	26.84%	26.07%	25.98%	32.25%	30.89%	10.30%	4.46%	32.84%	36.76%	35.11%	27.27%	14.29%	20.00%	22.58%	17.79%	15.38%	28.89%	18.46%	38.82%	23.81%	29.23%	33.73%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	20913	81	243	194	83	120	117	143	194	97	98	184	139	116	92	133	139	160	183	44	219	179	225	188	143	113	71	247	182	214	141	187	180	210	233	234	263	41	228	150	222	187	208	177	202	229	158	147	195	178	134	139	227	206	175	153	168	129	124	86	260	103	94	202	136	120	107	212	193	235	192	233	169	246	238	234	38	80	110	54	256	123	133	165	185	162	138	108	133	203	173	175	147	57	108	197	136	165	189	190	240	182	176	395	159	228	197	197	241	147	216	188	139	129	153	119	228	211	170	194	201	132	237	145	13	52	16	32	15	1	1	1	4	12	4	14	7	12	10	12	32					
		15.03%	24.11%	35.32%	13.46%	9.16%	12.85%	12.90%	12.49%	15.23%	11.19%	11.61%	15.06%	12.81%	11.10%	12.17%	13.70%	14.03%	15.58%	18.89%	18.88%	18.04%	14.71%	18.04%	16.58%	19.02%	14.27%	21.01%	16.07%	12.93%	16.34%	20.41%	13.63%	14.79%	16.80%	15.26%	14.10%	16.23%	26.11%	17.63%	17.32%	14.23%	12.90%	13.78%	12.15%	13.04%	14.87%	14.32%	14.03%	16.22%	14.58%	14.97%	12.64%	14.59%	16.71%	15.26%	17.51%	17.30%	18.80%	14.99%	11.80%	16.73%	12.20%	14.90%	14.45%	14.38%	20.17%	16.77%	17.12%	16.87%	16.67%	19.10%	16.98%	15.18%	17.21%	16.99%	14.00%	21.84%	8.71%	11.31%	10.61%	17.33%	13.70%	15.91%	15.31%	14.90%	11.85%	12.32%	8.59%	13.34%	17.79%	14.69%	14.98%	18.65%	30.16%	23.33%	14.50%	13.78%	16.94%	14.38%	12.62%	14.25%	13.94%	14.89%	20.99%	11.71%	17.25%	15.77%	15.89%	14.98%	15.81%	14.12%	14.27%	14.77%	14.53%	12.82%	13.24%	14.71%	14.69%	14.04%	14.71%	15.98%	14.78%	18.74%	11.57%	4.32%	12.87%	23.88%	11.76%	11.45%	1.52%	4.76%	4.00%	12.90%	4.74%	15.38%	15.56%	10.77%	14.12%	15.87%	18.46%	12.85%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	2378	5	13	19	10	19	17	23	19	11	14	20	17	18	14	15	19	23	16	5	18	17	27	17	14	11	3	22	15	36	10	33	24	27	24	35	25	1	30	16	32	13	26	27	19	23	21	16	21	15	16	22	30	20	28	15	23	7	12	15	39	13	11	27	15	4	8	19	16	26	22	20	9	27	24	29	4	11	22	5	27	21	16	17	20	27	12	25	23	30	22	23	11	2	10	25	18	14	14	20	28	11	15	66	21	15	18	14	26	25	21	33	25	11	13	13	29	14	20	27	23	13	25	15	3	2	1	5	3	0	1	0	0	1	1	2	0	0	1	1	5					
		1.71%	1.49%	1.89%	1.32%	1.10%	2.03%	1.87%	2.01%	1.49%	1.27%	1.66%	1.64%	1.57%	1.72%	1.85%	1.54%	1.92%	2.24%	1.65%	2.15%	1.48%	1.40%	2.17%	1.50%	1.86%	1.39%	0.89%	1.43%	1.07%	2.75%	1.45%	2.41%	1.97%	2.16%	1.57%	2.11%	1.54%	0.64%	2.32%	1.85%	2.05%	0.90%	1.72%	1.85%	1.23%	1.49%	1.90%	1.53%	1.75%	1.23%	1.79%	2.00%	1.93%	1.62%	2.44%	1.72%	2.37%	1.02%	1.45%	2.06%	2.51%	1.54%	1.74%	1.93%	1.59%	0.67%	1.25%	1.53%	1.40%	1.84%	2.19%	1.46%	0.81%	1.89%	1.71%	1.74%	2.30%	1.20%	2.26%	0.98%	1.83%	2.34%	1.91%	1.58%	1.61%	1.98%	1.07%	1.99%	2.31%	2.63%	1.87%	1.97%	1.40%	1.06%	2.16%	1.84%	1.82%	1.44%	1.07%	1.33%	1.66%	0.84%	1.27%	3.51%	1.55%	1.13%	1.44%	1.13%	1.62%	2.69%	1.37%	2.51%	2.66%	1.24%	1.09%	1.45%	1.87%	0.97%	1.65%	2.05%	1.83%	1.46%	1.98%	1.20%	0.99%	0.50%	1.49%	1.84%	2.29%	0.00%	4.76%	0.00%	0.00%	0.40%	3.85%	2.22%	0.00%	0.00%	1.59%	1.54%	2.01%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	25429	51	117	269	214	192	214	231	214	169	176	218	208	213	127	167	149	195	156	39	207	215	209	195	111	153	53	245	267	203	105	262	205	194	242	312	266	23	218	168	322	279	254	286	318	277	179	195	239	198	160	199	307	204	165	155	155	117	186	127	264	162	95	226	182	106	114	197	220	244	227	283	197	252	297	298	31	245	180	152	254	183	143	222	224	255	226	344	221	238	241	201	125	25	69	274	188	167	250	311	329	258	232	251	277	226	229	214	308	167	280	224	158	153	249	176	289	258	211	215	212	130	254	234	34	12	0	40	16	29	6	2	3	17	4	21	17	6	11	2	48					
		18.28%	15.18%	17.01%	18.67%	23.62%	20.56%	23.59%	20.17%	16.80%	19.49%	20.85%	17.84%	19.17%	20.38%	16.80%	17.20%	15.04%	18.99%	16.10%	16.74%	17.05%	17.67%	16.76%	17.20%	14.76%	19.32%	15.68%	15.94%	18.96%	15.50%	15.20%	19.10%	16.84%	15.52%	15.85%	18.80%	16.42%	14.65%	16.86%	19.40%	20.64%	19.24%	16.83%	19.63%	20.53%	17.99%	16.23%	18.61%	19.88%	16.22%	17.88%	18.09%	19.73%	16.55%	14.39%	17.73%	15.96%	17.06%	22.49%	17.42%	16.99%	19.19%	15.06%	16.17%	19.24%	17.82%	17.87%	15.91%	19.23%	17.30%	22.59%	20.63%	17.70%	17.63%	21.20%	17.83%	17.82%	26.66%	18.50%	29.86%	17.20%	20.38%	17.11%	20.59%	18.04%	18.65%	20.18%	27.37%	22.17%	20.86%	20.46%	17.21%	15.86%	13.23%	14.90%	20.16%	19.05%	17.15%	19.03%	20.66%	19.54%	19.75%	19.63%	13.34%	20.40%	17.10%	18.33%	17.26%	19.14%	17.96%	18.30%	17.01%	16.79%	17.23%	20.87%	19.58%	18.65%	17.97%	17.42%	16.30%	16.85%	14.56%	20.08%	18.68%	11.30%	2.97%	0.00%	14.71%	12.21%	43.94%	28.57%	8.00%	9.68%	6.72%	15.38%	23.33%	26.15%	7.06%	17.46%	3.08%	19.28%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	8167	20	33	97	114	72	70	89	83	73	61	73	80	85	58	73	74	53	52	11	67	60	52	51	29	27	15	92	75	63	48	82	78	45	78	102	83	7	56	55	123	96	90	88	81	86	52	76	74	73	52	81	87	70	55	35	62	46	67	51	98	61	30	89	41	24	33	65	88	97	53	64	68	74	73	97	6	88	79	34	111	84	39	67	90	106	77	95	72	42	73	95	40	5	17	63	44	31	84	62	115	66	64	73	107	52	37	63	156	70	85	64	45	49	59	67	109	66	62	80	51	50	41	54	4	5	0	11	2	2	0	1	2	4	2	0	0	2	2	1	4					
		5.87%	5.95%	4.80%	6.73%	12.58%	7.71%	7.72%	7.77%	6.51%	8.42%	7.23%	5.97%	7.37%	8.13%	7.67%	7.52%	7.47%	5.16%	5.37%	4.72%	5.52%	4.93%	4.17%	4.50%	3.86%	3.41%	4.44%	5.99%	5.33%	4.81%	6.95%	5.98%	6.41%	3.60%	5.11%	6.14%	5.12%	4.46%	4.33%	6.35%	7.88%	6.62%	5.96%	6.04%	5.23%	5.58%	4.71%	7.25%	6.16%	5.98%	5.81%	7.36%	5.59%	5.68%	4.80%	4.00%	6.39%	6.71%	8.10%	6.99%	6.31%	7.23%	4.75%	6.37%	4.33%	4.03%	5.17%	5.25%	7.69%	6.88%	5.27%	4.66%	6.11%	5.18%	5.21%	5.80%	3.45%	9.58%	8.12%	6.68%	7.52%	9.35%	4.67%	6.22%	7.25%	7.75%	6.88%	7.56%	7.22%	3.68%	6.20%	8.13%	5.08%	2.65%	3.67%	4.64%	4.46%	3.18%	6.39%	4.12%	6.83%	5.05%	5.41%	3.88%	7.88%	3.93%	2.96%	5.08%	9.70%	7.53%	5.56%	4.86%	4.78%	5.52%	4.95%	7.45%	7.03%	4.60%	5.12%	6.07%	4.05%	5.60%	3.24%	4.31%	1.33%	1.24%	0.00%	4.04%	1.53%	3.03%	0.00%	4.00%	6.45%	1.58%	7.69%	0.00%	0.00%	2.35%	3.17%	1.54%	1.61%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	39208	84	112	402	263	276	255	335	348	260	230	342	314	287	217	275	307	299	273	71	380	355	368	331	216	261	89	423	385	364	209	358	343	402	413	425	457	44	347	221	382	388	458	376	413	466	352	281	275	356	264	277	453	338	368	243	274	178	199	208	399	227	206	397	252	145	157	315	300	379	233	342	296	391	366	452	57	237	285	118	371	221	200	258	329	413	319	346	279	254	337	306	198	46	149	342	267	299	376	475	443	383	311	629	394	400	375	355	445	265	432	374	275	261	346	248	425	435	357	412	415	308	268	387	194	284	27	75	43	14	9	14	14	159	10	26	24	27	23	26	67					
