Выборы Президента Российской Федерации																																																																																																		
																																																																																																		
Наименование Избирательной комиссии:    Всеволожская																																																																																																		
																																																																																																		
Итоги голосования 																																																																																																		
																																																																																																		
		Сумма	УИК №132	УИК №133	УИК №134	УИК №135	УИК №136	УИК №137	УИК №138	УИК №139	УИК №140	УИК №141	УИК №142	УИК №143	УИК №144	УИК №145	УИК №146	УИК №147	УИК №148	УИК №149	УИК №150	УИК №151	УИК №152	УИК №153	УИК №154	УИК №155	УИК №156	УИК №157	УИК №158	УИК №159	УИК №160	УИК №161	УИК №162	УИК №163	УИК №164	УИК №165	УИК №166	УИК №167	УИК №168	УИК №169	УИК №170	УИК №171	УИК №172	УИК №173	УИК №174	УИК №175	УИК №176	УИК №177	УИК №178	УИК №179	УИК №180	УИК №181	УИК №182	УИК №183	УИК №184	УИК №185	УИК №186	УИК №187	УИК №188	УИК №189	УИК №190	УИК №191	УИК №192	УИК №193	УИК №194	УИК №195	УИК №196	УИК №197	УИК №198	УИК №199	УИК №200	УИК №201	УИК №202	УИК №203	УИК №204	УИК №205	УИК №206	УИК №207	УИК №208	УИК №209	УИК №210	УИК №211	УИК №212	УИК №213	УИК №214	УИК №215	УИК №216	УИК №217	УИК №218	УИК №219	УИК №220	УИК №221	УИК №222					
11	Число полученных открепительных  удостоверений	1968	26	26	26	26	26	26	26	26	26	26	26	26	25	26	26	26	26	26	26	11	11	16	16	26	16	16	26	6	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	26	26	26	26	26	26	26	21	21	21	21	21	21	26	21	21	21	21	21	21	21	16	16	16	16	16	65	16	16	21	11	21	31	21	6	15	16	16	26	6					
12	Число выданных открепительных удостоверений	1016	4	5	16	20	12	18	10	22	20	15	10	9	16	13	12	8	14	10	22	6	5	10	4	24	4	6	18	3	11	10	4	13	10	6	3	5	0	7	18	21	7	10	0	0	3	11	4	8	6	9	11	13	5	21	16	12	15	12	17	7	3	15	21	3	15	7	11	2	6	15	12	7	5	7	15	5	13	56	16	16	13	4	21	27	6	6	13	4	16	23	2					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	796	30	15	19	15	5	9	12	12	12	9	14	8	16	10	11	8	21	10	12	8	7	2	6	4	4	10	7	1	13	9	7	8	3	8	4	2	4	9	15	8	8	3	0	6	5	2	4	4	3	4	2	1	1	9	13	12	33	12	4	4	3	10	8	26	5	22	26	4	10	3	6	1	19	5	1	2	5	23	13	3	17	9	6	11	2	6	3	11	17	2	0					
14	Число неиспользованных открепительных удостоверений	952	22	21	10	6	14	8	16	4	6	11	16	17	9	13	14	18	12	16	4	5	6	6	12	2	12	10	8	3	10	11	17	8	11	15	18	16	21	14	3	0	14	11	21	21	18	10	17	13	15	12	10	13	21	5	10	14	11	14	4	14	18	6	0	18	11	14	10	19	15	6	9	14	11	9	1	11	3	9	0	0	8	7	0	4	15	0	2	12	0	3	4					
15	"Число открепительных удостоверений, выданных в ТИК"	12	0	0	1	0	1	0	0	0	0	0	0	0	0	0	2	0	2	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																																																																		
18	. Глазьев Сергей Юрьевич	2461	35	22	40	50	39	56	68	37	77	59	42	32	54	42	26	22	41	29	89	3	6	5	11	6	21	18	48	7	32	32	35	22	35	16	18	20	9	43	34	35	16	19	12	6	27	22	14	19	9	29	33	12	4	40	34	39	63	46	29	38	19	53	49	18	19	26	33	6	12	17	22	14	13	17	31	4	23	7	37	15	21	6	26	38	7	7	20	11	26	32	5					
		3.37%	4.30%	3.47%	3.99%	4.26%	3.45%	4.29%	5.34%	3.05%	6.40%	4.86%	3.84%	3.66%	4.04%	3.00%	4.89%	3.69%	4.43%	5.24%	5.78%	0.86%	2.90%	2.35%	3.40%	1.20%	3.37%	2.64%	3.59%	1.76%	3.17%	3.36%	3.80%	1.98%	4.23%	2.01%	2.86%	2.70%	3.81%	2.53%	2.46%	2.64%	2.53%	2.41%	2.33%	2.40%	3.19%	3.64%	4.56%	2.29%	0.96%	3.14%	4.99%	2.45%	1.35%	4.12%	5.07%	3.72%	4.73%	3.93%	3.91%	4.26%	2.51%	4.32%	3.78%	3.75%	3.17%	3.19%	3.27%	1.25%	2.14%	1.93%	2.38%	1.83%	2.12%	1.79%	4.64%	1.20%	2.88%	0.80%	3.57%	3.28%	4.00%	1.11%	3.47%	4.88%	2.95%	1.99%	3.43%	2.44%	2.28%	3.32%	3.31%					
19	. Малышкин Олег Александрович	787	12	14	7	5	13	14	8	15	9	14	10	9	18	20	4	4	12	7	15	5	0	0	4	7	7	9	23	4	9	9	7	20	7	8	9	5	1	25	10	7	9	7	7	0	7	9	2	6	10	10	13	4	3	8	5	13	5	15	13	4	5	11	12	5	7	11	18	6	3	8	13	12	3	10	12	3	8	4	24	8	3	9	4	13	2	2	5	9	7	13	1					
		1.08%	1.47%	2.21%	0.70%	0.43%	1.15%	1.07%	0.63%	1.23%	0.75%	1.15%	0.91%	1.03%	1.35%	1.43%	0.75%	0.67%	1.30%	1.27%	0.97%	1.43%	0.00%	0.00%	1.23%	1.40%	1.12%	1.32%	1.72%	1.01%	0.89%	0.94%	0.76%	1.80%	0.85%	1.01%	1.43%	0.67%	0.42%	1.47%	0.72%	0.53%	1.42%	0.89%	1.36%	0.00%	0.83%	1.49%	0.65%	0.72%	1.07%	1.08%	1.97%	0.82%	1.01%	0.82%	0.75%	1.24%	0.38%	1.28%	1.75%	0.45%	0.66%	0.90%	0.93%	1.04%	1.17%	1.35%	1.78%	1.25%	0.54%	0.91%	1.41%	1.57%	0.49%	1.05%	1.80%	0.90%	1.00%	0.46%	2.32%	1.75%	0.57%	1.66%	0.53%	1.67%	0.84%	0.57%	0.86%	2.00%	0.61%	1.35%	0.66%					
20	. Миронов Сергей Михайлович	845	13	22	14	11	16	11	12	17	12	17	9	8	13	16	5	9	11	4	16	3	4	2	4	5	4	6	10	3	17	9	12	14	10	12	4	6	0	21	11	10	7	7	3	9	8	9	4	14	16	11	6	7	1	22	12	8	9	14	10	14	11	21	16	7	9	4	6	6	7	12	12	3	8	7	6	4	11	5	20	5	5	3	5	10	2	10	6	0	18	12	0					
		1.16%	1.60%	3.47%	1.40%	0.94%	1.42%	0.84%	0.94%	1.40%	1.00%	1.40%	0.82%	0.92%	0.97%	1.14%	0.94%	1.51%	1.19%	0.72%	1.04%	0.86%	1.93%	0.94%	1.23%	1.00%	0.64%	0.88%	0.75%	0.75%	1.68%	0.94%	1.30%	1.26%	1.21%	1.51%	0.63%	0.81%	0.00%	1.24%	0.79%	0.75%	1.11%	0.89%	0.58%	3.60%	0.95%	1.49%	1.30%	1.69%	1.71%	1.19%	0.91%	1.43%	0.34%	2.27%	1.79%	0.76%	0.68%	1.20%	1.35%	1.57%	1.45%	1.71%	1.23%	1.46%	1.50%	0.49%	0.59%	1.25%	1.25%	1.36%	1.30%	0.39%	1.31%	0.74%	0.90%	1.20%	1.38%	0.57%	1.93%	1.09%	0.95%	0.55%	0.67%	1.29%	0.84%	2.84%	1.03%	0.00%	1.58%	1.24%	0.00%					
21	. Путин Владимир Владимирович	56948	626	453	752	885	852	970	969	932	855	880	830	643	990	1031	410	442	642	409	1106	303	173	175	260	433	513	575	1092	329	796	758	732	891	635	634	499	575	193	1419	1169	1096	520	638	426	181	701	439	248	680	772	778	491	393	256	690	466	835	983	923	529	664	576	901	951	355	498	655	806	391	465	680	734	609	504	790	518	286	657	779	777	367	419	469	573	581	178	262	479	377	882	761	128					
		78.04%	76.90%	71.45%	75.05%	75.45%	75.40%	74.27%	76.12%	76.71%	71.01%	72.55%	75.94%	73.57%	74.10%	73.75%	77.07%	74.16%	69.41%	73.96%	71.77%	86.57%	83.57%	82.16%	80.25%	86.43%	82.21%	84.19%	81.74%	82.66%	78.89%	79.54%	79.48%	80.20%	76.78%	79.75%	79.21%	77.60%	81.78%	83.57%	84.47%	82.59%	82.15%	81.07%	82.56%	72.40%	82.86%	72.68%	80.78%	82.13%	82.66%	84.29%	74.28%	80.37%	86.20%	71.06%	69.55%	79.75%	73.85%	78.89%	71.29%	74.36%	76.09%	73.49%	73.32%	73.96%	83.00%	80.47%	79.88%	81.63%	83.04%	77.01%	79.44%	79.71%	82.35%	83.07%	77.54%	85.63%	82.12%	89.54%	75.07%	80.31%	79.81%	86.69%	76.40%	74.68%	75.11%	74.43%	82.16%	83.78%	77.44%	78.94%	84.77%					
22	. Хакамада Ирина Муцуовна	2931	35	29	45	48	45	65	46	64	90	82	76	43	66	103	20	44	52	35	86	2	2	4	9	7	13	17	25	5	37	30	25	39	34	29	15	27	10	49	34	27	24	23	12	9	12	25	7	19	23	19	38	17	4	87	46	30	84	46	44	43	51	65	69	16	18	26	28	8	10	31	21	69	10	17	24	2	24	14	27	9	24	12	46	38	13	21	12	18	40	39	3					
		4.02%	4.30%	4.57%	4.49%	4.09%	3.98%	4.98%	3.61%	5.27%	7.48%	6.76%	6.95%	4.92%	4.94%	7.37%	3.76%	7.38%	5.62%	6.33%	5.58%	0.57%	0.97%	1.88%	2.78%	1.40%	2.08%	2.49%	1.87%	1.26%	3.67%	3.15%	2.71%	3.51%	4.11%	3.65%	2.38%	3.64%	4.24%	2.89%	2.46%	2.03%	3.79%	2.92%	2.33%	3.60%	1.42%	4.14%	2.28%	2.29%	2.46%	2.06%	5.75%	3.48%	1.35%	8.96%	6.87%	2.87%	6.31%	3.93%	5.93%	4.82%	6.74%	5.30%	5.32%	3.33%	3.00%	3.19%	2.78%	1.67%	1.79%	3.51%	2.27%	9.03%	1.63%	1.79%	3.59%	0.60%	3.00%	1.61%	2.61%	1.97%	4.57%	2.22%	6.13%	4.88%	5.49%	5.97%	2.06%	4.00%	3.51%	4.05%	1.99%					
23	. Харитонов Николай Михайлович	6341	75	71	104	132	117	133	125	103	114	104	84	91	143	134	53	66	121	49	138	22	15	18	26	18	51	43	111	41	80	94	77	84	79	71	73	92	15	85	105	111	45	67	40	38	72	75	22	69	75	51	38	43	24	88	70	70	133	88	90	97	63	121	159	59	18	74	83	46	56	104	72	20	58	71	52	28	36	39	108	28	40	21	62	55	27	39	36	22	118	52	11					
		8.69%	9.21%	11.20%	10.38%	11.25%	10.35%	10.18%	9.82%	8.48%	9.47%	8.57%	7.69%	10.41%	10.70%	9.59%	9.96%	11.07%	13.08%	8.86%	8.96%	6.29%	7.25%	8.45%	8.02%	3.59%	8.17%	6.30%	8.31%	10.30%	7.93%	9.86%	8.36%	7.56%	9.55%	8.93%	11.59%	12.42%	6.36%	5.01%	7.59%	8.36%	7.11%	8.51%	7.75%	15.20%	8.51%	12.42%	7.17%	8.33%	8.03%	5.53%	5.75%	8.79%	8.08%	9.06%	10.45%	6.69%	9.99%	7.52%	12.13%	10.86%	8.32%	9.87%	12.26%	12.29%	3.00%	9.09%	8.23%	9.60%	10.00%	11.78%	7.79%	2.62%	9.48%	7.47%	7.78%	8.38%	4.50%	4.48%	10.43%	6.13%	7.62%	3.88%	8.27%	7.07%	11.39%	11.08%	6.17%	4.89%	10.36%	5.39%	7.28%					
																																																																																																		
24	Против всех	2266	16	17	36	36	38	53	36	42	43	54	42	43	49	52	10	7	39	17	88	10	7	8	7	24	7	12	25	6	32	20	27	35	17	23	12	12	8	51	16	24	8	16	8	5	16	19	8	17	27	22	36	12	2	32	33	37	51	30	23	29	26	47	38	17	30	15	30	14	4	27	40	29	16	33	24	5	37	22	33	18	11	19	31	41	8	10	8	10	38	52	1					
		3.11%	1.97%	2.68%	3.59%	3.07%	3.36%	4.06%	2.83%	3.46%	3.57%	4.45%	3.84%	4.92%	3.67%	3.72%	1.88%	1.17%	4.22%	3.07%	5.71%	2.86%	3.38%	3.76%	2.16%	4.79%	1.12%	1.76%	1.87%	1.51%	3.17%	2.10%	2.93%	3.15%	2.06%	2.89%	1.90%	1.62%	3.39%	3.00%	1.16%	1.81%	1.26%	2.03%	1.55%	2.00%	1.89%	3.15%	2.61%	2.05%	2.89%	2.38%	5.45%	2.45%	0.67%	3.30%	4.93%	3.53%	3.83%	2.56%	3.10%	3.25%	3.43%	3.83%	2.93%	3.54%	5.00%	1.84%	2.97%	2.92%	0.71%	3.06%	4.33%	3.80%	2.61%	3.47%	3.59%	1.50%	4.62%	2.53%	3.19%	3.94%	2.10%	3.51%	4.13%	5.27%	3.38%	2.84%	1.37%	2.22%	3.34%	5.39%	0.66%					
																																																																																																		
																																																																																																		
																																																																																																		
																																																																																																		
																																																																																																		
																																																																																																		
																																																																																																		
																																																																																																		
																																																																																																		
																																																																																																		
																																																																																																		
																																																																																																		
																																																																																																		
																																																																																																		
																																																																																																		
