7	Число избирательных бюллетеней в переносных ящиках для голосования	5277	17	12	9	34	19	14	58	11	62	42	11	21	38	13	35	20	28	41	4	13	35	10	51	11	12	30	212	99	54	31	79	11	28	60	14	45	20	27	13	24	56	55	29	56	39	17	12	275	3	18	66	19	39	54	60	9	39	9	13	9	21	2	41	35	60	27	33	22	21	17	138	30	49	6	144	166	492	18	24	16	12	16	17	13	3	16	4	3	17	24	34	2	10	35	14	19	10	35	27	24	14	5	16	20	20	215	23	33	75	58	9	6	5	37	18	11	3	6	13	12	6	2	18	18	33	3	7	2	1	5	14	13	614									
8	Число бюллетеней в стационарных ящиках для голосования	155302	379	982	1211	2163	1568	1488	1717	1205	1265	1403	1590	1245	2070	929	1293	1118	964	1387	1142	962	1488	419	2179	1981	370	1198	994	1011	1037	956	1718	1127	1023	1348	959	960	796	1065	287	601	373	1264	657	1004	1327	1053	931	1235	404	887	543	560	1190	982	1144	883	805	817	482	265	253	550	365	1021	989	712	1747	868	918	827	1368	980	612	541	1989	1396	1226	820	737	656	616	2036	986	581	2197	375	2435	1727	1446	1490	1623	504	892	1204	1478	1290	1226	1431	1265	1254	1291	630	847	1316	1532	1680	1456	1061	1130	784	1491	1270	1523	825	1188	1599	1301	799	897	2447	2290	1449	1210	1062	987	1690	2046	2309	2440	1031	1248	1275	2163									
9	Число недействительных избирательных бюллетеней	1862	6	5	19	19	8	9	17	14	12	11	12	14	40	4	14	10	13	25	6	16	21	5	31	25	6	16	16	19	16	11	16	10	17	12	11	8	12	3	1	7	1	18	7	23	9	12	17	21	7	24	4	9	12	17	10	10	7	11	6	1	3	11	8	12	10	1	14	7	7	12	12	15	9	6	15	16	34	8	5	7	2	22	8	3	21	6	39	22	26	15	13	8	7	9	13	12	14	10	11	22	11	13	12	10	19	27	15	17	8	8	14	16	21	15	9	11	7	11	18	36	23	16	18	10	9	31	29	54	40	10	9	11	46									
10	Число действительных избирательных бюллетеней	158717	390	989	1201	2178	1579	1493	1758	1202	1315	1434	1589	1252	2068	938	1314	1128	979	1403	1140	959	1502	424	2199	1967	376	1212	1190	1091	1075	976	1781	1128	1034	1396	962	997	804	1089	299	618	428	1301	679	1037	1357	1058	926	1489	400	881	605	570	1217	1019	1194	882	837	815	489	273	271	541	398	1044	1039	738	1766	883	932	832	1494	995	652	541	2118	1546	1684	830	756	665	626	2030	995	591	2179	385	2400	1708	1437	1499	1644	498	895	1230	1479	1297	1222	1456	1281	1256	1294	622	851	1326	1533	1868	1464	1077	1197	834	1486	1260	1507	847	1197	1599	1297	794	892	2423	2273	1435	1210	1070	1011	1662	2024	2257	2401	1026	1253	1277	2731									
11	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
12	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																																																																																																																
13	Бабурин Сергей Николаевич	1080	5	6	11	8	6	15	14	7	12	7	6	10	5	4	13	5	7	3	6	7	6	4	13	12	2	8	11	7	12	7	12	17	8	9	9	3	7	4	0	2	1	4	1	6	7	7	7	8	4	3	9	2	2	6	7	11	11	7	0	2	0	1	3	7	13	6	9	8	8	5	11	8	3	3	10	11	7	4	2	1	3	10	6	7	15	0	12	12	12	7	16	7	10	11	11	10	11	17	7	11	14	4	10	12	10	11	10	13	6	4	13	13	13	6	14	7	13	3	4	16	16	14	11	9	4	10	8	15	19	9	6	17	16									
		0.67%	1.26%	0.60%	0.90%	0.36%	0.38%	0.99%	0.79%	0.58%	0.90%	0.48%	0.37%	0.79%	0.24%	0.42%	0.98%	0.44%	0.71%	0.21%	0.52%	0.72%	0.39%	0.93%	0.58%	0.60%	0.52%	0.65%	0.91%	0.63%	1.10%	0.71%	0.67%	1.49%	0.76%	0.64%	0.92%	0.30%	0.86%	0.37%	0.00%	0.32%	0.23%	0.30%	0.15%	0.57%	0.51%	0.65%	0.74%	0.53%	0.98%	0.33%	1.48%	0.35%	0.16%	0.58%	0.58%	1.23%	1.30%	0.85%	0.00%	0.73%	0.00%	0.18%	0.74%	0.66%	1.24%	0.81%	0.51%	0.90%	0.85%	0.59%	0.73%	0.79%	0.45%	0.55%	0.47%	0.70%	0.41%	0.48%	0.26%	0.15%	0.48%	0.49%	0.60%	1.18%	0.68%	0.00%	0.49%	0.69%	0.82%	0.46%	0.97%	1.38%	1.11%	0.89%	0.74%	0.76%	0.89%	1.16%	0.54%	0.86%	1.07%	0.63%	1.16%	0.90%	0.64%	0.58%	0.68%	1.19%	0.50%	0.48%	0.87%	1.02%	0.85%	0.70%	1.16%	0.43%	0.99%	0.37%	0.44%	0.65%	0.70%	0.96%	0.90%	0.83%	0.39%	0.59%	0.39%	0.65%	0.78%	0.87%	0.48%	1.32%	0.58%									
14	Грудинин Павел Николаевич	14596	35	69	88	121	95	152	112	110	121	124	157	121	178	87	118	82	87	73	110	59	81	40	223	222	38	120	88	91	95	91	133	103	102	129	97	86	65	92	19	32	39	127	29	92	75	84	80	117	48	83	64	25	87	101	79	65	81	42	21	19	17	39	40	111	88	59	140	60	73	64	112	54	50	35	184	111	95	82	61	51	31	154	74	36	150	29	346	220	180	153	126	46	69	121	150	110	109	154	98	111	111	56	72	145	173	162	189	105	113	100	161	131	178	97	169	178	123	76	85	280	195	185	134	104	106	206	253	332	349	128	134	149	220									
		9.09%	8.84%	6.94%	7.21%	5.51%	5.99%	10.12%	6.31%	9.05%	9.12%	8.58%	9.81%	9.56%	8.44%	9.24%	8.89%	7.21%	8.77%	5.11%	9.60%	6.05%	5.32%	9.32%	10.00%	11.14%	9.95%	9.77%	7.30%	8.20%	8.71%	9.22%	7.40%	9.05%	9.71%	9.16%	9.97%	8.56%	7.97%	8.42%	6.33%	5.12%	9.09%	9.63%	4.23%	8.68%	5.49%	7.85%	8.48%	7.75%	11.79%	9.17%	10.51%	4.32%	7.08%	9.75%	6.56%	7.29%	9.60%	5.08%	4.24%	6.93%	6.20%	7.07%	9.85%	10.51%	8.39%	7.98%	7.87%	6.74%	7.77%	7.58%	7.44%	5.35%	7.56%	6.40%	8.63%	7.11%	5.53%	9.79%	8.02%	7.59%	4.94%	7.50%	7.38%	6.06%	6.82%	7.42%	14.19%	12.72%	12.30%	10.11%	7.60%	9.09%	7.65%	9.77%	10.05%	8.40%	8.82%	10.50%	7.59%	8.69%	8.51%	8.82%	8.34%	10.85%	11.15%	8.55%	12.78%	9.60%	9.38%	11.88%	10.73%	10.27%	11.65%	11.25%	14.01%	11.06%	9.43%	9.44%	9.34%	11.39%	8.49%	12.75%	10.91%	9.63%	10.39%	12.17%	12.32%	14.37%	14.30%	12.36%	10.62%	11.57%	7.92%									
15	Жириновский Владимир Вольфович	7183	21	40	56	74	14	71	58	50	65	65	127	49	168	29	76	46	52	45	55	27	168	21	98	73	17	39	60	61	62	56	67	50	58	63	32	80	58	80	20	19	22	77	20	52	23	53	50	74	29	35	29	18	60	54	80	44	41	32	14	2	8	52	14	54	53	32	92	33	41	44	78	39	26	23	100	84	56	35	60	46	15	64	39	21	63	15	101	60	58	72	70	28	49	51	51	49	62	71	56	55	65	27	28	53	61	75	73	48	42	34	69	45	55	26	50	85	58	28	27	82	55	96	61	39	35	57	67	111	107	53	73	52	147									
		4.47%	5.30%	4.02%	4.59%	3.37%	0.88%	4.73%	3.27%	4.11%	4.90%	4.50%	7.93%	3.87%	7.97%	3.08%	5.72%	4.04%	5.24%	3.15%	4.80%	2.77%	11.03%	4.90%	4.39%	3.66%	4.45%	3.18%	4.98%	5.50%	5.68%	5.67%	3.73%	4.39%	5.52%	4.47%	3.29%	7.96%	7.11%	7.33%	6.67%	3.04%	5.13%	5.84%	2.92%	4.91%	1.68%	4.95%	5.30%	4.90%	7.13%	3.87%	4.76%	3.11%	4.88%	5.21%	6.64%	4.93%	4.86%	3.87%	2.83%	0.73%	2.92%	9.42%	3.45%	5.11%	5.05%	4.33%	5.17%	3.71%	4.37%	5.21%	5.18%	3.86%	3.93%	4.20%	4.69%	5.38%	3.26%	4.18%	7.88%	6.85%	2.39%	3.12%	3.89%	3.54%	2.86%	3.84%	4.14%	3.47%	3.96%	4.76%	4.22%	5.53%	5.43%	4.12%	3.42%	3.74%	5.02%	4.84%	4.33%	4.30%	4.98%	4.25%	3.24%	3.97%	3.93%	3.96%	4.94%	4.39%	3.49%	4.04%	4.60%	3.53%	3.60%	3.02%	4.15%	5.28%	4.45%	3.48%	2.97%	3.33%	2.40%	6.62%	4.97%	3.61%	3.43%	3.37%	3.26%	4.80%	4.38%	5.12%	5.78%	4.04%	5.29%									
16	Путин Владимир Владимирович	124734	307	824	999	1920	1430	1168	1489	961	1051	1175	1214	1000	1519	764	1034	892	779	1212	909	807	1194	313	1719	1482	287	958	952	851	830	737	1467	868	796	1107	726	763	634	844	254	543	344	1037	607	836	1197	876	750	1182	299	688	445	508	1020	806	980	714	661	710	445	248	226	425	320	819	818	613	1440	739	765	673	1213	846	549	445	1714	1277	1477	661	599	529	541	1718	827	494	1760	321	1591	1134	1061	1145	1341	382	705	966	1167	1036	964	1116	1021	996	1012	494	682	1013	1162	1503	1064	823	947	602	1095	963	1178	618	858	1224	991	645	732	1748	1862	941	916	829	799	1163	1442	1471	1582	764	943	954	2148									
		77.68%	77.53%	82.90%	81.89%	87.39%	90.11%	77.76%	83.89%	79.03%	79.20%	81.31%	75.83%	78.99%	72.06%	81.10%	77.86%	78.38%	78.53%	84.87%	79.32%	82.77%	78.40%	72.96%	77.09%	74.40%	75.13%	78.01%	78.94%	76.67%	76.08%	74.67%	81.64%	76.27%	75.74%	78.62%	74.61%	75.92%	77.70%	77.29%	84.67%	86.88%	80.19%	78.62%	88.48%	78.87%	87.63%	81.87%	79.53%	78.28%	73.46%	76.02%	73.07%	87.74%	82.99%	77.80%	81.40%	80.04%	78.32%	85.96%	89.90%	90.51%	82.48%	76.99%	78.82%	77.56%	77.98%	82.95%	80.90%	83.03%	81.47%	79.74%	80.54%	83.76%	83.06%	81.35%	80.36%	81.75%	85.97%	78.88%	78.71%	78.72%	86.15%	83.72%	82.45%	83.16%	80.00%	82.10%	65.23%	65.55%	72.52%	75.63%	80.93%	75.49%	78.16%	77.97%	78.22%	79.14%	77.99%	76.13%	79.02%	77.93%	77.55%	77.80%	79.03%	75.82%	74.87%	79.31%	71.94%	75.23%	78.59%	71.50%	73.00%	75.47%	77.09%	71.69%	71.14%	76.02%	75.99%	80.12%	80.44%	71.09%	81.10%	64.85%	74.59%	76.76%	78.33%	68.69%	70.24%	63.65%	64.81%	73.75%	74.72%	74.07%	77.35%									
17	Собчак Ксения Анатольевна	5365	5	22	26	18	12	39	37	40	33	22	51	29	137	26	36	57	30	28	29	30	25	24	64	86	16	32	28	45	28	32	40	44	31	35	36	46	16	33	1	9	13	36	3	25	33	21	21	52	8	37	23	5	24	21	21	25	12	10	2	0	10	13	12	24	30	18	33	20	17	11	43	24	13	18	57	24	20	19	15	18	17	41	22	14	91	10	204	153	64	57	33	12	22	35	43	38	29	41	54	28	36	18	29	40	46	52	58	49	31	50	62	49	40	44	54	65	55	15	20	147	96	96	37	37	30	127	140	168	216	35	47	47	112									
		3.34%	1.26%	2.21%	2.13%	0.82%	0.76%	2.60%	2.08%	3.29%	2.49%	1.52%	3.19%	2.29%	6.50%	2.76%	2.71%	5.01%	3.02%	1.96%	2.53%	3.08%	1.64%	5.59%	2.87%	4.32%	4.19%	2.61%	2.32%	4.05%	2.57%	3.24%	2.23%	3.87%	2.95%	2.49%	3.70%	4.58%	1.96%	3.02%	0.33%	1.44%	3.03%	2.73%	0.44%	2.36%	2.42%	1.96%	2.23%	3.44%	1.97%	4.09%	3.78%	0.86%	1.95%	2.03%	1.74%	2.80%	1.42%	1.21%	0.40%	0.00%	3.65%	2.36%	2.96%	2.27%	2.86%	2.44%	1.85%	2.25%	1.81%	1.30%	2.86%	2.38%	1.97%	3.29%	2.67%	1.54%	1.16%	2.27%	1.97%	2.68%	2.71%	1.99%	2.19%	2.36%	4.14%	2.56%	8.36%	8.84%	4.37%	3.76%	1.99%	2.37%	2.44%	2.82%	2.88%	2.90%	2.35%	2.80%	4.18%	2.19%	2.76%	2.83%	3.36%	2.99%	2.96%	2.74%	3.92%	4.48%	2.57%	5.94%	4.13%	3.84%	2.62%	5.10%	4.48%	4.04%	4.22%	1.86%	2.20%	5.98%	4.18%	6.62%	3.01%	3.43%	2.94%	7.50%	6.82%	7.27%	8.85%	3.38%	3.72%	3.65%	4.03%									
18	Сурайкин Максим Александрович	913	6	7	3	8	5	13	4	6	7	4	10	7	12	3	4	6	2	8	3	5	9	0	11	11	1	9	12	3	6	9	13	5	5	10	10	4	11	8	3	4	1	9	7	4	2	6	5	10	5	5	5	4	5	8	8	6	4	3	1	2	2	3	2	3	10	3	13	3	4	5	10	5	3	2	10	10	6	9	5	0	2	9	3	3	6	2	6	11	9	6	14	3	10	9	12	10	14	12	7	16	14	3	4	13	14	8	9	6	10	5	12	7	7	6	7	5	8	13	1	11	3	10	6	8	4	8	4	10	14	6	6	14	18									
		0.57%	1.52%	0.70%	0.25%	0.36%	0.32%	0.87%	0.23%	0.49%	0.53%	0.28%	0.62%	0.55%	0.57%	0.32%	0.30%	0.53%	0.20%	0.56%	0.26%	0.51%	0.59%	0.00%	0.49%	0.55%	0.26%	0.73%	0.99%	0.27%	0.55%	0.91%	0.72%	0.44%	0.48%	0.71%	1.03%	0.40%	1.35%	0.73%	1.00%	0.64%	0.23%	0.68%	1.02%	0.38%	0.15%	0.56%	0.53%	0.66%	1.23%	0.55%	0.82%	0.69%	0.41%	0.77%	0.66%	0.67%	0.47%	0.36%	0.20%	0.73%	0.73%	0.54%	0.49%	0.28%	0.95%	0.41%	0.73%	0.34%	0.43%	0.59%	0.66%	0.50%	0.45%	0.37%	0.47%	0.64%	0.35%	1.07%	0.66%	0.00%	0.32%	0.44%	0.30%	0.51%	0.27%	0.51%	0.25%	0.64%	0.62%	0.40%	0.84%	0.59%	1.11%	0.73%	0.80%	0.76%	1.13%	0.82%	0.54%	1.25%	1.07%	0.47%	0.46%	0.97%	0.90%	0.42%	0.61%	0.55%	0.83%	0.59%	0.80%	0.55%	0.46%	0.70%	0.58%	0.31%	0.61%	1.61%	0.11%	0.45%	0.13%	0.69%	0.49%	0.74%	0.39%	0.47%	0.19%	0.43%	0.57%	0.58%	0.48%	1.09%	0.65%									
19	Титов Борис Юрьевич	1984	3	11	7	17	6	16	17	12	9	16	13	21	21	10	18	21	10	10	13	8	6	9	24	28	7	12	16	8	16	17	22	20	12	12	23	8	6	7	1	3	4	7	5	6	5	5	8	18	1	11	11	3	10	7	11	9	13	3	4	0	3	6	6	13	11	6	22	11	12	11	9	5	3	7	20	14	10	7	5	13	3	18	16	8	40	4	60	44	18	27	20	7	14	19	19	21	16	11	16	16	18	6	13	18	23	26	25	7	11	15	30	22	19	19	18	14	19	4	9	57	14	45	12	15	11	46	50	56	42	12	14	16	30									
		1.24%	0.76%	1.11%	0.57%	0.77%	0.38%	1.07%	0.96%	0.99%	0.68%	1.11%	0.81%	1.66%	0.99%	1.06%	1.36%	1.85%	1.01%	0.70%	1.13%	0.82%	0.39%	2.10%	1.08%	1.41%	1.83%	0.98%	1.33%	0.72%	1.47%	1.72%	1.22%	1.76%	1.14%	0.85%	2.36%	0.80%	0.74%	0.64%	0.33%	0.48%	0.93%	0.53%	0.73%	0.57%	0.37%	0.47%	0.85%	1.19%	0.25%	1.22%	1.81%	0.52%	0.81%	0.68%	0.91%	1.01%	1.54%	0.36%	0.81%	0.00%	1.09%	1.09%	1.48%	1.23%	1.05%	0.81%	1.24%	1.24%	1.28%	1.30%	0.60%	0.50%	0.45%	1.28%	0.94%	0.90%	0.58%	0.84%	0.66%	1.93%	0.48%	0.88%	1.60%	1.35%	1.82%	1.02%	2.46%	2.54%	1.23%	1.78%	1.21%	1.38%	1.55%	1.53%	1.27%	1.60%	1.29%	0.75%	1.24%	1.25%	1.38%	0.94%	1.51%	1.35%	1.48%	1.37%	1.69%	0.64%	0.91%	1.78%	2.00%	1.72%	1.24%	2.20%	1.49%	0.87%	1.46%	0.50%	0.99%	2.32%	0.61%	3.10%	0.98%	1.39%	1.08%	2.72%	2.44%	2.42%	1.72%	1.16%	1.11%	1.24%	1.08%									
20	Явлинский Григорий Алексеевич	2862	8	10	11	12	11	19	27	16	17	21	11	15	28	15	15	19	12	24	15	16	13	13	47	53	8	34	23	25	26	27	27	21	22	31	29	7	7	21	1	6	4	4	7	16	15	6	5	28	6	19	19	5	9	16	8	8	14	8	2	0	5	2	1	13	16	1	17	9	12	19	18	14	5	8	23	15	13	13	9	7	14	16	8	8	54	4	80	74	35	32	24	13	16	18	26	23	17	34	22	23	24	14	13	32	44	31	36	26	37	24	44	30	17	31	27	21	30	10	14	82	32	48	33	29	22	45	60	94	72	19	30	28	40									
		1.78%	2.02%	1.01%	0.90%	0.55%	0.69%	1.26%	1.52%	1.32%	1.28%	1.45%	0.69%	1.18%	1.33%	1.59%	1.13%	1.67%	1.21%	1.68%	1.31%	1.64%	0.85%	3.03%	2.11%	2.66%	2.09%	2.77%	1.91%	2.25%	2.38%	2.74%	1.50%	1.85%	2.09%	2.20%	2.98%	0.70%	0.86%	1.92%	0.33%	0.96%	0.93%	0.30%	1.02%	1.51%	1.10%	0.56%	0.53%	1.85%	1.47%	2.10%	3.12%	0.86%	0.73%	1.54%	0.66%	0.90%	1.66%	0.97%	0.40%	0.00%	1.82%	0.36%	0.25%	1.23%	1.53%	0.14%	0.96%	1.01%	1.28%	2.25%	1.20%	1.39%	0.76%	1.46%	1.08%	0.96%	0.76%	1.55%	1.18%	1.04%	2.23%	0.78%	0.80%	1.35%	2.45%	1.02%	3.28%	4.28%	2.39%	2.11%	1.45%	2.57%	1.77%	1.45%	1.74%	1.76%	1.38%	2.32%	1.70%	1.80%	1.84%	2.20%	1.51%	2.40%	2.84%	1.64%	2.43%	2.38%	3.07%	2.85%	2.93%	2.35%	1.11%	3.60%	2.24%	1.30%	2.30%	1.24%	1.54%	3.33%	1.39%	3.31%	2.69%	2.69%	2.16%	2.66%	2.92%	4.07%	2.95%	1.83%	2.38%	2.17%	1.44%									
																																																																																																																																																
																																																																																																																																																
																																																																																																																																																
																																																																																																																																																
																																																																																																																																																
																																																																																																																																																
																																																																																																																																																
																																																																																																																																																
																																																																																																																																																
																																																																																																																																																
																																																																																																																																																
																																																																																																																																																
																																																																																																																																																
																																																																																																																																																
																																																																																																																																																
																																																																																																																																																
																																																																																																																																																
																																																																																																																																																
																																																																																																																																																
																																																																																																																																																
																																																																																																																																																
																																																																																																																																																
																																																																																																																																																
																																																																																																																																																
																																																																																																																																																
																																																																																																																																																
																																																																																																																																																
