Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																										
Дата голосования: 07.12.2003 0:00:00																										
																										
Наименование Избирательной комиссии:    Частоозерская																										
																										
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																										
																										
		Сумма	УИК №913	УИК №914	УИК №915	УИК  916	УИК  917	УИК  918	УИК  919	УИК  920	УИК  921	УИК  922	УИК  923	УИК  924	УИК  925	УИК  926	УИК  927	УИК  928	УИК  929	УИК  930	УИК  931					
		0.23%	0.21%	0.31%	0.73%	0.0%	0.0%	0.0%	0.91%	0.0%	0.56%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.30%	0.0%	0.0%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	111	4	17	7	7	1	6	12	1	7	3	0	12	3	12	0	4	10	1	4					
		2.59%	0.84%	2.66%	2.56%	4.66%	1.36%	1.77%	5.50%	1.58%	1.98%	2.65%	0.0%	3.42%	6.0%	4.05%	0.0%	3.50%	3.03%	1.12%	2.19%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	33	5	6	3	1	1	3	2	0	7	0	0	2	0	0	1	0	1	0	1					
		0.77%	1.05%	0.93%	1.09%	0.66%	1.36%	0.88%	0.91%	0.0%	1.98%	0.0%	0.0%	0.57%	0.0%	0.0%	1.08%	0.0%	0.30%	0.0%	0.54%					
22	"5. ""За Русь Святую"""	15	0	2	0	0	0	3	1	0	4	1	0	0	0	2	0	1	1	0	0					
		0.35%	0.0%	0.31%	0.0%	0.0%	0.0%	0.88%	0.45%	0.0%	1.13%	0.88%	0.0%	0.0%	0.0%	0.67%	0.0%	0.87%	0.30%	0.0%	0.0%					
23	"6. ""Объединенная Российская партия ""Русь"""	6	0	2	0	0	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0					
		0.14%	0.0%	0.31%	0.0%	0.0%	0.0%	0.88%	0.45%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%					
24	"7. ""Новый курс - Автомобильная Россия"""	29	1	8	4	4	2	0	1	0	2	0	0	0	0	2	0	0	4	1	0					
		0.67%	0.21%	1.25%	1.46%	2.66%	2.73%	0.0%	0.45%	0.0%	0.56%	0.0%	0.0%	0.0%	0.0%	0.67%	0.0%	0.0%	1.21%	1.12%	0.0%					
25	"8. ""Народно-республиканская партия России"""	12	1	1	0	0	0	2	1	0	1	0	0	2	0	2	0	0	1	0	1					
		0.28%	0.21%	0.15%	0.0%	0.0%	0.0%	0.59%	0.45%	0.0%	0.28%	0.0%	0.0%	0.57%	0.0%	0.67%	0.0%	0.0%	0.30%	0.0%	0.54%					
26	"9. ""Российская экологическая партия ""Зеленые"""	2	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0					
		0.04%	0.0%	0.15%	0.0%	0.0%	0.0%	0.0%	0.45%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%					
27	"10. ""Аграрная партия России"""	491	42	39	16	3	5	28	23	4	102	47	18	40	5	58	11	2	22	15	11					
		11.49%	8.82%	6.10%	5.86%	2.0%	6.84%	8.28%	10.55%	6.34%	28.89%	41.59%	24.65%	11.42%	10.0%	19.59%	11.95%	1.75%	6.66%	16.85%	6.04%					
28	"11. ""Истинные патриоты России"""	6	1	3	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0					
		0.14%	0.21%	0.46%	0.0%	0.0%	0.0%	0.0%	0.45%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.30%	0.0%	0.0%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	191	10	37	5	25	0	13	7	9	24	1	2	9	1	16	5	3	21	0	3					
		4.47%	2.10%	5.79%	1.83%	16.66%	0.0%	3.84%	3.21%	14.28%	6.79%	0.88%	2.73%	2.57%	2.0%	5.40%	5.43%	2.63%	6.36%	0.0%	1.64%					
30	"13. ""Демократическая партия России"""	8	1	0	2	0	0	1	0	0	1	0	0	1	0	1	1	0	0	0	0					
		0.18%	0.21%	0.0%	0.73%	0.0%	0.0%	0.29%	0.0%	0.0%	0.28%	0.0%	0.0%	0.28%	0.0%	0.33%	1.08%	0.0%	0.0%	0.0%	0.0%					
31	"14. ""Великая Россия - Евразийский Союз"""	11	1	2	0	0	2	0	0	0	0	1	0	1	0	0	0	2	1	0	1					
		0.25%	0.21%	0.31%	0.0%	0.0%	2.73%	0.0%	0.0%	0.0%	0.0%	0.88%	0.0%	0.28%	0.0%	0.0%	0.0%	1.75%	0.30%	0.0%	0.54%					
32	"15. ""Партия СЛОН"""	5	1	0	1	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0					
		0.11%	0.21%	0.0%	0.36%	0.0%	0.0%	0.59%	0.45%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%					
33	"16. ""Родина"" (народно-патриотический союз)"""	157	18	23	5	0	1	8	2	2	8	1	2	39	0	10	2	8	15	0	13					
		3.67%	3.78%	3.59%	1.83%	0.0%	1.36%	2.36%	0.91%	3.17%	2.26%	0.88%	2.73%	11.14%	0.0%	3.37%	2.17%	7.01%	4.54%	0.0%	7.14%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	17	2	1	0	1	0	1	0	2	1	1	2	0	0	2	0	0	2	0	2					
		0.39%	0.42%	0.15%	0.0%	0.66%	0.0%	0.29%	0.0%	3.17%	0.28%	0.88%	2.73%	0.0%	0.0%	0.67%	0.0%	0.0%	0.60%	0.0%	1.09%					
35	"18. ""ЛДПР"""	845	89	123	66	19	10	100	66	18	49	23	12	54	17	51	26	37	47	9	29					
		19.77%	18.69%	19.24%	24.17%	12.66%	13.69%	29.58%	30.27%	28.57%	13.88%	20.35%	16.43%	15.42%	34.0%	17.22%	28.26%	32.45%	14.24%	10.11%	15.93%					
36	"19. ""Партия Возрождения России - Российская партия ЖИЗНИ"""	65	8	9	1	4	0	5	3	2	10	4	0	6	0	2	2	3	6	0	0					
		1.52%	1.68%	1.40%	0.36%	2.66%	0.0%	1.47%	1.37%	3.17%	2.83%	3.53%	0.0%	1.71%	0.0%	0.67%	2.17%	2.63%	1.81%	0.0%	0.0%					
37	"20. ""Политическая партия ""Единая Россия"""	1463	198	246	112	72	38	110	55	15	60	23	27	76	9	89	25	45	155	48	60					
		34.24%	41.59%	38.49%	41.02%	48.0%	52.05%	32.54%	25.22%	23.80%	16.99%	20.35%	36.98%	21.71%	18.0%	30.06%	27.17%	39.47%	46.96%	53.93%	32.96%					
38	"21. ""Российская Конституционно-демократическая партия"""	7	1	0	0	0	0	2	0	0	1	0	1	2	0	0	0	0	0	0	0					
		0.16%	0.21%	0.0%	0.0%	0.0%	0.0%	0.59%	0.0%	0.0%	0.28%	0.0%	1.36%	0.57%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%					
39	"22. ""Развитие предпринимательства"""	11	2	2	1	0	0	0	0	0	2	0	0	2	0	0	0	0	1	0	1					
		0.25%	0.42%	0.31%	0.36%	0.0%	0.0%	0.0%	0.0%	0.0%	0.56%	0.0%	0.0%	0.57%	0.0%	0.0%	0.0%	0.0%	0.30%	0.0%	0.54%					
40	"23. ""Коммунистическая партия Российской Федерации (КПРФ)"""	580	72	87	35	8	6	43	27	8	57	1	6	85	8	35	17	6	24	9	46					
		13.57%	15.12%	13.61%	12.82%	5.33%	8.21%	12.72%	12.38%	12.69%	16.14%	0.88%	8.21%	24.28%	16.0%	11.82%	18.47%	5.26%	7.27%	10.11%	25.27%					
																										
41	Против всех	101	12	14	10	1	5	3	8	2	8	0	1	14	4	5	2	2	3	3	4					
		2.36%	2.52%	2.19%	3.66%	0.66%	6.84%	0.88%	3.66%	3.17%	2.26%	0.0%	1.36%	4.0%	8.0%	1.68%	2.17%	1.75%	0.90%	3.37%	2.19%					
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
