Выборы Президента Российской Федерации																																																																																												
																																																																																												
Наименование Избирательной комиссии:    Новгородcкая городская																																																																																												
																																																																																												
Итоги голосования 																																																																																												
																																																																																												
		Сумма	УИК №224	УИК №225	УИК №226	УИК №227	УИК №228	УИК №229	УИК №230	УИК №231	УИК №232	УИК №233	УИК №234	УИК №235	УИК №236	УИК №237	УИК №238	УИК №239	УИК №240	УИК №241	УИК №242	УИК №243	УИК №244	УИК №245	УИК №246	УИК №247	УИК №248	УИК №249	УИК №250	УИК №251	УИК №252	УИК №253	УИК №254	УИК №255	УИК №256	УИК №257	УИК №258	УИК №259	УИК №260	УИК №261	УИК №262	УИК №263	УИК №264	УИК №265	УИК №266	УИК №267	УИК №268	УИК №269	УИК №270	УИК №271	УИК №272	УИК №273	УИК №274	УИК №275	УИК №276	УИК №277	УИК №278	УИК №279	УИК №280	УИК №281	УИК №282	УИК №283	УИК №284	УИК №285	УИК №286	УИК №287	УИК №288	УИК №289	УИК №290	УИК №291	УИК №292	УИК №293	УИК №294	УИК №295	УИК №296	УИК №297	УИК №298	УИК №299	УИК №300	УИК №301	УИК №302	УИК №303	УИК №304									
11	Число полученных открепительных  удостоверений	1620	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20									
12	Число выданных открепительных удостоверений	516	1	5	7	6	10	6	7	8	8	13	5	10	9	16	5	2	13	12	2	3	11	7	11	2	6	3	6	6	5	7	1	3	9	4	5	14	4	4	7	5	5	7	6	4	5	3	5	5	4	6	6	15	11	5	5	4	3	7	13	4	3	10	6	6	6	8	6	2	5	6	11	2	8	1	15	6	4	3	8	3	6									
13	Число избирателей, проголосовавших по открепительным удостоверениям	794	6	7	13	9	14	11	6	5	45	14	11	3	20	13	13	4	12	9	5	14	11	9	6	3	4	3	8	9	0	5	13	2	6	6	139	5	4	6	14	21	6	7	1	8	9	9	2	11	11	8	11	7	9	6	3	0	9	8	7	3	15	2	5	2	6	5	8	5	7	6	6	1	6	9	9	5	15	2	18	7	12									
14	Число неиспользованных открепительных удостоверений	1104	19	15	13	14	10	14	13	12	12	7	15	10	11	4	15	18	7	8	18	17	9	13	9	18	14	17	14	14	15	13	19	17	11	16	15	6	16	16	13	15	15	13	14	16	15	17	15	15	16	14	14	5	9	15	15	16	17	13	7	16	17	10	14	14	14	12	14	18	15	14	9	18	12	19	5	14	16	17	12	17	14									
15	Число открепительных удостоверений, выданных в ТИК	99	1	0	1	0	2	0	0	2	0	2	2	2	1	1	2	0	4	2	0	1	0	1	1	1	2	2	2	3	0	2	2	0	0	1	0	2	1	3	1	0	3	1	0	1	2	1	3	3	0	1	3	3	2	1	1	1	2	1	3	0	0	1	0	3	1	0	0	0	4	2	2	1	0	0	1	0	1	1	0	2	1									
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
Число голосов избирателей, поданных за каждый список																																																																																												
18	. Глазьев Сергей Юрьевич	4610	33	65	57	77	75	52	61	49	58	93	46	85	64	101	86	32	57	71	36	41	38	36	72	78	74	67	51	65	28	50	26	46	44	43	67	65	52	30	56	25	64	56	77	66	28	41	43	54	76	24	43	73	59	52	51	41	50	60	75	35	60	38	91	44	65	53	68	68	55	69	81	57	52	37	64	70	73	60	30	74	81									
		5.29%	6.31%	4.78%	6.37%	6.32%	4.93%	6.48%	6.56%	5.11%	6.11%	7.00%	4.11%	6.49%	5.08%	6.99%	7.81%	3.70%	6.51%	5.06%	6.42%	6.00%	4.41%	5.22%	5.42%	5.86%	5.17%	5.26%	4.78%	5.79%	6.18%	4.52%	4.55%	6.60%	4.44%	4.46%	4.34%	5.86%	7.26%	4.44%	5.42%	5.34%	5.50%	5.16%	5.68%	6.24%	3.75%	4.38%	3.52%	4.69%	6.63%	3.66%	4.06%	5.24%	4.85%	5.16%	5.12%	4.08%	4.85%	4.95%	5.36%	4.21%	4.91%	5.08%	6.65%	4.37%	6.15%	4.23%	6.14%	6.02%	4.50%	4.88%	5.69%	4.92%	3.96%	5.30%	4.80%	6.02%	6.82%	4.43%	3.12%	5.09%	5.68%									
19	. Малышкин Олег Александрович	1762	5	35	13	24	47	12	14	16	9	14	23	22	20	21	14	19	12	22	8	19	18	13	20	24	38	14	24	23	8	27	8	23	18	16	56	12	10	7	19	8	23	22	38	23	13	24	32	28	18	8	24	47	24	23	21	25	19	29	30	18	26	22	34	23	17	23	20	18	32	34	28	28	25	11	27	31	25	21	20	22	31									
		2.02%	0.96%	2.57%	1.45%	1.97%	3.09%	1.50%	1.51%	1.67%	0.95%	1.05%	2.06%	1.68%	1.59%	1.45%	1.27%	2.20%	1.37%	1.57%	1.43%	2.78%	2.09%	1.88%	1.51%	1.80%	2.66%	1.10%	2.25%	2.05%	1.77%	2.44%	1.40%	3.30%	1.82%	1.66%	3.62%	1.08%	1.40%	1.04%	1.84%	1.71%	1.98%	2.03%	2.80%	2.18%	1.74%	2.56%	2.62%	2.43%	1.57%	1.22%	2.27%	3.37%	1.97%	2.28%	2.11%	2.49%	1.84%	2.39%	2.15%	2.17%	2.13%	2.94%	2.49%	2.29%	1.61%	1.84%	1.81%	1.59%	2.62%	2.40%	1.97%	2.42%	1.90%	1.58%	2.03%	2.67%	2.33%	1.55%	2.08%	1.51%	2.17%									
20	. Миронов Сергей Михайлович	620	6	12	8	8	6	9	6	9	6	11	6	9	12	7	3	5	4	13	1	0	5	5	11	6	8	16	10	7	3	14	3	5	9	7	19	6	7	0	6	8	12	3	4	7	8	0	6	9	18	5	5	16	7	10	7	10	6	5	13	7	6	3	10	3	2	4	12	4	6	8	12	10	12	4	6	8	11	11	11	7	16									
		0.71%	1.15%	0.88%	0.89%	0.66%	0.39%	1.12%	0.65%	0.94%	0.63%	0.83%	0.54%	0.69%	0.95%	0.48%	0.27%	0.58%	0.46%	0.93%	0.18%	0.00%	0.58%	0.72%	0.83%	0.45%	0.56%	1.26%	0.94%	0.62%	0.66%	1.27%	0.52%	0.72%	0.91%	0.73%	1.23%	0.54%	0.98%	0.00%	0.58%	1.71%	1.03%	0.28%	0.30%	0.66%	1.07%	0.00%	0.49%	0.78%	1.57%	0.76%	0.47%	1.15%	0.58%	0.99%	0.70%	1.00%	0.58%	0.41%	0.93%	0.84%	0.49%	0.40%	0.73%	0.30%	0.19%	0.32%	1.08%	0.35%	0.49%	0.57%	0.84%	0.86%	0.91%	0.57%	0.45%	0.69%	1.03%	0.81%	1.14%	0.48%	1.12%									
21	. Путин Владимир Владимирович	56526	379	926	581	769	977	522	542	593	598	764	756	817	792	855	663	557	510	852	348	397	574	444	808	860	930	840	680	722	298	756	376	431	662	613	1030	680	432	451	648	303	766	704	857	698	523	622	817	799	698	460	735	967	813	689	634	649	663	786	919	570	819	499	873	705	652	827	713	740	833	935	904	761	883	448	893	729	684	930	684	977	932									
		64.90%	72.47%	68.04%	64.92%	63.08%	64.28%	65.09%	58.28%	61.84%	62.95%	57.53%	67.62%	62.37%	62.91%	59.17%	60.22%	64.47%	58.29%	60.77%	62.03%	58.13%	66.59%	64.35%	60.84%	64.66%	65.03%	65.99%	63.79%	64.29%	65.78%	68.42%	65.73%	61.84%	66.87%	63.52%	66.67%	61.26%	60.34%	66.72%	62.67%	64.74%	65.86%	64.88%	63.25%	66.04%	70.01%	66.45%	66.91%	69.36%	60.91%	70.12%	69.41%	69.42%	66.86%	68.35%	63.59%	64.64%	64.37%	64.80%	65.74%	68.59%	66.97%	66.71%	63.82%	70.08%	61.68%	66.00%	64.35%	65.54%	68.22%	66.08%	63.48%	65.66%	67.20%	64.18%	66.99%	62.68%	63.87%	68.63%	71.03%	67.19%	65.36%									
22	. Хакамада Ирина Муцуовна	5704	25	88	76	96	110	77	60	63	104	128	73	76	103	94	84	73	79	103	44	53	51	45	87	78	108	86	72	70	38	51	48	34	56	70	81	85	72	48	60	29	89	79	83	62	36	47	72	53	81	46	26	46	71	49	71	69	64	76	81	31	45	53	72	41	79	65	64	84	64	110	100	79	97	50	77	102	67	111	59	79	96									
		6.55%	4.78%	6.47%	8.49%	7.88%	7.24%	9.60%	6.45%	6.57%	10.95%	9.64%	6.53%	5.80%	8.18%	6.51%	7.63%	8.45%	9.03%	7.35%	7.84%	7.76%	5.92%	6.52%	6.55%	5.86%	7.55%	6.76%	6.75%	6.23%	8.39%	4.62%	8.39%	4.88%	5.66%	7.25%	5.24%	7.66%	10.06%	7.10%	5.80%	6.20%	7.65%	7.28%	6.13%	5.87%	4.82%	5.02%	5.90%	4.60%	7.07%	7.01%	2.46%	3.30%	5.84%	4.86%	7.12%	6.87%	6.21%	6.27%	5.79%	3.73%	3.68%	7.09%	5.26%	4.08%	7.47%	5.19%	5.78%	7.44%	5.24%	7.77%	7.02%	6.82%	7.38%	7.16%	5.78%	8.77%	6.26%	8.19%	6.13%	5.43%	6.73%									
23	. Харитонов Николай Михайлович	12641	38	165	105	171	230	67	191	164	110	244	166	230	197	267	185	120	163	257	89	126	117	114	250	209	171	175	143	185	49	150	85	123	148	175	170	193	102	93	182	57	137	173	224	141	103	151	180	152	185	79	175	167	179	136	169	169	177	178	195	128	213	100	194	135	166	198	140	142	164	177	187	158	155	95	162	139	137	134	97	188	186									
		14.51%	7.27%	12.12%	11.73%	14.03%	15.13%	8.35%	20.54%	17.10%	11.58%	18.37%	14.85%	17.56%	15.65%	18.48%	16.80%	13.89%	18.63%	18.33%	15.86%	18.45%	13.57%	16.52%	18.83%	15.71%	11.96%	13.75%	13.41%	16.47%	10.82%	13.57%	14.86%	17.65%	14.95%	18.13%	11.00%	17.39%	14.25%	13.76%	17.60%	12.18%	11.78%	15.94%	16.53%	13.34%	13.79%	16.13%	14.74%	13.19%	16.14%	12.04%	16.53%	11.99%	14.72%	13.49%	16.95%	16.83%	17.18%	14.67%	13.95%	15.40%	17.42%	13.37%	14.18%	13.42%	15.70%	15.80%	12.64%	12.58%	13.43%	12.51%	13.13%	13.63%	11.80%	13.61%	12.15%	11.95%	12.79%	9.89%	10.07%	12.93%	13.04%									
																																																																																												
24	Против всех	4837	28	68	54	69	71	62	54	58	60	70	48	64	59	94	59	53	45	73	32	44	56	30	78	70	92	68	78	48	27	49	26	32	51	40	107	67	38	44	58	34	66	41	67	53	32	43	58	49	68	30	42	72	57	46	41	39	50	72	83	32	46	32	89	49	71	81	83	68	61	79	107	63	88	53	98	82	67	84	52	102	83									
		5.55%	5.35%	5.00%	6.03%	5.66%	4.67%	7.73%	5.81%	6.05%	6.32%	5.27%	4.29%	4.89%	4.69%	6.51%	5.36%	6.13%	5.14%	5.21%	5.70%	6.44%	6.50%	4.35%	5.87%	5.26%	6.43%	5.34%	7.32%	4.27%	5.96%	4.43%	4.55%	4.59%	5.15%	4.15%	6.93%	6.04%	5.31%	6.51%	5.61%	7.26%	5.67%	3.78%	4.94%	5.01%	4.28%	4.59%	4.75%	4.25%	5.93%	4.57%	3.97%	5.17%	4.69%	4.56%	4.11%	3.88%	4.85%	5.94%	5.94%	3.85%	3.76%	4.28%	6.51%	4.87%	6.72%	6.46%	7.49%	6.02%	5.00%	5.58%	7.51%	5.44%	6.70%	7.59%	7.35%	7.05%	6.26%	6.20%	5.40%	7.02%	5.82%									
																																																																																												
																																																																																												
																																																																																												
																																																																																												
																																																																																												
																																																																																												
																																																																																												
																																																																																												
																																																																																												
																																																																																												
																																																																																												
																																																																																												
																																																																																												
																																																																																												
																																																																																												
																																																																																												
																																																																																												
																																																																																												
																																																																																												
