Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																																		
Дата голосования: 18.09.2016																																																																																		
																																																																																		
"Наименование Избирательной комиссии:    Архангельск, Южная"																																																																																		
																																																																																		
Сводная таблица итогов голосования по федеральному избирательному округу																																																																																		
																																																																																		
		Сумма	УИК №128	УИК №129	УИК №130	УИК №131	УИК №132	УИК №133	УИК №134	УИК №135	УИК №136	УИК №137	УИК №138	УИК №139	УИК №140	УИК №141	УИК №142	УИК №143	УИК №144	УИК №145	УИК №146	УИК №147	УИК №148	УИК №149	УИК №150	УИК №151	УИК №152	УИК №153	УИК №154	УИК №155	УИК №156	УИК №157	УИК №1000	УИК №1001	УИК №1005	УИК №1006	УИК №1007	УИК №1008	УИК №1009	УИК №1010	УИК №1011	УИК №1012	УИК №1013	УИК №1014	УИК №1015	УИК №1017	УИК №1018	УИК №1019	УИК №1020	УИК №1021	УИК №1023	УИК №1024	УИК №1025	УИК №1026	УИК №1027	УИК №1028	УИК №1029	УИК №1030	УИК №1031	УИК №1032	УИК №1033	УИК №1034	УИК №1035	УИК №1036	УИК №1037	УИК №1038	УИК №1039	УИК №1045	УИК №1046	УИК №1047	УИК №1048	УИК №1049	УИК №1052									
		19.30%	19.34%	20.26%	17.40%	23.33%	20.43%	21.22%	19.50%	19.07%	19.70%	17.76%	20.83%	18.79%	19.49%	18.85%	16.84%	17.74%	18.06%	18.78%	20.08%	18.02%	18.56%	20.73%	17.82%	19.75%	17.93%	16.67%	22.22%	18.46%	14.42%	9.65%	25.97%	27.27%	27.78%	7.69%	38.46%	8.33%	8.33%	16.67%	25.00%	31.82%	11.54%	27.27%	45.45%	11.76%	52.94%	16.67%	16.67%	38.46%	33.33%	38.46%	14.29%	30.77%	23.08%	0.00%	23.08%	53.85%	0.00%	19.05%	18.75%	38.89%	30.00%	28.57%	30.77%	20.00%	35.29%	35.71%	22.50%	33.33%	30.77%	30.00%	15.79%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	228	4	5	5	12	5	10	5	14	8	16	9	6	6	3	7	10	9	7	10	11	5	4	11	6	6	2	2	16	3	0	2	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0									
		1.13%	0.94%	0.82%	0.74%	1.82%	0.77%	1.30%	0.74%	1.87%	1.10%	1.99%	1.50%	0.81%	0.81%	0.55%	1.03%	1.43%	1.30%	0.75%	1.40%	1.36%	0.82%	0.77%	1.69%	1.08%	0.76%	0.41%	0.48%	1.62%	0.94%	0.00%	2.60%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	3.03%	0.00%	5.88%	0.00%	5.56%	5.56%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	8.33%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	10.00%	0.00%	0.00%	0.00%	0.00%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	326	3	9	9	12	9	5	8	7	8	8	8	10	21	14	17	9	19	13	18	13	22	8	9	4	11	7	5	29	1	0	1	1	0	0	1	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0									
		1.61%	0.71%	1.47%	1.33%	1.82%	1.39%	0.65%	1.18%	0.93%	1.10%	0.99%	1.33%	1.34%	2.82%	2.59%	2.51%	1.29%	2.75%	1.39%	2.53%	1.60%	3.61%	1.54%	1.38%	0.72%	1.39%	1.42%	1.21%	2.94%	0.31%	0.00%	1.30%	2.27%	0.00%	0.00%	7.69%	0.00%	8.33%	0.00%	8.33%	0.00%	0.00%	0.00%	0.00%	5.88%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	7.69%	0.00%	0.00%	4.76%	0.00%	0.00%	10.00%	0.00%	0.00%	0.00%	0.00%	0.00%	2.50%	0.00%	0.00%	0.00%	0.00%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	38	3	1	2	0	0	1	2	1	1	3	2	0	1	0	3	0	2	2	2	0	1	1	0	0	1	0	0	2	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	2	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
		0.19%	0.71%	0.16%	0.29%	0.00%	0.00%	0.13%	0.30%	0.13%	0.14%	0.37%	0.33%	0.00%	0.13%	0.00%	0.44%	0.00%	0.29%	0.21%	0.28%	0.00%	0.16%	0.19%	0.00%	0.00%	0.13%	0.00%	0.00%	0.20%	0.00%	0.00%	0.00%	2.27%	0.00%	0.00%	0.00%	8.33%	0.00%	0.00%	0.00%	0.00%	3.85%	0.00%	0.00%	11.76%	0.00%	0.00%	5.56%	0.00%	0.00%	0.00%	7.14%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	556	3	18	18	12	14	14	24	14	21	18	18	11	28	18	30	31	16	28	18	30	20	16	13	15	27	13	4	33	1	2	2	0	2	1	0	1	0	0	1	0	2	0	0	0	0	0	2	1	1	3	1	0	0	1	0	0	0	0	0	1	0	1	2	1	0	0	4	0	0	0	1									
		2.75%	0.71%	2.94%	2.65%	1.82%	2.17%	1.82%	3.55%	1.87%	2.89%	2.24%	3.00%	1.48%	3.76%	3.33%	4.43%	4.43%	2.31%	2.99%	2.53%	3.70%	3.28%	3.07%	1.99%	2.69%	3.41%	2.64%	0.97%	3.35%	0.31%	1.75%	2.60%	0.00%	2.78%	7.69%	0.00%	8.33%	0.00%	0.00%	8.33%	0.00%	7.69%	0.00%	0.00%	0.00%	0.00%	0.00%	11.11%	7.69%	8.33%	23.08%	7.14%	0.00%	0.00%	8.33%	0.00%	0.00%	0.00%	0.00%	0.00%	5.56%	0.00%	7.14%	15.38%	5.00%	0.00%	0.00%	10.00%	0.00%	0.00%	0.00%	5.26%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	2746	53	81	73	85	96	139	103	117	112	116	83	57	103	68	86	96	83	132	86	119	78	47	104	87	107	81	69	150	5	27	5	4	7	2	1	1	2	3	0	4	4	6	0	0	1	5	2	1	1	1	6	2	1	2	2	1	3	0	2	5	0	2	1	4	3	4	8	3	3	0	1									
		13.59%	12.50%	13.24%	10.77%	12.88%	14.86%	18.10%	15.21%	15.60%	15.43%	14.41%	13.83%	7.65%	13.84%	12.57%	12.70%	13.73%	11.99%	14.09%	12.08%	14.69%	12.81%	9.02%	15.98%	15.62%	13.51%	16.46%	16.67%	15.21%	1.57%	23.68%	6.49%	9.09%	9.72%	15.38%	7.69%	8.33%	16.67%	25.00%	0.00%	18.18%	15.38%	18.18%	0.00%	0.00%	5.88%	27.78%	11.11%	7.69%	8.33%	7.69%	42.86%	15.38%	7.69%	16.67%	15.38%	7.69%	30.00%	0.00%	12.50%	27.78%	0.00%	14.29%	7.69%	20.00%	17.65%	9.52%	20.00%	14.29%	11.54%	0.00%	5.26%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	126	2	4	2	2	3	2	6	4	7	5	4	4	4	2	8	1	1	9	2	11	5	2	3	2	4	0	2	15	3	0	1	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0									
		0.62%	0.47%	0.65%	0.29%	0.30%	0.46%	0.26%	0.89%	0.53%	0.96%	0.62%	0.67%	0.54%	0.54%	0.37%	1.18%	0.14%	0.14%	0.96%	0.28%	1.36%	0.82%	0.38%	0.46%	0.36%	0.51%	0.00%	0.48%	1.52%	0.94%	0.00%	1.30%	0.00%	0.00%	7.69%	7.69%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	4.55%	0.00%	0.00%	0.00%	5.56%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	4.76%	0.00%	10.00%	0.00%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	2433	48	60	83	56	64	90	62	91	77	104	69	67	96	71	113	120	101	135	82	95	87	70	87	71	103	69	49	116	29	13	5	2	5	1	0	1	0	3	2	0	0	1	0	0	1	1	2	1	0	1	2	1	1	2	0	0	0	3	2	0	1	1	1	1	0	3	2	0	4	2	3									
		12.04%	11.32%	9.80%	12.24%	8.48%	9.91%	11.72%	9.16%	12.13%	10.61%	12.92%	11.50%	8.99%	12.90%	13.12%	16.69%	17.17%	14.60%	14.41%	11.52%	11.73%	14.29%	13.44%	13.36%	12.75%	13.01%	14.02%	11.84%	11.76%	9.09%	11.40%	6.49%	4.55%	6.94%	7.69%	0.00%	8.33%	0.00%	25.00%	16.67%	0.00%	0.00%	3.03%	0.00%	0.00%	5.88%	5.56%	11.11%	7.69%	0.00%	7.69%	14.29%	7.69%	7.69%	16.67%	0.00%	0.00%	0.00%	14.29%	12.50%	0.00%	10.00%	7.14%	7.69%	5.00%	0.00%	7.14%	5.00%	0.00%	15.38%	20.00%	15.79%									
																																																																																		
																																																																																		
																																																																																		
																																																																																		
																																																																																		
																																																																																		
																																																																																		
																																																																																		
																																																																																		
																																																																																		
																																																																																		
																																																																																		
																																																																																		
																																																																																		
																																																																																		
																																																																																		
																																																																																		
																																																																																		
																																																																																		
																																																																																		
																																																																																		
																																																																																		
