Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																	
Дата голосования: 18.09.2016																																																	
																																																	
Наименование Избирательной комиссии:    Можайский район																																																	
																																																	
Сводная таблица итогов голосования по федеральному избирательному округу																																																	
																																																	
		Сумма	УИК №2630	УИК №2631	УИК №2632	УИК №2633	УИК №2634	УИК №2635	УИК №2636	УИК №2637	УИК №2638	УИК №2639	УИК №2640	УИК №2641	УИК №2642	УИК №2643	УИК №2644	УИК №2645	УИК №2646	УИК №2647	УИК №2648	УИК №2649	УИК №2650	УИК №2651	УИК №2652	УИК №2653	УИК №2654	УИК №2655	УИК №2656	УИК №2657	УИК №2658	УИК №2659	УИК №2660	УИК №2661	УИК №2662	УИК №2663	УИК №2664	УИК №2665	УИК №2666	УИК №3757									
14	Число погашенных неиспользованных открепительных удостоверений	250	12	7	0	6	9	6	4	1	4	11	10	2	7	4	7	12	4	5	7	5	8	10	10	9	10	9	10	6	10	3	7	6	9	13	2	1	4	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	69	4	5	0	1	2	0	2	2	1	4	2	2	0	1	2	3	1	0	1	1	3	3	1	5	1	4	2	1	3	2	1	0	3	2	4	0	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																	
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	1079	53	29	16	26	25	31	39	21	27	34	30	30	35	23	9	13	22	14	24	8	34	35	22	31	39	36	37	32	23	25	35	29	33	50	35	27	38	9									
		3.90%	5.40%	4.30%	2.59%	4.31%	2.70%	4.19%	4.57%	2.95%	4.00%	3.98%	3.42%	4.57%	4.77%	3.53%	1.33%	1.93%	3.35%	2.30%	4.60%	1.16%	4.21%	4.31%	3.31%	4.33%	4.77%	4.57%	4.77%	4.19%	3.17%	3.69%	4.59%	3.71%	4.25%	5.68%	5.06%	3.85%	3.97%	4.35%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	526	16	15	13	7	28	11	22	10	19	14	15	10	15	7	6	8	11	15	14	7	21	19	21	13	15	12	12	23	12	8	14	16	15	21	13	13	11	4									
		1.90%	1.63%	2.23%	2.10%	1.16%	3.03%	1.49%	2.58%	1.41%	2.81%	1.64%	1.71%	1.52%	2.05%	1.07%	0.89%	1.19%	1.67%	2.46%	2.68%	1.01%	2.60%	2.34%	3.16%	1.82%	1.83%	1.52%	1.55%	3.01%	1.66%	1.18%	1.83%	2.05%	1.93%	2.38%	1.88%	1.85%	1.15%	1.93%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	859	31	21	17	24	23	14	27	31	27	34	21	22	28	7	9	13	18	21	16	10	23	16	24	28	20	40	34	14	30	29	25	18	18	25	36	31	25	9									
		3.10%	3.16%	3.12%	2.75%	3.98%	2.49%	1.89%	3.16%	4.36%	4.00%	3.98%	2.40%	3.35%	3.82%	1.07%	1.33%	1.93%	2.74%	3.45%	3.07%	1.45%	2.85%	1.97%	3.61%	3.91%	2.44%	5.08%	4.38%	1.83%	4.14%	4.28%	3.28%	2.30%	2.32%	2.84%	5.20%	4.42%	2.62%	4.35%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	10486	307	185	218	209	306	288	280	286	239	317	327	227	244	358	332	346	221	216	260	344	307	272	251	264	305	329	307	304	276	257	264	357	318	266	238	268	296	97									
		37.87%	31.26%	27.45%	35.28%	34.66%	33.08%	38.92%	32.79%	40.23%	35.41%	37.08%	37.33%	34.55%	33.29%	54.91%	49.19%	51.41%	33.64%	35.47%	49.81%	49.86%	37.99%	33.50%	37.74%	36.87%	37.29%	41.75%	39.56%	39.79%	38.07%	37.91%	34.60%	45.71%	40.98%	30.19%	34.39%	38.23%	30.96%	46.86%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	432	14	13	10	11	16	11	6	14	18	11	15	8	9	7	3	3	9	10	9	10	18	13	10	14	7	13	12	10	11	14	14	15	16	16	10	20	10	2									
		1.56%	1.43%	1.93%	1.62%	1.82%	1.73%	1.49%	0.70%	1.97%	2.67%	1.29%	1.71%	1.22%	1.23%	1.07%	0.44%	0.45%	1.37%	1.64%	1.72%	1.45%	2.23%	1.60%	1.50%	1.96%	0.86%	1.65%	1.55%	1.31%	1.52%	2.06%	1.83%	1.92%	2.06%	1.82%	1.45%	2.85%	1.05%	0.97%									
24	"6. Политическая партия ""Гражданская Платформа"""	61	2	2	1	0	2	0	1	4	1	3	3	1	0	0	3	2	1	1	0	4	1	1	2	0	1	2	2	2	3	1	5	1	0	4	0	2	2	1									
		0.22%	0.20%	0.30%	0.16%	0.00%	0.22%	0.00%	0.12%	0.56%	0.15%	0.35%	0.34%	0.15%	0.00%	0.00%	0.44%	0.30%	0.15%	0.16%	0.00%	0.58%	0.12%	0.12%	0.30%	0.00%	0.12%	0.25%	0.26%	0.26%	0.41%	0.15%	0.66%	0.13%	0.00%	0.45%	0.00%	0.29%	0.21%	0.48%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	4028	120	127	104	87	128	83	148	94	107	157	143	108	105	58	134	113	113	120	42	73	96	120	106	116	140	109	140	89	107	99	106	86	106	139	86	90	96	33									
		14.55%	12.22%	18.84%	16.83%	14.43%	13.84%	11.22%	17.33%	13.22%	15.85%	18.36%	16.32%	16.44%	14.32%	8.90%	19.85%	16.79%	17.20%	19.70%	8.05%	10.58%	11.88%	14.78%	15.94%	16.20%	17.11%	13.83%	18.04%	11.65%	14.76%	14.60%	13.89%	11.01%	13.66%	15.78%	12.43%	12.84%	10.04%	15.94%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	635	42	22	9	18	18	19	20	27	16	15	16	14	14	8	5	14	10	8	6	10	14	11	15	20	13	25	11	20	21	15	30	23	23	16	27	10	29	1									
		2.29%	4.28%	3.26%	1.46%	2.99%	1.95%	2.57%	2.34%	3.80%	2.37%	1.75%	1.83%	2.13%	1.91%	1.23%	0.74%	2.08%	1.52%	1.31%	1.15%	1.45%	1.73%	1.35%	2.26%	2.79%	1.59%	3.17%	1.42%	2.62%	2.90%	2.21%	3.93%	2.94%	2.96%	1.82%	3.90%	1.43%	3.03%	0.48%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	903	52	21	18	24	35	38	41	21	19	20	29	16	30	16	8	9	22	18	20	15	22	34	18	12	14	30	24	36	15	19	21	27	27	28	20	10	69	5									
		3.26%	5.30%	3.12%	2.91%	3.98%	3.78%	5.14%	4.80%	2.95%	2.81%	2.34%	3.31%	2.44%	4.09%	2.45%	1.19%	1.34%	3.35%	2.96%	3.83%	2.17%	2.72%	4.19%	2.71%	1.68%	1.71%	3.81%	3.09%	4.71%	2.07%	2.80%	2.75%	3.46%	3.48%	3.18%	2.89%	1.43%	7.22%	2.42%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	71	3	2	6	2	2	0	3	1	3	3	5	2	1	2	1	1	1	1	0	1	0	4	0	1	2	0	1	0	3	1	2	1	4	5	3	0	3	1									
		0.26%	0.31%	0.30%	0.97%	0.33%	0.22%	0.00%	0.35%	0.14%	0.44%	0.35%	0.57%	0.30%	0.14%	0.31%	0.15%	0.15%	0.15%	0.16%	0.00%	0.14%	0.00%	0.49%	0.00%	0.14%	0.24%	0.00%	0.13%	0.00%	0.41%	0.15%	0.26%	0.13%	0.52%	0.57%	0.43%	0.00%	0.31%	0.48%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	2022	94	72	62	54	86	68	45	51	68	61	49	43	63	40	21	20	40	43	22	60	56	65	46	48	50	53	35	75	38	38	53	43	57	83	63	40	111	6									
		7.30%	9.57%	10.68%	10.03%	8.96%	9.30%	9.19%	5.27%	7.17%	10.07%	7.13%	5.59%	6.54%	8.59%	6.13%	3.11%	2.97%	6.09%	7.06%	4.21%	8.70%	6.93%	8.00%	6.92%	6.70%	6.11%	6.73%	4.51%	9.82%	5.24%	5.60%	6.95%	5.51%	7.35%	9.42%	9.10%	5.71%	11.61%	2.90%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	4052	181	103	89	100	164	120	152	80	80	114	115	76	111	92	104	77	113	85	68	91	126	128	90	96	147	105	108	97	114	106	124	98	99	116	85	101	178	19									
		14.63%	18.43%	15.28%	14.40%	16.58%	17.73%	16.22%	17.80%	11.25%	11.85%	13.33%	13.13%	11.57%	15.14%	14.11%	15.41%	11.44%	17.20%	13.96%	13.03%	13.19%	15.59%	15.76%	13.53%	13.41%	17.97%	13.32%	13.92%	12.70%	15.72%	15.63%	16.25%	12.55%	12.76%	13.17%	12.28%	14.41%	18.62%	9.18%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	124	4	3	2	1	1	4	8	1	7	5	2	3	3	3	3	7	2	1	3	4	3	3	1	3	6	7	2	2	2	1	1	7	2	6	0	6	3	2									
		0.45%	0.41%	0.45%	0.32%	0.17%	0.11%	0.54%	0.94%	0.14%	1.04%	0.58%	0.23%	0.46%	0.41%	0.46%	0.44%	1.04%	0.30%	0.16%	0.57%	0.58%	0.37%	0.37%	0.15%	0.42%	0.73%	0.89%	0.26%	0.26%	0.28%	0.15%	0.13%	0.90%	0.26%	0.68%	0.00%	0.86%	0.31%	0.97%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	1894	46	50	41	27	76	42	54	61	30	52	86	84	60	31	22	33	60	41	26	48	74	80	48	37	47	12	41	45	46	50	58	45	44	89	62	62	68	16									
		6.84%	4.68%	7.42%	6.63%	4.48%	8.22%	5.68%	6.32%	8.58%	4.44%	6.08%	9.82%	12.79%	8.19%	4.75%	3.26%	4.90%	9.13%	6.73%	4.98%	6.96%	9.16%	9.85%	7.22%	5.17%	5.75%	1.52%	5.28%	5.89%	6.34%	7.37%	7.60%	5.76%	5.67%	10.10%	8.96%	8.84%	7.11%	7.73%									
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
