Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																							
Дата голосования: 18.09.2016																							
																							
Наименование Избирательной комиссии:    Зейская городская																							
																							
Сводная таблица итогов голосования по федеральному избирательному округу																							
																							
		Сумма	УИК №601	УИК №602	УИК №603	УИК №604	УИК №605	УИК №606	УИК №607	УИК №608	УИК №609	УИК №610	УИК №611	УИК №612									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	163	19	15	10	11	11	8	22	22	12	14	11	8									
		1.94%	2.03%	2.22%	1.54%	2.03%	2.36%	1.17%	3.03%	2.17%	1.34%	1.87%	1.43%	2.74%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	204	12	14	15	15	9	21	17	21	22	30	20	8									
		2.43%	1.28%	2.07%	2.31%	2.76%	1.93%	3.06%	2.34%	2.07%	2.46%	4.00%	2.60%	2.74%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	2578	303	190	201	153	140	217	240	375	237	226	204	92									
		30.69%	32.30%	28.15%	30.97%	28.18%	30.04%	31.63%	33.10%	37.02%	26.51%	30.13%	26.49%	31.51%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	34	4	5	5	2	5	3	2	4	2	2	0	0									
		0.40%	0.43%	0.74%	0.77%	0.37%	1.07%	0.44%	0.28%	0.39%	0.22%	0.27%	0.00%	0.00%									
24	"6. Политическая партия ""Гражданская Платформа"""	12	0	3	0	0	1	1	1	3	0	1	0	2									
		0.14%	0.00%	0.44%	0.00%	0.00%	0.21%	0.15%	0.14%	0.30%	0.00%	0.13%	0.00%	0.68%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	3200	305	275	211	183	178	284	270	340	375	304	358	117									
		38.09%	32.52%	40.74%	32.51%	33.70%	38.20%	41.40%	37.24%	33.56%	41.95%	40.53%	46.49%	40.07%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	45	5	5	1	3	2	8	3	6	1	3	5	3									
		0.54%	0.53%	0.74%	0.15%	0.55%	0.43%	1.17%	0.41%	0.59%	0.11%	0.40%	0.65%	1.03%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	78	11	6	5	5	6	5	7	7	13	4	4	5									
		0.93%	1.17%	0.89%	0.77%	0.92%	1.29%	0.73%	0.97%	0.69%	1.45%	0.53%	0.52%	1.71%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	15	0	2	2	2	1	3	0	1	3	0	1	0									
		0.18%	0.00%	0.30%	0.31%	0.37%	0.21%	0.44%	0.00%	0.10%	0.34%	0.00%	0.13%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	106	20	5	11	17	3	5	8	16	4	6	6	5									
		1.26%	2.13%	0.74%	1.69%	3.13%	0.64%	0.73%	1.10%	1.58%	0.45%	0.80%	0.78%	1.71%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	1392	183	111	127	121	82	98	114	132	158	127	110	29									
		16.57%	19.51%	16.44%	19.57%	22.28%	17.60%	14.29%	15.72%	13.03%	17.67%	16.93%	14.29%	9.93%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	49	8	5	3	2	1	2	9	8	4	3	1	3									
		0.58%	0.85%	0.74%	0.46%	0.37%	0.21%	0.29%	1.24%	0.79%	0.45%	0.40%	0.13%	1.03%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	247	45	19	25	18	15	13	10	25	27	13	25	12									
		2.94%	4.80%	2.81%	3.85%	3.31%	3.22%	1.90%	1.38%	2.47%	3.02%	1.73%	3.25%	4.11%									
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
