Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																																									
Дата голосования: 07.12.2003 0:00:00																																																																									
																																																																									
Наименование Избирательной комиссии:    Тогучинская																																																																									
																																																																									
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																																									
																																																																									
		Сумма	УИК  946	УИК  947	УИК  948	УИК  949	УИК  950	УИК  951	УИК  952	УИК  953	УИК  954	УИК  955	УИК  956	УИК  957	УИК  958	УИК  959	УИК  960	УИК  961	УИК  962	УИК  963	УИК  964	УИК  965	УИК  966	УИК  967	УИК  968	УИК  969	УИК  970	УИК  971	УИК  972	УИК  973	УИК  974	УИК  975	УИК  976	УИК  977	УИК  978	УИК  979	УИК  980	УИК  981	УИК  982	УИК  983	УИК  984	УИК  985	УИК  986	УИК  987	УИК  988	УИК  989	УИК  990	УИК  991	УИК  992	УИК  993	УИК  994	УИК  995	УИК  996	УИК  997	УИК  998	УИК  999	УИК  1000	УИК  1001	УИК  1002	УИК  1003	УИК  1004	УИК  1005	УИК  1006	УИК  1007	УИК  1008	УИК  1009	УИК  1010	УИК  1011					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	517	8	10	29	20	18	18	13	10	15	0	10	6	6	10	6	10	10	10	7	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	8	6	6	6	6	6	6	6	6	6	9	6	13	6	8	6	6	6	6	8	6	6	6	6	6	6	6	6	10	5					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	212	3	6	21	16	11	14	9	6	13	0	8	4	1	7	0	2	3	6	1	2	0	0	3	0	0	3	0	0	3	0	1	0	4	3	5	0	4	0	2	6	0	3	2	4	0	0	3	1	9	0	3	2	1	1	0	3	0	0	5	1	0	0	1	0	6	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	290	2	4	3	83	8	8	10	2	6	26	1	3	0	4	4	13	3	2	1	2	1	3	5	3	2	2	1	0	4	2	1	1	5	1	2	1	0	3	4	2	3	2	4	2	1	1	0	4	2	0	9	5	0	0	2	2	2	0	2	7	3	2	3	4	1	1					
14	Число погашенных открепительных удостоверений	305	5	4	8	4	7	4	4	4	2	0	2	2	5	3	6	8	7	4	6	4	6	6	3	6	6	3	6	6	3	6	5	6	2	3	1	6	4	6	4	0	6	3	4	2	6	6	6	5	4	6	5	4	5	5	6	5	6	6	1	5	6	6	5	6	4	5					
15	Число открепительных удостоверений выданных ТИК	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																																									
18	"1. ""ЕДИНЕНИЕ"""	589	2	15	7	13	7	11	22	10	17	3	7	9	3	17	5	58	64	54	8	8	2	4	4	2	0	9	5	5	5	2	4	0	11	8	8	2	8	4	13	9	8	4	3	10	2	0	15	6	16	5	6	4	4	3	3	8	4	2	5	11	0	0	7	8	9	1					
		2.21%	1.12%	1.87%	0.60%	0.98%	1.03%	1.09%	2.35%	1.27%	1.45%	2.18%	1.61%	2.26%	3.29%	2.88%	2.60%	4.57%	5.16%	5.54%	1.64%	3.21%	1.49%	2.53%	0.75%	0.96%	0.0%	2.20%	2.71%	3.16%	1.54%	1.23%	2.70%	0.0%	2.87%	3.11%	1.29%	1.47%	1.38%	1.36%	2.93%	1.76%	2.32%	2.79%	3.26%	2.80%	1.50%	0.0%	3.34%	1.77%	3.86%	2.04%	1.67%	1.37%	1.19%	3.37%	2.77%	1.75%	2.03%	3.50%	2.94%	2.78%	0.0%	0.0%	2.78%	2.89%	1.01%	1.29%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	405	5	14	22	34	15	24	21	16	27	1	16	5	0	4	2	21	21	19	5	0	0	0	13	1	1	4	1	1	3	1	0	1	5	3	5	1	8	1	2	4	6	1	0	4	0	0	4	2	7	3	0	10	6	1	1	3	1	0	2	2	4	0	2	3	14	2					
		1.52%	2.82%	1.75%	1.89%	2.56%	2.21%	2.38%	2.25%	2.04%	2.30%	0.72%	3.69%	1.25%	0.0%	0.67%	1.04%	1.65%	1.69%	1.95%	1.03%	0.0%	0.0%	0.0%	2.46%	0.48%	1.07%	0.98%	0.54%	0.63%	0.92%	0.61%	0.0%	1.17%	1.30%	1.16%	0.80%	0.73%	1.38%	0.34%	0.45%	0.78%	1.74%	0.69%	0.0%	1.12%	0.0%	0.0%	0.89%	0.59%	1.69%	1.22%	0.0%	3.44%	1.79%	1.12%	0.92%	0.65%	0.50%	0.0%	1.17%	0.50%	7.01%	0.0%	0.79%	1.08%	1.58%	2.59%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	672	3	14	22	35	17	15	28	15	46	3	16	5	0	27	2	35	26	23	13	17	1	4	6	1	1	6	2	3	6	4	3	0	6	8	9	3	20	12	18	11	10	5	2	16	2	3	24	2	14	5	7	5	7	4	3	10	6	2	5	14	2	2	5	4	24	3					
		2.52%	1.69%	1.75%	1.89%	2.64%	2.50%	1.49%	3.00%	1.91%	3.92%	2.18%	3.69%	1.25%	0.0%	4.57%	1.04%	2.76%	2.09%	2.36%	2.68%	6.82%	0.74%	2.53%	1.13%	0.48%	1.07%	1.47%	1.08%	1.89%	1.85%	2.46%	2.02%	0.0%	1.57%	3.11%	1.45%	2.20%	3.45%	4.08%	4.06%	2.15%	2.90%	3.49%	2.17%	4.48%	1.50%	2.63%	5.35%	0.59%	3.38%	2.04%	1.95%	1.72%	2.09%	4.49%	2.77%	2.18%	3.04%	3.50%	2.94%	3.54%	3.50%	2.73%	1.99%	1.44%	2.71%	3.89%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	529	1	17	36	63	13	27	31	29	34	1	16	2	0	7	5	16	25	21	5	4	1	1	4	5	0	2	2	6	10	0	0	3	5	3	9	1	16	1	7	4	7	0	0	2	0	2	2	1	10	2	6	6	2	1	3	5	2	0	4	14	1	0	2	7	16	1					
		1.98%	0.56%	2.12%	3.09%	4.76%	1.91%	2.68%	3.32%	3.70%	2.90%	0.72%	3.69%	0.50%	0.0%	1.18%	2.60%	1.26%	2.01%	2.15%	1.03%	1.60%	0.74%	0.63%	0.75%	2.41%	0.0%	0.49%	1.08%	3.79%	3.08%	0.0%	0.0%	3.52%	1.30%	1.16%	1.45%	0.73%	2.76%	0.34%	1.58%	0.78%	2.03%	0.0%	0.0%	0.56%	0.0%	1.75%	0.44%	0.29%	2.41%	0.81%	1.67%	2.06%	0.59%	1.12%	2.77%	1.09%	1.01%	0.0%	2.35%	3.54%	1.75%	0.0%	0.79%	2.53%	1.81%	1.29%					
22	"5. ""За Русь Святую"""	210	1	4	5	11	2	4	8	3	8	0	6	1	0	2	1	11	20	14	5	3	0	0	3	0	2	6	1	2	11	1	2	0	1	0	4	0	4	1	3	3	0	3	0	2	0	3	2	1	6	5	3	1	1	3	2	4	1	0	0	2	0	0	7	5	4	2					
		0.78%	0.56%	0.5%	0.42%	0.83%	0.29%	0.39%	0.85%	0.38%	0.68%	0.0%	1.38%	0.25%	0.0%	0.33%	0.52%	0.86%	1.61%	1.43%	1.03%	1.20%	0.0%	0.0%	0.56%	0.0%	2.15%	1.47%	0.54%	1.26%	3.39%	0.61%	1.35%	0.0%	0.26%	0.0%	0.64%	0.0%	0.69%	0.34%	0.67%	0.58%	0.0%	2.09%	0.0%	0.56%	0.0%	2.63%	0.44%	0.29%	1.44%	2.04%	0.83%	0.34%	0.29%	3.37%	1.85%	0.87%	0.50%	0.0%	0.0%	0.50%	0.0%	0.0%	2.78%	1.81%	0.45%	2.59%					
23	"6. ""Объединенная Российская партия ""Русь"""	65	0	1	5	0	1	1	2	3	1	0	1	0	0	1	1	6	5	2	0	0	0	6	0	0	1	2	0	0	1	1	1	0	0	0	3	1	0	0	1	1	0	0	0	1	0	0	2	2	3	0	1	0	1	1	0	1	1	0	0	1	0	0	1	1	1	0					
		0.24%	0.0%	0.12%	0.42%	0.0%	0.14%	0.09%	0.21%	0.38%	0.08%	0.0%	0.23%	0.0%	0.0%	0.16%	0.52%	0.47%	0.40%	0.20%	0.0%	0.0%	0.0%	3.79%	0.0%	0.0%	1.07%	0.49%	0.0%	0.0%	0.30%	0.61%	0.67%	0.0%	0.0%	0.0%	0.48%	0.73%	0.0%	0.0%	0.22%	0.19%	0.0%	0.0%	0.0%	0.28%	0.0%	0.0%	0.44%	0.59%	0.72%	0.0%	0.27%	0.0%	0.29%	1.12%	0.0%	0.21%	0.50%	0.0%	0.0%	0.25%	0.0%	0.0%	0.39%	0.36%	0.11%	0.0%					
24	"7. ""Новый курс - Автомобильная Россия"""	131	0	4	9	3	3	4	5	8	9	0	1	1	0	1	2	8	5	3	4	1	0	0	7	1	4	2	2	1	2	1	0	0	2	1	6	0	2	1	1	2	1	1	0	3	0	0	1	2	1	1	1	0	2	0	0	2	0	0	0	0	0	0	3	3	4	0					
		0.49%	0.0%	0.5%	0.77%	0.22%	0.44%	0.39%	0.53%	1.02%	0.76%	0.0%	0.23%	0.25%	0.0%	0.16%	1.04%	0.63%	0.40%	0.30%	0.82%	0.40%	0.0%	0.0%	1.32%	0.48%	4.30%	0.49%	1.08%	0.63%	0.61%	0.61%	0.0%	0.0%	0.52%	0.38%	0.96%	0.0%	0.34%	0.34%	0.22%	0.39%	0.29%	0.69%	0.0%	0.84%	0.0%	0.0%	0.22%	0.59%	0.24%	0.40%	0.27%	0.0%	0.59%	0.0%	0.0%	0.43%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	1.19%	1.08%	0.45%	0.0%					
25	"8. ""Народно-республиканская партия России"""	54	0	0	1	1	1	0	2	0	2	1	0	0	0	5	0	3	1	1	0	0	0	1	5	1	0	0	0	1	1	1	0	0	0	0	3	0	0	1	0	1	0	2	0	2	1	0	4	1	2	0	2	0	0	0	0	2	0	0	0	1	0	0	1	0	2	1					
		0.20%	0.0%	0.0%	0.08%	0.07%	0.14%	0.0%	0.21%	0.0%	0.17%	0.72%	0.0%	0.0%	0.0%	0.84%	0.0%	0.23%	0.08%	0.10%	0.0%	0.0%	0.0%	0.63%	0.94%	0.48%	0.0%	0.0%	0.0%	0.63%	0.30%	0.61%	0.0%	0.0%	0.0%	0.0%	0.48%	0.0%	0.0%	0.34%	0.0%	0.19%	0.0%	1.39%	0.0%	0.56%	0.75%	0.0%	0.89%	0.29%	0.48%	0.0%	0.55%	0.0%	0.0%	0.0%	0.0%	0.43%	0.0%	0.0%	0.0%	0.25%	0.0%	0.0%	0.39%	0.0%	0.22%	1.29%					
26	"9. ""Российская экологическая партия ""Зеленые"""	37	0	1	1	0	2	1	0	2	5	0	0	0	0	1	0	1	5	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	1	2	1	2	0	0	1	1	0	0	0	0	1	0	0	0	1					
		0.13%	0.0%	0.12%	0.08%	0.0%	0.29%	0.09%	0.0%	0.25%	0.42%	0.0%	0.0%	0.0%	0.0%	0.16%	0.0%	0.07%	0.40%	0.0%	0.61%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.77%	0.0%	0.0%	0.17%	0.0%	0.22%	0.0%	0.0%	0.0%	0.0%	0.0%	0.75%	0.0%	0.0%	0.0%	0.0%	0.40%	0.55%	0.34%	0.59%	0.0%	0.0%	0.21%	0.50%	0.0%	0.0%	0.0%	0.0%	1.36%	0.0%	0.0%	0.0%	1.29%					
27	"10. ""Аграрная партия России"""	1261	2	17	28	27	21	23	24	23	31	8	18	38	7	13	6	24	17	23	15	12	1	7	22	7	4	30	19	9	13	7	8	1	24	19	45	4	45	71	8	56	47	4	5	20	9	8	33	26	36	6	21	7	38	8	0	34	14	6	17	29	2	3	34	16	48	13					
		4.74%	1.12%	2.12%	2.40%	2.04%	3.09%	2.28%	2.57%	2.94%	2.64%	5.83%	4.15%	9.54%	7.69%	2.20%	3.12%	1.89%	1.37%	2.36%	3.09%	4.81%	0.74%	4.43%	4.17%	3.38%	4.30%	7.35%	10.32%	5.69%	4.01%	4.32%	5.40%	1.17%	6.28%	7.39%	7.26%	2.94%	7.77%	24.14%	1.80%	10.98%	13.66%	2.79%	5.43%	5.60%	6.76%	7.01%	7.36%	7.69%	8.69%	2.45%	5.86%	2.41%	11.37%	8.98%	0.0%	7.43%	7.10%	10.52%	10.0%	7.34%	3.50%	4.10%	13.54%	5.79%	5.43%	16.88%					
28	"11. ""Истинные патриоты России"""	30	1	0	0	1	0	1	2	1	2	0	1	1	2	0	0	1	2	1	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	1	1	0	1	0	0	0	0	0	0	1	0	0	0	1	0	2	0	1	0	0					
		0.11%	0.56%	0.0%	0.0%	0.07%	0.0%	0.09%	0.21%	0.12%	0.17%	0.0%	0.23%	0.25%	2.19%	0.0%	0.0%	0.07%	0.16%	0.10%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.24%	0.54%	0.0%	0.30%	0.0%	0.0%	0.0%	0.0%	0.0%	0.32%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.28%	0.0%	0.87%	0.22%	0.0%	0.24%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.21%	0.0%	0.0%	0.0%	0.25%	0.0%	2.73%	0.0%	0.36%	0.0%	0.0%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	206	2	3	9	6	3	8	9	5	5	0	0	5	2	14	2	2	14	9	8	3	6	1	2	2	0	3	1	0	4	2	0	0	0	0	3	0	0	4	2	5	5	2	0	1	6	0	4	2	3	2	2	1	1	0	0	10	2	0	0	6	0	0	3	7	5	0					
		0.77%	1.12%	0.37%	0.77%	0.45%	0.44%	0.79%	0.96%	0.63%	0.42%	0.0%	0.0%	1.25%	2.19%	2.37%	1.04%	0.15%	1.12%	0.92%	1.64%	1.20%	4.47%	0.63%	0.37%	0.96%	0.0%	0.73%	0.54%	0.0%	1.23%	1.23%	0.0%	0.0%	0.0%	0.0%	0.48%	0.0%	0.0%	1.36%	0.45%	0.98%	1.45%	1.39%	0.0%	0.28%	4.51%	0.0%	0.89%	0.59%	0.72%	0.81%	0.55%	0.34%	0.29%	0.0%	0.0%	2.18%	1.01%	0.0%	0.0%	1.51%	0.0%	0.0%	1.19%	2.53%	0.56%	0.0%					
30	"13. ""Демократическая партия России"""	86	0	0	3	3	0	3	1	3	2	0	1	3	0	8	4	5	1	8	4	2	0	0	0	0	1	3	0	1	1	0	0	0	0	1	1	2	2	0	1	0	2	1	0	0	1	1	3	2	0	3	1	2	0	0	0	0	1	0	0	1	0	0	1	3	0	0					
		0.32%	0.0%	0.0%	0.25%	0.22%	0.0%	0.29%	0.10%	0.38%	0.17%	0.0%	0.23%	0.75%	0.0%	1.35%	2.08%	0.39%	0.08%	0.82%	0.82%	0.80%	0.0%	0.0%	0.0%	0.0%	1.07%	0.73%	0.0%	0.63%	0.30%	0.0%	0.0%	0.0%	0.0%	0.38%	0.16%	1.47%	0.34%	0.0%	0.22%	0.0%	0.58%	0.69%	0.0%	0.0%	0.75%	0.87%	0.66%	0.59%	0.0%	1.22%	0.27%	0.68%	0.0%	0.0%	0.0%	0.0%	0.50%	0.0%	0.0%	0.25%	0.0%	0.0%	0.39%	1.08%	0.0%	0.0%					
31	"14. ""Великая Россия - Евразийский Союз"""	52	0	0	4	2	0	0	3	1	1	0	0	3	0	1	0	3	2	0	0	0	0	0	1	2	2	3	1	1	0	0	0	0	0	1	0	0	2	0	0	0	0	0	3	0	0	0	3	0	0	0	1	3	0	1	0	0	1	0	0	1	0	2	1	0	3	0					
		0.19%	0.0%	0.0%	0.34%	0.15%	0.0%	0.0%	0.32%	0.12%	0.08%	0.0%	0.0%	0.75%	0.0%	0.16%	0.0%	0.23%	0.16%	0.0%	0.0%	0.0%	0.0%	0.0%	0.18%	0.96%	2.15%	0.73%	0.54%	0.63%	0.0%	0.0%	0.0%	0.0%	0.0%	0.38%	0.0%	0.0%	0.34%	0.0%	0.0%	0.0%	0.0%	0.0%	3.26%	0.0%	0.0%	0.0%	0.66%	0.0%	0.0%	0.0%	0.27%	1.03%	0.0%	1.12%	0.0%	0.0%	0.50%	0.0%	0.0%	0.25%	0.0%	2.73%	0.39%	0.0%	0.33%	0.0%					
32	"15. ""Партия СЛОН"""	30	0	2	3	3	1	1	2	1	1	1	0	1	0	0	0	1	0	1	1	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	3	0	0					
		0.11%	0.0%	0.25%	0.25%	0.22%	0.14%	0.09%	0.21%	0.12%	0.08%	0.72%	0.0%	0.25%	0.0%	0.0%	0.0%	0.07%	0.0%	0.10%	0.20%	0.0%	0.0%	0.63%	0.18%	0.0%	0.0%	0.24%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.73%	0.0%	0.0%	0.0%	0.0%	0.29%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.29%	0.0%	0.0%	0.21%	0.0%	0.0%	0.0%	0.25%	0.0%	0.0%	0.0%	1.08%	0.0%	0.0%					
33	"16. ""Родина"" (народно-патриотический союз)"""	1447	13	54	81	116	68	91	60	75	92	3	28	9	1	30	10	56	62	46	10	12	0	15	23	5	8	31	10	7	16	4	6	3	28	4	29	5	26	8	30	20	8	0	1	12	10	1	12	14	18	4	21	5	15	1	2	19	4	0	3	17	0	1	8	12	61	3					
		5.44%	7.34%	6.75%	6.96%	8.76%	10.02%	9.05%	6.43%	9.59%	7.84%	2.18%	6.46%	2.26%	1.09%	5.08%	5.20%	4.41%	5.00%	4.72%	2.06%	4.81%	0.0%	9.49%	4.36%	2.41%	8.60%	7.59%	5.43%	4.43%	4.93%	2.46%	4.05%	3.52%	7.32%	1.55%	4.68%	3.67%	4.49%	2.72%	6.77%	3.92%	2.32%	0.0%	1.08%	3.36%	7.51%	0.87%	2.67%	4.14%	4.34%	1.63%	5.86%	1.72%	4.49%	1.12%	1.85%	4.15%	2.03%	0.0%	1.76%	4.30%	0.0%	1.36%	3.18%	4.34%	6.90%	3.89%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	105	1	3	6	1	1	6	5	0	6	2	2	0	1	4	0	3	1	1	4	4	1	2	5	0	1	1	1	0	1	2	0	0	2	0	6	2	0	2	1	2	1	0	1	0	0	0	0	1	1	0	1	5	1	0	0	4	0	0	0	4	0	0	0	3	3	0					
		0.39%	0.56%	0.37%	0.51%	0.07%	0.14%	0.59%	0.53%	0.0%	0.51%	1.45%	0.46%	0.0%	1.09%	0.67%	0.0%	0.23%	0.08%	0.10%	0.82%	1.60%	0.74%	1.26%	0.94%	0.0%	1.07%	0.24%	0.54%	0.0%	0.30%	1.23%	0.0%	0.0%	0.52%	0.0%	0.96%	1.47%	0.0%	0.68%	0.22%	0.39%	0.29%	0.0%	1.08%	0.0%	0.0%	0.0%	0.0%	0.29%	0.24%	0.0%	0.27%	1.72%	0.29%	0.0%	0.0%	0.87%	0.0%	0.0%	0.0%	1.01%	0.0%	0.0%	0.0%	1.08%	0.33%	0.0%					
35	"18. ""ЛДПР"""	4619	29	149	215	182	132	216	176	122	224	14	83	73	14	111	24	258	209	159	70	50	26	41	63	42	11	61	39	20	40	24	31	20	78	59	107	28	114	59	77	67	52	27	15	77	22	30	97	57	58	38	32	38	36	16	14	71	40	10	50	61	9	24	45	60	101	22					
		17.36%	16.38%	18.62%	18.48%	13.75%	19.46%	21.49%	18.86%	15.60%	19.11%	10.21%	19.16%	18.34%	15.38%	18.81%	12.5%	20.36%	16.86%	16.34%	14.43%	20.08%	19.40%	25.94%	11.95%	20.28%	11.82%	14.95%	21.19%	12.65%	12.34%	14.81%	20.94%	23.52%	20.41%	22.95%	17.28%	20.58%	19.68%	20.06%	17.38%	13.13%	15.11%	18.88%	16.30%	21.56%	16.54%	26.31%	21.65%	16.86%	14.00%	15.57%	8.93%	13.10%	10.77%	17.97%	12.96%	15.53%	20.30%	17.54%	29.41%	15.44%	15.78%	32.87%	17.92%	21.73%	11.43%	28.57%					
36	"19. ""Партия Возрождения России - Российская партия ЖИЗНИ"""	617	2	42	20	29	15	30	24	19	24	7	6	4	3	10	3	31	35	18	19	2	13	4	8	0	1	7	7	4	5	5	2	4	6	3	12	0	7	7	10	21	13	1	3	6	0	2	8	4	4	3	5	6	9	0	3	12	5	1	1	17	4	0	7	6	27	1					
		2.32%	1.12%	5.25%	1.71%	2.19%	2.21%	2.98%	2.57%	2.42%	2.04%	5.10%	1.38%	1.00%	3.29%	1.69%	1.56%	2.44%	2.82%	1.84%	3.91%	0.80%	9.70%	2.53%	1.51%	0.0%	1.07%	1.71%	3.80%	2.53%	1.54%	3.08%	1.35%	4.70%	1.57%	1.16%	1.93%	0.0%	1.20%	2.38%	2.25%	4.11%	3.77%	0.69%	3.26%	1.68%	0.0%	1.75%	1.78%	1.18%	0.96%	1.22%	1.39%	2.06%	2.69%	0.0%	2.77%	2.62%	2.53%	1.75%	0.58%	4.30%	7.01%	0.0%	2.78%	2.17%	3.05%	1.29%					
37	"20. ""Политическая партия ""Единая Россия"""	8759	66	316	414	491	254	316	268	274	397	61	126	146	25	194	69	361	340	243	206	81	40	43	173	90	19	132	45	45	129	72	59	33	141	89	250	64	170	79	119	171	109	65	22	137	43	28	134	150	104	119	131	68	154	39	61	119	64	15	56	131	21	15	47	78	232	6					
		32.93%	37.28%	39.5%	35.59%	37.11%	37.46%	31.44%	28.72%	35.03%	33.87%	44.52%	29.09%	36.68%	27.47%	32.88%	35.93%	28.49%	27.44%	24.97%	42.47%	32.53%	29.85%	27.21%	32.82%	43.47%	20.43%	32.35%	24.45%	28.48%	39.81%	44.44%	39.86%	38.82%	36.91%	34.63%	40.38%	47.05%	29.36%	26.87%	26.86%	33.52%	31.68%	45.45%	23.91%	38.37%	32.33%	24.56%	29.91%	44.37%	25.12%	48.77%	36.59%	23.44%	46.10%	43.82%	56.48%	26.03%	32.48%	26.31%	32.94%	33.16%	36.84%	20.54%	18.72%	28.26%	26.27%	7.79%					
