Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																														
Дата голосования: 18.09.2016																																																														
																																																														
Наименование Избирательной комиссии:    Воткинская городская																																																														
																																																														
Сводная таблица итогов голосования по федеральному избирательному округу																																																														
																																																														
		Сумма	УИК №601	УИК №602	УИК №603	УИК №604	УИК №605	УИК №606	УИК №607	УИК №608	УИК №609	УИК №610	УИК №611	УИК №612	УИК №613	УИК №614	УИК №615	УИК №616	УИК №617	УИК №618	УИК №619	УИК №620	УИК №621	УИК №622	УИК №623	УИК №624	УИК №625	УИК №626	УИК №627	УИК №628	УИК №629	УИК №630	УИК №631	УИК №632	УИК №633	УИК №634	УИК №635	УИК №636	УИК №637	УИК №638	УИК №639	УИК №640	УИК №641	УИК №642	УИК №643	УИК №644	УИК №645	УИК №646	УИК №647	УИК №648	УИК №649	УИК №650	УИК №651									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	765	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	157	3	4	3	3	6	5	9	4	2	5	8	7	4	4	3	0	4	3	9	3	1	2	4	1	5	4	4	2	3	0	4	2	0	3	4	2	6	4	2	0	0	2	0	4	1	0	0	0	3	5	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	112	3	3	0	2	7	1	5	1	6	3	1	4	2	3	3	3	3	3	3	1	0	4	5	5	6	1	2	0	0	0	0	0	3	1	2	7	0	2	0	1	1	1	1	0	1	1	3	3	1	3	1									
14	Число погашенных неиспользованных открепительных удостоверений	608	12	11	12	12	9	10	6	11	13	10	7	8	11	11	12	15	11	12	6	12	14	13	11	14	10	11	11	13	12	15	11	13	15	12	11	13	9	11	13	15	15	13	15	11	14	15	15	15	12	10	15									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	34	4	1	1	0	0	0	0	1	0	0	0	0	3	1	0	0	0	2	0	0	0	0	1	1	4	1	1	0	2	1	1	2	1	0	1	0	0	0	0	1	0	0	0	2	0	0	1	0	0	1	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																														
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	376	10	6	1	15	10	5	20	12	5	5	3	5	5	4	10	2	5	15	10	6	6	8	11	5	10	9	7	5	13	7	8	12	5	9	8	6	6	2	11	7	1	4	5	13	6	9	5	5	14	5	0									
		1.18%	1.54%	0.90%	0.17%	1.96%	1.26%	0.92%	2.16%	1.71%	1.05%	0.73%	0.41%	0.80%	0.86%	0.55%	1.32%	0.32%	0.88%	2.50%	1.04%	0.82%	0.83%	1.20%	1.53%	0.78%	1.34%	1.61%	1.29%	0.72%	1.57%	1.74%	1.09%	1.95%	0.70%	1.55%	1.45%	1.10%	0.80%	0.33%	2.02%	2.09%	0.74%	2.20%	0.75%	2.13%	0.89%	1.32%	0.89%	0.82%	2.12%	0.78%	0.00%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	624	17	19	13	16	15	16	22	20	8	15	16	16	13	17	20	9	6	14	6	15	9	12	9	8	10	10	7	15	13	6	14	4	10	19	14	14	13	17	14	7	2	3	17	11	7	8	9	14	17	15	3									
		1.96%	2.61%	2.85%	2.16%	2.09%	1.89%	2.95%	2.37%	2.85%	1.67%	2.20%	2.19%	2.57%	2.23%	2.34%	2.64%	1.44%	1.06%	2.33%	0.62%	2.04%	1.25%	1.80%	1.25%	1.25%	1.34%	1.79%	1.29%	2.16%	1.57%	1.49%	1.91%	0.65%	1.40%	3.28%	2.55%	2.56%	1.73%	2.80%	2.57%	2.09%	1.48%	1.65%	2.54%	1.80%	1.04%	1.18%	1.61%	2.31%	2.57%	2.35%	1.33%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	567	14	14	13	19	13	9	17	20	11	9	8	14	11	9	14	12	3	7	11	7	10	10	10	9	10	10	7	22	11	8	12	14	17	9	15	12	17	6	16	7	1	5	17	13	15	10	7	9	11	10	2									
		1.78%	2.15%	2.10%	2.16%	2.49%	1.64%	1.66%	1.83%	2.85%	2.30%	1.32%	1.10%	2.25%	1.89%	1.24%	1.85%	1.92%	0.53%	1.17%	1.14%	0.95%	1.39%	1.50%	1.39%	1.40%	1.34%	1.79%	1.29%	3.17%	1.33%	1.99%	1.63%	2.28%	2.39%	1.55%	2.73%	2.19%	2.26%	0.99%	2.94%	2.09%	0.74%	2.75%	2.54%	2.13%	2.23%	1.47%	1.25%	1.48%	1.66%	1.57%	0.88%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	16714	325	283	261	354	366	229	491	360	237	355	387	312	268	368	376	338	339	325	574	409	390	377	393	317	385	313	270	339	460	220	386	306	375	292	275	299	381	300	292	178	94	95	351	343	415	397	297	340	359	373	145									
		52.46%	49.92%	42.49%	43.28%	46.34%	46.04%	42.17%	52.97%	51.36%	49.58%	52.13%	53.09%	50.16%	45.97%	50.69%	49.60%	53.99%	59.89%	54.17%	59.67%	55.57%	54.02%	56.69%	54.58%	49.45%	51.47%	55.89%	49.63%	48.92%	55.69%	54.59%	52.59%	49.76%	52.67%	50.43%	50.00%	54.66%	50.66%	49.34%	53.58%	53.13%	69.63%	52.20%	52.39%	56.23%	61.57%	58.38%	53.13%	56.01%	54.31%	58.46%	64.16%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	150	0	9	3	4	4	1	9	4	0	5	4	2	3	4	5	2	1	3	10	4	1	5	4	1	3	3	4	4	1	3	0	0	1	1	2	2	8	6	2	3	1	0	1	3	2	5	1	1	1	4	0									
		0.47%	0.00%	1.35%	0.50%	0.52%	0.50%	0.18%	0.97%	0.57%	0.00%	0.73%	0.55%	0.32%	0.51%	0.55%	0.66%	0.32%	0.18%	0.50%	1.04%	0.54%	0.14%	0.75%	0.56%	0.16%	0.40%	0.54%	0.74%	0.58%	0.12%	0.74%	0.00%	0.00%	0.14%	0.17%	0.36%	0.37%	1.06%	0.99%	0.37%	0.90%	0.74%	0.00%	0.15%	0.49%	0.30%	0.74%	0.18%	0.16%	0.15%	0.63%	0.00%									
24	"6. Политическая партия ""Гражданская Платформа"""	68	1	2	2	2	5	1	2	3	0	1	2	0	0	2	1	2	2	0	3	3	2	1	2	0	1	0	1	0	1	0	0	1	1	0	1	0	6	0	2	1	1	0	0	1	2	0	1	5	3	0	1									
		0.21%	0.15%	0.30%	0.33%	0.26%	0.63%	0.18%	0.22%	0.43%	0.00%	0.15%	0.27%	0.00%	0.00%	0.28%	0.13%	0.32%	0.35%	0.00%	0.31%	0.41%	0.28%	0.15%	0.28%	0.00%	0.13%	0.00%	0.18%	0.00%	0.12%	0.00%	0.00%	0.16%	0.14%	0.00%	0.18%	0.00%	0.80%	0.00%	0.37%	0.30%	0.74%	0.00%	0.00%	0.16%	0.30%	0.00%	0.18%	0.82%	0.45%	0.00%	0.44%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	3869	65	80	90	87	102	69	77	70	63	83	88	91	51	94	83	118	70	78	108	75	84	88	84	67	84	65	64	89	104	46	87	77	92	66	80	70	78	73	55	43	14	22	79	63	83	90	101	83	90	83	23									
		12.14%	9.98%	12.01%	14.93%	11.39%	12.83%	12.71%	8.31%	9.99%	13.18%	12.19%	12.07%	14.63%	8.75%	12.95%	10.95%	18.85%	12.37%	13.00%	11.23%	10.19%	11.63%	13.23%	11.67%	10.45%	11.23%	11.61%	11.76%	12.84%	12.59%	11.41%	11.85%	12.52%	12.92%	11.40%	14.55%	12.80%	10.37%	12.01%	10.09%	12.84%	10.37%	12.09%	11.79%	10.33%	12.31%	13.24%	18.07%	13.67%	13.62%	13.01%	10.18%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	152	2	7	6	1	5	2	8	5	5	5	2	3	3	3	2	6	3	3	5	2	5	0	3	3	6	1	1	2	6	0	5	3	5	0	1	1	3	5	1	3	0	1	0	5	3	3	0	4	1	2	1									
		0.48%	0.31%	1.05%	0.99%	0.13%	0.63%	0.37%	0.86%	0.71%	1.05%	0.73%	0.27%	0.48%	0.51%	0.41%	0.26%	0.96%	0.53%	0.50%	0.52%	0.27%	0.69%	0.00%	0.42%	0.47%	0.80%	0.18%	0.18%	0.29%	0.73%	0.00%	0.68%	0.49%	0.70%	0.00%	0.18%	0.18%	0.40%	0.82%	0.18%	0.90%	0.00%	0.55%	0.00%	0.82%	0.45%	0.44%	0.00%	0.66%	0.15%	0.31%	0.44%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	1352	25	26	43	51	42	30	40	31	15	39	28	35	15	34	38	29	24	36	31	21	29	33	36	33	23	12	26	24	21	22	37	18	25	15	26	27	39	31	22	9	3	11	24	14	23	18	21	33	34	26	4									
		4.24%	3.84%	3.90%	7.13%	6.68%	5.28%	5.52%	4.31%	4.42%	3.14%	5.73%	3.84%	5.63%	2.57%	4.68%	5.01%	4.63%	4.24%	6.00%	3.22%	2.85%	4.02%	4.96%	5.00%	5.15%	3.07%	2.14%	4.78%	3.46%	2.54%	5.46%	5.04%	2.93%	3.51%	2.59%	4.73%	4.94%	5.19%	5.10%	4.04%	2.69%	2.22%	6.04%	3.58%	2.30%	3.41%	2.65%	3.76%	5.44%	5.14%	4.08%	1.77%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	42	3	6	1	0	0	0	2	1	0	3	0	1	0	0	1	2	2	0	1	1	0	0	2	1	1	0	1	1	0	0	0	0	2	1	0	0	0	0	1	0	0	0	1	1	1	1	0	1	1	2	0									
		0.13%	0.46%	0.90%	0.17%	0.00%	0.00%	0.00%	0.22%	0.14%	0.00%	0.44%	0.00%	0.16%	0.00%	0.00%	0.13%	0.32%	0.35%	0.00%	0.10%	0.14%	0.00%	0.00%	0.28%	0.16%	0.13%	0.00%	0.18%	0.14%	0.00%	0.00%	0.00%	0.00%	0.28%	0.17%	0.00%	0.00%	0.00%	0.00%	0.18%	0.00%	0.00%	0.00%	0.15%	0.16%	0.15%	0.15%	0.00%	0.16%	0.15%	0.31%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	253	6	12	4	5	3	2	16	5	4	4	0	1	2	8	8	4	5	5	8	9	7	3	4	6	6	6	8	3	8	2	5	4	6	2	3	4	9	7	4	2	1	3	3	3	4	9	3	7	7	3	0									
		0.79%	0.92%	1.80%	0.66%	0.65%	0.38%	0.37%	1.73%	0.71%	0.84%	0.59%	0.00%	0.16%	0.34%	1.10%	1.06%	0.64%	0.88%	0.83%	0.83%	1.22%	0.97%	0.45%	0.56%	0.94%	0.80%	1.07%	1.47%	0.43%	0.97%	0.50%	0.68%	0.65%	0.84%	0.35%	0.55%	0.73%	1.20%	1.15%	0.73%	0.60%	0.74%	1.65%	0.45%	0.49%	0.59%	1.32%	0.54%	1.15%	1.06%	0.47%	0.00%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	4003	92	97	89	111	132	95	128	94	66	89	98	51	117	110	115	70	78	69	112	96	94	79	86	90	104	63	76	85	89	46	77	69	78	86	58	58	73	71	38	46	12	23	83	82	76	71	68	45	75	63	30									
		12.57%	14.13%	14.56%	14.76%	14.53%	16.60%	17.50%	13.81%	13.41%	13.81%	13.07%	13.44%	8.20%	20.07%	15.15%	15.17%	11.18%	13.78%	11.50%	11.64%	13.04%	13.02%	11.88%	11.94%	14.04%	13.90%	11.25%	13.97%	12.27%	10.77%	11.41%	10.49%	11.22%	10.96%	14.85%	10.55%	10.60%	9.71%	11.68%	6.97%	13.73%	8.89%	12.64%	12.39%	13.44%	11.28%	10.44%	12.16%	7.41%	11.35%	9.87%	13.27%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	129	6	4	3	3	4	2	5	1	3	4	3	3	1	5	2	2	3	1	2	3	4	1	4	3	6	0	0	1	0	2	0	4	1	3	2	2	6	3	4	1	0	0	1	0	0	2	3	7	6	1	2									
		0.40%	0.92%	0.60%	0.50%	0.39%	0.50%	0.37%	0.54%	0.14%	0.63%	0.59%	0.41%	0.48%	0.17%	0.69%	0.26%	0.32%	0.53%	0.17%	0.21%	0.41%	0.55%	0.15%	0.56%	0.47%	0.80%	0.00%	0.00%	0.14%	0.00%	0.50%	0.00%	0.65%	0.14%	0.52%	0.36%	0.37%	0.80%	0.49%	0.73%	0.30%	0.00%	0.00%	0.15%	0.00%	0.00%	0.29%	0.54%	1.15%	0.91%	0.16%	0.88%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	2884	65	90	57	78	78	70	75	67	52	44	82	64	77	61	71	26	19	35	59	73	70	33	50	85	79	59	63	87	82	34	86	83	76	64	53	41	99	73	65	23	3	7	79	44	29	46	29	37	29	26	7									
		9.05%	9.98%	13.51%	9.45%	10.21%	9.81%	12.89%	8.09%	9.56%	10.88%	6.46%	11.25%	10.29%	13.21%	8.40%	9.37%	4.15%	3.36%	5.83%	6.13%	9.92%	9.70%	4.96%	6.94%	13.26%	10.56%	10.54%	11.58%	12.55%	9.93%	8.44%	11.72%	13.50%	10.67%	11.05%	9.64%	7.50%	13.16%	12.01%	11.93%	6.87%	2.22%	3.85%	11.79%	7.21%	4.30%	6.76%	5.19%	6.10%	4.39%	4.08%	3.10%									
																																																														
																																																														
																																																														
																																																														
																																																														
																																																														
																																																														
																																																														
																																																														
																																																														
																																																														
																																																														
																																																														
																																																														
																																																														
																																																														
																																																														
																																																														
																																																														
																																																														
																																																														
																																																														
