Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																																																																						
Дата голосования: 04.12.2011																																																																																																						
																																																																																																						
Наименование Избирательной комиссии:    Дмитровская																																																																																																						
																																																																																																						
Сводная таблица результатов выборов																																																																																																						
																																																																																																						
		Сумма	УИК №223	УИК №224	УИК №225	УИК №226	УИК №227	УИК №228	УИК №229	УИК №230	УИК №231	УИК №232	УИК №233	УИК №234	УИК №235	УИК №236	УИК №237	УИК №238	УИК №239	УИК №240	УИК №241	УИК №242	УИК №243	УИК №244	УИК №245	УИК №246	УИК №247	УИК №248	УИК №249	УИК №250	УИК №251	УИК №252	УИК №253	УИК №254	УИК №255	УИК №256	УИК №257	УИК №258	УИК №259	УИК №260	УИК №261	УИК №262	УИК №263	УИК №264	УИК №265	УИК №266	УИК №267	УИК №268	УИК №269	УИК №270	УИК №271	УИК №272	УИК №273	УИК №274	УИК №275	УИК №276	УИК №277	УИК №278	УИК №279	УИК №280	УИК №281	УИК №282	УИК №283	УИК №284	УИК №285	УИК №286	УИК №287	УИК №288	УИК №289	УИК №290	УИК №291	УИК №292	УИК №293	УИК №294	УИК №295	УИК №296	УИК №297	УИК №298	УИК №299	УИК №300	УИК №301	УИК №302	УИК №303	УИК №304	УИК №305	УИК №306	УИК №307	УИК №308	УИК №309	УИК №310	УИК №311	УИК №312	УИК №313	УИК №314	УИК №315	УИК №316	УИК №317					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	2138	10	35	35	35	25	45	10	25	35	35	55	45	10	25	35	35	35	35	35	25	25	25	25	35	25	35	25	35	25	10	10	10	10	40	10	10	25	25	10	25	10	10	10	10	10	35	25	10	25	10	25	10	25	10	10	10	25	25	25	25	10	40	35	35	25	25	10	35	35	38	25	17	25	40	13	35	10	35	10	10	15	25	10	10	10	25	10	10	15	10	10	25	10	10	25					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	1579	3	31	22	30	25	45	6	13	31	25	46	28	0	17	29	24	20	28	24	8	25	8	17	35	19	32	21	25	14	0	6	6	3	40	8	5	11	14	3	19	0	6	10	7	6	35	17	7	25	10	25	10	18	6	5	0	20	22	17	21	6	40	24	25	18	23	10	35	35	38	25	14	22	37	13	24	10	28	10	7	6	14	3	5	0	2	2	1	15	1	6	14	10	5	18					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	1458	8	24	14	8	15	4	7	12	31	19	23	10	11	16	10	4	29	31	7	13	14	14	12	14	24	16	10	11	9	6	8	10	17	56	8	19	7	16	11	21	13	13	9	9	6	36	5	11	15	8	4	4	30	3	14	6	2	15	18	22	32	34	29	11	27	11	24	16	7	15	16	13	5	14	7	97	24	10	5	23	0	7	3	5	23	10	3	5	68	18	10	12	4	11	17					
14	Число погашенных неиспользованных открепительных удостоверений	559	7	4	13	5	0	0	4	12	4	10	9	17	10	8	6	11	15	7	11	17	0	17	8	0	6	3	4	10	11	10	4	4	7	0	2	5	14	11	7	6	10	4	0	3	4	0	8	3	0	0	0	0	7	4	5	10	5	3	8	4	4	0	11	10	7	2	0	0	0	0	0	3	3	3	0	11	0	7	0	3	9	11	7	5	10	23	8	9	0	9	4	11	0	5	7					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	24	1	1	0	0	0	2	0	0	0	3	1	0	0	0	1	1	0	0	0	2	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																																																																						
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	8911	45	195	150	200	176	133	80	145	112	173	270	243	36	113	118	70	191	157	95	35	136	52	115	184	152	199	68	181	138	19	60	68	26	171	14	41	73	108	52	114	15	72	76	31	79	138	107	38	131	34	87	56	75	25	56	14	80	117	137	165	36	205	101	80	13	79	47	97	89	49	171	82	127	81	83	181	54	116	84	51	18	114	16	45	55	126	26	52	58	21	38	72	72	16	115					
		13.82%	17.93%	21.45%	18.25%	21.34%	26.27%	15.91%	20.41%	18.76%	9.61%	14.44%	22.33%	21.06%	18.46%	23.30%	10.35%	6.28%	19.18%	12.19%	8.18%	6.80%	18.04%	7.80%	20.28%	15.88%	19.05%	19.12%	11.30%	18.28%	20.78%	16.67%	16.17%	16.55%	15.20%	18.19%	6.57%	15.24%	12.74%	16.39%	23.64%	15.97%	9.43%	13.38%	16.67%	12.76%	18.16%	17.51%	19.45%	12.50%	15.88%	13.18%	16.99%	16.57%	16.06%	18.52%	15.60%	8.92%	12.14%	18.66%	20.57%	19.69%	15.58%	10.10%	9.82%	5.26%	1.22%	6.68%	6.94%	7.42%	5.75%	4.61%	16.12%	15.89%	17.61%	9.69%	20.39%	19.19%	8.10%	12.69%	14.36%	7.56%	9.73%	11.46%	8.94%	11.42%	15.36%	12.39%	8.28%	12.62%	9.63%	12.28%	10.58%	12.54%	11.80%	10.96%	14.84%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	7571	34	60	77	32	95	53	64	126	84	85	131	164	36	45	95	126	112	131	87	72	109	47	58	130	106	109	56	159	118	15	105	37	28	138	59	58	98	108	27	102	28	136	42	30	54	121	89	25	166	61	86	45	80	18	54	29	96	97	104	39	37	200	169	77	6	71	50	239	81	143	143	78	99	32	78	143	67	169	125	9	18	132	31	54	31	80	28	25	54	21	67	72	63	13	90					
		11.74%	13.55%	6.60%	9.37%	3.42%	14.18%	6.34%	16.33%	16.30%	7.20%	7.10%	10.84%	14.21%	18.46%	9.28%	8.33%	11.30%	11.24%	10.17%	7.49%	13.98%	14.46%	7.05%	10.23%	11.22%	13.28%	10.47%	9.30%	16.06%	17.77%	13.16%	28.30%	9.00%	16.37%	14.68%	27.70%	21.56%	17.10%	16.39%	12.27%	14.29%	17.61%	25.28%	9.21%	12.35%	12.41%	15.36%	16.18%	8.22%	20.12%	23.64%	16.80%	13.31%	17.13%	13.33%	15.04%	18.47%	14.57%	15.47%	15.62%	4.65%	16.02%	9.85%	16.44%	5.07%	0.56%	6.00%	7.39%	18.27%	5.23%	13.45%	13.48%	15.12%	13.73%	3.83%	19.16%	15.16%	10.04%	18.49%	21.37%	1.33%	9.73%	13.27%	17.32%	13.71%	8.66%	7.87%	8.92%	6.07%	8.97%	12.28%	18.66%	12.54%	10.33%	8.90%	11.61%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	519	4	0	6	11	4	11	5	12	2	4	11	11	0	3	10	15	9	17	0	2	7	10	8	9	0	0	0	0	5	0	5	0	2	13	4	2	5	7	1	3	0	5	3	3	5	0	9	2	14	4	6	1	5	2	1	3	2	7	0	0	2	23	4	16	2	0	8	13	12	1	9	2	14	1	0	19	4	0	7	7	1	5	3	3	10	3	3	2	21	3	5	7	6	0	13					
		0.80%	1.59%	0.00%	0.73%	1.17%	0.60%	1.32%	1.28%	1.55%	0.17%	0.33%	0.91%	0.95%	0.00%	0.62%	0.88%	1.35%	0.90%	1.32%	0.00%	0.39%	0.93%	1.50%	1.41%	0.78%	0.00%	0.00%	0.00%	0.00%	0.75%	0.00%	1.35%	0.00%	1.17%	1.38%	1.88%	0.74%	0.87%	1.06%	0.45%	0.42%	0.00%	0.93%	0.66%	1.23%	1.15%	0.00%	1.64%	0.66%	1.70%	1.55%	1.17%	0.30%	1.07%	1.48%	0.28%	1.91%	0.30%	1.12%	0.00%	0.00%	0.87%	1.13%	0.39%	1.05%	0.19%	0.00%	1.18%	0.99%	0.77%	0.09%	0.85%	0.39%	1.94%	0.12%	0.00%	2.01%	0.60%	0.00%	1.20%	1.04%	0.54%	0.50%	1.68%	0.76%	2.79%	0.29%	0.96%	0.49%	3.49%	1.75%	1.39%	1.22%	0.98%	0.00%	1.68%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	13439	57	275	139	249	153	176	97	222	306	227	313	311	43	147	308	280	287	327	216	135	236	111	173	332	212	307	128	283	185	20	60	81	34	235	31	56	140	121	54	99	21	93	94	59	84	165	131	73	181	25	117	87	78	19	51	27	131	137	121	163	50	300	156	180	145	180	67	156	206	204	225	150	170	92	53	220	60	267	118	86	34	196	28	86	33	204	31	58	115	26	67	151	95	19	188					
		20.84%	22.71%	30.25%	16.91%	26.57%	22.84%	21.05%	24.74%	28.72%	26.24%	18.95%	25.89%	26.95%	22.05%	30.31%	27.02%	25.11%	28.82%	25.39%	18.60%	26.21%	31.30%	16.64%	30.51%	28.65%	26.57%	29.49%	21.26%	28.59%	27.86%	17.54%	16.17%	19.71%	19.88%	25.00%	14.55%	20.82%	24.43%	18.36%	24.55%	13.87%	13.21%	17.29%	20.61%	24.28%	19.31%	20.94%	23.82%	24.01%	21.94%	9.69%	22.85%	25.74%	16.70%	14.07%	14.21%	17.20%	19.88%	21.85%	18.17%	19.45%	21.65%	14.78%	15.18%	11.84%	13.62%	15.22%	9.90%	11.93%	13.30%	19.19%	21.21%	29.07%	23.58%	11.00%	13.02%	23.33%	8.99%	29.21%	20.17%	12.74%	18.38%	19.70%	15.64%	21.83%	9.22%	20.06%	9.87%	14.08%	19.10%	15.20%	18.66%	26.31%	15.57%	13.01%	24.26%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	1959	20	0	25	8	62	20	1	61	4	27	87	63	11	12	47	18	84	75	0	2	48	11	41	49	0	0	0	0	38	4	0	0	8	67	4	8	23	29	14	14	0	10	41	20	28	0	27	9	29	8	37	9	33	6	21	16	1	47	0	0	8	83	29	16	7	0	11	17	20	3	62	30	56	2	5	63	13	0	25	9	6	0	3	7	13	5	4	5	17	4	12	21	9	1	66					
		3.04%	7.97%	0.00%	3.04%	0.85%	9.25%	2.39%	0.26%	7.89%	0.34%	2.25%	7.20%	5.46%	5.64%	2.47%	4.12%	1.61%	8.43%	5.82%	0.00%	0.39%	6.37%	1.65%	7.23%	4.23%	0.00%	0.00%	0.00%	0.00%	5.72%	3.51%	0.00%	0.00%	4.68%	7.13%	1.88%	2.97%	4.01%	4.40%	6.36%	1.96%	0.00%	1.86%	8.99%	8.23%	6.44%	0.00%	4.91%	2.96%	3.52%	3.10%	7.23%	2.66%	7.07%	4.44%	5.85%	10.19%	0.15%	7.50%	0.00%	0.00%	3.46%	4.09%	2.82%	1.05%	0.66%	0.00%	1.62%	1.30%	1.29%	0.28%	5.84%	5.81%	7.77%	0.24%	1.23%	6.68%	1.95%	0.00%	4.27%	1.33%	3.24%	0.00%	1.68%	1.78%	3.63%	0.49%	1.27%	1.21%	2.82%	2.34%	3.34%	3.66%	1.48%	0.68%	8.52%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	30227	79	354	412	431	160	418	134	174	645	672	364	332	63	137	504	557	278	560	763	251	190	423	149	434	314	404	335	354	151	51	124	215	70	274	95	91	205	253	66	379	94	204	182	87	167	329	168	142	257	120	150	122	189	59	166	59	332	204	283	453	90	1158	536	1124	888	841	484	757	1045	631	425	155	226	598	177	282	455	327	218	485	101	539	90	195	210	577	197	257	316	93	161	233	355	93	276					
		46.87%	31.47%	38.94%	50.12%	45.99%	23.88%	50.00%	34.18%	22.51%	55.32%	56.09%	30.11%	28.77%	32.31%	28.25%	44.21%	49.96%	27.91%	43.48%	65.72%	48.74%	25.20%	63.42%	26.28%	37.45%	39.35%	38.81%	55.65%	35.76%	22.74%	44.74%	33.42%	52.31%	40.94%	29.15%	44.60%	33.83%	35.78%	38.39%	30.00%	53.08%	59.12%	37.92%	39.91%	35.80%	38.39%	41.75%	30.55%	46.71%	31.15%	46.51%	29.30%	36.09%	40.47%	43.70%	46.24%	37.58%	50.38%	32.54%	42.49%	54.06%	38.96%	57.04%	52.14%	73.95%	83.38%	71.09%	71.49%	57.87%	67.46%	59.36%	40.06%	30.04%	31.35%	71.53%	43.49%	29.90%	68.22%	35.78%	37.26%	71.85%	54.59%	54.17%	50.28%	49.49%	58.66%	56.74%	62.74%	62.38%	52.49%	54.39%	44.85%	40.59%	58.20%	63.70%	35.61%					
25	"7. Всероссийская политическая партия ""ПРАВОЕ ДЕЛО"""	422	0	0	8	6	6	5	6	17	4	7	14	9	1	3	12	15	9	12	0	2	7	1	10	4	0	0	0	0	6	2	6	0	1	14	3	3	1	3	0	3	0	4	2	4	2	0	6	1	13	2	3	1	2	1	3	4	7	4	0	0	1	21	7	7	3	0	5	12	10	2	9	9	6	1	0	14	5	0	5	9	2	1	2	3	5	1	3	0	8	1	3	2	0	1	5					
		0.65%	0.00%	0.00%	0.97%	0.64%	0.90%	0.60%	1.53%	2.20%	0.34%	0.58%	1.16%	0.78%	0.51%	0.62%	1.05%	1.35%	0.90%	0.93%	0.00%	0.39%	0.93%	0.15%	1.76%	0.35%	0.00%	0.00%	0.00%	0.00%	0.90%	1.75%	1.62%	0.00%	0.58%	1.49%	1.41%	1.12%	0.17%	0.46%	0.00%	0.42%	0.00%	0.74%	0.44%	1.65%	0.46%	0.00%	1.09%	0.33%	1.58%	0.78%	0.59%	0.30%	0.43%	0.74%	0.84%	2.55%	1.06%	0.64%	0.00%	0.00%	0.43%	1.03%	0.68%	0.46%	0.28%	0.00%	0.74%	0.92%	0.65%	0.19%	0.85%	1.74%	0.83%	0.12%	0.00%	1.48%	0.75%	0.00%	0.85%	1.33%	1.08%	0.10%	1.12%	0.76%	1.40%	0.10%	0.96%	0.00%	1.33%	0.58%	0.84%	0.35%	0.00%	0.68%	0.65%					
																																																																																																						
																																																																																																						
																																																																																																						
																																																																																																						
																																																																																																						
																																																																																																						
																																																																																																						
																																																																																																						
																																																																																																						
																																																																																																						
																																																																																																						
																																																																																																						
																																																																																																						
																																																																																																						
																																																																																																						
																																																																																																						
																																																																																																						
																																																																																																						
