Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																																																	
Дата голосования: 18.09.2016																																																																																																	
																																																																																																	
Наименование Избирательной комиссии:    Балашовская																																																																																																	
																																																																																																	
Сводная таблица итогов голосования по федеральному избирательному округу																																																																																																	
																																																																																																	
		Сумма	УИК №596	УИК №597	УИК №598	УИК №599	УИК №600	УИК №601	УИК №602	УИК №603	УИК №604	УИК №605	УИК №606	УИК №607	УИК №608	УИК №609	УИК №610	УИК №611	УИК №612	УИК №613	УИК №614	УИК №615	УИК №616	УИК №617	УИК №618	УИК №619	УИК №620	УИК №621	УИК №622	УИК №623	УИК №624	УИК №625	УИК №626	УИК №627	УИК №628	УИК №629	УИК №630	УИК №631	УИК №632	УИК №633	УИК №634	УИК №635	УИК №636	УИК №637	УИК №638	УИК №639	УИК №640	УИК №641	УИК №642	УИК №643	УИК №644	УИК №645	УИК №646	УИК №647	УИК №648	УИК №649	УИК №650	УИК №651	УИК №652	УИК №653	УИК №654	УИК №655	УИК №656	УИК №657	УИК №658	УИК №659	УИК №660	УИК №661	УИК №662	УИК №663	УИК №664	УИК №665	УИК №666	УИК №667	УИК №668	УИК №669	УИК №670	УИК №671	УИК №672	УИК №673	УИК №674	УИК №675	УИК №676	УИК №677	УИК №678	УИК №679	УИК №680	УИК №8211									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	213	0	1	0	1	0	2	1	3	4	6	3	1	3	7	6	0	5	3	6	3	15	5	0	4	3	1	3	1	0	0	9	1	14	5	2	2	2	10	2	6	0	2	4	2	5	6	4	0	0	0	0	0	1	1	0	0	0	4	1	0	0	0	2	1	0	2	1	2	7	0	5	0	1	1	0	4	0	1	2	1	0	3	1	4	1	4									
		0.46%	0.00%	0.13%	0.00%	0.25%	0.00%	0.51%	0.18%	0.71%	0.47%	0.77%	0.71%	0.17%	0.53%	1.20%	0.65%	0.00%	0.99%	0.77%	1.18%	0.50%	1.73%	0.49%	0.00%	0.54%	0.70%	0.13%	0.63%	0.18%	0.00%	0.00%	1.20%	0.12%	1.41%	1.45%	0.21%	0.36%	0.18%	1.37%	0.31%	0.64%	0.00%	0.35%	0.54%	0.35%	0.59%	1.01%	0.56%	0.00%	0.00%	0.00%	0.00%	0.00%	0.47%	0.82%	0.00%	0.00%	0.00%	0.84%	0.89%	0.00%	0.00%	0.00%	0.47%	0.22%	0.00%	0.28%	0.37%	0.34%	3.10%	0.00%	0.38%	0.00%	0.93%	0.77%	0.00%	1.01%	0.00%	0.23%	0.46%	0.43%	0.00%	0.38%	0.64%	0.45%	0.39%	0.13%									
24	"6. Политическая партия ""Гражданская Платформа"""	78	0	3	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	1	1	0	1	0	0	0	0	0	1	1	0	3	2	0	0	0	0	4	1	0	1	0	0	1	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	44	0	0	0	0	0	0	0	0	1	0	1	0	2	0	0	0	0	2	0	0	0	0	0	0	0	2									
		0.17%	0.00%	0.38%	0.00%	0.00%	0.00%	0.00%	0.18%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.17%	0.00%	0.00%	0.20%	0.00%	0.20%	0.17%	0.00%	0.10%	0.00%	0.00%	0.00%	0.00%	0.00%	0.18%	0.20%	0.00%	0.40%	0.24%	0.00%	0.00%	0.00%	0.00%	0.37%	0.14%	0.00%	0.11%	0.00%	0.00%	0.13%	0.00%	0.00%	0.17%	0.14%	0.80%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	13.97%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.44%	0.00%	0.08%	0.00%	1.85%	0.00%	0.00%	0.00%	0.00%	0.46%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.06%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	5814	144	55	128	5	46	53	100	83	77	75	60	113	54	109	93	84	101	51	86	132	159	136	70	94	97	56	74	59	84	101	184	50	144	47	83	83	73	60	58	71	75	85	119	85	62	64	126	8	10	83	56	42	36	12	5	52	5	34	18	1	13	24	31	98	10	77	18	59	43	23	96	45	31	20	13	54	13	99	65	29	28	133	27	123	36	196									
		12.55%	29.69%	7.04%	23.53%	1.23%	12.07%	13.59%	17.54%	19.71%	9.09%	9.60%	14.18%	19.62%	9.46%	18.70%	10.13%	13.64%	20.00%	13.14%	16.96%	22.15%	18.34%	13.29%	8.31%	12.75%	22.77%	7.46%	15.55%	10.77%	17.21%	13.29%	24.60%	6.08%	14.49%	13.62%	8.59%	15.12%	6.70%	8.22%	9.13%	7.60%	11.21%	14.83%	16.02%	15.02%	7.34%	10.79%	17.77%	6.40%	13.70%	13.67%	19.11%	15.44%	16.82%	9.84%	7.94%	13.54%	4.10%	7.13%	16.07%	0.32%	15.48%	19.20%	7.31%	21.59%	6.76%	10.80%	6.64%	10.05%	19.03%	13.53%	7.36%	8.29%	28.70%	15.38%	11.11%	13.67%	11.82%	22.81%	14.94%	12.55%	12.23%	16.92%	17.20%	13.77%	14.01%	6.32%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	220	0	30	0	0	0	3	4	5	4	2	2	2	4	4	4	0	2	0	4	3	7	4	2	4	6	1	0	0	4	0	7	1	7	1	12	5	6	8	4	2	0	0	6	3	3	5	3	0	0	0	0	1	1	0	0	1	0	5	0	0	0	4	0	0	1	4	0	2	2	0	8	0	0	0	0	0	0	0	1	1	1	1	1	5	2	5									
		0.47%	0.00%	3.84%	0.00%	0.00%	0.00%	0.77%	0.70%	1.19%	0.47%	0.26%	0.47%	0.35%	0.70%	0.69%	0.44%	0.00%	0.40%	0.00%	0.79%	0.50%	0.81%	0.39%	0.24%	0.54%	1.41%	0.13%	0.00%	0.00%	0.82%	0.00%	0.94%	0.12%	0.70%	0.29%	1.24%	0.91%	0.55%	1.10%	0.63%	0.21%	0.00%	0.00%	0.81%	0.53%	0.36%	0.84%	0.42%	0.00%	0.00%	0.00%	0.00%	0.37%	0.47%	0.00%	0.00%	0.26%	0.00%	1.05%	0.00%	0.00%	0.00%	3.20%	0.00%	0.00%	0.68%	0.56%	0.00%	0.34%	0.88%	0.00%	0.61%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.23%	0.43%	0.44%	0.13%	0.64%	0.56%	0.78%	0.16%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	206	0	13	0	0	0	0	4	2	3	1	4	2	2	6	2	0	6	0	6	1	7	1	0	3	4	0	3	3	3	1	8	1	2	2	6	4	8	4	5	0	3	6	10	3	4	3	11	0	0	0	2	2	1	0	0	0	1	1	0	0	0	0	4	0	0	2	1	0	0	0	5	2	0	0	0	0	3	0	1	3	0	2	2	5	1	11									
		0.44%	0.00%	1.66%	0.00%	0.00%	0.00%	0.00%	0.70%	0.48%	0.35%	0.13%	0.95%	0.35%	0.35%	1.03%	0.22%	0.00%	1.19%	0.00%	1.18%	0.17%	0.81%	0.10%	0.00%	0.41%	0.94%	0.00%	0.63%	0.55%	0.61%	0.13%	1.07%	0.12%	0.20%	0.58%	0.62%	0.73%	0.73%	0.55%	0.79%	0.00%	0.45%	1.05%	1.35%	0.53%	0.47%	0.51%	1.55%	0.00%	0.00%	0.00%	0.68%	0.74%	0.47%	0.00%	0.00%	0.00%	0.82%	0.21%	0.00%	0.00%	0.00%	0.00%	0.94%	0.00%	0.00%	0.28%	0.37%	0.00%	0.00%	0.00%	0.38%	0.37%	0.00%	0.00%	0.00%	0.00%	2.73%	0.00%	0.23%	1.30%	0.00%	0.25%	1.27%	0.56%	0.39%	0.35%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	28	0	0	0	0	0	0	1	0	0	0	0	1	0	1	1	0	0	0	0	0	2	1	0	0	0	0	0	0	1	0	0	0	1	2	1	0	0	1	0	1	1	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	3	0	0	1	0	0	0	0	1	0	0	1	0	0	2	0	0	0	1									
		0.06%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.18%	0.00%	0.00%	0.00%	0.00%	0.17%	0.00%	0.17%	0.11%	0.00%	0.00%	0.00%	0.00%	0.00%	0.23%	0.10%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.20%	0.00%	0.00%	0.00%	0.10%	0.58%	0.10%	0.00%	0.00%	0.14%	0.00%	0.11%	0.15%	0.00%	0.00%	0.00%	0.24%	0.17%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.24%	0.00%	0.00%	0.00%	0.00%	0.51%	0.00%	0.00%	0.08%	0.00%	0.00%	0.00%	0.00%	0.25%	0.00%	0.00%	0.23%	0.00%	0.00%	0.25%	0.00%	0.00%	0.00%	0.03%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	313	0	27	0	0	3	0	4	6	5	5	2	5	6	6	5	5	8	6	6	10	20	11	4	5	3	4	4	2	2	3	6	1	8	2	3	10	4	1	4	3	2	1	5	5	4	4	10	0	0	0	0	2	2	1	0	0	0	1	0	0	0	0	3	1	0	0	1	1	2	0	3	4	2	0	0	3	0	5	5	3	2	5	1	6	2	18									
		0.68%	0.00%	3.46%	0.00%	0.00%	0.79%	0.00%	0.70%	1.43%	0.59%	0.64%	0.47%	0.87%	1.05%	1.03%	0.54%	0.81%	1.58%	1.55%	1.18%	1.68%	2.31%	1.08%	0.48%	0.68%	0.70%	0.53%	0.84%	0.36%	0.41%	0.39%	0.80%	0.12%	0.80%	0.58%	0.31%	1.82%	0.37%	0.14%	0.63%	0.32%	0.30%	0.17%	0.67%	0.88%	0.47%	0.67%	1.41%	0.00%	0.00%	0.00%	0.00%	0.74%	0.93%	0.82%	0.00%	0.00%	0.00%	0.21%	0.00%	0.00%	0.00%	0.00%	0.71%	0.22%	0.00%	0.00%	0.37%	0.17%	0.88%	0.00%	0.23%	0.74%	1.85%	0.00%	0.00%	0.76%	0.00%	1.15%	1.15%	1.30%	0.87%	0.64%	0.64%	0.67%	0.78%	0.58%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	5766	43	110	66	3	52	61	41	56	69	73	72	72	28	130	63	54	83	46	112	125	132	148	51	69	71	65	65	71	65	69	75	180	247	107	80	140	127	96	105	165	116	101	164	110	112	94	72	20	18	60	33	26	24	16	11	54	14	82	7	37	21	12	42	47	26	108	31	26	23	17	90	33	11	11	17	60	17	41	62	38	30	118	17	85	23	102									
		12.45%	8.87%	14.08%	12.13%	0.74%	13.65%	15.64%	7.19%	13.30%	8.15%	9.35%	17.02%	12.50%	4.90%	22.30%	6.86%	8.77%	16.44%	11.86%	22.09%	20.97%	15.22%	14.47%	6.06%	9.36%	16.67%	8.66%	13.66%	12.96%	13.32%	9.08%	10.03%	21.90%	24.85%	31.01%	8.28%	25.50%	11.65%	13.15%	16.54%	17.67%	17.34%	17.63%	22.07%	19.43%	13.25%	15.85%	10.16%	16.00%	24.66%	9.88%	11.26%	9.56%	11.21%	13.11%	17.46%	14.06%	11.48%	17.19%	6.25%	11.75%	25.00%	9.60%	9.91%	10.35%	17.57%	15.15%	11.44%	4.43%	10.18%	10.00%	6.90%	6.08%	10.19%	8.46%	14.53%	15.19%	15.45%	9.45%	14.25%	16.45%	13.10%	15.01%	10.83%	9.52%	8.95%	3.29%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	109	0	5	0	0	2	0	2	3	0	0	1	1	1	0	9	0	3	2	1	7	0	4	0	2	2	1	1	2	0	2	1	1	5	0	3	4	3	2	1	1	1	2	2	2	1	3	3	0	0	0	2	0	0	0	0	1	0	1	0	0	0	0	2	0	0	1	2	0	1	0	3	2	0	0	0	1	0	1	0	0	0	0	0	3	2	1									
		0.24%	0.00%	0.64%	0.00%	0.00%	0.52%	0.00%	0.35%	0.71%	0.00%	0.00%	0.24%	0.17%	0.18%	0.00%	0.98%	0.00%	0.59%	0.52%	0.20%	1.17%	0.00%	0.39%	0.00%	0.27%	0.47%	0.13%	0.21%	0.36%	0.00%	0.26%	0.13%	0.12%	0.50%	0.00%	0.31%	0.73%	0.28%	0.27%	0.16%	0.11%	0.15%	0.35%	0.27%	0.35%	0.12%	0.51%	0.42%	0.00%	0.00%	0.00%	0.68%	0.00%	0.00%	0.00%	0.00%	0.26%	0.00%	0.21%	0.00%	0.00%	0.00%	0.00%	0.47%	0.00%	0.00%	0.14%	0.74%	0.00%	0.44%	0.00%	0.23%	0.37%	0.00%	0.00%	0.00%	0.25%	0.00%	0.23%	0.00%	0.00%	0.00%	0.00%	0.00%	0.34%	0.78%	0.03%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	1711	0	25	21	0	16	32	30	25	29	25	23	10	10	38	19	35	27	12	41	34	35	37	56	23	17	10	9	35	13	21	39	41	64	25	58	50	41	24	27	37	17	10	43	30	39	37	30	16	1	21	13	7	9	1	0	10	3	7	0	12	4	0	4	24	11	11	20	5	10	7	14	2	0	1	0	15	2	20	3	4	5	24	4	76	0	25									
