Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																					
Дата голосования: 07.12.2003 0:00:00																																					
																																					
Наименование Избирательной комиссии:    Бутурлинская																																					
																																					
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																					
																																					
		Сумма	УИК  373	УИК  374	УИК  375	УИК  376	УИК  377	УИК  378	УИК  379	УИК  380	УИК  381	УИК  382	УИК  383	УИК  384	УИК  385	УИК  386	УИК  387	УИК  388	УИК  389	УИК  390	УИК  391	УИК  392	УИК  393	УИК  394	УИК  395	УИК  396	УИК  397	УИК  398	УИК  399	УИК  400	УИК  401	УИК  402					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	72	20	22	10	0	1	2	0	1	1	1	0	2	5	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	4					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	63	10	3	2	1	4	2	0	0	1	2	2	2	2	4	2	1	2	0	0	1	1	5	3	0	1	3	3	3	0	3					
14	Число погашенных открепительных удостоверений	427	79	78	70	20	4	3	5	4	4	4	5	3	10	5	5	5	5	15	3	15	5	5	15	5	5	4	15	15	15	1					
15	Число открепительных удостоверений выданных ТИК	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																					
18	"1. ""ЕДИНЕНИЕ"""	116	9	16	7	6	5	3	2	12	4	6	4	0	6	0	1	6	1	6	1	1	1	2	4	1	0	4	3	3	2	0					
		1.46%	0.71%	1.46%	0.87%	2.35%	1.21%	1.28%	2.06%	2.73%	3.84%	2.81%	2.32%	0.0%	2.72%	0.0%	0.95%	3.06%	3.03%	1.62%	0.83%	0.47%	1.28%	2.77%	1.44%	2.56%	0.0%	2.72%	1.24%	1.03%	1.11%	0.0%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	205	45	26	28	3	15	11	2	7	4	8	0	0	10	1	2	0	0	7	1	9	1	0	3	2	1	0	7	5	2	5					
		2.59%	3.58%	2.38%	3.48%	1.17%	3.64%	4.70%	2.06%	1.59%	3.84%	3.75%	0.0%	0.0%	4.54%	1.88%	1.90%	0.0%	0.0%	1.89%	0.83%	4.30%	1.28%	0.0%	1.08%	5.12%	3.33%	0.0%	2.90%	1.73%	1.11%	4.31%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	140	15	16	18	3	3	1	1	3	3	5	3	2	7	0	5	5	1	5	5	0	3	2	8	0	1	2	13	8	0	2					
		1.77%	1.19%	1.46%	2.23%	1.17%	0.72%	0.42%	1.03%	0.68%	2.88%	2.34%	1.74%	4.54%	3.18%	0.0%	4.76%	2.55%	3.03%	1.35%	4.16%	0.0%	3.84%	2.77%	2.88%	0.0%	3.33%	1.36%	5.39%	2.76%	0.0%	1.72%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	70	9	17	3	2	3	3	1	5	1	4	0	1	1	1	0	4	0	4	1	2	0	0	2	1	1	0	0	3	0	1					
		0.88%	0.71%	1.55%	0.37%	0.78%	0.72%	1.28%	1.03%	1.14%	0.96%	1.87%	0.0%	2.27%	0.45%	1.88%	0.0%	2.04%	0.0%	1.08%	0.83%	0.95%	0.0%	0.0%	0.72%	2.56%	3.33%	0.0%	0.0%	1.03%	0.0%	0.86%					
22	"5. ""За Русь Святую"""	42	7	4	4	1	3	0	0	3	0	3	0	0	0	0	1	2	0	1	0	0	0	1	3	0	0	0	8	0	1	0					
		0.53%	0.55%	0.36%	0.49%	0.39%	0.72%	0.0%	0.0%	0.68%	0.0%	1.40%	0.0%	0.0%	0.0%	0.0%	0.95%	1.02%	0.0%	0.27%	0.0%	0.0%	0.0%	1.38%	1.08%	0.0%	0.0%	0.0%	3.31%	0.0%	0.55%	0.0%					
23	"6. ""Объединенная Российская партия ""Русь"""	26	3	1	6	1	1	0	0	2	0	3	0	0	2	0	0	1	0	2	0	0	0	1	1	0	0	0	1	1	0	0					
		0.32%	0.23%	0.09%	0.74%	0.39%	0.24%	0.0%	0.0%	0.45%	0.0%	1.40%	0.0%	0.0%	0.90%	0.0%	0.0%	0.51%	0.0%	0.54%	0.0%	0.0%	0.0%	1.38%	0.36%	0.0%	0.0%	0.0%	0.41%	0.34%	0.0%	0.0%					
24	"7. ""Новый курс - Автомобильная Россия"""	26	4	4	3	0	3	0	0	3	1	0	2	0	2	0	0	0	0	1	0	0	0	0	0	0	2	1	0	0	0	0					
		0.32%	0.31%	0.36%	0.37%	0.0%	0.72%	0.0%	0.0%	0.68%	0.96%	0.0%	1.16%	0.0%	0.90%	0.0%	0.0%	0.0%	0.0%	0.27%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	6.66%	0.68%	0.0%	0.0%	0.0%	0.0%					
25	"8. ""Народно-республиканская партия России"""	12	3	1	1	1	1	0	2	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0					
		0.15%	0.23%	0.09%	0.12%	0.39%	0.24%	0.0%	2.06%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.51%	0.0%	0.27%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.68%	0.0%	0.0%	0.0%	0.0%					
26	"9. ""Российская экологическая партия ""Зеленые"""	13	2	2	1	0	0	0	0	1	1	0	0	0	1	0	0	1	0	2	0	0	0	0	0	1	0	0	0	0	0	1					
		0.16%	0.15%	0.18%	0.12%	0.0%	0.0%	0.0%	0.0%	0.22%	0.96%	0.0%	0.0%	0.0%	0.45%	0.0%	0.0%	0.51%	0.0%	0.54%	0.0%	0.0%	0.0%	0.0%	0.0%	2.56%	0.0%	0.0%	0.0%	0.0%	0.0%	0.86%					
27	"10. ""Аграрная партия России"""	1139	134	94	43	45	43	31	5	49	10	76	38	7	40	3	22	58	2	98	40	58	13	13	28	2	1	31	32	66	36	21					
		14.43%	10.67%	8.61%	5.34%	17.64%	10.46%	13.24%	5.15%	11.18%	9.61%	35.68%	22.09%	15.90%	18.18%	5.66%	20.95%	29.59%	6.06%	26.48%	33.33%	27.75%	16.66%	18.05%	10.10%	5.12%	3.33%	21.08%	13.27%	22.83%	20.11%	18.10%					
28	"11. ""Истинные патриоты России"""	10	2	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	2	1	0	0					
		0.12%	0.15%	0.0%	0.12%	0.0%	0.0%	0.42%	0.0%	0.0%	0.0%	0.46%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.47%	0.0%	0.0%	0.0%	0.0%	0.0%	0.68%	0.82%	0.34%	0.0%	0.0%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	77	15	12	10	3	7	3	0	8	1	0	1	0	2	1	0	0	1	4	1	1	0	1	2	0	0	0	3	1	0	0					
		0.97%	1.19%	1.09%	1.24%	1.17%	1.70%	1.28%	0.0%	1.82%	0.96%	0.0%	0.58%	0.0%	0.90%	1.88%	0.0%	0.0%	3.03%	1.08%	0.83%	0.47%	0.0%	1.38%	0.72%	0.0%	0.0%	0.0%	1.24%	0.34%	0.0%	0.0%					
30	"13. ""Демократическая партия России"""	16	3	4	1	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	1	0	0	0	2	0	0	0	0	0	1	1					
		0.20%	0.23%	0.36%	0.12%	0.0%	0.0%	0.0%	0.0%	0.45%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.51%	0.0%	0.0%	0.83%	0.0%	0.0%	0.0%	0.72%	0.0%	0.0%	0.0%	0.0%	0.0%	0.55%	0.86%					
31	"14. ""Великая Россия - Евразийский Союз"""	17	2	2	0	1	1	0	0	2	0	0	0	0	1	1	1	0	1	2	0	1	0	1	0	1	0	0	0	0	0	0					
		0.21%	0.15%	0.18%	0.0%	0.39%	0.24%	0.0%	0.0%	0.45%	0.0%	0.0%	0.0%	0.0%	0.45%	1.88%	0.95%	0.0%	3.03%	0.54%	0.0%	0.47%	0.0%	1.38%	0.0%	2.56%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%					
32	"15. ""Партия СЛОН"""	18	0	0	0	0	4	0	0	3	1	2	0	0	1	0	0	1	1	1	0	0	0	0	0	0	0	0	3	0	0	1					
		0.22%	0.0%	0.0%	0.0%	0.0%	0.97%	0.0%	0.0%	0.68%	0.96%	0.93%	0.0%	0.0%	0.45%	0.0%	0.0%	0.51%	3.03%	0.27%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	1.24%	0.0%	0.0%	0.86%					
33	"16. ""Родина"" (народно-патриотический союз)"""	301	59	52	28	14	26	5	2	12	6	8	5	4	9	1	3	8	2	15	0	5	0	1	9	1	1	0	10	7	7	1					
		3.81%	4.70%	4.76%	3.48%	5.49%	6.32%	2.13%	2.06%	2.73%	5.76%	3.75%	2.90%	9.09%	4.09%	1.88%	2.85%	4.08%	6.06%	4.05%	0.0%	2.39%	0.0%	1.38%	3.24%	2.56%	3.33%	0.0%	4.14%	2.42%	3.91%	0.86%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	40	4	6	4	0	0	2	1	5	0	1	0	0	2	0	0	0	1	0	1	1	0	1	1	0	1	2	2	3	2	0					
		0.50%	0.31%	0.54%	0.49%	0.0%	0.0%	0.85%	1.03%	1.14%	0.0%	0.46%	0.0%	0.0%	0.90%	0.0%	0.0%	0.0%	3.03%	0.0%	0.83%	0.47%	0.0%	1.38%	0.36%	0.0%	3.33%	1.36%	0.82%	1.03%	1.11%	0.0%					
35	"18. ""ЛДПР"""	715	101	118	85	37	38	18	9	38	12	13	11	3	22	0	4	11	2	29	5	11	6	5	29	3	1	5	10	31	31	27					
		9.05%	8.04%	10.81%	10.57%	14.50%	9.24%	7.69%	9.27%	8.67%	11.53%	6.10%	6.39%	6.81%	10.0%	0.0%	3.80%	5.61%	6.06%	7.83%	4.16%	5.26%	7.69%	6.94%	10.46%	7.69%	3.33%	3.40%	4.14%	10.72%	17.31%	23.27%					
36	"19. ""Партия Возрождения России - Российская партия ЖИЗНИ"""	184	34	34	22	5	10	2	1	13	0	6	0	1	3	3	1	4	0	1	4	3	3	1	12	1	1	2	2	10	4	1					
		2.33%	2.70%	3.11%	2.73%	1.96%	2.43%	0.85%	1.03%	2.96%	0.0%	2.81%	0.0%	2.27%	1.36%	5.66%	0.95%	2.04%	0.0%	0.27%	3.33%	1.43%	3.84%	1.38%	4.33%	2.56%	3.33%	1.36%	0.82%	3.46%	2.23%	0.86%					
37	"20. ""Политическая партия ""Единая Россия"""	2909	432	394	348	70	189	107	55	171	44	39	78	10	77	19	35	60	7	90	19	84	43	29	114	14	12	76	100	87	63	43					
		36.86%	34.42%	36.11%	43.28%	27.45%	45.98%	45.72%	56.70%	39.04%	42.30%	18.30%	45.34%	22.72%	35.0%	35.84%	33.33%	30.61%	21.21%	24.32%	15.83%	40.19%	55.12%	40.27%	41.15%	35.89%	40.0%	51.70%	41.49%	30.10%	35.19%	37.06%					
38	"21. ""Российская Конституционно-демократическая партия"""	21	1	3	1	0	2	0	0	2	1	1	0	0	0	1	1	0	0	1	0	0	0	1	0	0	1	1	2	1	0	1					
		0.26%	0.07%	0.27%	0.12%	0.0%	0.48%	0.0%	0.0%	0.45%	0.96%	0.46%	0.0%	0.0%	0.0%	1.88%	0.95%	0.0%	0.0%	0.27%	0.0%	0.0%	0.0%	1.38%	0.0%	0.0%	3.33%	0.68%	0.82%	0.34%	0.0%	0.86%					
39	"22. ""Развитие предпринимательства"""	23	2	4	6	2	1	1	0	0	0	0	1	0	2	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1					
		0.29%	0.15%	0.36%	0.74%	0.78%	0.24%	0.42%	0.0%	0.0%	0.0%	0.0%	0.58%	0.0%	0.90%	0.0%	0.95%	0.0%	3.03%	0.27%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.86%					
40	"23. ""Коммунистическая партия Российской Федерации (КПРФ)"""	1359	298	224	151	51	37	35	10	58	6	28	21	13	21	19	21	21	10	87	36	26	7	9	48	10	3	11	28	46	20	4					
		17.21%	23.74%	20.53%	18.78%	19.99%	9.00%	14.95%	10.30%	13.24%	5.76%	13.14%	12.20%	29.54%	9.54%	35.84%	20.0%	10.71%	30.30%	23.51%	30.0%	12.44%	8.97%	12.5%	17.32%	25.64%	10.0%	7.48%	11.61%	15.91%	11.17%	3.44%					
																																					
41	Против всех	265	59	43	28	3	7	4	2	31	6	5	2	3	8	1	4	7	1	6	1	4	1	1	8	0	2	3	9	3	7	6					
		3.35%	4.70%	3.94%	3.48%	1.17%	1.70%	1.70%	2.06%	7.07%	5.76%	2.34%	1.16%	6.81%	3.63%	1.88%	3.80%	3.57%	3.03%	1.62%	0.83%	1.91%	1.28%	1.38%	2.88%	0.0%	6.66%	2.04%	3.73%	1.03%	3.91%	5.17%					
																																					
																																					
																																					
																																					
																																					
																																					
																																					
																																					
																																					
																																					
																																					
																																					
																																					
																																					
																																					
