Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																								
Дата голосования: 18.09.2016																								
																								
Наименование Избирательной комиссии:    Новоселицкая																								
																								
Сводная таблица итогов голосования по федеральному избирательному округу																								
																								
		Сумма	УИК №940	УИК №941	УИК №942	УИК №943	УИК №944	УИК №945	УИК №946	УИК №947	УИК №948	УИК №949	УИК №950	УИК №951	УИК №952									
		54.41%	53.22%	44.87%	50.41%	75.63%	73.26%	49.56%	38.42%	48.06%	55.49%	51.60%	44.65%	47.52%	71.21%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	31	5	2	2	6	1	1	5	0	1	1	5	1	1									
		0.46%	0.55%	0.39%	0.28%	0.94%	0.13%	0.29%	0.64%	0.00%	0.16%	0.53%	1.01%	0.35%	0.51%									
24	"6. Политическая партия ""Гражданская Платформа"""	16	3	5	1	0	1	1	0	0	0	1	4	0	0									
		0.24%	0.33%	0.97%	0.14%	0.00%	0.13%	0.29%	0.00%	0.00%	0.00%	0.53%	0.81%	0.00%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	1007	142	87	125	49	66	21	132	41	117	40	121	50	16									
		14.79%	15.74%	16.83%	17.22%	7.70%	8.37%	6.16%	16.79%	13.23%	18.34%	21.28%	24.44%	17.73%	8.08%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	26	0	4	2	0	1	4	1	5	1	0	4	2	2									
		0.38%	0.00%	0.77%	0.28%	0.00%	0.13%	1.17%	0.13%	1.61%	0.16%	0.00%	0.81%	0.71%	1.01%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	57	14	31	1	1	0	2	4	0	2	1	1	0	0									
		0.84%	1.55%	5.99%	0.14%	0.16%	0.00%	0.59%	0.51%	0.00%	0.31%	0.53%	0.20%	0.00%	0.00%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	7	1	0	0	2	0	2	1	0	0	0	0	0	1									
		0.10%	0.11%	0.00%	0.00%	0.31%	0.00%	0.59%	0.13%	0.00%	0.00%	0.00%	0.00%	0.00%	0.51%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	16	2	2	5	0	0	1	3	1	0	0	2	0	0									
		0.24%	0.22%	0.39%	0.69%	0.00%	0.00%	0.29%	0.38%	0.32%	0.00%	0.00%	0.40%	0.00%	0.00%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	1027	116	59	115	67	88	76	215	49	94	25	63	39	21									
		15.09%	12.86%	11.41%	15.84%	10.53%	11.15%	22.29%	27.35%	15.81%	14.73%	13.30%	12.73%	13.83%	10.61%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	15	1	4	0	0	0	1	4	1	0	0	2	1	1									
		0.22%	0.11%	0.77%	0.00%	0.00%	0.00%	0.29%	0.51%	0.32%	0.00%	0.00%	0.40%	0.35%	0.51%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	406	68	35	46	13	18	18	76	31	34	11	27	25	4									
		5.96%	7.54%	6.77%	6.34%	2.04%	2.28%	5.28%	9.67%	10.00%	5.33%	5.85%	5.45%	8.87%	2.02%									
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
