Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																						
Дата голосования: 18.09.2016																						
																						
Наименование Избирательной комиссии:    Горная																						
																						
Сводная таблица итогов голосования по федеральному избирательному округу																						
																						
		Сумма	УИК №174	УИК №175	УИК №176	УИК №177	УИК №178	УИК №179	УИК №180	УИК №181	УИК №182	УИК №183	УИК №184									
		0.21%	0.34%	0.12%	0.24%	0.24%	0.00%	0.75%	0.00%	0.33%	0.00%	0.40%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	35	1	8	8	8	0	2	3	1	3	0	1									
		0.73%	0.34%	0.95%	0.98%	0.94%	0.00%	0.75%	1.05%	0.33%	0.75%	0.00%	0.41%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	441	3	95	81	79	21	14	23	16	58	27	24									
		9.14%	1.01%	11.34%	9.90%	9.29%	7.50%	5.26%	8.01%	5.33%	14.57%	10.80%	9.88%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	9	0	4	2	2	0	0	0	1	0	0	0									
		0.19%	0.00%	0.48%	0.24%	0.24%	0.00%	0.00%	0.00%	0.33%	0.00%	0.00%	0.00%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	1282	68	261	245	280	41	81	45	84	61	57	59									
		26.56%	22.97%	31.15%	29.95%	32.94%	14.64%	30.45%	15.68%	28.00%	15.33%	22.80%	24.28%									
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
