Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																									
Дата голосования: 18.09.2016																																																									
																																																									
Наименование Избирательной комиссии:    Шатурская																																																									
																																																									
Сводная таблица итогов голосования по федеральному избирательному округу																																																									
																																																									
		Сумма	УИК №3321	УИК №3322	УИК №3323	УИК №3324	УИК №3325	УИК №3326	УИК №3327	УИК №3328	УИК №3329	УИК №3330	УИК №3331	УИК №3332	УИК №3333	УИК №3334	УИК №3335	УИК №3336	УИК №3337	УИК №3338	УИК №3339	УИК №3340	УИК №3341	УИК №3342	УИК №3343	УИК №3344	УИК №3345	УИК №3346	УИК №3347	УИК №3348	УИК №3349	УИК №3350	УИК №3351	УИК №3352	УИК №3353	УИК №3354	УИК №3355	УИК №3356	УИК №3357	УИК №3358	УИК №3359	УИК №3360	УИК №3361	УИК №3362	УИК №3363	УИК №3364	УИК №3365	УИК №3585									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																									
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	333	6	7	11	12	22	8	9	32	6	18	18	8	3	2	3	0	3	12	3	23	6	6	7	3	2	10	13	5	3	11	1	0	8	9	2	4	1	0	2	1	6	3	0	12	7	5									
		1.74%	0.75%	1.51%	1.98%	1.72%	2.24%	1.20%	1.77%	3.13%	0.97%	2.87%	3.33%	1.29%	0.96%	1.41%	0.61%	0.00%	1.86%	2.27%	0.84%	4.28%	1.34%	1.38%	1.23%	2.07%	1.38%	2.09%	7.14%	3.29%	1.27%	1.45%	0.78%	0.00%	1.44%	1.02%	1.71%	1.23%	1.12%	0.00%	1.47%	0.63%	1.34%	1.41%	0.00%	2.36%	0.97%	3.13%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	630	7	15	18	21	21	22	20	35	19	11	13	17	7	4	19	1	6	19	16	14	17	13	13	9	9	17	5	6	8	43	3	6	25	40	4	15	4	2	6	4	18	9	4	15	23	7									
		3.28%	0.88%	3.23%	3.24%	3.01%	2.14%	3.31%	3.94%	3.42%	3.06%	1.75%	2.41%	2.74%	2.24%	2.82%	3.89%	2.22%	3.73%	3.60%	4.48%	2.61%	3.79%	2.99%	2.29%	6.21%	6.21%	3.56%	2.75%	3.95%	3.39%	5.67%	2.34%	1.75%	4.51%	4.52%	3.42%	4.63%	4.49%	3.08%	4.41%	2.50%	4.01%	4.23%	3.77%	2.95%	3.17%	4.38%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	434	8	8	8	10	16	16	9	21	16	6	21	14	10	1	8	1	2	8	3	13	11	15	38	1	2	20	1	2	6	27	2	1	15	13	9	10	2	1	3	5	6	6	2	19	14	4									
		2.26%	1.00%	1.72%	1.44%	1.43%	1.63%	2.41%	1.77%	2.05%	2.58%	0.96%	3.89%	2.26%	3.19%	0.70%	1.64%	2.22%	1.24%	1.52%	0.84%	2.42%	2.46%	3.45%	6.70%	0.69%	1.38%	4.18%	0.55%	1.32%	2.54%	3.56%	1.56%	0.29%	2.71%	1.47%	7.69%	3.09%	2.25%	1.54%	2.21%	3.13%	1.34%	2.82%	1.89%	3.73%	1.93%	2.50%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	8516	384	163	212	278	408	279	214	430	254	261	214	267	134	78	202	18	65	220	163	191	168	148	311	59	67	190	87	66	83	322	71	245	262	427	60	155	48	43	80	112	214	119	73	219	368	84									
		44.40%	48.00%	35.05%	38.13%	39.83%	41.59%	42.02%	42.13%	42.03%	40.97%	41.63%	39.63%	43.06%	42.81%	54.93%	41.39%	40.00%	40.37%	41.67%	45.66%	35.57%	37.50%	34.02%	54.85%	40.69%	46.21%	39.75%	47.80%	43.42%	35.17%	42.42%	55.47%	71.64%	47.29%	48.25%	51.28%	47.84%	53.93%	66.15%	58.82%	70.00%	47.66%	55.87%	68.87%	43.03%	50.76%	52.50%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	169	10	4	7	18	11	9	4	3	6	10	3	8	4	4	1	0	1	5	1	2	3	2	2	3	0	1	0	4	3	9	0	0	2	5	2	3	1	0	2	3	2	2	1	4	4	0									
		0.88%	1.25%	0.86%	1.26%	2.58%	1.12%	1.36%	0.79%	0.29%	0.97%	1.59%	0.56%	1.29%	1.28%	2.82%	0.20%	0.00%	0.62%	0.95%	0.28%	0.37%	0.67%	0.46%	0.35%	2.07%	0.00%	0.21%	0.00%	2.63%	1.27%	1.19%	0.00%	0.00%	0.36%	0.56%	1.71%	0.93%	1.12%	0.00%	1.47%	1.88%	0.45%	0.94%	0.94%	0.79%	0.55%	0.00%									
24	"6. Политическая партия ""Гражданская Платформа"""	41	0	1	3	2	2	0	0	2	0	1	1	2	0	0	1	0	1	0	2	4	1	0	0	0	0	0	0	0	0	1	1	0	0	2	0	1	0	0	1	0	0	1	0	2	9	0									
		0.21%	0.00%	0.22%	0.54%	0.29%	0.20%	0.00%	0.00%	0.20%	0.00%	0.16%	0.19%	0.32%	0.00%	0.00%	0.20%	0.00%	0.62%	0.00%	0.56%	0.74%	0.22%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.13%	0.78%	0.00%	0.00%	0.23%	0.00%	0.31%	0.00%	0.00%	0.74%	0.00%	0.00%	0.47%	0.00%	0.39%	1.24%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	2823	150	74	102	116	168	78	64	153	76	101	88	113	60	19	68	10	34	76	52	98	55	65	73	21	12	98	22	30	39	132	24	17	89	107	8	33	14	8	14	19	60	28	8	44	81	22									
		14.72%	18.75%	15.91%	18.35%	16.62%	17.13%	11.75%	12.60%	14.96%	12.26%	16.11%	16.30%	18.23%	19.17%	13.38%	13.93%	22.22%	21.12%	14.39%	14.57%	18.25%	12.28%	14.94%	12.87%	14.48%	8.28%	20.50%	12.09%	19.74%	16.53%	17.39%	18.75%	4.97%	16.06%	12.09%	6.84%	10.19%	15.73%	12.31%	10.29%	11.88%	13.36%	13.15%	7.55%	8.64%	11.17%	13.75%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	121	6	2	9	11	8	7	8	4	7	6	6	3	0	2	6	0	2	2	0	2	3	0	0	0	1	3	1	0	2	6	1	0	3	0	0	1	0	0	0	0	1	0	0	4	2	2									
		0.63%	0.75%	0.43%	1.62%	1.58%	0.82%	1.05%	1.57%	0.39%	1.13%	0.96%	1.11%	0.48%	0.00%	1.41%	1.23%	0.00%	1.24%	0.38%	0.00%	0.37%	0.67%	0.00%	0.00%	0.00%	0.69%	0.63%	0.55%	0.00%	0.85%	0.79%	0.78%	0.00%	0.54%	0.00%	0.00%	0.31%	0.00%	0.00%	0.00%	0.00%	0.22%	0.00%	0.00%	0.79%	0.28%	1.25%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	226	13	7	8	9	18	10	6	7	7	15	8	16	5	1	4	0	5	9	1	9	2	5	9	0	1	10	0	0	1	5	0	0	7	2	0	5	0	1	1	1	6	3	1	4	3	1									
		1.18%	1.63%	1.51%	1.44%	1.29%	1.83%	1.51%	1.18%	0.68%	1.13%	2.39%	1.48%	2.58%	1.60%	0.70%	0.82%	0.00%	3.11%	1.70%	0.28%	1.68%	0.45%	1.15%	1.59%	0.00%	0.69%	2.09%	0.00%	0.00%	0.42%	0.66%	0.00%	0.00%	1.26%	0.23%	0.00%	1.54%	0.00%	1.54%	0.74%	0.63%	1.34%	1.41%	0.94%	0.79%	0.41%	0.63%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	26	1	2	1	0	3	2	1	0	0	1	0	0	0	1	0	0	0	0	2	0	1	0	0	1	0	2	0	1	0	0	0	0	0	4	0	2	0	0	0	0	0	1	0	0	0	0									
		0.14%	0.13%	0.43%	0.18%	0.00%	0.31%	0.30%	0.20%	0.00%	0.00%	0.16%	0.00%	0.00%	0.00%	0.70%	0.00%	0.00%	0.00%	0.00%	0.56%	0.00%	0.22%	0.00%	0.00%	0.69%	0.00%	0.42%	0.00%	0.66%	0.00%	0.00%	0.00%	0.00%	0.00%	0.45%	0.00%	0.62%	0.00%	0.00%	0.00%	0.00%	0.00%	0.47%	0.00%	0.00%	0.00%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	299	20	10	7	13	19	8	12	15	17	15	7	17	3	1	6	0	0	7	3	16	4	5	4	0	1	12	0	0	4	13	3	5	3	10	0	2	1	0	1	1	9	0	0	18	4	3									
		1.56%	2.50%	2.15%	1.26%	1.86%	1.94%	1.20%	2.36%	1.47%	2.74%	2.39%	1.30%	2.74%	0.96%	0.70%	1.23%	0.00%	0.00%	1.33%	0.84%	2.98%	0.89%	1.15%	0.71%	0.00%	0.69%	2.51%	0.00%	0.00%	1.69%	1.71%	2.34%	1.46%	0.54%	1.13%	0.00%	0.62%	1.12%	0.00%	0.74%	0.63%	2.00%	0.00%	0.00%	3.54%	0.55%	1.88%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	4228	153	139	127	153	205	181	127	239	176	123	115	116	54	21	117	13	31	129	77	124	142	148	89	33	43	85	37	33	73	128	14	61	116	190	20	67	10	9	18	11	100	37	12	136	173	23									
		22.04%	19.13%	29.89%	22.84%	21.92%	20.90%	27.26%	25.00%	23.36%	28.39%	19.62%	21.30%	18.71%	17.25%	14.79%	23.98%	28.89%	19.25%	24.43%	21.57%	23.09%	31.70%	34.02%	15.70%	22.76%	29.66%	17.78%	20.33%	21.71%	30.93%	16.86%	10.94%	17.84%	20.94%	21.47%	17.09%	20.68%	11.24%	13.85%	13.24%	6.88%	22.27%	17.37%	11.32%	26.72%	23.86%	14.38%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	67	5	1	3	3	4	1	1	1	3	1	2	0	3	0	0	0	0	3	2	1	1	3	5	1	0	3	0	0	1	2	0	0	2	4	3	1	1	0	0	0	1	1	1	0	3	0									
		0.35%	0.63%	0.22%	0.54%	0.43%	0.41%	0.15%	0.20%	0.10%	0.48%	0.16%	0.37%	0.00%	0.96%	0.00%	0.00%	0.00%	0.00%	0.57%	0.56%	0.19%	0.22%	0.69%	0.88%	0.69%	0.00%	0.63%	0.00%	0.00%	0.42%	0.26%	0.00%	0.00%	0.36%	0.45%	2.56%	0.31%	1.12%	0.00%	0.00%	0.00%	0.22%	0.47%	0.94%	0.00%	0.41%	0.00%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	669	29	18	18	28	46	27	19	36	21	28	36	14	17	5	30	2	9	23	17	18	19	17	16	4	1	9	5	3	3	22	3	7	16	23	3	8	2	1	7	0	15	3	2	16	19	4									
		3.49%	3.63%	3.87%	3.24%	4.01%	4.69%	4.07%	3.74%	3.52%	3.39%	4.47%	6.67%	2.26%	5.43%	3.52%	6.15%	4.44%	5.59%	4.36%	4.76%	3.35%	4.24%	3.91%	2.82%	2.76%	0.69%	1.88%	2.75%	1.97%	1.27%	2.90%	2.34%	2.05%	2.89%	2.60%	2.56%	2.47%	2.25%	1.54%	5.15%	0.00%	3.34%	1.41%	1.89%	3.14%	2.62%	2.50%									
																																																									
																																																									
																																																									
																																																									
																																																									
																																																									
																																																									
																																																									
																																																									
																																																									
																																																									
																																																									
																																																									
																																																									
																																																									
																																																									
																																																									
																																																									
																																																									
																																																									
																																																									
																																																									
