Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																					
Дата голосования: 18.09.2016																																																																					
																																																																					
Наименование Избирательной комиссии:    Каменская																																																																					
																																																																					
Сводная таблица итогов голосования по федеральному избирательному округу																																																																					
																																																																					
		Сумма	УИК №502	УИК №503	УИК №504	УИК №505	УИК №506	УИК №507	УИК №508	УИК №509	УИК №510	УИК №511	УИК №512	УИК №513	УИК №514	УИК №515	УИК №516	УИК №517	УИК №518	УИК №519	УИК №520	УИК №521	УИК №522	УИК №523	УИК №524	УИК №525	УИК №526	УИК №527	УИК №528	УИК №529	УИК №530	УИК №531	УИК №532	УИК №533	УИК №534	УИК №535	УИК №536	УИК №537	УИК №538	УИК №539	УИК №540	УИК №541	УИК №542	УИК №543	УИК №544	УИК №545	УИК №546	УИК №547	УИК №548	УИК №549	УИК №550	УИК №551	УИК №552	УИК №553	УИК №554	УИК №555	УИК №556	УИК №557	УИК №558	УИК №559									
		68.22%	63.69%	63.85%	64.90%	69.06%	51.82%	67.32%	42.71%	75.00%	48.14%	53.62%	68.23%	68.56%	47.07%	59.41%	54.03%	64.53%	38.25%	71.11%	64.32%	71.54%	60.60%	45.56%	46.22%	72.89%	90.20%	80.36%	73.31%	61.73%	76.92%	59.52%	70.20%	81.62%	93.77%	72.59%	77.95%	78.23%	53.13%	88.21%	77.73%	85.19%	78.22%	80.57%	94.89%	77.46%	70.99%	86.15%	79.71%	69.14%	74.34%	90.76%	75.75%	81.20%	64.41%	86.14%	90.71%	78.79%	77.84%	74.78%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	148	5	2	2	5	0	1	8	1	2	24	17	1	10	6	4	1	2	1	9	1	0	0	3	0	1	0	0	14	1	2	2	2	0	0	0	0	0	1	5	0	2	1	0	0	0	1	0	0	0	0	2	4	2	0	1	1	1	0									
		0.49%	0.60%	0.24%	0.35%	0.52%	0.00%	0.28%	1.14%	0.17%	0.31%	2.59%	1.95%	0.12%	1.25%	0.71%	0.43%	0.25%	0.31%	0.12%	0.72%	0.13%	0.00%	0.00%	0.61%	0.00%	0.13%	0.00%	0.00%	2.16%	0.55%	0.95%	1.32%	1.08%	0.00%	0.00%	0.00%	0.00%	0.00%	0.20%	0.41%	0.00%	0.20%	0.20%	0.00%	0.00%	0.00%	0.43%	0.00%	0.00%	0.00%	0.00%	0.31%	0.70%	0.90%	0.00%	0.71%	1.52%	0.15%	0.00%									
24	"6. Политическая партия ""Гражданская Платформа"""	64	1	0	0	0	1	0	2	1	1	20	0	1	7	1	2	0	1	0	2	2	2	0	1	0	1	0	1	2	0	0	0	0	0	0	0	0	0	0	3	0	2	5	0	0	0	0	1	0	3	0	0	0	0	0	0	0	1	0									
		0.21%	0.12%	0.00%	0.00%	0.00%	0.24%	0.00%	0.29%	0.17%	0.16%	2.16%	0.00%	0.12%	0.87%	0.12%	0.21%	0.00%	0.15%	0.00%	0.16%	0.27%	0.27%	0.00%	0.20%	0.00%	0.13%	0.00%	0.40%	0.31%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.25%	0.00%	0.20%	1.01%	0.00%	0.00%	0.00%	0.00%	0.29%	0.00%	0.47%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.15%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	3216	152	118	65	136	84	52	135	66	99	118	93	74	135	80	89	31	96	89	134	64	79	31	86	44	36	41	33	118	21	42	26	18	7	30	10	17	14	13	83	6	45	20	0	23	56	20	19	10	74	7	64	29	36	27	7	6	49	59									
		10.55%	18.34%	14.27%	11.46%	14.17%	20.44%	14.65%	19.29%	10.93%	15.37%	12.76%	10.67%	8.75%	16.85%	9.41%	9.56%	7.64%	14.75%	10.41%	10.72%	8.59%	10.81%	11.97%	17.59%	9.78%	4.52%	9.15%	13.15%	18.21%	11.54%	20.00%	17.22%	9.73%	2.72%	11.11%	5.13%	4.30%	10.94%	2.64%	6.87%	7.41%	4.39%	4.05%	0.00%	2.16%	24.24%	8.66%	5.59%	5.71%	11.51%	5.88%	10.08%	5.10%	16.22%	6.68%	5.00%	9.09%	7.14%	12.94%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	82	2	1	0	0	2	1	2	1	3	9	3	6	7	2	4	0	4	3	3	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	19	0	2	0	0	0	0	0	0	0	4	0	1	1	0	0	0	0	0	0									
		0.27%	0.24%	0.12%	0.00%	0.00%	0.49%	0.28%	0.29%	0.17%	0.47%	0.97%	0.34%	0.71%	0.87%	0.24%	0.43%	0.00%	0.61%	0.35%	0.24%	0.00%	0.00%	0.00%	0.00%	0.22%	0.00%	0.00%	0.00%	0.15%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	1.57%	0.00%	0.20%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.62%	0.00%	0.16%	0.18%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	104	3	2	5	2	2	1	5	3	5	11	5	3	8	5	1	2	4	5	3	2	2	6	2	1	1	1	0	0	1	0	0	0	0	0	1	0	0	0	2	0	2	1	0	0	0	0	0	0	3	0	1	0	0	0	2	0	1	0									
		0.34%	0.36%	0.24%	0.88%	0.21%	0.49%	0.28%	0.71%	0.50%	0.78%	1.19%	0.57%	0.35%	0.99%	0.59%	0.11%	0.49%	0.61%	0.58%	0.24%	0.27%	0.27%	2.32%	0.41%	0.22%	0.13%	0.22%	0.00%	0.00%	0.55%	0.00%	0.00%	0.00%	0.00%	0.00%	0.51%	0.00%	0.00%	0.00%	0.17%	0.00%	0.20%	0.20%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.47%	0.00%	0.16%	0.00%	0.00%	0.00%	1.43%	0.00%	0.15%	0.00%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	34	1	0	4	0	0	1	1	1	2	3	0	1	3	2	1	0	1	0	0	1	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	1	0	1	1	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1									
		0.11%	0.12%	0.00%	0.71%	0.00%	0.00%	0.28%	0.14%	0.17%	0.31%	0.32%	0.00%	0.12%	0.37%	0.24%	0.11%	0.00%	0.15%	0.00%	0.00%	0.13%	0.00%	0.00%	0.00%	0.44%	0.00%	0.22%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.25%	0.00%	0.20%	0.08%	0.00%	0.39%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.15%	0.22%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	174	2	11	0	2	10	6	8	4	4	14	6	6	12	3	23	3	5	2	6	2	3	1	2	0	0	0	0	9	0	0	2	0	0	0	0	1	4	0	7	0	1	1	0	0	0	0	1	0	4	0	6	1	0	0	0	0	1	1									
		0.57%	0.24%	1.33%	0.00%	0.21%	2.43%	1.69%	1.14%	0.66%	0.62%	1.51%	0.69%	0.71%	1.50%	0.35%	2.47%	0.74%	0.77%	0.23%	0.48%	0.27%	0.41%	0.39%	0.41%	0.00%	0.00%	0.00%	0.00%	1.39%	0.00%	0.00%	1.32%	0.00%	0.00%	0.00%	0.00%	0.25%	3.13%	0.00%	0.58%	0.00%	0.10%	0.20%	0.00%	0.00%	0.00%	0.00%	0.29%	0.00%	0.62%	0.00%	0.94%	0.18%	0.00%	0.00%	0.00%	0.00%	0.15%	0.22%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	3072	73	92	72	91	61	33	99	49	126	88	67	74	99	139	139	65	134	92	138	71	120	45	75	41	27	27	25	51	12	23	8	6	0	12	25	48	8	28	100	4	54	26	3	194	0	7	34	19	43	4	42	9	24	29	3	4	55	35									
		10.07%	8.81%	11.12%	12.70%	9.48%	14.84%	9.30%	14.14%	8.11%	19.57%	9.51%	7.68%	8.75%	12.36%	16.35%	14.93%	16.01%	20.58%	10.76%	11.04%	9.53%	16.42%	17.37%	15.34%	9.11%	3.39%	6.03%	9.96%	7.87%	6.59%	10.95%	5.30%	3.24%	0.00%	4.44%	12.82%	12.15%	6.25%	5.69%	8.28%	4.94%	5.27%	5.26%	2.19%	18.22%	0.00%	3.03%	10.00%	10.86%	6.69%	3.36%	6.61%	1.58%	10.81%	7.18%	2.14%	6.06%	8.02%	7.68%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	70	0	0	3	0	0	0	3	2	3	2	1	3	2	0	0	0	1	3	5	1	0	0	0	5	0	0	0	0	0	1	0	0	0	1	0	2	11	0	4	0	3	0	0	0	0	0	1	2	1	0	7	0	0	0	0	0	2	1									
		0.23%	0.00%	0.00%	0.53%	0.00%	0.00%	0.00%	0.43%	0.33%	0.47%	0.22%	0.11%	0.35%	0.25%	0.00%	0.00%	0.00%	0.15%	0.35%	0.40%	0.13%	0.00%	0.00%	0.00%	1.11%	0.00%	0.00%	0.00%	0.00%	0.00%	0.48%	0.00%	0.00%	0.00%	0.37%	0.00%	0.51%	8.59%	0.00%	0.33%	0.00%	0.29%	0.00%	0.00%	0.00%	0.00%	0.00%	0.29%	1.14%	0.16%	0.00%	1.10%	0.00%	0.00%	0.00%	0.00%	0.00%	0.29%	0.22%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	1010	24	27	23	24	9	6	79	8	38	59	31	49	68	48	81	18	73	14	66	26	45	29	33	9	3	6	0	8	0	3	2	1	0	19	1	3	3	1	12	1	3	9	0	0	4	0	4	7	7	0	9	7	4	0	0	0	6	0									
		3.31%	2.90%	3.26%	4.06%	2.50%	2.19%	1.69%	11.29%	1.32%	5.90%	6.38%	3.56%	5.79%	8.49%	5.65%	8.70%	4.43%	11.21%	1.64%	5.28%	3.49%	6.16%	11.20%	6.75%	2.00%	0.38%	1.34%	0.00%	1.23%	0.00%	1.43%	1.32%	0.54%	0.00%	7.04%	0.51%	0.76%	2.34%	0.20%	0.99%	1.23%	0.29%	1.82%	0.00%	0.00%	1.73%	0.00%	1.18%	4.00%	1.09%	0.00%	1.42%	1.23%	1.80%	0.00%	0.00%	0.00%	0.87%	0.00%									
																																																																					
																																																																					
																																																																					
																																																																					
																																																																					
																																																																					
																																																																					
																																																																					
																																																																					
																																																																					
																																																																					
																																																																					
																																																																					
																																																																					
																																																																					
																																																																					
																																																																					
																																																																					
																																																																					
																																																																					
																																																																					
																																																																					
