Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																												
Дата голосования: 18.09.2016																																																												
																																																												
Наименование Избирательной комиссии:    Ленинская																																																												
																																																												
Сводная таблица итогов голосования по федеральному избирательному округу																																																												
																																																												
		Сумма	УИК №1259	УИК №1260	УИК №1261	УИК №1262	УИК №1263	УИК №1264	УИК №1265	УИК №1266	УИК №1267	УИК №1268	УИК №1269	УИК №1270	УИК №1271	УИК №1272	УИК №1273	УИК №1274	УИК №1275	УИК №1276	УИК №1277	УИК №1278	УИК №1279	УИК №1280	УИК №1281	УИК №1282	УИК №1283	УИК №1284	УИК №1285	УИК №1286	УИК №1287	УИК №1288	УИК №1289	УИК №1290	УИК №1291	УИК №1292	УИК №1293	УИК №1294	УИК №1295	УИК №1296	УИК №1297	УИК №1298	УИК №1299	УИК №1300	УИК №1301	УИК №1302	УИК №1303	УИК №1304	УИК №1305	УИК №1306	УИК №1307									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	1680	35	35	35	35	35	35	35	35	35	35	35	35	35	35	35	35	35	35	35	35	35	35	35	35	35	35	35	35	35	35	35	35	35	35	35	35	35	35	35	35	35	35	35	35	35	35	35	35	0									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	522	9	6	14	18	10	7	11	18	7	14	26	2	18	16	21	22	10	5	4	9	18	18	15	8	7	6	6	9	5	14	9	12	15	19	11	10	8	13	2	0	1	5	3	14	7	21	8	11	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	698	31	16	29	18	11	9	10	2	5	19	24	18	16	7	2	13	7	12	6	6	11	13	4	11	15	63	13	14	8	9	3	34	34	19	30	16	4	12	9	6	3	11	3	17	22	17	24	10	2									
14	Число погашенных неиспользованных открепительных удостоверений	1158	26	29	21	17	25	28	24	17	28	21	9	33	17	19	14	13	25	30	31	26	17	17	20	27	28	29	29	26	30	21	26	23	20	16	24	25	27	22	33	35	34	30	32	21	28	14	27	24	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	423	5	6	14	7	12	4	7	10	1	15	16	21	5	12	8	11	4	8	12	9	11	9	1	11	2	18	4	7	2	10	3	6	23	36	18	7	4	13	12	2	2	3	1	8	3	9	5	6	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																												
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	832	9	23	19	16	12	24	17	17	2	18	30	14	20	20	28	26	13	15	23	15	26	16	27	18	9	11	15	14	3	12	20	13	22	11	17	20	20	18	12	3	3	20	7	24	29	44	13	21	3									
		2.87%	2.11%	5.19%	2.12%	2.07%	1.56%	3.06%	2.19%	2.75%	0.65%	2.31%	4.68%	3.37%	2.73%	2.63%	3.52%	3.87%	3.52%	3.69%	2.90%	1.93%	2.83%	1.97%	3.95%	3.13%	2.87%	2.52%	3.35%	2.33%	1.12%	2.60%	3.28%	1.87%	4.16%	1.84%	4.27%	2.37%	2.74%	4.21%	1.57%	1.81%	2.38%	5.13%	2.94%	3.57%	3.42%	4.95%	2.08%	2.51%	2.46%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	691	14	12	20	21	16	20	24	20	5	10	9	15	12	25	12	18	6	8	20	21	15	23	19	15	2	8	12	15	8	11	12	19	9	12	8	21	14	10	25	3	4	2	6	22	23	14	21	24	6									
		2.39%	3.28%	2.71%	2.23%	2.72%	2.08%	2.55%	3.10%	3.24%	1.62%	1.28%	1.40%	3.61%	1.64%	3.29%	1.51%	2.68%	1.63%	1.97%	2.52%	2.70%	1.63%	2.84%	2.78%	2.60%	0.64%	1.83%	2.68%	2.50%	2.99%	2.38%	1.97%	2.73%	1.70%	2.01%	2.01%	2.49%	1.92%	2.34%	3.27%	1.81%	3.17%	0.51%	2.52%	3.27%	2.72%	1.57%	3.36%	2.86%	4.92%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	760	12	16	20	24	11	21	23	15	10	15	4	6	18	22	18	19	17	13	18	22	17	32	19	14	12	15	17	15	1	9	14	28	13	20	10	31	22	9	13	1	3	7	8	25	19	31	6	17	8									
		2.62%	2.81%	3.61%	2.23%	3.11%	1.43%	2.68%	2.97%	2.43%	3.25%	1.92%	0.62%	1.44%	2.46%	2.89%	2.26%	2.83%	4.61%	3.19%	2.27%	2.82%	1.85%	3.95%	2.78%	2.43%	3.82%	3.44%	3.79%	2.50%	0.37%	1.95%	2.30%	4.02%	2.46%	3.35%	2.51%	3.67%	3.01%	2.10%	1.70%	0.60%	2.38%	1.79%	3.36%	3.72%	2.24%	3.49%	0.96%	2.03%	6.56%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	10716	153	128	362	276	303	263	284	212	120	323	272	140	268	266	282	269	139	149	302	278	310	275	229	199	122	153	167	220	120	171	264	241	234	239	161	395	308	142	267	85	55	160	79	223	301	299	221	243	44									
		36.99%	35.83%	28.89%	40.36%	35.75%	39.30%	33.55%	36.65%	34.30%	38.96%	41.41%	42.43%	33.65%	36.56%	35.00%	35.43%	40.09%	37.67%	36.61%	38.04%	35.69%	33.70%	33.91%	33.53%	34.55%	38.85%	35.09%	37.28%	36.67%	44.78%	37.01%	43.28%	34.63%	44.23%	40.03%	40.45%	46.80%	42.19%	33.18%	34.95%	51.20%	43.65%	41.03%	33.19%	33.18%	35.54%	33.63%	35.36%	28.99%	36.07%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	433	8	8	12	10	14	15	10	2	1	13	13	11	8	15	14	4	2	13	8	9	12	13	11	21	9	3	8	12	0	10	10	9	4	14	5	5	13	6	7	2	1	2	7	10	18	12	9	10	0									
		1.49%	1.87%	1.81%	1.34%	1.30%	1.82%	1.91%	1.29%	0.32%	0.32%	1.67%	2.03%	2.64%	1.09%	1.97%	1.76%	0.60%	0.54%	3.19%	1.01%	1.16%	1.30%	1.60%	1.61%	3.65%	2.87%	0.69%	1.79%	2.00%	0.00%	2.16%	1.64%	1.29%	0.76%	2.35%	1.26%	0.59%	1.78%	1.40%	0.92%	1.20%	0.79%	0.51%	2.94%	1.49%	2.13%	1.35%	1.44%	1.19%	0.00%									
24	"6. Политическая партия ""Гражданская Платформа"""	68	1	0	3	1	1	2	3	2	0	2	0	4	2	0	1	0	0	0	1	0	2	2	0	1	1	0	3	1	1	2	1	1	1	2	1	2	1	1	1	0	0	2	1	1	5	2	5	5	0									
		0.23%	0.23%	0.00%	0.33%	0.13%	0.13%	0.26%	0.39%	0.32%	0.00%	0.26%	0.00%	0.96%	0.27%	0.00%	0.13%	0.00%	0.00%	0.00%	0.13%	0.00%	0.22%	0.25%	0.00%	0.17%	0.32%	0.00%	0.67%	0.17%	0.37%	0.43%	0.16%	0.14%	0.19%	0.34%	0.25%	0.24%	0.14%	0.23%	0.13%	0.00%	0.00%	0.51%	0.42%	0.15%	0.59%	0.22%	0.80%	0.60%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	4350	60	44	122	112	101	120	115	117	59	111	121	62	96	114	115	101	56	65	120	131	143	134	86	81	32	74	61	72	48	80	86	142	75	127	65	128	123	67	147	18	21	56	30	110	111	118	91	65	17									
		15.02%	14.05%	9.93%	13.60%	14.51%	13.10%	15.31%	14.84%	18.93%	19.16%	14.23%	18.88%	14.90%	13.10%	15.00%	14.45%	15.05%	15.18%	15.97%	15.11%	16.82%	15.54%	16.52%	12.59%	14.06%	10.19%	16.97%	13.62%	12.00%	17.91%	17.32%	14.10%	20.40%	14.18%	21.27%	16.33%	15.17%	16.85%	15.65%	19.24%	10.84%	16.67%	14.36%	12.61%	16.37%	13.11%	13.27%	14.56%	7.76%	13.93%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	458	11	4	15	9	12	10	8	4	3	16	25	14	13	12	13	10	3	4	12	8	10	8	12	13	7	10	6	9	0	5	7	10	27	8	13	6	11	13	10	1	4	10	4	3	12	25	6	1	1									
		1.58%	2.58%	0.90%	1.67%	1.17%	1.56%	1.28%	1.03%	0.65%	0.97%	2.05%	3.90%	3.37%	1.77%	1.58%	1.63%	1.49%	0.81%	0.98%	1.51%	1.03%	1.09%	0.99%	1.76%	2.26%	2.23%	2.29%	1.34%	1.50%	0.00%	1.08%	1.15%	1.44%	5.10%	1.34%	3.27%	0.71%	1.51%	3.04%	1.31%	0.60%	3.17%	2.56%	1.68%	0.45%	1.42%	2.81%	0.96%	0.12%	0.82%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	1023	19	12	31	32	30	32	25	20	7	53	27	28	57	19	39	21	12	4	18	16	45	27	29	17	30	28	16	13	3	21	10	22	20	17	21	15	19	22	20	0	5	14	5	11	25	31	6	28	1									
		3.53%	4.45%	2.71%	3.46%	4.15%	3.89%	4.08%	3.23%	3.24%	2.27%	6.79%	4.21%	6.73%	7.78%	2.50%	4.90%	3.13%	3.25%	0.98%	2.27%	2.05%	4.89%	3.33%	4.25%	2.95%	9.55%	6.42%	3.57%	2.17%	1.12%	4.55%	1.64%	3.16%	3.78%	2.85%	5.28%	1.78%	2.60%	5.14%	2.62%	0.00%	3.97%	3.59%	2.10%	1.64%	2.95%	3.49%	0.96%	3.34%	0.82%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	35	2	0	2	1	0	0	1	0	1	2	1	2	1	0	0	0	1	0	1	1	0	2	0	2	0	0	1	2	0	0	0	0	1	1	2	0	0	1	0	1	0	1	0	1	1	1	2	0	0									
		0.12%	0.47%	0.00%	0.22%	0.13%	0.00%	0.00%	0.13%	0.00%	0.32%	0.26%	0.16%	0.48%	0.14%	0.00%	0.00%	0.00%	0.27%	0.00%	0.13%	0.13%	0.00%	0.25%	0.00%	0.35%	0.00%	0.00%	0.22%	0.33%	0.00%	0.00%	0.00%	0.00%	0.19%	0.17%	0.50%	0.00%	0.00%	0.23%	0.00%	0.60%	0.00%	0.26%	0.00%	0.15%	0.12%	0.11%	0.32%	0.00%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	1345	13	34	36	35	43	48	47	12	9	65	39	29	42	30	42	15	19	20	41	34	53	25	38	13	22	19	19	31	7	25	11	35	34	16	33	19	26	15	19	3	4	27	12	24	55	61	18	27	1									
		4.64%	3.04%	7.67%	4.01%	4.53%	5.58%	6.12%	6.06%	1.94%	2.92%	8.33%	6.08%	6.97%	5.73%	3.95%	5.28%	2.24%	5.15%	4.91%	5.16%	4.36%	5.76%	3.08%	5.56%	2.26%	7.01%	4.36%	4.24%	5.17%	2.61%	5.41%	1.80%	5.03%	6.43%	2.68%	8.29%	2.25%	3.56%	3.50%	2.49%	1.81%	3.17%	6.92%	5.04%	3.57%	6.49%	6.86%	2.88%	3.22%	0.82%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	6163	83	130	190	173	167	165	157	137	63	108	76	54	135	181	182	151	78	83	173	182	216	191	154	130	45	87	85	150	61	85	142	120	57	93	37	144	118	93	198	42	21	64	58	163	182	178	186	364	31									
		21.28%	19.44%	29.35%	21.18%	22.41%	21.66%	21.05%	20.26%	22.17%	20.45%	13.85%	11.86%	12.98%	18.42%	23.82%	22.86%	22.50%	21.14%	20.39%	21.79%	23.36%	23.48%	23.55%	22.55%	22.57%	14.33%	19.95%	18.97%	25.00%	22.76%	18.40%	23.28%	17.24%	10.78%	15.58%	9.30%	17.06%	16.16%	21.73%	25.92%	25.30%	16.67%	16.41%	24.37%	24.26%	21.49%	20.02%	29.76%	43.44%	25.41%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	152	5	3	8	6	5	4	3	5	0	2	1	2	6	4	4	3	2	2	1	3	8	3	2	5	1	1	6	2	0	2	2	5	5	8	4	1	5	1	5	0	1	2	0	2	4	3	3	2	0									
		0.52%	1.17%	0.68%	0.89%	0.78%	0.65%	0.51%	0.39%	0.81%	0.00%	0.26%	0.16%	0.48%	0.82%	0.53%	0.50%	0.45%	0.54%	0.49%	0.13%	0.39%	0.87%	0.37%	0.29%	0.87%	0.32%	0.23%	1.34%	0.33%	0.00%	0.43%	0.33%	0.72%	0.95%	1.34%	1.01%	0.12%	0.68%	0.23%	0.65%	0.00%	0.79%	0.51%	0.00%	0.30%	0.47%	0.34%	0.48%	0.24%	0.00%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	1049	19	16	37	31	30	29	21	20	13	28	14	17	37	31	28	18	18	20	32	28	33	28	32	32	17	11	21	27	10	18	17	24	19	15	12	29	32	16	16	3	0	11	10	25	31	40	18	12	3									
		3.62%	4.45%	3.61%	4.12%	4.02%	3.89%	3.70%	2.71%	3.24%	4.22%	3.59%	2.18%	4.09%	5.05%	4.08%	3.52%	2.68%	4.88%	4.91%	4.03%	3.59%	3.59%	3.45%	4.69%	5.56%	5.41%	2.52%	4.69%	4.50%	3.73%	3.90%	2.79%	3.45%	3.59%	2.51%	3.02%	3.44%	4.38%	3.74%	2.09%	1.81%	0.00%	2.82%	4.20%	3.72%	3.66%	4.50%	2.88%	1.43%	2.46%									
																																																												
																																																												
																																																												
																																																												
																																																												
																																																												
																																																												
																																																												
																																																												
																																																												
																																																												
																																																												
																																																												
																																																												
																																																												
																																																												
																																																												
																																																												
																																																												
																																																												
																																																												
																																																												
