Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																									
Дата голосования: 18.09.2016																																																																									
																																																																									
"Наименование Избирательной комиссии:    Улан-Удэ, Железнодорожная"																																																																									
																																																																									
Сводная таблица итогов голосования по федеральному избирательному округу																																																																									
																																																																									
		Сумма	УИК №685	УИК №686	УИК №687	УИК №688	УИК №689	УИК №690	УИК №691	УИК №692	УИК №693	УИК №694	УИК №695	УИК №696	УИК №697	УИК №698	УИК №699	УИК №700	УИК №701	УИК №702	УИК №703	УИК №704	УИК №705	УИК №706	УИК №707	УИК №708	УИК №709	УИК №710	УИК №711	УИК №712	УИК №713	УИК №714	УИК №715	УИК №716	УИК №717	УИК №718	УИК №719	УИК №720	УИК №721	УИК №722	УИК №723	УИК №724	УИК №725	УИК №726	УИК №727	УИК №728	УИК №729	УИК №730	УИК №731	УИК №732	УИК №733	УИК №734	УИК №735	УИК №736	УИК №737	УИК №738	УИК №739	УИК №740	УИК №741	УИК №742	УИК №743	УИК №744	УИК №745	УИК №746									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																																									
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	350	4	8	2	6	11	6	5	4	7	9	4	2	9	11	0	2	4	9	11	4	6	9	8	7	6	16	8	2	3	8	7	5	3	5	6	4	2	1	4	8	2	3	9	0	5	10	4	3	4	2	6	8	7	6	9	15	6	5	8	2	0	0									
		0.95%	0.85%	1.39%	0.46%	1.23%	1.43%	1.11%	1.24%	1.14%	0.78%	1.17%	0.91%	0.39%	1.00%	1.22%	0.00%	0.51%	0.47%	1.09%	1.07%	0.46%	0.74%	0.97%	1.26%	1.01%	1.02%	1.64%	1.63%	0.41%	0.47%	1.31%	1.12%	0.96%	0.67%	1.41%	0.74%	0.70%	0.34%	0.38%	0.47%	0.99%	0.97%	1.15%	1.30%	0.00%	0.64%	1.47%	0.69%	0.43%	0.64%	0.48%	1.69%	1.23%	1.04%	0.71%	1.21%	3.09%	0.70%	1.35%	0.87%	1.14%	0.00%	0.00%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	962	11	11	12	19	20	15	17	12	14	10	7	11	21	17	2	8	13	19	19	25	22	25	8	16	19	29	15	7	13	15	13	18	16	9	13	10	15	10	30	28	11	7	22	16	19	21	25	20	17	9	10	22	27	22	22	11	23	7	28	4	3	2									
		2.61%	2.35%	1.91%	2.76%	3.89%	2.61%	2.77%	4.22%	3.41%	1.56%	1.30%	1.60%	2.12%	2.34%	1.88%	2.27%	2.05%	1.52%	2.29%	1.86%	2.85%	2.73%	2.70%	1.26%	2.31%	3.23%	2.98%	3.06%	1.43%	2.02%	2.45%	2.07%	3.44%	3.57%	2.54%	1.61%	1.75%	2.58%	3.83%	3.56%	3.47%	5.31%	2.67%	3.17%	3.63%	2.44%	3.08%	4.31%	2.86%	2.72%	2.15%	2.81%	3.39%	4.00%	2.59%	2.95%	2.27%	2.69%	1.89%	3.03%	2.29%	3.53%	1.39%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	1035	5	20	10	7	27	15	11	2	19	25	12	13	25	27	4	12	12	22	34	18	27	33	18	20	24	19	11	16	17	20	30	16	11	11	17	31	20	7	17	11	5	7	19	13	23	18	21	19	16	17	17	13	22	25	25	5	25	13	24	3	4	5									
		2.80%	1.07%	3.47%	2.30%	1.43%	3.52%	2.77%	2.73%	0.57%	2.12%	3.26%	2.74%	2.51%	2.78%	2.99%	4.55%	3.07%	1.41%	2.66%	3.32%	2.05%	3.35%	3.57%	2.84%	2.88%	4.07%	1.95%	2.24%	3.26%	2.64%	3.27%	4.78%	3.06%	2.46%	3.10%	2.11%	5.42%	3.44%	2.68%	2.02%	1.36%	2.42%	2.67%	2.74%	2.95%	2.95%	2.64%	3.62%	2.71%	2.56%	4.07%	4.78%	2.00%	3.26%	2.94%	3.35%	1.03%	2.92%	3.51%	2.60%	1.71%	4.71%	3.47%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	12424	180	200	171	142	250	196	118	115	342	260	154	178	307	268	29	136	356	307	366	276	256	284	209	219	155	339	148	167	249	185	196	171	157	116	248	189	266	125	292	268	77	79	221	139	230	231	211	226	238	144	133	163	196	254	236	192	268	129	313	77	32	45									
		33.67%	38.38%	34.66%	39.31%	29.10%	32.59%	36.23%	29.28%	32.67%	38.13%	33.90%	35.16%	34.36%	34.15%	29.65%	32.95%	34.78%	41.69%	37.08%	35.74%	31.51%	31.72%	30.70%	33.02%	31.56%	26.32%	34.80%	30.20%	34.01%	38.66%	30.28%	31.26%	32.70%	35.04%	32.68%	30.73%	33.04%	45.78%	47.89%	34.64%	33.21%	37.20%	30.15%	31.84%	31.52%	29.53%	33.92%	36.38%	32.29%	38.02%	34.45%	37.36%	25.12%	29.04%	29.88%	31.64%	39.59%	31.35%	34.86%	33.87%	44.00%	37.65%	31.25%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	304	4	3	0	3	3	6	5	3	9	5	3	7	4	8	0	3	6	4	10	6	7	3	5	5	2	14	3	5	6	3	10	3	3	5	12	2	5	0	7	6	3	4	6	6	5	8	3	2	6	3	3	7	11	6	7	3	5	4	11	2	0	1									
		0.82%	0.85%	0.52%	0.00%	0.61%	0.39%	1.11%	1.24%	0.85%	1.00%	0.65%	0.68%	1.35%	0.44%	0.88%	0.00%	0.77%	0.70%	0.48%	0.98%	0.68%	0.87%	0.32%	0.79%	0.72%	0.34%	1.44%	0.61%	1.02%	0.93%	0.49%	1.59%	0.57%	0.67%	1.41%	1.49%	0.35%	0.86%	0.00%	0.83%	0.74%	1.45%	1.53%	0.86%	1.36%	0.64%	1.17%	0.52%	0.29%	0.96%	0.72%	0.84%	1.08%	1.63%	0.71%	0.94%	0.62%	0.58%	1.08%	1.19%	1.14%	0.00%	0.69%									
24	"6. Политическая партия ""Гражданская Платформа"""	161	2	2	2	2	3	3	2	1	5	5	0	2	6	4	0	2	3	2	6	5	5	7	4	1	5	1	1	4	9	2	0	1	1	1	4	0	2	2	7	6	1	0	1	1	1	2	2	4	0	0	2	5	4	0	2	1	1	3	7	1	1	2									
		0.44%	0.43%	0.35%	0.46%	0.41%	0.39%	0.55%	0.50%	0.28%	0.56%	0.65%	0.00%	0.39%	0.67%	0.44%	0.00%	0.51%	0.35%	0.24%	0.59%	0.57%	0.62%	0.76%	0.63%	0.14%	0.85%	0.10%	0.20%	0.81%	1.40%	0.33%	0.00%	0.19%	0.22%	0.28%	0.50%	0.00%	0.34%	0.77%	0.83%	0.74%	0.48%	0.00%	0.14%	0.23%	0.13%	0.29%	0.34%	0.57%	0.00%	0.00%	0.56%	0.77%	0.59%	0.00%	0.27%	0.21%	0.12%	0.81%	0.76%	0.57%	1.18%	1.39%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	4980	72	102	64	66	93	84	53	61	96	76	63	72	107	127	19	40	57	98	113	101	112	84	83	96	79	140	87	84	113	90	76	78	61	45	112	84	76	34	87	77	26	45	103	57	146	74	71	105	82	66	56	90	103	136	108	84	163	41	113	19	9	21									
		13.50%	15.35%	17.68%	14.71%	13.52%	12.13%	15.53%	13.15%	17.33%	10.70%	9.91%	14.38%	13.90%	11.90%	14.05%	21.59%	10.23%	6.67%	11.84%	11.04%	11.53%	13.88%	9.08%	13.11%	13.83%	13.41%	14.37%	17.76%	17.11%	17.55%	14.73%	12.12%	14.91%	13.62%	12.68%	13.88%	14.69%	13.08%	13.03%	10.32%	9.54%	12.56%	17.18%	14.84%	12.93%	18.74%	10.87%	12.24%	15.00%	13.10%	15.79%	15.73%	13.87%	15.26%	16.00%	14.48%	17.32%	19.06%	11.08%	12.23%	10.86%	10.59%	14.58%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	317	3	6	4	5	4	4	3	2	14	5	4	7	10	10	2	5	8	8	8	11	10	15	12	10	4	7	1	7	6	14	5	3	4	1	6	0	6	5	5	7	1	1	1	5	5	2	1	3	5	3	2	2	3	6	7	0	8	0	8	3	0	0									
		0.86%	0.64%	1.04%	0.92%	1.02%	0.52%	0.74%	0.74%	0.57%	1.56%	0.65%	0.91%	1.35%	1.11%	1.11%	2.27%	1.28%	0.94%	0.97%	0.78%	1.26%	1.24%	1.62%	1.90%	1.44%	0.68%	0.72%	0.20%	1.43%	0.93%	2.29%	0.80%	0.57%	0.89%	0.28%	0.74%	0.00%	1.03%	1.92%	0.59%	0.87%	0.48%	0.38%	0.14%	1.13%	0.64%	0.29%	0.17%	0.43%	0.80%	0.72%	0.56%	0.31%	0.44%	0.71%	0.94%	0.00%	0.94%	0.00%	0.87%	1.71%	0.00%	0.00%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	2044	32	31	28	33	38	43	45	24	41	52	28	25	43	34	4	20	47	34	50	54	39	43	27	37	38	35	28	31	33	29	41	16	31	19	40	36	25	0	63	47	7	19	38	31	34	55	40	51	32	19	33	30	49	36	41	24	50	18	60	7	2	4									
		5.54%	6.82%	5.37%	6.44%	6.76%	4.95%	7.95%	11.17%	6.82%	4.57%	6.78%	6.39%	4.83%	4.78%	3.76%	4.55%	5.12%	5.50%	4.11%	4.88%	6.16%	4.83%	4.65%	4.27%	5.33%	6.45%	3.59%	5.71%	6.31%	5.12%	4.75%	6.54%	3.06%	6.92%	5.35%	4.96%	6.29%	4.30%	0.00%	7.47%	5.82%	3.38%	7.25%	5.48%	7.03%	4.36%	8.08%	6.90%	7.29%	5.11%	4.55%	9.27%	4.62%	7.26%	4.24%	5.50%	4.95%	5.85%	4.86%	6.49%	4.00%	2.35%	2.78%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	45	2	1	1	0	1	1	0	0	0	0	1	0	2	1	0	1	0	0	1	0	1	0	0	0	0	3	0	1	0	2	2	2	0	1	0	1	2	0	2	1	0	0	0	0	0	2	3	1	0	0	0	1	0	2	2	0	1	0	1	2	0	0									
		0.12%	0.43%	0.17%	0.23%	0.00%	0.13%	0.18%	0.00%	0.00%	0.00%	0.00%	0.23%	0.00%	0.22%	0.11%	0.00%	0.26%	0.00%	0.00%	0.10%	0.00%	0.12%	0.00%	0.00%	0.00%	0.00%	0.31%	0.00%	0.20%	0.00%	0.33%	0.32%	0.38%	0.00%	0.28%	0.00%	0.17%	0.34%	0.00%	0.24%	0.12%	0.00%	0.00%	0.00%	0.00%	0.00%	0.29%	0.52%	0.14%	0.00%	0.00%	0.00%	0.15%	0.00%	0.24%	0.27%	0.00%	0.12%	0.00%	0.11%	1.14%	0.00%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	835	6	6	4	14	22	5	12	2	16	23	9	13	28	18	2	17	31	31	28	14	23	24	17	14	17	27	11	7	11	17	25	11	6	14	24	21	6	2	20	28	0	1	9	4	16	14	11	11	7	5	6	17	22	13	14	9	11	6	29	1	0	3									
		2.26%	1.28%	1.04%	0.92%	2.87%	2.87%	0.92%	2.98%	0.57%	1.78%	2.99%	2.05%	2.51%	3.11%	1.99%	2.27%	4.35%	3.63%	3.74%	2.73%	1.60%	2.85%	2.59%	2.69%	2.02%	2.89%	2.77%	2.24%	1.43%	1.71%	2.78%	3.99%	2.10%	1.34%	3.94%	2.97%	3.67%	1.03%	0.77%	2.37%	3.47%	0.00%	0.38%	1.30%	0.91%	2.05%	2.06%	1.90%	1.57%	1.12%	1.20%	1.69%	2.62%	3.26%	1.53%	1.88%	1.86%	1.29%	1.62%	3.14%	0.57%	0.00%	2.08%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	8850	95	133	92	129	200	123	95	88	235	197	99	137	221	264	22	101	216	204	252	240	205	278	160	188	146	222	130	115	113	136	142	116	104	73	218	111	106	49	233	218	53	62	152	112	168	166	109	166	125	111	52	193	135	200	204	87	183	78	193	33	16	46									
		23.98%	20.26%	23.05%	21.15%	26.43%	26.08%	22.74%	23.57%	25.00%	26.20%	25.68%	22.60%	26.45%	24.58%	29.20%	25.00%	25.83%	25.29%	24.64%	24.61%	27.40%	25.40%	30.05%	25.28%	27.09%	24.79%	22.79%	26.53%	23.42%	17.55%	22.26%	22.65%	22.18%	23.21%	20.56%	27.01%	19.41%	18.24%	18.77%	27.64%	27.01%	25.60%	23.66%	21.90%	25.40%	21.57%	24.38%	18.79%	23.71%	19.97%	26.56%	14.61%	29.74%	20.00%	23.53%	27.35%	17.94%	21.40%	21.08%	20.89%	18.86%	18.82%	31.94%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	137	2	1	3	1	0	2	5	2	0	2	4	0	1	4	0	0	5	4	1	3	1	4	2	0	5	5	3	1	4	2	0	4	0	2	3	3	0	0	3	7	0	1	7	1	6	5	1	1	5	1	1	1	5	3	0	1	3	1	4	0	1	0									
		0.37%	0.43%	0.17%	0.69%	0.20%	0.00%	0.37%	1.24%	0.57%	0.00%	0.26%	0.91%	0.00%	0.11%	0.44%	0.00%	0.00%	0.59%	0.48%	0.10%	0.34%	0.12%	0.43%	0.32%	0.00%	0.85%	0.51%	0.61%	0.20%	0.62%	0.33%	0.00%	0.76%	0.00%	0.56%	0.37%	0.52%	0.00%	0.00%	0.36%	0.87%	0.00%	0.38%	1.01%	0.23%	0.77%	0.73%	0.17%	0.14%	0.80%	0.24%	0.28%	0.15%	0.74%	0.35%	0.00%	0.21%	0.35%	0.27%	0.43%	0.00%	1.18%	0.00%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	3494	31	35	30	51	76	28	17	27	74	80	43	44	90	89	1	35	79	74	101	94	74	92	67	66	78	93	32	28	49	62	60	63	38	44	86	65	25	11	65	76	15	19	82	47	97	60	56	72	66	33	30	79	67	124	55	45	82	54	102	14	12	10									
		9.47%	6.61%	6.07%	6.90%	10.45%	9.91%	5.18%	4.22%	7.67%	8.25%	10.43%	9.82%	8.49%	10.01%	9.85%	1.14%	8.95%	9.25%	8.94%	9.86%	10.73%	9.17%	9.95%	10.58%	9.51%	13.24%	9.55%	6.53%	5.70%	7.61%	10.15%	9.57%	12.05%	8.48%	12.39%	10.66%	11.36%	4.30%	4.21%	7.71%	9.42%	7.25%	7.25%	11.82%	10.66%	12.45%	8.81%	9.66%	10.29%	10.54%	7.89%	8.43%	12.17%	9.93%	14.59%	7.37%	9.28%	9.59%	14.59%	11.04%	8.00%	14.12%	6.94%									
																																																																									
																																																																									
																																																																									
																																																																									
																																																																									
																																																																									
																																																																									
																																																																									
																																																																									
																																																																									
																																																																									
																																																																									
																																																																									
																																																																									
																																																																									
																																																																									
																																																																									
																																																																									
																																																																									
																																																																									
																																																																									
																																																																									
