Выборы Президента Российской Федерации																																																																																
																																																																																
"Наименование Избирательной комиссии:    Омск, Октябрьская"																																																																																
																																																																																
Итоги голосования 																																																																																
																																																																																
		Сумма	УИК  1594	УИК №1595	УИК №1596	УИК №1597	УИК №1598	УИК №1599	УИК №1600	УИК №1601	УИК №1602	УИК №1603	УИК №1604	УИК №1605	УИК №1606	УИК №1607	УИК №1608	УИК №1609	УИК №1610	УИК №1611	УИК №1612	УИК №1613	УИК №1614	УИК №1615	УИК №1616	УИК №1617	УИК №1618	УИК №1619	УИК №1620	УИК №1621	УИК №1622	УИК №1623	УИК №1624	УИК №1625	УИК №1626	УИК №1627	УИК №1628	УИК №1629	УИК №1630	УИК №1631	УИК №1632	УИК №1633	УИК №1634	УИК №1635	УИК №1636	УИК №1637	УИК №1638	УИК №1639	УИК №1640	УИК №1641	УИК №1642	УИК №1643	УИК №1644	УИК №1645	УИК №1646	УИК №1647	УИК №1648	УИК №1649	УИК №1650	УИК №1651	УИК №1652	УИК №1653	УИК №1654	УИК №1655	УИК №1656	УИК №1657	УИК №1658	УИК №1659	УИК №1660	УИК №1661	УИК №1662	УИК №1663	УИК №1664	УИК №1665	УИК №1666					
		5.01%	5.71%	7.95%	4.04%	7.57%	5.79%	4.47%	4.55%	5.10%	3.96%	4.13%	3.90%	6.70%	4.58%	4.91%	5.10%	4.62%	3.34%	4.73%	5.04%	5.76%	5.47%	7.09%	6.11%	4.87%	5.18%	4.69%	2.90%	4.77%	2.95%	4.41%	4.96%	2.72%	4.25%	4.48%	5.07%	5.28%	4.08%	5.22%	6.37%	4.80%	5.75%	5.78%	5.75%	6.10%	6.42%	5.33%	5.37%	4.61%	5.48%	3.08%	6.57%	4.09%	3.41%	6.25%	3.91%	4.49%	4.18%	5.07%	3.68%	3.30%	3.45%	6.82%	5.47%	5.01%	3.57%	5.27%	4.46%	4.55%	6.67%	5.28%	5.94%	3.83%	2.26%					
19	. Малышкин Олег Александрович	2033	33	29	23	23	11	29	23	20	36	19	18	13	26	27	26	28	43	29	24	53	32	32	32	40	19	32	32	31	40	24	45	21	43	31	37	35	33	28	40	34	14	37	16	38	31	33	25	36	21	24	28	52	20	26	38	26	34	38	16	28	18	36	15	25	18	27	46	13	16	16	20	6	2					
		2.38%	2.30%	1.97%	1.98%	1.93%	1.27%	2.36%	1.94%	2.17%	3.75%	1.83%	1.80%	1.85%	1.98%	2.21%	2.04%	1.93%	2.87%	2.18%	1.92%	3.35%	1.95%	2.18%	2.27%	2.67%	1.39%	2.21%	2.73%	2.42%	3.47%	1.73%	2.90%	2.12%	3.21%	2.67%	3.35%	2.84%	2.36%	2.56%	3.92%	3.55%	1.79%	2.67%	1.31%	2.41%	2.49%	2.51%	2.44%	2.91%	1.98%	2.46%	1.84%	3.08%	2.20%	3.69%	3.09%	2.48%	3.23%	3.50%	1.73%	2.99%	5.64%	2.27%	1.44%	2.46%	1.95%	2.03%	3.02%	1.38%	1.50%	1.46%	1.61%	1.77%	1.13%					
20	. Миронов Сергей Михайлович	714	13	13	5	13	7	13	6	7	14	6	7	3	10	5	9	16	8	12	9	14	11	17	10	16	18	10	8	9	7	10	11	4	2	5	3	9	7	12	11	6	3	9	11	14	18	9	5	11	3	9	14	16	9	9	12	15	10	15	6	11	3	8	9	7	19	22	19	14	7	13	6	1	1					
		0.84%	0.91%	0.88%	0.43%	1.09%	0.81%	1.06%	0.51%	0.76%	1.46%	0.58%	0.70%	0.43%	0.76%	0.41%	0.71%	1.10%	0.53%	0.90%	0.72%	0.89%	0.67%	1.16%	0.71%	1.07%	1.31%	0.69%	0.68%	0.70%	0.61%	0.72%	0.71%	0.40%	0.15%	0.43%	0.27%	0.73%	0.50%	1.10%	1.08%	0.63%	0.38%	0.65%	0.90%	0.89%	1.44%	0.68%	0.49%	0.89%	0.28%	0.92%	0.92%	0.95%	0.99%	1.28%	0.98%	1.43%	0.95%	1.38%	0.65%	1.17%	0.94%	0.51%	0.86%	0.69%	2.06%	1.66%	1.25%	1.48%	0.66%	1.18%	0.48%	0.29%	0.56%					
21	. Путин Владимир Владимирович	55138	859	861	837	734	537	771	762	616	653	682	675	454	805	730	780	909	955	853	757	956	957	875	868	960	857	969	796	793	776	924	1078	651	930	744	711	823	946	730	674	608	532	892	797	1023	777	799	649	833	724	690	1029	1156	618	460	854	696	702	664	653	626	216	1021	655	641	603	806	989	641	654	689	843	242	108					
		64.66%	59.82%	58.49%	72.03%	61.73%	62.15%	62.63%	64.20%	66.88%	68.02%	65.58%	67.43%	64.67%	61.40%	59.79%	61.18%	62.73%	63.79%	64.09%	60.51%	60.47%	58.21%	59.65%	61.65%	64.00%	62.55%	66.83%	67.80%	61.95%	67.36%	66.76%	69.41%	65.62%	69.35%	64.03%	64.34%	66.80%	67.77%	66.79%	66.01%	63.47%	68.03%	64.40%	65.44%	64.95%	62.31%	60.81%	63.32%	67.39%	68.43%	70.84%	67.65%	68.56%	68.06%	65.34%	69.54%	66.48%	66.73%	61.20%	70.59%	66.74%	67.71%	64.46%	62.86%	63.03%	65.26%	60.65%	64.85%	67.83%	61.47%	62.69%	67.71%	71.39%	61.02%					
22	. Хакамада Ирина Муцуовна	4592	149	110	60	106	54	57	63	55	55	49	54	35	70	61	82	58	71	52	55	68	72	79	63	83	59	94	40	33	34	61	81	67	58	38	49	38	66	54	54	56	38	96	89	129	89	94	63	67	51	39	72	94	69	17	61	46	54	41	32	33	7	124	81	75	66	79	94	44	53	72	57	13	10					
		5.38%	10.38%	7.47%	5.16%	8.92%	6.25%	4.63%	5.31%	5.97%	5.73%	4.71%	5.39%	4.99%	5.34%	5.00%	6.43%	4.00%	4.74%	3.91%	4.40%	4.30%	4.38%	5.39%	4.47%	5.53%	4.31%	6.48%	3.41%	2.58%	2.95%	4.41%	5.22%	6.75%	4.33%	3.27%	4.43%	3.08%	4.73%	4.94%	5.29%	5.85%	4.86%	6.93%	7.31%	8.19%	7.14%	7.15%	6.15%	5.42%	4.82%	4.00%	4.73%	5.58%	7.60%	2.41%	4.97%	4.39%	5.13%	3.78%	3.46%	3.52%	2.19%	7.83%	7.77%	7.37%	7.14%	5.94%	6.16%	4.66%	4.98%	6.55%	4.58%	3.83%	5.65%					
23	. Харитонов Николай Михайлович	14384	231	238	134	164	175	267	236	147	111	188	169	115	274	284	248	304	285	267	278	337	402	295	286	268	291	197	197	314	210	226	173	189	193	245	180	216	219	160	121	171	109	186	165	194	189	229	179	174	145	134	203	199	116	115	160	155	144	212	147	178	39	207	191	176	127	272	218	153	237	166	177	46	37					
		16.87%	16.09%	16.17%	11.53%	13.79%	20.25%	21.69%	19.88%	15.96%	11.56%	18.08%	16.88%	16.38%	20.90%	23.26%	19.45%	20.98%	19.04%	20.06%	22.22%	21.32%	24.45%	20.11%	20.31%	17.87%	21.24%	13.59%	16.78%	24.53%	18.23%	16.33%	11.14%	19.05%	14.39%	21.08%	16.29%	17.53%	15.69%	14.64%	11.85%	17.85%	13.94%	13.43%	13.55%	12.32%	15.16%	17.43%	17.46%	14.08%	13.71%	13.76%	13.35%	11.80%	12.78%	16.34%	13.03%	14.80%	13.69%	19.54%	15.89%	18.98%	12.23%	13.07%	18.33%	17.31%	13.74%	20.47%	14.30%	16.19%	22.27%	15.10%	14.22%	13.57%	20.90%					
																																																																																
24	Против всех	3585	52	96	46	53	26	35	36	27	46	47	32	30	58	47	58	59	74	47	54	54	68	58	59	53	42	72	53	33	47	68	71	26	55	35	48	39	57	47	51	34	32	81	69	75	51	78	44	46	50	47	65	87	44	20	47	57	53	52	30	26	18	71	29	37	47	49	73	29	23	81	55	16	10					
		4.20%	3.62%	6.52%	3.96%	4.46%	3.01%	2.84%	3.03%	2.93%	4.79%	4.52%	3.20%	4.27%	4.42%	3.85%	4.55%	4.07%	4.94%	3.53%	4.32%	3.42%	4.14%	3.95%	4.19%	3.53%	3.07%	4.97%	4.51%	2.58%	4.08%	4.91%	4.57%	2.62%	4.10%	3.01%	4.34%	3.17%	4.08%	4.30%	5.00%	3.55%	4.09%	5.85%	5.67%	4.76%	4.09%	5.94%	4.29%	3.72%	4.73%	4.83%	4.27%	5.16%	4.85%	2.84%	3.83%	5.44%	5.04%	4.79%	3.24%	2.77%	5.64%	4.48%	2.78%	3.64%	5.09%	3.69%	4.79%	3.07%	2.16%	7.37%	4.42%	4.72%	5.65%					
																																																																																
																																																																																
																																																																																
																																																																																
																																																																																
																																																																																
																																																																																
																																																																																
																																																																																
																																																																																
																																																																																
																																																																																
																																																																																
																																																																																
																																																																																
