Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																								
Дата голосования: 18.09.2016																																																																								
																																																																								
"Наименование Избирательной комиссии:    Сочи, Адлерская"																																																																								
																																																																								
Сводная таблица итогов голосования по федеральному избирательному округу																																																																								
																																																																								
		Сумма	УИК №4301	УИК №4302	УИК №4303	УИК №4304	УИК №4305	УИК №4306	УИК №4307	УИК №4308	УИК №4309	УИК №4310	УИК №4311	УИК №4312	УИК №4313	УИК №4314	УИК №4315	УИК №4316	УИК №4317	УИК №4318	УИК №4319	УИК №4320	УИК №4321	УИК №4322	УИК №4323	УИК №4324	УИК №4325	УИК №4326	УИК №4327	УИК №4328	УИК №4329	УИК №4330	УИК №4331	УИК №4332	УИК №4333	УИК №4334	УИК №4335	УИК №4336	УИК №4337	УИК №4338	УИК №4339	УИК №4340	УИК №4341	УИК №4342	УИК №4343	УИК №4344	УИК №4345	УИК №4346	УИК №4347	УИК №4348	УИК №4349	УИК №4350	УИК №4351	УИК №4352	УИК №4353	УИК №4354	УИК №4355	УИК №4356	УИК №4357	УИК №4358	УИК №4359	УИК №4360	УИК №4361									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	1267	2	5	3	50	45	15	50	35	30	50	30	30	5	25	15	15	25	10	20	10	20	10	17	30	20	5	20	30	10	5	20	30	25	15	35	25	25	15	10	15	5	10	10	15	5	35	25	20	50	10	10	5	25	15	5	15	5	35	45	40	30									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	670	0	0	3	22	45	10	21	31	10	38	11	23	5	11	4	5	11	4	16	4	12	5	17	13	15	0	3	21	5	4	12	23	9	4	32	24	19	7	2	4	4	3	7	11	0	3	11	3	9	2	1	5	3	7	3	11	2	35	28	16	1									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	3144	0	0	1	3	4	3	7	9	15	22	5	477	261	104	97	32	191	226	35	24	61	58	13	35	15	0	44	131	26	18	21	38	45	125	15	14	14	119	69	343	115	5	6	1	2	3	14	7	16	3	10	4	8	35	11	54	4	8	109	5	4									
14	Число погашенных неиспользованных открепительных удостоверений	597	2	5	0	28	0	5	29	4	20	12	19	7	0	14	11	10	14	6	4	6	8	5	0	17	5	5	17	9	5	1	8	7	16	11	3	1	6	8	8	11	1	7	3	4	5	32	14	17	41	8	9	0	22	8	2	4	3	0	17	24	29									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	231	0	0	0	3	2	0	1	5	5	24	7	7	0	9	2	2	13	3	8	2	6	4	4	6	10	0	10	8	0	0	5	9	5	0	7	10	7	1	2	3	0	0	0	3	0	7	2	5	2	0	0	0	3	0	2	3	0	1	8	2	3									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																																								
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	769	1	0	0	39	7	2	19	11	11	16	11	36	12	30	2	8	5	12	14	14	21	8	12	30	12	2	19	33	5	7	16	30	20	14	6	26	32	17	5	22	2	6	2	6	4	23	18	10	10	2	7	2	24	14	3	9	2	6	18	12	2									
		2.15%	1.52%	0.00%	0.00%	3.06%	0.98%	0.67%	1.78%	1.44%	2.14%	2.38%	1.19%	2.75%	2.62%	2.56%	0.57%	2.26%	0.51%	1.51%	2.58%	2.59%	3.44%	2.16%	2.23%	3.82%	2.15%	0.81%	2.70%	3.78%	2.19%	2.76%	3.14%	3.74%	2.75%	2.46%	0.91%	3.11%	3.64%	3.82%	2.00%	2.92%	0.84%	1.92%	0.68%	1.53%	1.24%	2.83%	2.55%	2.20%	0.69%	0.66%	2.19%	1.18%	2.84%	3.19%	1.54%	1.49%	1.17%	0.85%	2.27%	2.64%	0.15%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	871	2	4	1	34	8	17	21	24	11	21	33	29	10	25	3	9	8	7	16	4	19	17	20	32	14	5	14	24	7	9	15	29	24	9	13	14	24	12	2	17	2	22	5	15	10	20	22	8	32	8	2	2	17	15	3	9	6	13	17	24	12									
		2.43%	3.03%	3.54%	2.04%	2.67%	1.12%	5.70%	1.97%	3.13%	2.14%	3.13%	3.56%	2.21%	2.18%	2.14%	0.85%	2.54%	0.82%	0.88%	2.95%	0.74%	3.11%	4.58%	3.72%	4.08%	2.51%	2.02%	1.99%	2.75%	3.07%	3.54%	2.95%	3.62%	3.31%	1.58%	1.98%	1.68%	2.73%	2.70%	0.80%	2.25%	0.84%	7.05%	1.71%	3.83%	3.11%	2.46%	3.12%	1.76%	2.21%	2.65%	0.63%	1.18%	2.01%	3.42%	1.54%	1.49%	3.51%	1.84%	2.15%	5.27%	0.92%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	737	1	0	2	18	12	5	8	11	8	9	23	18	5	31	0	7	25	17	7	2	26	11	10	22	11	3	18	10	4	3	16	22	21	12	14	22	15	7	4	14	6	7	11	25	8	21	44	4	8	7	5	4	19	13	4	14	1	35	8	9	10									
		2.06%	1.52%	0.00%	4.08%	1.41%	1.69%	1.68%	0.75%	1.44%	1.56%	1.34%	2.48%	1.37%	1.09%	2.65%	0.00%	1.98%	2.56%	2.14%	1.29%	0.37%	4.26%	2.96%	1.86%	2.80%	1.97%	1.21%	2.55%	1.15%	1.75%	1.18%	3.14%	2.74%	2.89%	2.11%	2.13%	2.63%	1.70%	1.57%	1.60%	1.86%	2.52%	2.24%	3.77%	6.38%	2.48%	2.59%	6.23%	0.88%	0.55%	2.32%	1.56%	2.35%	2.25%	2.96%	2.05%	2.32%	0.58%	4.94%	1.01%	1.98%	0.77%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	20666	35	84	22	943	532	200	759	409	278	342	563	673	224	589	231	168	636	569	254	376	247	149	276	347	297	156	366	505	115	118	219	335	347	309	380	410	446	196	81	389	110	153	176	168	209	400	255	260	1174	206	239	114	494	237	78	411	119	542	456	230	1060									
		57.68%	53.03%	74.34%	44.90%	74.08%	74.72%	67.11%	71.13%	53.39%	54.19%	50.89%	60.80%	51.33%	48.91%	50.34%	65.44%	47.46%	65.03%	71.48%	46.78%	69.63%	40.49%	40.16%	51.30%	44.20%	53.32%	63.16%	51.91%	57.85%	50.44%	46.46%	43.03%	41.77%	47.80%	54.21%	57.75%	49.10%	50.68%	44.04%	32.40%	51.59%	46.22%	49.04%	60.27%	42.86%	64.91%	49.26%	36.12%	57.27%	81.19%	68.21%	74.69%	67.06%	58.39%	53.99%	40.00%	68.16%	69.59%	76.55%	57.58%	50.55%	81.54%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	434	0	0	1	13	6	0	5	8	7	7	10	23	6	14	0	1	8	7	10	1	11	12	8	14	6	0	12	10	2	3	6	14	3	5	7	14	12	3	2	16	7	3	3	3	2	8	9	7	25	2	2	1	24	7	0	4	0	22	10	5	3									
		1.21%	0.00%	0.00%	2.04%	1.02%	0.84%	0.00%	0.47%	1.04%	1.36%	1.04%	1.08%	1.75%	1.31%	1.20%	0.00%	0.28%	0.82%	0.88%	1.84%	0.19%	1.80%	3.23%	1.49%	1.78%	1.08%	0.00%	1.70%	1.15%	0.88%	1.18%	1.18%	1.75%	0.41%	0.88%	1.06%	1.68%	1.36%	0.67%	0.80%	2.12%	2.94%	0.96%	1.03%	0.77%	0.62%	0.99%	1.27%	1.54%	1.73%	0.66%	0.63%	0.59%	2.84%	1.59%	0.00%	0.66%	0.00%	3.11%	1.26%	1.10%	0.23%									
24	"6. Политическая партия ""Гражданская Платформа"""	76	0	0	0	3	2	0	4	0	0	4	1	6	0	4	1	2	4	0	0	0	0	1	0	0	2	0	1	4	0	0	0	1	1	0	1	2	2	0	0	2	0	1	1	0	1	2	1	0	4	0	0	0	3	0	0	3	0	8	0	2	2									
		0.21%	0.00%	0.00%	0.00%	0.24%	0.28%	0.00%	0.37%	0.00%	0.00%	0.60%	0.11%	0.46%	0.00%	0.34%	0.28%	0.56%	0.41%	0.00%	0.00%	0.00%	0.00%	0.27%	0.00%	0.00%	0.36%	0.00%	0.14%	0.46%	0.00%	0.00%	0.00%	0.12%	0.14%	0.00%	0.15%	0.24%	0.23%	0.00%	0.00%	0.27%	0.00%	0.32%	0.34%	0.00%	0.31%	0.25%	0.14%	0.00%	0.28%	0.00%	0.00%	0.00%	0.35%	0.00%	0.00%	0.50%	0.00%	1.13%	0.00%	0.44%	0.15%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	5361	15	5	10	135	58	39	137	136	96	113	134	199	68	254	62	67	104	65	87	55	89	65	99	120	86	50	80	141	47	51	80	172	135	76	106	138	140	90	49	115	40	49	56	76	37	153	185	79	72	38	26	21	133	63	97	68	16	34	142	71	137									
		14.96%	22.73%	4.42%	20.41%	10.60%	8.15%	13.09%	12.84%	17.75%	18.71%	16.82%	14.47%	15.18%	14.85%	21.71%	17.56%	18.93%	10.63%	8.17%	16.02%	10.19%	14.59%	17.52%	18.40%	15.29%	15.44%	20.24%	11.35%	16.15%	20.61%	20.08%	15.72%	21.45%	18.60%	13.33%	16.11%	16.53%	15.91%	20.22%	19.60%	15.25%	16.81%	15.71%	19.18%	19.39%	11.49%	18.84%	26.20%	17.40%	4.98%	12.58%	8.13%	12.35%	15.72%	14.35%	49.74%	11.28%	9.36%	4.80%	17.93%	15.60%	10.54%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	325	0	0	0	5	2	2	6	7	8	5	5	22	8	19	0	5	5	2	5	3	13	6	5	5	2	0	12	4	4	2	6	8	9	7	5	15	8	6	10	7	9	1	0	4	0	11	6	1	10	2	2	2	2	4	0	4	0	1	8	4	11									
		0.91%	0.00%	0.00%	0.00%	0.39%	0.28%	0.67%	0.56%	0.91%	1.56%	0.74%	0.54%	1.68%	1.75%	1.62%	0.00%	1.41%	0.51%	0.25%	0.92%	0.56%	2.13%	1.62%	0.93%	0.64%	0.36%	0.00%	1.70%	0.46%	1.75%	0.79%	1.18%	0.99%	1.24%	1.23%	0.76%	1.80%	0.91%	1.35%	4.00%	0.93%	3.78%	0.32%	0.00%	1.02%	0.00%	1.35%	0.85%	0.22%	0.69%	0.66%	0.63%	1.18%	0.24%	0.91%	0.00%	0.66%	0.00%	0.14%	1.01%	0.88%	0.85%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	453	0	0	2	7	5	1	5	5	10	6	9	26	21	16	2	3	5	15	11	5	9	7	11	14	4	0	9	8	7	4	3	14	10	14	2	11	14	11	8	11	5	1	1	1	6	12	32	8	4	2	3	3	10	6	2	9	1	3	9	3	7									
		1.26%	0.00%	0.00%	4.08%	0.55%	0.70%	0.34%	0.47%	0.65%	1.95%	0.89%	0.97%	1.98%	4.59%	1.37%	0.57%	0.85%	0.51%	1.88%	2.03%	0.93%	1.48%	1.89%	2.04%	1.78%	0.72%	0.00%	1.28%	0.92%	3.07%	1.57%	0.59%	1.75%	1.38%	2.46%	0.30%	1.32%	1.59%	2.47%	3.20%	1.46%	2.10%	0.32%	0.34%	0.26%	1.86%	1.48%	4.53%	1.76%	0.28%	0.66%	0.94%	1.76%	1.18%	1.37%	1.03%	1.49%	0.58%	0.42%	1.14%	0.66%	0.54%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	57	0	0	0	2	2	0	2	1	0	0	0	2	0	2	0	1	1	0	0	0	0	1	1	0	0	0	2	1	0	0	0	2	1	0	1	2	2	0	0	1	0	2	2	0	1	1	3	1	0	0	0	1	1	0	0	0	0	1	2	0	15									
		0.16%	0.00%	0.00%	0.00%	0.16%	0.28%	0.00%	0.19%	0.13%	0.00%	0.00%	0.00%	0.15%	0.00%	0.17%	0.00%	0.28%	0.10%	0.00%	0.00%	0.00%	0.00%	0.27%	0.19%	0.00%	0.00%	0.00%	0.28%	0.11%	0.00%	0.00%	0.00%	0.25%	0.14%	0.00%	0.15%	0.24%	0.23%	0.00%	0.00%	0.13%	0.00%	0.64%	0.68%	0.00%	0.31%	0.12%	0.42%	0.22%	0.00%	0.00%	0.00%	0.59%	0.12%	0.00%	0.00%	0.00%	0.00%	0.14%	0.25%	0.00%	1.15%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	527	1	0	0	9	3	5	4	9	12	15	7	36	13	30	0	11	15	6	13	4	17	13	10	21	18	3	16	2	2	5	12	8	10	19	6	9	11	8	18	15	5	6	1	2	6	12	7	4	7	8	3	2	8	11	0	6	1	6	9	4	3									
		1.47%	1.52%	0.00%	0.00%	0.71%	0.42%	1.68%	0.37%	1.17%	2.34%	2.23%	0.76%	2.75%	2.84%	2.56%	0.00%	3.11%	1.53%	0.75%	2.39%	0.74%	2.79%	3.50%	1.86%	2.68%	3.23%	1.21%	2.27%	0.23%	0.88%	1.97%	2.36%	0.99%	1.38%	3.33%	0.91%	1.08%	1.25%	1.80%	7.20%	1.99%	2.10%	1.92%	0.34%	0.51%	1.86%	1.48%	0.99%	0.88%	0.48%	2.65%	0.94%	1.18%	0.95%	2.51%	0.00%	0.99%	0.58%	0.85%	1.14%	0.88%	0.23%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	3660	7	10	5	31	47	13	40	86	54	106	98	151	57	104	44	49	105	65	105	69	110	48	51	125	73	22	60	101	25	35	75	111	99	80	65	111	102	69	32	97	39	50	26	63	24	114	81	37	67	20	21	17	70	49	6	29	19	27	76	59	29									
		10.21%	10.61%	8.85%	10.20%	2.44%	6.60%	4.36%	3.75%	11.23%	10.53%	15.77%	10.58%	11.52%	12.45%	8.89%	12.46%	13.84%	10.74%	8.17%	19.34%	12.78%	18.03%	12.94%	9.48%	15.92%	13.11%	8.91%	8.51%	11.57%	10.96%	13.78%	14.73%	13.84%	13.64%	14.04%	9.88%	13.29%	11.59%	15.51%	12.80%	12.86%	16.39%	16.03%	8.90%	16.07%	7.45%	14.04%	11.47%	8.15%	4.63%	6.62%	6.56%	10.00%	8.27%	11.16%	3.08%	4.81%	11.11%	3.81%	9.60%	12.97%	2.23%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	157	0	0	0	3	4	0	3	2	2	3	0	3	0	3	1	3	5	2	1	2	5	0	6	5	1	2	5	5	0	3	8	9	2	3	7	5	3	3	5	4	1	1	2	1	3	4	3	5	2	0	0	0	5	2	0	3	1	1	2	2	1									
		0.44%	0.00%	0.00%	0.00%	0.24%	0.56%	0.00%	0.28%	0.26%	0.39%	0.45%	0.00%	0.23%	0.00%	0.26%	0.28%	0.85%	0.51%	0.25%	0.18%	0.37%	0.82%	0.00%	1.12%	0.64%	0.18%	0.81%	0.71%	0.57%	0.00%	1.18%	1.57%	1.12%	0.28%	0.53%	1.06%	0.60%	0.34%	0.67%	2.00%	0.53%	0.42%	0.32%	0.68%	0.26%	0.93%	0.49%	0.42%	1.10%	0.14%	0.00%	0.00%	0.00%	0.59%	0.46%	0.00%	0.50%	0.58%	0.14%	0.25%	0.44%	0.08%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	1004	0	0	0	16	9	11	47	37	5	17	22	68	29	23	6	7	17	20	20	4	26	20	20	33	19	0	27	9	9	9	36	33	29	16	27	31	55	15	25	30	9	9	2	9	6	21	13	11	15	7	5	1	9	5	2	7	2	3	21	17	3									
		2.80%	0.00%	0.00%	0.00%	1.26%	1.26%	3.69%	4.40%	4.83%	0.97%	2.53%	2.38%	5.19%	6.33%	1.97%	1.70%	1.98%	1.74%	2.51%	3.68%	0.74%	4.26%	5.39%	3.72%	4.20%	3.41%	0.00%	3.83%	1.03%	3.95%	3.54%	7.07%	4.11%	3.99%	2.81%	4.10%	3.71%	6.25%	3.37%	10.00%	3.98%	3.78%	2.88%	0.68%	2.30%	1.86%	2.59%	1.84%	2.42%	1.04%	2.32%	1.56%	0.59%	1.06%	1.14%	1.03%	1.16%	1.17%	0.42%	2.65%	3.74%	0.23%									
																																																																								
																																																																								
																																																																								
																																																																								
																																																																								
																																																																								
																																																																								
																																																																								
																																																																								
																																																																								
																																																																								
																																																																								
																																																																								
																																																																								
																																																																								
																																																																								
																																																																								
																																																																								
																																																																								
																																																																								
																																																																								
																																																																								
